date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,276.77,15.74,24.81,51.43,0.66,4.29,0.48,0.04,16.47,0,-9.73,0,244.56,2.48,1.07,0.0,248.11,272.4,531.8,0.0,0.0
Feb 2016,183.6,10.44,28.88,51.14,0.82,4.2,0.48,0.04,10.93,0,-11.32,0,162.24,2.89,1.28,0.0,166.4,268.13,538.11,-4.26999999999998,6.31000000000006
Mar 2016,606.16,34.47,61.84,111.19,4.53,1.34,0.48,0.04,36.07,0,-24.25,0,535.63,6.18,1.59,0.0,543.4,263.92,537.27,-4.2099999999999795,-0.840000000000032
Apr 2016,99.15,5.64,82.9,93.51,19.43,0.19,0.48,0.04,5.9,0,-32.5,0,87.61,8.28,2.81,0.0,98.7,265.95,548.65,2.02999999999997,11.38
May 2016,139.92,7.96,242.27,234.75,87.65,1.4,0.5,0.04,8.33,0,-94.99,0,123.64,24.21,4.31,1.45,153.6,282.83,521.61,16.88,-27.04
Jun 2016,51.75,2.94,96.81,91.18,51.77,14.92,0.77,0.04,3.08,0,-37.96,0,45.73,9.67,14.68,15.86,85.95,365.24,433.04,82.41,-88.57
Jul 2016,750.62,42.68,33.02,88.25,18.2,21.11,0.67,0.04,44.66,0,-12.94,0,663.27,3.3,11.23,15.99,693.79,388.14,381.58,22.9,-51.46
Aug 2016,1066.55,60.64,30.75,106.83,10.06,16.51,0.59,0.04,63.46,0,-12.06,0,942.44,3.07,7.71,13.14,966.36,374.63,396.68,-13.51,15.1
Sep 2016,662.09,37.65,19.4,64.08,9.93,11.3,0.59,0.04,39.4,0,-7.61,0,585.04,1.94,6.79,9.5,603.28,361.01,434.4,-13.62,37.72
Oct 2016,301.55,17.15,12.45,52.88,0.08,19.73,0.48,0.04,17.94,0,-4.88,0,266.46,1.24,2.37,0.0,270.08,353.4,456.14,-7.610000000000009,21.74
Nov 2016,974.91,55.43,42.43,122.51,0.08,12.32,0.48,0.04,58.01,0,-16.64,0,861.47,4.24,1.22,0.0,866.93,331.82,468.76,-21.58,12.62
Dec 2016,159.73,9.08,26.75,54.76,0.08,11.19,0.48,0.04,9.5,0,-10.49,0,141.14,2.67,0.88,0.0,144.69,318.79,509.7,-13.03,40.94
Jan 2017,893.55,50.81,38.72,103.4,0.98,3.55,0.48,0.04,53.17,0,-15.18,0,789.57,3.87,0.89,0.0,794.33,307.24,508.27,-11.55,-1.4300000000000102
Feb 2017,470.01,26.72,42.88,84.18,1.38,3.42,0.48,0.04,27.97,0,-16.81,0,415.31,4.29,1.09,0.0,420.69,304.22,545.83,-3.0199999999999796,37.5600000000001
Mar 2017,770.29,43.8,78.01,138.73,6.05,0.19,0.48,0.04,45.84,0,-30.58,0,680.66,7.8,1.82,0.0,690.27,301.52,556.54,-2.70000000000005,10.7099999999999
Apr 2017,389.75,22.16,146.94,168.9,43.32,0.19,0.48,0.04,23.19,0,-57.61,0,344.4,14.68,2.84,0.0,361.92,306.01,571.35,4.490000000000009,14.8100000000001
May 2017,411.77,23.41,318.09,275.26,160.3,1.13,0.5,0.04,24.5,0,-124.71,0,363.86,31.79,4.68,1.7,402.03,346.74,536.49,40.73,-34.86
Jun 2017,117.82,6.7,236.9,260.87,96.5,44.56,0.74,0.04,7.01,0,-92.88,0,104.11,23.67,14.63,14.74,157.16,501.69,434.12,154.95,-102.37
Jul 2017,727.81,41.38,112.87,176.6,30.23,19.61,0.67,0.04,43.31,0,-44.25,0,643.12,11.28,12.02,15.44,681.87,539.7,332.81,38.01,-101.31
Aug 2017,1043.97,59.36,74.1,170.51,12.24,27.64,0.6,0.04,62.12,0,-29.05,0,922.49,7.41,9.1,13.53,952.53,538.92,315.8,-0.780000000000086,-17.01
Sep 2017,491.94,27.97,48.46,103.32,11.21,23.95,0.61,0.04,29.27,0,-19.0,0,434.7,4.84,8.06,9.03,456.64,514.99,334.77,-23.93,18.97
Oct 2017,758.98,43.16,54.87,127.33,3.04,16.31,0.48,0.04,45.16,0,-21.51,0,670.66,5.48,2.32,0.0,678.46,494.76,335.44,-20.23,0.670000000000016
Nov 2017,536.93,30.53,59.7,118.05,0.08,10.46,0.48,0.04,31.95,0,-23.41,0,474.45,5.97,1.26,0.0,481.68,479.61,358.65,-15.15,23.21
Dec 2017,134.51,7.65,38.67,67.95,0.57,10.9,0.48,0.04,8.0,0,-15.16,0,118.85,3.86,0.89,0.0,123.6,468.4,366.75,-11.21,8.10000000000002
Jan 2018,383.51,21.81,40.75,74.15,3.34,3.02,0.48,0.04,22.82,0,-15.98,0,338.88,4.07,1.11,0.0,344.07,457.63,359.15,-10.77,-7.600000000000019
Feb 2018,261.67,14.88,46.57,73.23,4.89,3.07,0.48,0.04,15.57,0,-18.26,0,231.22,4.65,1.08,0.0,236.95,457.28,365.55,-0.350000000000023,6.40000000000003
Mar 2018,791.02,44.98,76.48,140.97,3.01,0.19,0.48,0.04,47.07,0,-29.98,0,698.97,7.64,1.95,0.0,708.57,458.47,362.42,1.1900000000000501,-3.13
Apr 2018,293.83,16.71,115.87,137.92,28.7,0.19,0.48,0.04,17.48,0,-45.43,0,259.64,11.58,3.51,0.0,274.72,459.78,379.06,1.3099999999999499,16.64
May 2018,234.34,13.32,284.2,311.28,71.68,2.41,0.53,0.04,13.94,0,-111.43,0,207.07,28.4,6.5,2.95,244.92,485.23,350.68,25.45,-28.38
Jun 2018,177.06,10.07,186.0,202.58,60.9,13.07,0.74,0.04,10.54,0,-72.92,0,156.46,18.59,14.5,14.73,204.28,548.49,249.77,63.26,-100.91
Jul 2018,773.13,43.96,67.23,118.74,21.72,9.63,0.67,0.04,46.0,0,-26.36,0,683.16,6.72,12.3,15.89,718.07,582.51,171.95,34.02,-77.82
Aug 2018,329.84,18.76,37.23,58.3,27.92,19.37,0.71,0.04,19.63,0,-14.59,0,291.46,3.72,12.98,13.81,321.97,582.93,175.07,0.41999999999995896,3.12
Sep 2018,474.64,26.99,27.28,66.5,21.77,26.03,0.62,0.04,28.24,0,-10.69,0,419.41,2.73,8.61,9.45,440.19,579.18,165.62,-3.75,-9.44999999999999
Oct 2018,480.47,27.32,19.21,71.68,0.08,19.61,0.48,0.04,28.59,0,-7.53,0,424.56,1.92,3.05,0.0,429.54,566.89,173.14,-12.29,7.519999999999981
Nov 2018,418.66,23.81,29.35,75.43,0.08,13.78,0.48,0.04,24.91,0,-11.51,0,369.94,2.93,1.55,0.0,374.42,544.74,193.76,-22.15,20.62
Dec 2018,254.69,14.48,29.48,63.29,0.08,10.79,0.48,0.04,15.15,0,-11.56,0,225.05,2.95,1.61,0.0,229.6,529.94,206.72,-14.8,12.96
Jan 2019,354.75,20.17,30.45,58.87,4.55,3.9,0.48,0.04,21.11,0,-11.94,0,313.47,3.04,1.18,0.0,317.69,518.05,209.88,-11.8900000000001,3.16
Feb 2019,789.94,44.92,40.79,95.81,4.93,3.12,0.48,0.04,47.0,0,-15.99,0,698.02,4.08,1.96,0.0,704.06,517.96,218.61,-0.0899999999999181,8.730000000000018
Mar 2019,281.08,15.98,58.63,83.38,8.55,0.19,0.48,0.04,16.73,0,-22.99,0,248.37,5.86,2.82,0.0,257.05,518.25,249.18,0.28999999999996395,30.57
Apr 2019,407.83,23.19,138.82,171.63,31.12,0.19,0.48,0.04,24.27,0,-54.43,0,360.37,13.87,3.81,0.0,378.06,524.23,242.47,5.980000000000019,-6.71000000000001
May 2019,179.17,10.19,282.8,305.62,70.76,0.78,0.49,0.04,10.66,0,-110.87,0,158.32,28.26,5.25,0.75,192.58,551.8,211.87,27.5699999999999,-30.6
Jun 2019,72.35,4.11,148.68,139.45,71.32,14.55,0.77,0.04,4.3,0,-58.29,0,63.93,14.86,16.13,15.57,110.49,616.98,110.45,65.1800000000001,-101.42
Jul 2019,638.44,36.3,50.45,88.34,23.92,10.77,0.69,0.04,37.99,0,-19.78,0,564.15,5.04,13.45,16.05,598.69,658.35,40.16,41.37,-70.29
Aug 2019,1349.0,76.71,52.31,144.22,18.65,18.57,0.56,0.04,80.27,0,-20.51,0,1192.03,5.23,7.98,12.92,1218.15,658.71,41.67,0.36000000000001403,1.5100000000000102
Sep 2019,719.5,40.91,28.97,95.11,5.9,22.67,0.55,0.04,42.81,0,-11.36,0,635.78,2.89,6.49,7.4,652.57,651.32,88.0,-7.389999999999991,46.33
Oct 2019,839.64,47.74,32.91,102.76,3.79,16.28,0.48,0.04,49.96,0,-12.9,0,741.94,3.29,2.58,0.0,747.81,628.58,111.54,-22.74,23.54
Nov 2019,353.23,20.08,47.13,88.75,2.17,9.93,0.48,0.04,21.02,0,-18.48,0,312.13,4.71,1.81,0.0,318.64,613.95,148.15,-14.63,36.61
Dec 2019,299.95,17.06,42.05,79.45,2.65,10.71,0.48,0.04,17.85,0,-16.49,0,265.05,4.2,1.29,0.0,270.54,604.82,150.24,-9.13,2.09
Jan 2020,162.76,9.25,34.04,53.28,2.67,2.71,0.48,0.04,9.69,0,-13.35,0,143.82,3.4,1.12,0.0,148.35,595.92,151.16,-8.90000000000009,0.919999999999987
Feb 2020,838.54,47.68,50.55,109.47,4.92,1.4,0.48,0.04,49.9,0,-19.82,0,740.96,5.05,1.61,0.0,747.63,595.21,147.05,-0.7099999999999229,-4.1099999999999905
Mar 2020,354.57,20.16,66.18,98.0,7.86,0.19,0.48,0.04,21.1,0,-25.95,0,313.31,6.61,2.26,0.0,322.18,597.57,176.69,2.3600000000000096,29.64
Apr 2020,128.72,7.32,140.64,160.54,28.7,0.19,0.48,0.04,7.66,0,-55.14,0,113.74,14.05,3.44,0.0,131.24,603.43,171.4,5.8599999999999,-5.28999999999999
May 2020,433.84,24.67,169.38,194.98,48.97,0.42,0.49,0.04,25.81,0,-66.41,0,383.35,16.93,5.17,0.49,405.94,628.93,123.47,25.5,-47.93
Jun 2020,452.32,25.72,208.01,233.05,71.94,10.49,0.69,0.04,26.91,0,-81.55,0,399.69,20.79,13.34,14.45,448.27,672.76,81.94,43.83,-41.53
Jul 2020,304.54,17.32,94.33,138.51,23.78,23.09,0.74,0.04,18.12,0,-36.98,0,269.1,9.43,15.02,15.39,308.94,721.51,12.2,48.75,-69.74
Aug 2020,398.72,22.67,43.54,94.18,17.7,32.96,0.7,0.04,23.73,0,-17.07,0,352.32,4.35,12.84,13.46,382.98,707.88,-22.75,-13.63,-34.95
Sep 2020,538.59,30.62,35.15,93.36,8.3,25.61,0.58,0.04,32.05,0,-13.78,0,475.92,3.51,7.55,7.78,494.76,680.44,-30.21,-27.4399999999999,-7.46
Oct 2020,2.27,0.13,15.13,39.74,0.08,20.13,0.48,0.04,0.14,0,-5.93,0,2.01,1.51,3.0,0.0,6.53,656.12,-20.27,-24.3200000000001,9.94
Nov 2020,310.22,17.64,27.42,66.15,0.08,13.16,0.48,0.04,18.46,0,-10.75,0,274.12,2.74,1.94,0.0,278.8,633.51,-26.51,-22.61,-6.24
