date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,791.23,44.99,31.65,90.42,0.61,5.15,0.54,0.04,47.08,0,-12.41,0,699.16,3.16,1.05,0.0,703.37,272.4,529.03,0.0,0.0
Feb 2016,721.02,41.0,44.89,99.9,4.14,5.04,0.54,0.04,42.9,0,-17.6,0,637.12,4.49,1.2,0.0,642.81,267.33,563.2,-5.0699999999999905,34.1700000000001
Mar 2016,331.35,18.84,45.33,74.61,5.13,2.32,0.54,0.04,19.72,0,-17.77,0,292.79,4.53,1.82,0.0,299.15,265.73,588.0,-1.59999999999997,24.8
Apr 2016,205.58,11.69,65.24,43.45,52.76,0.22,0.54,0.04,12.23,0,-25.58,0,181.66,6.52,2.49,0.0,190.67,267.21,589.44,1.47999999999996,1.4400000000000501
May 2016,575.38,32.72,192.51,200.83,81.04,0.4,0.55,0.04,34.24,0,-75.48,0,508.43,19.24,3.75,0.56,531.98,317.76,575.6,50.55,-13.84
Jun 2016,178.65,10.16,135.5,122.56,75.4,12.73,0.79,0.04,10.63,0,-53.13,0,157.86,13.54,13.12,14.19,198.71,395.16,533.29,77.4,-42.3100000000001
Jul 2016,793.28,45.11,56.01,100.28,26.4,9.2,0.72,0.04,47.2,0,-21.96,0,700.97,5.6,11.16,15.44,733.16,445.47,475.86,50.31,-57.42999999999989
Aug 2016,237.69,13.52,19.44,51.93,25.09,38.39,0.78,0.04,14.14,0,-7.62,0,210.03,1.94,12.43,13.18,237.59,452.2,484.98,6.72999999999996,9.12
Sep 2016,334.76,19.03,14.55,55.14,14.87,32.18,0.7,0.04,19.92,0,-5.7,0,295.81,1.45,8.85,9.52,315.63,427.2,477.59,-25.0,-7.3900000000000405
Oct 2016,837.45,47.62,18.36,84.07,1.46,14.19,0.54,0.04,49.83,0,-7.2,0,740.0,1.84,2.49,0.0,744.32,401.72,481.61,-25.48,4.0200000000000395
Nov 2016,246.81,14.03,32.19,64.44,1.26,10.08,0.54,0.04,14.69,0,-12.62,0,218.09,3.22,1.41,0.0,222.72,387.01,523.74,-14.71,42.13
Dec 2016,293.8,16.71,28.58,63.62,0.88,10.87,0.54,0.04,17.48,0,-11.21,0,259.61,2.86,0.96,0.0,263.43,377.29,525.3,-9.71999999999997,1.5599999999999499
Jan 2017,521.2,29.64,29.91,71.96,1.14,4.82,0.55,0.04,31.01,0,-11.73,0,460.55,2.99,1.05,0.0,464.59,366.85,531.07,-10.44,5.7700000000001
Feb 2017,407.68,23.18,38.96,76.03,2.12,4.62,0.55,0.04,24.26,0,-15.27,0,360.24,3.89,1.77,0.0,365.91,362.62,549.86,-4.23000000000002,18.79
Mar 2017,591.13,33.61,55.0,98.07,7.62,1.01,0.55,0.04,35.17,0,-21.56,0,522.34,5.5,1.78,0.0,529.62,358.85,558.34,-3.7699999999999796,8.480000000000018
Apr 2017,401.96,22.86,96.99,123.32,25.08,0.22,0.55,0.04,23.92,0,-38.02,0,355.18,9.69,3.09,0.0,367.96,364.18,571.44,5.3299999999999805,13.1
May 2017,260.95,14.84,243.39,249.96,81.4,2.04,0.58,0.04,15.53,0,-95.42,0,230.58,24.32,5.69,2.51,263.11,386.46,556.83,22.28,-14.61
Jun 2017,87.3,4.96,211.3,212.9,79.66,14.57,0.83,0.04,5.19,0,-82.84,0,77.14,21.12,15.37,15.76,129.38,460.68,473.87,74.22,-82.96
Jul 2017,320.54,18.23,41.98,61.47,26.67,15.66,0.81,0.04,19.07,0,-16.46,0,283.24,4.2,14.67,16.28,318.4,511.2,379.68,50.52,-94.19
Aug 2017,747.57,42.51,32.9,95.17,16.36,26.51,0.71,0.04,44.48,0,-12.9,0,660.58,3.29,10.7,13.98,688.54,508.31,365.24,-2.8899999999999904,-14.44
Sep 2017,686.91,39.06,25.69,87.01,10.62,25.38,0.66,0.04,40.87,0,-10.07,0,606.98,2.57,7.58,9.86,626.98,488.13,382.17,-20.18,16.93
Oct 2017,484.93,27.57,14.04,58.53,0.71,13.53,0.55,0.04,28.85,0,-5.5,0,428.5,1.4,2.66,0.0,432.56,466.42,402.49,-21.71,20.32
Nov 2017,266.82,15.17,27.33,59.94,0.49,9.95,0.55,0.04,15.88,0,-10.71,0,235.77,2.73,1.7,0.0,240.2,451.45,425.33,-14.97,22.84
Dec 2017,323.95,18.42,29.53,66.61,0.8,10.83,0.55,0.04,19.28,0,-11.58,0,286.26,2.95,1.08,0.0,290.29,440.8,429.99,-10.65,4.66000000000003
Jan 2018,318.97,18.14,29.77,60.79,0.82,5.01,0.55,0.04,18.98,0,-11.67,0,281.85,2.98,0.98,0.0,285.81,430.2,437.18,-10.6,7.19
Feb 2018,235.29,13.38,36.03,62.97,1.68,4.71,0.55,0.04,14.0,0,-14.13,0,207.91,3.6,1.78,0.0,213.29,425.54,443.98,-4.65999999999997,6.80000000000001
Mar 2018,252.17,14.34,51.18,76.91,5.81,2.26,0.55,0.04,15.01,0,-20.07,0,222.83,5.11,2.1,0.0,230.04,421.23,443.34,-4.31,-0.640000000000043
Apr 2018,317.7,18.06,87.63,114.49,17.02,0.22,0.55,0.04,18.9,0,-34.35,0,280.73,8.76,3.34,0.0,292.83,423.2,437.77,1.96999999999997,-5.5699999999999905
May 2018,28.31,1.61,144.39,132.29,61.0,5.11,0.65,0.04,1.68,0,-56.61,0,25.02,14.43,8.28,5.16,52.89,437.16,421.81,13.96,-15.96
Jun 2018,236.94,13.47,60.74,55.09,50.26,13.39,0.81,0.04,14.1,0,-23.81,0,209.37,6.07,14.89,16.01,246.35,485.37,361.12,48.21,-60.69
Jul 2018,365.71,20.79,17.89,50.03,24.38,30.49,0.8,0.04,21.76,0,-7.02,0,323.15,1.79,13.82,15.54,354.3,508.11,334.62,22.74,-26.5
Aug 2018,929.27,52.84,23.32,87.17,12.66,16.85,0.68,0.04,55.29,0,-9.14,0,821.13,2.33,9.23,13.38,846.08,488.94,333.07,-19.17,-1.55000000000001
Sep 2018,318.45,18.11,12.04,60.22,10.48,37.04,0.68,0.04,18.95,0,-4.72,0,281.39,1.2,7.81,7.55,297.96,476.15,365.2,-12.79,32.13
Oct 2018,298.57,16.98,12.0,47.95,0.52,15.99,0.55,0.04,17.77,0,-4.7,0,263.82,1.2,2.78,0.0,267.8,442.42,371.24,-33.73,6.040000000000019
Nov 2018,554.98,31.56,24.68,72.68,0.77,10.01,0.55,0.04,33.02,0,-9.68,0,490.4,2.47,1.58,0.0,494.44,424.68,383.79,-17.74,12.55
Dec 2018,297.02,16.89,25.76,60.44,0.56,10.82,0.55,0.04,17.67,0,-10.1,0,262.46,2.57,1.08,0.0,266.11,414.38,406.63,-10.3,22.84
Jan 2019,287.22,16.33,22.3,49.74,0.66,5.26,0.55,0.04,17.09,0,-8.74,0,253.8,2.23,1.27,0.0,257.29,403.55,413.69,-10.83,7.06
Feb 2019,705.04,40.09,37.69,92.81,0.86,4.87,0.55,0.04,41.95,0,-14.78,0,623.0,3.77,1.57,0.0,628.34,398.19,421.53,-5.360000000000009,7.8399999999999705
Mar 2019,62.03,3.53,28.02,41.52,2.84,4.63,0.55,0.04,3.69,0,-10.99,0,54.81,2.8,2.41,0.0,60.02,393.12,448.19,-5.0699999999999905,26.66
Apr 2019,435.63,24.77,58.19,83.48,16.7,0.22,0.55,0.04,25.92,0,-22.82,0,384.94,5.82,2.98,0.0,393.74,389.43,440.38,-3.69,-7.81
May 2019,286.86,16.31,218.02,204.78,95.05,1.8,0.58,0.04,17.07,0,-85.48,0,253.48,21.79,5.61,2.28,283.15,403.44,442.98,14.01,2.60000000000002
Jun 2019,58.99,3.35,109.81,89.1,71.16,15.02,0.84,0.04,3.51,0,-43.05,0,52.12,10.97,15.97,16.06,95.13,491.62,371.75,88.18,-71.23
Jul 2019,121.5,6.91,17.26,55.38,24.39,50.56,0.85,0.04,7.23,0,-6.77,0,107.36,1.72,15.81,16.12,141.02,532.6,315.34,40.98,-56.41
Aug 2019,1134.85,64.53,28.22,123.43,8.69,31.12,0.66,0.04,67.53,0,-11.07,0,1002.8,2.82,8.42,13.36,1027.4,491.43,298.87,-41.17,-16.47
Sep 2019,75.72,4.31,5.26,39.33,19.3,47.52,0.79,0.04,4.51,0,-2.06,0,66.91,0.53,11.72,11.27,90.42,461.19,341.35,-30.24,42.48
