date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,45.33,2.58,16.73,27.86,0.77,4.43,0.48,0.04,2.7,0,-6.56,0,40.05,1.67,1.22,0.0,42.94,272.4,531.79,0.0,0.0
Feb 2016,483.43,27.49,32.1,72.42,0.78,4.23,0.48,0.04,28.77,0,-12.59,0,427.17,3.21,1.23,0.0,431.61,267.96,527.48,-4.44,-4.30999999999995
Mar 2016,215.55,12.26,29.91,48.9,5.47,3.46,0.48,0.04,12.83,0,-11.73,0,190.46,2.99,1.84,0.0,195.3,263.73,543.22,-4.2299999999999605,15.74
Apr 2016,458.72,26.08,47.08,68.38,18.72,0.19,0.48,0.04,27.3,0,-18.46,0,405.34,4.7,2.73,0.0,412.78,264.33,543.88,0.5999999999999661,0.6599999999999681
May 2016,136.81,7.78,42.71,49.79,23.01,9.82,0.55,0.04,8.14,0,-16.75,0,120.89,4.27,6.09,4.16,135.41,280.57,552.27,16.24,8.38999999999999
Jun 2016,288.93,16.43,22.15,47.6,25.45,28.01,0.73,0.04,17.19,0,-8.68,0,255.31,2.21,12.74,16.07,286.33,288.18,539.0,7.610000000000009,-13.27
Jul 2016,881.78,50.14,19.83,72.66,16.5,13.41,0.65,0.04,52.47,0,-7.77,0,779.17,1.98,9.31,15.61,806.06,273.57,530.74,-14.61,-8.259999999999991
Aug 2016,912.12,51.86,24.39,81.17,12.87,10.66,0.61,0.04,54.27,0,-9.56,0,805.98,2.44,7.32,12.83,828.57,267.97,559.23,-5.59999999999997,28.49
Sep 2016,879.47,50.01,20.94,77.38,7.25,7.57,0.55,0.04,52.33,0,-8.21,0,777.13,2.09,4.65,8.37,792.25,263.43,590.54,-4.54000000000002,31.3099999999999
Oct 2016,241.24,13.72,4.02,28.16,1.38,10.62,0.48,0.04,14.35,0,-1.58,0,213.17,0.4,2.03,0.0,215.6,258.96,625.78,-4.470000000000031,35.24
Nov 2016,208.39,11.85,20.53,44.25,0.3,6.18,0.48,0.04,12.4,0,-8.05,0,184.14,2.05,1.24,0.0,187.44,248.12,638.12,-10.84,12.34
Dec 2016,264.01,15.01,18.99,47.86,0.3,8.61,0.48,0.04,15.71,0,-7.44,0,233.29,1.9,0.76,0.0,235.94,241.45,642.03,-6.6700000000000195,3.9099999999999704
Jan 2017,511.09,29.06,25.68,66.26,0.49,4.51,0.48,0.04,30.41,0,-10.07,0,451.61,2.57,0.78,0.0,454.96,232.82,649.85,-8.63,7.82000000000005
Feb 2017,187.05,10.64,23.23,44.22,0.86,4.43,0.48,0.04,11.13,0,-9.11,0,165.29,2.32,0.92,0.0,168.53,228.47,669.75,-4.349999999999991,19.9
Mar 2017,238.66,13.57,32.01,52.54,4.58,2.19,0.48,0.04,14.2,0,-12.55,0,210.89,3.2,1.8,0.0,215.89,224.42,671.33,-4.05000000000001,1.58000000000004
Apr 2017,110.25,6.27,38.74,40.64,15.88,0.19,0.48,0.04,6.56,0,-15.19,0,97.42,3.87,2.49,0.0,103.78,225.46,672.54,1.04000000000002,1.20999999999992
May 2017,62.66,3.56,34.3,39.38,15.93,7.44,0.61,0.04,3.73,0,-13.45,0,55.37,3.43,7.54,6.79,73.13,239.1,663.47,13.64,-9.06999999999994
Jun 2017,226.71,12.89,32.86,46.35,27.43,18.43,0.74,0.04,13.49,0,-12.88,0,200.33,3.28,12.31,15.76,231.68,240.62,646.39,1.5200000000000102,-17.08
Jul 2017,601.17,34.18,11.83,56.85,18.28,25.66,0.69,0.04,35.77,0,-4.64,0,531.22,1.18,10.27,15.7,558.37,238.02,630.53,-2.5999999999999903,-15.86
Aug 2017,919.15,52.26,18.62,74.36,12.12,10.16,0.61,0.04,54.69,0,-7.3,0,812.19,1.86,6.91,12.97,833.93,221.02,645.31,-17.0,14.78
Sep 2017,51.66,2.94,1.67,13.13,19.9,27.94,0.71,0.04,3.07,0,-0.65,0,45.65,0.17,9.8,10.71,66.33,216.63,679.17,-4.3900000000000095,33.86
Oct 2017,896.87,51.0,20.33,79.97,1.09,3.8,0.48,0.04,53.37,0,-7.97,0,792.51,2.03,1.68,0.0,796.22,199.47,670.2,-17.16,-8.96999999999991
