date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,428.27,24.35,41.2,75.59,3.65,1.66,0.43,0.04,25.48,0,-16.15,0,378.43,4.12,0.91,0.0,383.46,268.76,534.53,0.0,0.0
Feb 2016,289.12,16.44,43.14,66.52,7.38,1.71,0.43,0.04,17.2,0,-16.91,0,255.47,4.31,1.21,0.0,260.99,270.22,543.47,1.46000000000004,8.940000000000051
Mar 2016,310.53,17.66,69.25,84.59,22.71,0.16,0.43,0.04,18.48,0,-27.15,0,274.4,6.92,1.77,0.0,283.09,275.07,543.38,4.8499999999999694,-0.0900000000000318
Apr 2016,136.84,7.78,178.31,182.55,55.79,0.16,0.43,0.04,8.14,0,-69.91,0,120.92,17.82,3.01,0.0,141.75,296.24,534.32,21.17,-9.059999999999949
May 2016,25.77,1.47,273.39,246.35,114.87,6.51,0.55,0.04,1.53,0,-107.18,0,22.77,27.32,8.44,5.01,63.54,349.24,472.16,53.0,-62.16
Jun 2016,215.82,12.27,99.17,127.93,55.34,42.85,0.78,0.04,12.84,0,-38.88,0,190.7,9.91,17.41,16.0,234.03,449.68,360.99,100.44,-111.17
Jul 2016,376.47,21.41,23.85,75.85,28.94,52.56,0.78,0.04,22.4,0,-9.35,0,332.66,2.38,17.19,17.03,369.27,445.49,318.21,-4.19,-42.78
Aug 2016,674.33,38.34,20.86,94.82,19.58,49.1,0.66,0.04,40.13,0,-8.18,0,595.86,2.08,12.25,14.08,624.28,405.41,313.49,-40.08,-4.7199999999999696
Sep 2016,669.21,38.05,22.04,82.58,11.25,27.29,0.56,0.04,39.82,0,-8.64,0,591.34,2.2,7.59,9.13,610.27,364.27,330.73,-41.14,17.24
Oct 2016,582.52,33.12,15.15,71.66,0.06,19.02,0.43,0.04,34.66,0,-5.94,0,514.73,1.51,2.23,0.0,518.48,341.17,352.25,-23.1,21.52
Nov 2016,625.41,35.56,35.1,93.68,0.06,12.83,0.43,0.04,37.21,0,-13.76,0,552.64,3.51,1.11,0.0,557.26,320.37,380.58,-20.8,28.33
Dec 2016,581.42,33.06,31.69,87.88,0.06,13.94,0.43,0.04,34.6,0,-12.42,0,513.77,3.17,0.87,0.0,517.8,306.88,403.65,-13.49,23.07
Jan 2017,665.05,37.82,33.72,84.15,0.49,3.26,0.43,0.04,39.57,0,-13.22,0,587.67,3.37,0.82,0.0,591.86,292.52,425.43,-14.36,21.78
Feb 2017,327.08,18.6,37.6,61.59,8.68,3.09,0.43,0.04,19.46,0,-14.74,0,289.02,3.76,1.18,0.0,293.96,289.32,451.4,-3.1999999999999904,25.97
Mar 2017,966.92,54.98,70.16,141.69,4.11,0.16,0.43,0.04,57.54,0,-27.51,0,854.4,7.01,1.92,0.0,863.33,294.11,455.73,4.79000000000002,4.33000000000004
Apr 2017,1156.19,65.74,134.74,200.37,39.63,0.16,0.43,0.04,68.8,0,-52.83,0,1021.65,13.46,2.74,0.0,1037.86,296.54,485.37,2.43000000000001,29.64
May 2017,242.75,13.8,277.83,253.47,120.66,1.33,0.45,0.04,14.44,0,-108.93,0,214.5,27.76,4.59,1.22,248.08,333.66,500.96,37.12,15.59
Jun 2017,459.74,26.14,232.42,230.83,110.23,14.6,0.71,0.04,27.36,0,-91.12,0,406.24,23.23,15.06,15.35,459.88,448.8,404.84,115.14,-96.12
Jul 2017,433.89,24.67,85.07,118.24,42.57,26.21,0.75,0.04,25.82,0,-33.35,0,383.4,8.5,16.31,15.83,424.04,530.04,325.05,81.24,-79.79
Aug 2017,650.92,37.01,68.14,136.71,21.61,33.27,0.66,0.04,38.73,0,-26.71,0,575.18,6.81,12.48,13.31,607.78,530.8,300.98,0.7599999999999909,-24.07
Sep 2017,357.78,20.34,75.0,127.12,18.63,28.51,0.65,0.04,21.29,0,-29.4,0,316.14,7.49,11.05,9.98,344.67,507.28,299.07,-23.52,-1.9100000000000301
Oct 2017,312.27,17.76,52.61,101.98,0.06,16.32,0.43,0.04,18.58,0,-20.63,0,275.93,5.26,2.7,0.0,283.89,486.96,280.37,-20.32,-18.7
Nov 2017,317.88,18.07,48.46,93.22,0.06,12.59,0.43,0.04,18.92,0,-19.0,0,280.89,4.84,1.45,0.0,287.18,468.4,277.93,-18.56,-2.44
Dec 2017,115.47,6.57,33.82,63.99,0.06,13.79,0.43,0.04,6.87,0,-13.26,0,102.04,3.38,1.01,0.0,106.43,454.82,277.46,-13.58,-0.47000000000002706
Jan 2018,130.35,7.41,32.61,48.11,4.69,3.25,0.43,0.04,7.76,0,-12.79,0,115.18,3.26,1.12,0.0,119.56,440.46,270.68,-14.36,-6.77999999999997
Feb 2018,182.09,10.35,40.6,61.1,4.67,2.96,0.43,0.04,10.83,0,-15.92,0,160.9,4.06,1.63,0.0,166.59,441.17,265.26,0.7100000000000359,-5.4200000000000195
Mar 2018,385.75,21.93,85.27,128.41,3.86,0.16,0.43,0.04,22.95,0,-33.43,0,340.86,8.52,2.28,0.0,351.67,441.64,259.79,0.46999999999997,-5.46999999999997
Apr 2018,341.61,19.42,306.23,248.25,167.03,0.16,0.43,0.04,20.33,0,-120.06,0,301.86,30.6,3.82,0.0,336.28,443.45,248.92,1.81,-10.87
May 2018,49.78,2.83,278.22,295.61,74.71,7.99,0.58,0.04,2.96,0,-109.08,0,43.99,27.8,11.32,6.33,89.44,606.89,148.8,163.44,-100.12
Jun 2018,532.02,30.25,162.7,284.27,49.88,93.67,0.7,0.04,31.66,0,-63.79,0,470.11,16.26,16.4,15.62,518.39,662.84,35.81,55.95,-112.99
Jul 2018,310.17,17.64,52.86,116.39,29.71,60.16,0.79,0.04,18.46,0,-20.72,0,274.08,5.28,18.51,16.72,314.59,603.31,-12.61,-59.53000000000011,-48.42
Aug 2018,1090.46,62.0,46.25,140.06,12.9,31.2,0.59,0.04,64.89,0,-18.13,0,963.57,4.62,10.5,13.88,992.56,555.11,-32.35,-48.199999999999896,-19.74
