date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,10.08,0,0,0,0,0.09,0.67,0.01,0.0,0,0.09,0,10.07,0,0.57,0.0,10.65,0,-6729.41,0,0.0
Feb 2016,3.12,0,0,0,0,0.09,0.67,0.01,0.0,0,0.09,0,3.12,0,0.57,0.0,3.7,0,-6729.98,0,-0.569999999999709
Mar 2016,41.42,0,0,0,0,0.09,0.67,0.01,0.01,0,0.09,0,41.41,0,0.57,0.0,41.98,0,-6730.55,0,-0.5700000000006179
Apr 2016,3.68,0,0,0,0,0.09,91.28,24.54,0.0,0,0.09,0,3.67,0,66.65,0.08,70.4,0,-6731.12,0,-0.569999999999709
May 2016,54.65,0,0,0,0,0.09,102.37,27.55,0.01,0,0.09,0,54.63,0,74.74,0.09,129.46,0,-6797.85,0,-66.7300000000005
Jun 2016,19.74,0,0,0,0,0.09,133.55,35.99,0.0,0,0.09,0,19.74,0,97.48,0.12,117.33,0,-6872.66,0,-74.8099999999995
Jul 2016,418.33,0,0,0,0,0.09,69.77,18.72,0.11,0,0.09,0,418.23,0,50.96,0.1,469.29,0,-6970.25,0,-97.59000000000009
Aug 2016,258.22,0,0,0,0,0.09,80.68,21.67,0.07,0,0.09,0,258.15,0,58.92,0.09,317.16,0,-7021.21,0,-50.96
Sep 2016,128.02,0,0,0,0,0.09,86.04,23.12,0.03,0,0.09,0,127.98,0,62.83,0.08,190.89,0,-7080.15,0,-58.9399999999996
Oct 2016,79.39,0,0,0,0,0.09,62.95,16.87,0.02,0,0.09,0,79.37,0,45.99,0.05,125.41,0,-7143.02,0,-62.8700000000008
Nov 2016,145.79,0,0,0,0,0.09,0.68,0.01,0.04,0,0.09,0,145.75,0,0.58,0.0,146.33,0,-7189.04,0,-46.019999999999506
Dec 2016,19.43,0,0,0,0,0.09,0.68,0.01,0.0,0,0.09,0,19.42,0,0.58,0.0,20.0,0,-7189.58,0,-0.5399999999999641
Jan 2017,115.18,0,0,0,0,0.09,0.68,0.01,0.03,0,0.09,0,115.15,0,0.58,0.0,115.73,0,-7190.15,0,-0.569999999999709
Feb 2017,82.4,0,0,0,0,0.09,0.68,0.01,0.02,0,0.09,0,82.37,0,0.58,0.0,82.95,0,-7190.7,0,-0.550000000000182
Mar 2017,189.62,0,0,0,0,0.09,0.68,0.01,0.05,0,0.09,0,189.58,0,0.58,0.0,190.15,0,-7191.26,0,-0.5600000000004001
Apr 2017,78.03,0,0,0,0,0.09,44.52,11.88,0.02,0,0.09,0,78.01,0,32.55,0.04,110.6,0,-7191.79,0,-0.529999999999745
May 2017,356.85,0,0,0,0,0.09,51.24,13.7,0.09,0,0.09,0,356.76,0,37.45,0.08,394.29,0,-7224.36,0,-32.5699999999997
Jun 2017,234.42,0,0,0,0,0.09,91.3,24.55,0.06,0,0.09,0,234.36,0,66.66,0.1,301.13,0,-7261.8,0,-37.4400000000005
Jul 2017,454.06,0,0,0,0,0.09,64.17,17.2,0.11,0,0.09,0,453.95,0,46.88,0.1,500.93,0,-7328.51,0,-66.71
