date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,1.33,0,0,0,0,0.07,0.61,0.01,0.0,0,0.07,0,1.33,0,0.53,0.0,1.86,0,-6725.78,0,0.0
Feb 2016,100.48,0,0,0,0,0.07,0.61,0.01,0.03,0,0.07,0,100.45,0,0.53,0.0,100.98,0,-6726.32,0,-0.5399999999999641
Mar 2016,3.62,0,0,0,0,0.07,3.45,0.78,0.0,0,0.07,0,3.61,0,2.6,0.0,6.22,0,-6726.82,0,-0.5
Apr 2016,98.51,0,0,0,0,0.07,45.3,12.11,0.02,0,0.07,0,98.48,0,33.12,0.08,131.68,0,-6729.43,0,-2.61000000000058
May 2016,256.54,0,0,0,0,0.07,43.55,11.64,0.06,0,0.07,0,256.48,0,31.84,0.09,288.41,0,-6762.6,0,-33.1700000000001
Jun 2016,361.34,0,0,0,0,0.07,45.15,12.07,0.09,0,0.07,0,361.25,0,33.01,0.11,394.36,0,-6794.47,0,-31.8699999999999
Jul 2016,491.24,0,0,0,0,0.07,36.94,9.85,0.12,0,0.07,0,491.11,0,27.02,0.1,518.24,0,-6827.5,0,-33.0299999999997
Aug 2016,459.1,0,0,0,0,0.07,31.68,8.42,0.12,0,0.07,0,458.99,0,23.19,0.09,482.27,0,-6854.5,0,-27.0
Sep 2016,449.36,0,0,0,0,0.07,22.76,6.01,0.11,0,0.07,0,449.25,0,16.68,0.07,466.01,0,-6877.66,0,-23.1599999999999
Oct 2016,10.33,0,0,0,0,0.07,48.33,12.93,0.0,0,0.07,0,10.33,0,35.33,0.05,45.72,0,-6894.3,0,-16.6400000000003
Nov 2016,26.74,0,0,0,0,0.07,2.24,0.45,0.01,0,0.07,0,26.74,0,1.72,0.0,28.46,0,-6929.68,0,-35.3800000000001
Dec 2016,2.61,0,0,0,0,0.07,0.61,0.01,0.0,0,0.07,0,2.61,0,0.53,0.0,3.14,0,-6931.4,0,-1.71999999999935
Jan 2017,44.53,0,0,0,0,0.07,0.61,0.01,0.01,0,0.07,0,44.52,0,0.53,0.0,45.05,0,-6931.93,0,-0.5300000000006551
Feb 2017,19.09,0,0,0,0,0.07,0.61,0.01,0.0,0,0.07,0,19.09,0,0.53,0.0,19.62,0,-6932.46,0,-0.529999999999745
Mar 2017,9.69,0,0,0,0,0.07,5.15,1.24,0.0,0,0.07,0,9.69,0,3.84,0.01,13.54,0,-6932.99,0,-0.529999999999745
Apr 2017,11.41,0,0,0,0,0.07,53.08,14.22,0.0,0,0.07,0,11.4,0,38.79,0.07,50.27,0,-6936.83,0,-3.8400000000001495
May 2017,216.29,0,0,0,0,0.07,47.63,12.74,0.05,0,0.07,0,216.24,0,34.82,0.09,251.15,0,-6975.69,0,-38.8599999999997
Jun 2017,552.91,0,0,0,0,0.07,31.39,8.34,0.14,0,0.07,0,552.77,0,22.98,0.1,575.85,0,-7010.55,0,-34.8600000000006
Jul 2017,372.95,0,0,0,0,0.07,45.94,12.28,0.09,0,0.07,0,372.85,0,33.59,0.1,406.54,0,-7033.49,0,-22.9399999999996
Aug 2017,237.67,0,0,0,0,0.07,49.97,13.38,0.06,0,0.07,0,237.61,0,36.53,0.09,274.23,0,-7067.09,0,-33.6000000000004
Sep 2017,56.8,0,0,0,0,0.07,58.32,15.64,0.01,0,0.07,0,56.79,0,42.62,0.08,99.48,0,-7103.64,0,-36.5500000000002
Oct 2017,416.86,0,0,0,0,0.07,11.44,2.94,0.11,0,0.07,0,416.75,0,8.43,0.05,425.23,0,-7146.32,0,-42.679999999999396
Nov 2017,16.43,0,0,0,0,0.07,0.62,0.01,0.0,0,0.07,0,16.42,0,0.53,0.0,16.96,0,-7154.7,0,-8.380000000000111
Dec 2017,230.49,0,0,0,0,0.07,0.62,0.01,0.06,0,0.07,0,230.43,0,0.53,0.0,230.97,0,-7155.23,0,-0.529999999999745
Jan 2018,220.1,0,0,0,0,0.07,0.62,0.01,0.06,0,0.07,0,220.04,0,0.54,0.0,220.58,0,-7155.71,0,-0.48000000000047294
Feb 2018,76.5,0,0,0,0,0.07,0.62,0.01,0.02,0,0.07,0,76.49,0,0.54,0.0,77.02,0,-7156.19,0,-0.479999999999563
Mar 2018,228.35,0,0,0,0,0.07,0.62,0.01,0.06,0,0.07,0,228.29,0,0.54,0.0,228.82,0,-7156.7,0,-0.510000000000218
Apr 2018,189.35,0,0,0,0,0.07,12.26,3.17,0.05,0,0.07,0,189.31,0,9.03,0.03,198.36,0,-7157.18,0,-0.48000000000047294
May 2018,485.41,0,0,0,0,0.07,26.93,7.14,0.12,0,0.07,0,485.28,0,19.72,0.09,505.1,0,-7166.19,0,-9.00999999999931
Jun 2018,362.46,0,0,0,0,0.07,44.67,11.94,0.09,0,0.07,0,362.37,0,32.66,0.1,395.13,0,-7185.89,0,-19.7000000000007
Jul 2018,212.37,0,0,0,0,0.07,61.36,16.46,0.05,0,0.07,0,212.32,0,44.84,0.11,257.26,0,-7218.56,0,-32.6700000000001
Aug 2018,410.39,0,0,0,0,0.07,37.63,10.03,0.1,0,0.07,0,410.29,0,27.53,0.09,437.91,0,-7263.45,0,-44.8899999999994
Sep 2018,344.47,0,0,0,0,0.07,31.61,8.4,0.09,0,0.07,0,344.38,0,23.14,0.07,367.6,0,-7290.96,0,-27.5100000000002
Oct 2018,149.2,0,0,0,0,0.07,35.9,9.57,0.04,0,0.07,0,149.16,0,26.27,0.05,175.48,0,-7314.09,0,-23.1300000000001
Nov 2018,90.88,0,0,0,0,0.07,0.62,0.01,0.02,0,0.07,0,90.86,0,0.54,0.0,91.39,0,-7340.37,0,-26.2799999999997
Dec 2018,10.63,0,0,0,0,0.07,0.62,0.01,0.0,0,0.07,0,10.63,0,0.54,0.0,11.16,0,-7340.89,0,-0.520000000000437
Jan 2019,56.16,0,0,0,0,0.07,0.62,0.01,0.01,0,0.07,0,56.14,0,0.54,0.0,56.68,0,-7341.42,0,-0.529999999999745
Feb 2019,41.19,0,0,0,0,0.07,0.62,0.01,0.01,0,0.07,0,41.18,0,0.54,0.0,41.71,0,-7341.94,0,-0.5199999999995271
Mar 2019,63.31,0,0,0,0,0.07,0.86,0.08,0.02,0,0.07,0,63.29,0,0.71,0.0,64.0,0,-7342.47,0,-0.5300000000006551
Apr 2019,35.73,0,0,0,0,0.07,50.31,13.47,0.01,0,0.07,0,35.73,0,36.78,0.07,72.58,0,-7343.16,0,-0.6899999999995999
May 2019,151.95,0,0,0,0,0.07,49.33,13.2,0.04,0,0.07,0,151.91,0,36.06,0.09,188.06,0,-7380.0,0,-36.8400000000001
Jun 2019,553.96,0,0,0,0,0.07,30.56,8.12,0.14,0,0.07,0,553.82,0,22.37,0.1,576.29,0,-7416.11,0,-36.1099999999997
Jul 2019,332.13,0,0,0,0,0.07,49.8,13.33,0.08,0,0.07,0,332.05,0,36.4,0.1,368.55,0,-7438.45,0,-22.3400000000001
Aug 2019,146.34,0,0,0,0,0.07,58.75,15.75,0.04,0,0.07,0,146.31,0,42.93,0.09,189.33,0,-7474.87,0,-36.4200000000001
Sep 2019,103.91,0,0,0,0,0.07,54.0,14.47,0.03,0,0.07,0,103.89,0,39.47,0.08,143.43,0,-7517.85,0,-42.980000000000494
Oct 2019,104.26,0,0,0,0,0.07,38.85,10.36,0.03,0,0.07,0,104.23,0,28.42,0.05,132.7,0,-7557.37,0,-39.5199999999995
Nov 2019,54.15,0,0,0,0,0.07,0.62,0.01,0.01,0,0.07,0,54.13,0,0.54,0.0,54.67,0,-7585.81,0,-28.440000000000502
Dec 2019,57.3,0,0,0,0,0.07,0.62,0.01,0.01,0,0.07,0,57.28,0,0.54,0.0,57.82,0,-7586.33,0,-0.5199999999995271
Jan 2020,94.31,0,0,0,0,0.07,0.62,0.01,0.02,0,0.07,0,94.29,0,0.54,0.0,94.82,0,-7586.86,0,-0.529999999999745
Feb 2020,117.46,0,0,0,0,0.07,0.62,0.01,0.03,0,0.07,0,117.43,0,0.54,0.0,117.97,0,-7587.37,0,-0.510000000000218
Mar 2020,6.61,0,0,0,0,0.07,0.73,0.04,0.0,0,0.07,0,6.61,0,0.62,0.0,7.23,0,-7587.88,0,-0.510000000000218
Apr 2020,102.36,0,0,0,0,0.07,39.46,10.53,0.03,0,0.07,0,102.33,0,28.86,0.06,131.26,0,-7588.5,0,-0.619999999999891
May 2020,248.97,0,0,0,0,0.07,42.45,11.34,0.06,0,0.07,0,248.91,0,31.04,0.09,280.04,0,-7617.4,0,-28.8999999999996
Jun 2020,105.42,0,0,0,0,0.07,69.29,18.6,0.03,0,0.07,0,105.39,0,50.62,0.11,156.11,0,-7648.47,0,-31.0700000000006
Jul 2020,307.59,0,0,0,0,0.07,52.47,14.05,0.08,0,0.07,0,307.51,0,38.35,0.1,345.97,0,-7699.17,0,-50.6999999999998
Aug 2020,331.9,0,0,0,0,0.07,42.66,11.39,0.08,0,0.07,0,331.81,0,31.2,0.09,363.1,0,-7737.54,0,-38.3699999999999
Sep 2020,495.08,0,0,0,0,0.07,18.05,4.73,0.12,0,0.07,0,494.95,0,13.25,0.07,508.27,0,-7768.74,0,-31.1999999999998
Oct 2020,198.82,0,0,0,0,0.07,27.66,7.33,0.05,0,0.07,0,198.77,0,20.25,0.05,219.07,0,-7781.93,0,-13.1900000000005
Nov 2020,124.4,0,0,0,0,0.07,0.62,0.01,0.03,0,0.07,0,124.37,0,0.54,0.0,124.91,0,-7802.19,0,-20.2599999999993
Dec 2020,64.14,0,0,0,0,0.07,0.62,0.01,0.02,0,0.07,0,64.13,0,0.54,0.0,64.67,0,-7802.69,0,-0.5
Jan 2021,110.51,0,0,0,0,0.07,0.62,0.01,0.03,0,0.07,0,110.49,0,0.54,0.0,111.02,0,-7803.21,0,-0.520000000000437
Feb 2021,48.86,0,0,0,0,0.07,0.62,0.01,0.01,0,0.07,0,48.85,0,0.54,0.0,49.39,0,-7803.72,0,-0.510000000000218
Mar 2021,10.54,0,0,0,0,0.07,8.94,2.26,0.0,0,0.07,0,10.53,0,6.6,0.01,17.15,0,-7804.25,0,-0.529999999999745
Apr 2021,108.87,0,0,0,0,0.07,44.04,11.77,0.03,0,0.07,0,108.84,0,32.2,0.07,141.12,0,-7810.86,0,-6.60999999999967
May 2021,110.69,0,0,0,0,0.07,56.73,15.2,0.03,0,0.07,0,110.67,0,41.46,0.09,152.22,0,-7843.11,0,-32.25
Jun 2021,479.65,0,0,0,0,0.07,34.49,9.18,0.12,0,0.07,0,479.53,0,25.24,0.1,504.86,0,-7884.63,0,-41.5200000000004
Jul 2021,317.4,0,0,0,0,0.07,50.84,13.61,0.08,0,0.07,0,317.32,0,37.16,0.1,354.58,0,-7909.85,0,-25.2200000000003
Aug 2021,77.48,0,0,0,0,0.07,66.37,17.81,0.02,0,0.07,0,77.46,0,48.49,0.09,126.04,0,-7947.03,0,-37.179999999999396
Sep 2021,81.78,0,0,0,0,0.07,56.13,15.04,0.02,0,0.07,0,81.76,0,41.02,0.08,122.86,0,-7995.59,0,-48.5600000000004
Oct 2021,106.89,0,0,0,0,0.07,39.07,10.42,0.03,0,0.07,0,106.87,0,28.57,0.05,135.5,0,-8036.66,0,-41.0699999999997
Nov 2021,14.26,0,0,0,0,0.07,7.26,1.81,0.0,0,0.07,0,14.26,0,5.38,0.01,19.65,0,-8065.26,0,-28.6000000000004
Dec 2021,43.05,0,0,0,0,0.07,0.62,0.01,0.01,0,0.07,0,43.04,0,0.54,0.0,43.58,0,-8070.65,0,-5.38999999999942
Jan 2022,152.18,0,0,0,0,0.07,0.62,0.01,0.04,0,0.07,0,152.14,0,0.54,0.0,152.68,0,-8071.18,0,-0.5300000000006551
Feb 2022,106.04,0,0,0,0,0.07,0.62,0.01,0.03,0,0.07,0,106.02,0,0.54,0.0,106.55,0,-8071.68,0,-0.5
Mar 2022,2.33,0,0,0,0,0.07,1.77,0.32,0.0,0,0.07,0,2.33,0,1.38,0.0,3.71,0,-8072.19,0,-0.509999999999309
Apr 2022,16.94,0,0,0,0,0.07,50.17,13.43,0.0,0,0.07,0,16.94,0,36.67,0.07,53.68,0,-8073.57,0,-1.38000000000011
May 2022,500.5,0,0,0,0,0.07,25.4,6.72,0.13,0,0.07,0,500.38,0,18.61,0.09,519.08,0,-8110.31,0,-36.7400000000007
Jun 2022,275.57,0,0,0,0,0.07,52.1,13.95,0.07,0,0.07,0,275.5,0,38.08,0.1,313.69,0,-8128.88,0,-18.5699999999997
Jul 2022,293.88,0,0,0,0,0.07,54.39,14.57,0.07,0,0.07,0,293.81,0,39.75,0.11,333.66,0,-8167.0,0,-38.1199999999999
Aug 2022,252.91,0,0,0,0,0.07,50.58,13.54,0.06,0,0.07,0,252.85,0,36.97,0.09,289.91,0,-8206.78,0,-39.7800000000007
Sep 2022,197.92,0,0,0,0,0.07,43.0,11.49,0.05,0,0.07,0,197.87,0,31.44,0.07,229.38,0,-8243.78,0,-37.0
Oct 2022,386.37,0,0,0,0,0.07,13.44,3.48,0.1,0,0.07,0,386.27,0,9.89,0.05,396.21,0,-8275.25,0,-31.4699999999993
Nov 2022,2.57,0,0,0,0,0.07,0.62,0.01,0.0,0,0.07,0,2.57,0,0.54,0.0,3.11,0,-8285.08,0,-9.829999999999929
Dec 2022,38.29,0,0,0,0,0.07,0.62,0.01,0.01,0,0.07,0,38.28,0,0.54,0.0,38.82,0,-8285.62,0,-0.540000000000873
Jan 2023,16.69,0,0,0,0,0.07,0.62,0.01,0.0,0,0.07,0,16.69,0,0.54,0.0,17.23,0,-8286.15,0,-0.529999999998836
Feb 2023,30.88,0,0,0,0,0.07,0.62,0.01,0.01,0,0.07,0,30.87,0,0.54,0.0,31.41,0,-8286.69,0,-0.540000000000873
