date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,379.38,15.22,29.88,145.59,5.57,109.1,0.19,0.03,16.29,0,2.88,0,347.87,0.16,4.55,0.0,352.58,1396.75,9807.12,0.0,0.0
Feb 2016,257.06,10.31,30.44,61.1,5.57,29.01,0.19,0.03,11.04,0,2.93,0,235.71,0.16,4.55,0.0,240.43,1288.82,9826.14,-107.93,19.0199999999986
Mar 2016,95.17,3.82,36.51,34.86,5.57,3.82,0.19,0.03,4.09,0,3.52,0,87.27,0.2,4.55,0.0,92.01,1260.98,9839.95,-27.8399999999999,13.810000000001303
Apr 2016,114.58,4.6,54.02,14.99,39.3,1.17,0.19,0.03,4.92,0,5.2,0,105.06,0.29,4.55,0.15,110.06,1258.34,9847.4,-2.6400000000001,7.44999999999891
May 2016,224.14,8.99,154.91,65.9,91.37,9.12,0.19,0.03,9.62,0,14.92,0,205.53,0.83,15.05,11.75,233.17,1292.07,9857.22,33.73,9.81999999999971
Jun 2016,74.12,2.97,166.99,66.71,103.74,17.47,0.19,0.03,3.18,0,16.08,0,67.97,0.9,26.1,14.61,109.57,1359.42,9869.85,67.35000000000011,12.630000000000999
Jul 2016,386.99,15.52,52.43,33.8,51.69,22.88,0.19,0.03,16.62,0,5.05,0,354.85,0.28,30.81,15.97,401.92,1419.75,9874.35,60.32999999999989,4.5
Aug 2016,94.94,3.81,41.46,30.71,51.51,41.16,0.19,0.03,4.08,0,3.99,0,87.05,0.22,30.7,13.83,131.81,1417.91,9879.89,-1.83999999999992,5.53999999999905
Sep 2016,175.53,7.04,32.33,38.84,34.31,37.07,0.19,0.03,7.54,0,3.11,0,160.95,0.17,20.91,10.79,192.84,1397.7,9873.97,-20.21,-5.92000000000007
Oct 2016,551.56,22.12,28.6,55.08,5.58,12.85,0.19,0.03,23.68,0,2.75,0,505.76,0.15,4.56,2.55,513.02,1374.18,9873.67,-23.52,-0.29999999999927196
Nov 2016,87.65,3.52,32.76,37.65,5.58,10.29,0.19,0.03,3.76,0,3.15,0,80.37,0.18,4.56,0.0,85.11,1362.51,9897.4,-11.6700000000001,23.7299999999996
Dec 2016,260.41,10.44,29.88,92.94,5.58,61.24,0.19,0.03,11.18,0,2.88,0,238.78,0.16,4.56,0.0,243.5,1353.41,9904.17,-9.09999999999991,6.77000000000044
Jan 2017,366.73,14.71,29.75,41.55,5.58,5.7,0.19,0.03,15.75,0,2.86,0,336.27,0.16,4.56,0.0,340.99,1293.35,9918.07,-60.0600000000002,13.899999999999599
Feb 2017,128.36,5.15,30.49,55.98,5.59,29.02,0.19,0.03,5.51,0,2.94,0,117.7,0.16,4.56,0.0,122.42,1288.82,9936.53,-4.529999999999969,18.4600000000009
Mar 2017,208.85,8.38,33.31,36.54,5.59,3.83,0.19,0.03,8.97,0,3.21,0,191.5,0.18,4.56,0.0,196.24,1260.98,9944.82,-27.8399999999999,8.28999999999905
Apr 2017,110.41,4.43,75.64,34.24,39.33,1.19,0.19,0.03,4.74,0,7.28,0,101.24,0.41,4.57,0.53,106.75,1258.34,9956.84,-2.6400000000001,12.020000000000401
May 2017,67.28,2.7,229.47,122.73,98.16,12.04,0.19,0.03,2.89,0,22.1,0,61.69,1.23,18.92,12.91,94.76,1292.07,9968.18,33.73,11.3400000000001
Jun 2017,6.08,0.24,153.44,47.55,111.23,20.7,0.19,0.03,0.26,0,14.78,0,5.57,0.82,30.36,16.23,52.99,1359.42,9980.09,67.35000000000011,11.9099999999999
Jul 2017,187.79,7.53,55.18,29.43,60.61,32.93,0.19,0.03,8.06,0,5.31,0,172.2,0.3,35.89,16.67,225.06,1419.75,9978.74,60.32999999999989,-1.35000000000036
Aug 2017,333.77,13.39,39.02,33.43,48.79,33.78,0.19,0.03,14.33,0,3.76,0,306.05,0.21,29.16,14.46,349.88,1411.7,9975.29,-8.04999999999995,-3.4499999999989104
Sep 2017,389.77,15.63,32.83,50.0,30.59,35.47,0.19,0.03,16.74,0,3.16,0,357.41,0.18,18.8,11.01,387.39,1397.7,9978.76,-14.0,3.4699999999993505
Oct 2017,351.18,14.08,28.72,47.09,5.7,12.9,0.19,0.03,15.08,0,2.77,0,322.01,0.15,4.63,1.99,328.78,1374.18,9987.5,-23.52,8.73999999999978
Nov 2017,123.62,4.96,33.38,39.64,5.6,10.29,0.19,0.03,5.31,0,3.21,0,113.35,0.18,4.57,0.0,118.1,1362.51,10003.2,-11.6700000000001,15.7000000000007
Dec 2017,328.04,13.16,29.75,95.53,5.6,61.25,0.19,0.03,14.08,0,2.86,0,300.79,0.16,4.57,0.0,305.52,1353.41,10011.56,-9.09999999999991,8.35999999999876
Jan 2018,131.17,5.26,30.0,32.32,5.6,5.71,0.19,0.03,5.63,0,2.89,0,120.28,0.16,4.57,0.0,125.01,1293.35,10028.36,-60.0600000000002,16.8000000000011
Feb 2018,86.35,3.46,30.87,54.62,5.6,29.03,0.19,0.03,3.71,0,2.97,0,79.18,0.17,4.57,0.0,83.92,1288.82,10036.72,-4.529999999999969,8.35999999999876
Mar 2018,150.33,6.03,35.02,35.72,5.6,3.83,0.19,0.03,6.45,0,3.37,0,137.85,0.19,4.57,0.0,142.6,1260.98,10043.24,-27.8399999999999,6.52000000000044
Apr 2018,138.04,5.54,60.03,21.32,39.33,1.19,0.19,0.03,5.93,0,5.78,0,126.58,0.32,4.57,0.22,131.69,1258.34,10052.91,-2.6400000000001,9.670000000000071
