date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,379.38,15.22,29.88,145.26,6.21,109.41,0.26,0.03,16.29,0,2.88,0,347.87,0.16,4.95,0.0,352.98,1396.75,9799.02,0.0,0.0
Feb 2016,257.06,10.31,30.44,60.77,6.21,29.33,0.26,0.03,11.04,0,2.93,0,235.71,0.16,4.95,0.0,240.83,1288.82,9817.97,-107.93,18.949999999998898
Mar 2016,95.17,3.82,36.51,34.53,6.21,4.13,0.26,0.03,4.09,0,3.52,0,87.27,0.2,4.95,0.0,92.41,1260.98,9831.71,-27.8399999999999,13.7399999999998
Apr 2016,114.58,4.6,54.02,14.66,39.94,1.49,0.26,0.03,4.92,0,5.2,0,105.06,0.29,4.95,0.15,110.45,1258.34,9839.09,-2.6400000000001,7.3800000000010195
May 2016,224.14,8.99,154.91,62.95,96.62,11.42,0.26,0.03,9.62,0,14.92,0,205.53,0.83,18.07,11.75,236.19,1292.07,9848.84,33.73,9.75
Jun 2016,74.12,2.97,166.99,61.0,113.85,21.86,0.26,0.03,3.18,0,16.08,0,67.97,0.9,31.88,14.61,115.35,1359.42,9861.4,67.35000000000011,12.5599999999995
Jul 2016,386.99,15.52,52.43,39.08,63.87,40.33,0.26,0.03,16.62,0,5.05,0,354.85,0.28,37.77,15.97,408.88,1419.75,9865.83,60.32999999999989,4.43000000000029
Aug 2016,94.94,3.81,41.46,28.16,63.63,50.74,0.26,0.03,4.08,0,3.99,0,87.05,0.22,37.64,13.83,138.75,1405.74,9871.3,-14.01,5.469999999999349
Sep 2016,175.53,7.04,32.33,22.88,42.13,28.93,0.26,0.03,7.54,0,3.11,0,160.95,0.17,25.4,10.79,197.32,1381.21,9865.32,-24.53,-5.97999999999956
Oct 2016,551.56,22.12,28.6,49.81,6.22,8.22,0.26,0.03,23.68,0,2.75,0,505.76,0.15,4.95,2.55,513.42,1369.24,9864.95,-11.97,-0.369999999998981
