date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,14.12,0.57,32.63,133.42,5.55,109.09,0.19,0.03,0.61,0,3.14,0,12.94,0.18,4.54,0.0,17.66,1396.75,9805.46,0.0,0.0
Feb 2016,194.6,7.8,34.22,62.0,5.55,29.01,0.19,0.03,8.36,0,3.3,0,178.44,0.18,4.54,0.0,183.16,1288.82,9809.06,-107.93,3.60000000000036
Mar 2016,137.77,5.53,44.26,43.54,5.55,3.81,0.19,0.03,5.92,0,4.26,0,126.33,0.24,4.54,0.0,131.1,1260.98,9820.56,-27.8399999999999,11.5
Apr 2016,165.99,6.66,79.87,40.17,39.49,1.25,0.19,0.03,7.13,0,7.69,0,152.2,0.43,4.66,1.5,158.78,1258.34,9830.59,-2.6400000000001,10.0300000000007
May 2016,36.44,1.46,118.59,21.47,98.87,12.35,0.19,0.03,1.56,0,11.42,0,33.41,0.64,19.32,13.02,66.39,1292.07,9843.76,33.73,13.1700000000001
Jun 2016,77.13,3.09,48.39,21.87,50.36,25.67,0.19,0.03,3.31,0,4.66,0,70.73,0.26,30.04,16.45,117.47,1359.42,9843.57,67.35000000000011,-0.19000000000050898
Jul 2016,305.25,12.24,35.82,32.97,54.21,42.75,0.19,0.03,13.11,0,3.45,0,279.9,0.19,32.24,16.04,328.38,1354.23,9834.94,-5.19000000000005,-8.6299999999992
Aug 2016,320.04,12.84,33.5,29.44,44.21,30.72,0.19,0.03,13.74,0,3.23,0,293.46,0.18,26.55,13.48,333.67,1333.6,9835.3,-20.630000000000102,0.3599999999987629
Sep 2016,654.98,26.27,28.41,33.9,26.31,8.42,0.19,0.03,28.12,0,2.74,0,600.59,0.15,14.12,10.44,625.3,1320.69,9838.63,-12.9099999999999,3.3299999999999303
Oct 2016,316.0,12.67,29.08,13.43,26.97,1.6,0.19,0.03,13.57,0,2.8,0,289.76,0.16,5.12,3.01,298.04,1324.61,9858.9,3.9199999999998503,20.270000000000397
Nov 2016,60.14,2.41,30.25,16.79,13.96,1.17,0.19,0.03,2.58,0,2.91,0,55.14,0.16,4.55,0.0,59.85,1345.01,9872.11,20.4000000000001,13.210000000000901
Dec 2016,211.28,8.47,29.21,90.38,5.56,61.23,0.19,0.03,9.07,0,2.81,0,193.73,0.16,4.55,0.0,198.44,1353.41,9877.45,8.40000000000009,5.34000000000015
Jan 2017,200.76,8.05,28.95,34.19,5.57,5.69,0.19,0.03,8.62,0,2.79,0,184.08,0.16,4.55,0.0,188.79,1293.35,9889.19,-60.0600000000002,11.7399999999998
Feb 2017,69.52,2.79,30.74,53.85,5.57,29.01,0.19,0.03,2.98,0,2.96,0,63.75,0.17,4.55,0.0,68.46,1288.82,9900.44,-4.529999999999969,11.25
Mar 2017,130.43,5.23,33.75,33.8,5.57,3.82,0.19,0.03,5.6,0,3.25,0,119.6,0.18,4.55,0.0,124.33,1260.98,9906.23,-27.8399999999999,5.78999999999905
Apr 2017,49.79,2.0,71.54,27.6,40.25,1.58,0.19,0.03,2.14,0,6.89,0,45.66,0.38,5.09,2.22,53.35,1258.34,9914.93,-2.6400000000001,8.700000000000731
May 2017,15.42,0.62,133.54,31.91,102.64,13.97,0.19,0.03,0.66,0,12.86,0,14.14,0.72,21.47,14.17,50.5,1292.07,9921.59,33.73,6.65999999999985
Jun 2017,43.79,1.76,75.52,20.62,67.03,18.05,0.19,0.03,1.88,0,7.27,0,40.15,0.41,26.54,16.0,83.11,1359.42,9920.78,67.35000000000011,-0.809999999999491
Jul 2017,372.51,14.94,38.4,34.56,52.13,37.25,0.19,0.03,15.99,0,3.7,0,341.58,0.21,31.06,15.98,388.83,1382.02,9913.77,22.5999999999999,-7.010000000000219
Aug 2017,528.14,21.18,34.6,35.55,39.22,22.52,0.19,0.03,22.68,0,3.33,0,484.28,0.19,23.71,13.49,521.67,1365.99,9917.33,-16.03,3.5599999999994902
Sep 2017,38.48,1.54,27.36,16.11,38.31,28.29,0.19,0.03,1.65,0,2.63,0,35.29,0.15,23.19,11.06,69.68,1359.14,9929.69,-6.849999999999911,12.360000000000598
