date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,14.12,0.57,32.63,133.08,6.21,109.41,0.26,0.03,0.61,0,3.14,0,12.94,0.18,4.95,0.0,18.07,1396.75,9797.37,0.0,0.0
Feb 2016,194.6,7.8,34.22,61.66,6.21,29.33,0.26,0.03,8.36,0,3.3,0,178.44,0.18,4.95,0.0,183.57,1288.82,9800.89,-107.93,3.5199999999986202
Mar 2016,137.77,5.53,44.26,43.21,6.21,4.13,0.26,0.03,5.92,0,4.26,0,126.33,0.24,4.95,0.0,131.51,1260.98,9812.32,-27.8399999999999,11.4300000000003
Apr 2016,165.99,6.66,79.87,39.81,40.2,1.6,0.26,0.03,7.13,0,7.69,0,152.2,0.43,5.09,1.5,159.22,1258.34,9822.27,-2.6400000000001,9.950000000000731
May 2016,36.44,1.46,118.59,18.92,103.56,14.48,0.26,0.03,1.56,0,11.42,0,33.41,0.64,21.95,13.02,69.02,1292.07,9835.37,33.73,13.100000000000401
Jun 2016,77.13,3.09,48.39,27.09,62.41,42.94,0.26,0.03,3.31,0,4.66,0,70.73,0.26,36.93,16.45,124.36,1359.42,9835.11,67.35000000000011,-0.260000000000218
Jul 2016,305.25,12.24,35.82,38.52,67.03,61.13,0.26,0.03,13.11,0,3.45,0,279.9,0.19,39.57,16.04,335.71,1342.18,9826.41,-17.24,-8.700000000000731
Aug 2016,320.04,12.84,33.5,33.92,54.53,45.53,0.26,0.03,13.74,0,3.23,0,293.46,0.18,32.46,13.48,339.58,1308.73,9826.7,-33.45,0.290000000000873
Sep 2016,654.98,26.27,28.41,36.03,27.25,11.49,0.26,0.03,28.12,0,2.74,0,600.59,0.15,16.93,10.44,628.11,1285.5,9829.96,-23.23,3.2599999999983997
Oct 2016,316.0,12.67,29.08,13.86,26.97,2.04,0.26,0.03,13.57,0,2.8,0,289.76,0.16,5.67,3.01,298.6,1284.55,9850.16,-0.950000000000045,20.2000000000007
Nov 2016,60.14,2.41,30.25,2.96,28.11,1.49,0.26,0.03,2.58,0,2.91,0,55.14,0.16,4.96,0.0,60.26,1304.04,9863.3,19.49,13.139999999999402
Dec 2016,211.28,8.47,29.21,62.56,6.22,34.08,0.26,0.03,9.07,0,2.81,0,193.73,0.16,4.96,0.0,198.85,1325.93,9868.57,21.8900000000001,5.27000000000044
Jan 2017,200.76,8.05,28.95,33.85,6.23,6.02,0.26,0.03,8.62,0,2.79,0,184.08,0.16,4.96,0.0,189.2,1293.35,9880.23,-32.5800000000002,11.6599999999999
Feb 2017,69.52,2.79,30.74,53.51,6.23,29.33,0.26,0.03,2.98,0,2.96,0,63.75,0.17,4.96,0.0,68.87,1288.82,9891.41,-4.529999999999969,11.1800000000003
Mar 2017,130.43,5.23,33.75,33.46,6.23,4.14,0.26,0.03,5.6,0,3.25,0,119.6,0.18,4.96,0.0,124.74,1260.98,9897.13,-27.8399999999999,5.719999999999349
Apr 2017,49.79,2.0,71.54,27.12,41.15,2.01,0.26,0.03,2.14,0,6.89,0,45.66,0.38,5.64,2.22,53.9,1258.34,9905.76,-2.6400000000001,8.630000000001019
May 2017,15.42,0.62,133.54,27.34,110.74,17.5,0.26,0.03,0.66,0,12.86,0,14.14,0.72,26.11,14.17,55.14,1292.07,9912.34,33.73,6.57999999999993
Jun 2017,43.79,1.76,75.52,25.68,67.03,23.11,0.26,0.03,1.88,0,7.27,0,40.15,0.41,33.29,16.0,89.85,1359.42,9911.46,67.35000000000011,-0.8800000000010191
Jul 2017,372.51,14.94,38.4,39.89,64.43,54.89,0.26,0.03,15.99,0,3.7,0,341.58,0.21,38.1,15.98,395.86,1370.27,9904.39,10.8499999999999,-7.069999999999711
Aug 2017,528.14,21.18,34.6,39.5,48.3,35.54,0.26,0.03,22.68,0,3.33,0,484.28,0.19,28.91,13.49,526.87,1341.95,9907.87,-28.3199999999999,3.4800000000013798
Sep 2017,38.48,1.54,27.36,19.96,47.15,40.99,0.26,0.03,1.65,0,2.63,0,35.29,0.15,28.26,11.06,74.75,1326.02,9920.16,-15.930000000000101,12.289999999999099
Oct 2017,434.98,17.45,35.39,17.6,33.15,1.51,0.26,0.03,18.68,0,3.41,0,398.86,0.19,4.98,2.37,406.4,1304.15,9913.16,-21.8699999999999,-7.0
Nov 2017,86.26,3.46,37.73,10.25,28.6,1.5,0.26,0.03,3.7,0,3.63,0,79.1,0.2,4.97,0.0,84.27,1331.04,9932.66,26.8899999999999,19.5
Dec 2017,102.57,4.11,34.97,90.85,6.24,61.56,0.26,0.03,4.4,0,3.37,0,94.06,0.19,4.97,0.0,99.21,1353.41,9939.77,22.3700000000001,7.11000000000058
Jan 2018,389.85,15.64,33.67,45.67,6.24,6.02,0.26,0.03,16.74,0,3.24,0,357.47,0.18,4.97,0.0,362.62,1293.35,9947.31,-60.0600000000002,7.53999999999905
Feb 2018,489.49,19.63,36.13,75.19,6.24,29.34,0.26,0.03,21.02,0,3.48,0,448.84,0.19,4.97,0.0,454.0,1288.82,9967.07,-4.529999999999969,19.7600000000002
Mar 2018,409.78,16.44,49.42,58.73,6.24,4.15,0.26,0.03,17.59,0,4.76,0,375.75,0.27,4.97,0.0,380.98,1260.98,9991.34,-27.8399999999999,24.2700000000004
Apr 2018,324.98,13.03,88.63,54.18,39.97,1.5,0.26,0.03,13.95,0,8.53,0,297.99,0.48,4.97,1.17,304.6,1258.34,10013.46,-2.6400000000001,22.119999999999
May 2018,220.67,8.85,109.96,18.56,103.57,14.51,0.26,0.03,9.47,0,10.59,0,202.34,0.59,21.97,14.21,239.11,1292.07,10034.56,33.73,21.1000000000004
Jun 2018,65.39,2.62,88.87,26.52,79.31,23.37,0.26,0.03,2.81,0,8.56,0,59.96,0.48,33.6,16.35,110.39,1359.4,10040.18,67.3300000000002,5.6200000000007995
Jul 2018,304.39,12.21,37.97,40.03,71.02,64.73,0.26,0.03,13.07,0,3.66,0,279.11,0.2,41.85,16.66,337.83,1381.97,10034.96,22.5699999999999,-5.22000000000116
Aug 2018,351.85,14.11,35.22,34.94,54.25,43.45,0.26,0.03,15.11,0,3.39,0,322.63,0.19,32.3,13.59,368.71,1346.64,10034.8,-35.3299999999999,-0.159999999999854
Sep 2018,28.61,1.15,35.02,20.38,48.14,35.91,0.26,0.03,1.23,0,3.37,0,26.24,0.19,28.8,11.4,66.62,1325.37,10039.48,-21.2700000000002,4.68000000000029
Oct 2018,165.39,6.63,29.52,9.84,27.4,4.09,0.26,0.03,7.1,0,2.84,0,151.66,0.16,8.39,4.83,165.04,1309.03,10032.46,-16.3399999999999,-7.02000000000044
Nov 2018,475.0,19.05,30.56,19.59,28.43,1.51,0.26,0.03,20.4,0,2.94,0,435.55,0.16,4.97,0.0,440.69,1324.17,10037.35,15.1400000000001,4.8900000000012405
Dec 2018,44.67,1.79,29.21,76.28,6.26,54.5,0.26,0.03,1.92,0,2.81,0,40.96,0.16,4.98,0.0,46.1,1346.34,10060.46,22.1699999999998,23.109999999998802
Jan 2019,288.5,11.57,29.4,37.75,6.26,6.03,0.26,0.03,12.39,0,2.83,0,264.54,0.16,4.98,0.0,269.68,1293.35,10064.96,-52.99,4.5
Feb 2019,72.95,2.93,30.07,53.03,6.26,29.35,0.26,0.03,3.13,0,2.9,0,66.9,0.16,4.98,0.0,72.03,1288.82,10079.95,-4.529999999999969,14.990000000001599
Mar 2019,309.66,12.42,34.42,41.24,6.26,4.15,0.26,0.03,13.3,0,3.31,0,283.94,0.18,4.98,0.0,289.11,1260.98,10085.75,-27.8399999999999,5.799999999999269
Apr 2019,233.29,9.36,67.99,31.96,39.99,1.51,0.26,0.03,10.02,0,6.55,0,213.91,0.37,4.98,1.14,220.4,1258.34,10102.13,-2.6400000000001,16.3799999999992
May 2019,317.67,12.74,148.67,61.69,95.59,10.97,0.26,0.03,13.64,0,14.32,0,291.29,0.8,17.49,12.1,321.68,1292.07,10117.32,33.73,15.1900000000005
Jun 2019,98.53,3.95,116.15,25.74,103.97,21.42,0.26,0.03,4.23,0,11.18,0,90.35,0.62,30.92,16.06,137.95,1359.42,10132.95,67.35000000000011,15.630000000000999
Jul 2019,386.82,15.51,48.2,40.11,65.47,46.77,0.26,0.03,16.61,0,4.64,0,354.7,0.26,38.69,16.22,409.87,1411.28,10132.07,51.85999999999989,-0.8800000000010191
Aug 2019,320.86,12.87,46.6,34.08,57.29,36.64,0.26,0.03,13.78,0,4.49,0,294.21,0.25,34.03,13.92,342.42,1391.52,10136.87,-19.76,4.80000000000109
Sep 2019,235.88,9.46,75.27,56.14,42.06,21.12,0.26,0.03,10.13,0,7.25,0,216.29,0.4,25.36,11.07,253.13,1378.38,10140.99,-13.1399999999999,4.1199999999989805
Oct 2019,350.03,14.04,57.27,71.99,6.99,13.5,0.26,0.03,15.03,0,5.51,0,320.96,0.31,5.4,2.71,329.38,1374.18,10147.07,-4.20000000000005,6.07999999999993
Nov 2019,232.87,9.34,39.69,49.35,6.27,10.62,0.26,0.03,10.0,0,3.82,0,213.53,0.21,4.98,0.0,218.73,1362.51,10164.67,-11.6700000000001,17.6000000000004
Dec 2019,486.33,19.51,37.23,108.25,6.27,61.58,0.26,0.03,20.88,0,3.58,0,445.95,0.2,4.99,0.0,451.13,1353.41,10178.26,-9.09999999999991,13.5900000000001
Jan 2020,628.8,25.22,35.27,56.67,6.27,6.04,0.26,0.03,27.0,0,3.4,0,576.58,0.19,4.99,0.0,581.76,1293.35,10202.5,-60.0600000000002,24.2399999999998
Feb 2020,229.56,9.21,38.83,67.17,6.27,29.36,0.26,0.03,9.86,0,3.74,0,210.5,0.21,4.99,0.0,215.69,1288.82,10232.66,-4.529999999999969,30.1599999999999
Mar 2020,81.54,3.27,72.58,66.36,6.27,4.16,0.26,0.03,3.5,0,6.99,0,74.77,0.39,4.99,0.0,80.14,1260.98,10246.03,-27.8399999999999,13.3700000000008
Apr 2020,161.41,6.47,100.76,58.5,40.0,1.52,0.26,0.03,6.93,0,9.7,0,148.0,0.54,4.99,0.71,154.25,1258.34,10256.29,-2.6400000000001,10.260000000000199
May 2020,64.51,2.59,189.18,81.38,107.08,15.92,0.26,0.03,2.77,0,18.22,0,59.15,1.02,24.03,13.38,97.58,1292.07,10271.98,33.73,15.689999999998697
Jun 2020,126.77,5.08,276.22,158.59,118.49,23.86,0.26,0.03,5.44,0,26.6,0,116.24,1.48,34.53,15.79,168.04,1359.42,10279.36,67.35000000000011,7.3800000000010195
Jul 2020,557.6,22.36,80.54,52.59,66.4,24.26,0.26,0.03,23.94,0,7.76,0,511.3,0.43,35.06,16.1,562.89,1419.75,10295.38,60.32999999999989,16.0199999999986
Aug 2020,555.93,22.3,44.16,62.27,48.95,49.25,0.26,0.03,23.87,0,4.25,0,509.76,0.24,29.28,13.74,553.02,1427.05,10310.75,7.29999999999995,15.3700000000008
Sep 2020,415.83,16.68,28.53,46.28,32.25,36.22,0.26,0.03,17.85,0,2.75,0,381.3,0.15,19.78,10.16,411.39,1397.7,10324.91,-29.3499999999999,14.1599999999999
Oct 2020,457.44,18.35,28.11,50.51,6.27,13.19,0.26,0.03,19.64,0,2.71,0,419.45,0.15,4.99,2.41,427.0,1374.18,10335.12,-23.52,10.2100000000009
Nov 2020,412.44,16.54,29.45,47.35,6.27,10.62,0.26,0.03,17.71,0,2.84,0,378.19,0.16,4.99,0.0,383.34,1362.51,10354.83,-11.6700000000001,19.709999999999102
Dec 2020,466.39,18.71,28.47,99.59,6.27,61.58,0.26,0.03,20.03,0,2.74,0,427.66,0.15,4.99,0.0,432.79,1353.41,10375.15,-9.09999999999991,20.3199999999997
Jan 2021,210.72,8.45,28.16,33.51,6.27,6.04,0.26,0.03,9.05,0,2.71,0,193.22,0.15,4.99,0.0,198.36,1293.35,10397.68,-60.0600000000002,22.5300000000007
Feb 2021,89.4,3.59,29.4,53.08,6.27,29.36,0.26,0.03,3.84,0,2.83,0,81.98,0.16,4.99,0.0,87.12,1288.82,10409.21,-4.529999999999969,11.5299999999988
Mar 2021,163.17,6.54,31.29,32.54,6.27,4.16,0.26,0.03,7.01,0,3.01,0,149.62,0.17,4.99,0.0,154.77,1260.98,10415.65,-27.8399999999999,6.44000000000051
Apr 2021,208.42,8.36,72.1,34.64,40.0,1.52,0.26,0.03,8.95,0,6.94,0,191.11,0.39,4.99,0.94,197.42,1258.34,10425.44,-2.6400000000001,9.79000000000087
May 2021,31.05,1.25,160.63,55.83,104.54,14.83,0.26,0.03,1.33,0,15.47,0,28.47,0.86,22.59,12.63,64.55,1292.07,10440.17,33.73,14.729999999999599
Jun 2021,61.4,2.46,401.46,268.82,117.89,23.6,0.26,0.03,2.64,0,38.66,0,56.3,2.16,34.18,15.3,107.94,1359.42,10444.1,67.35000000000011,3.93000000000029
Jul 2021,172.65,6.92,186.24,123.89,80.81,30.47,0.26,0.03,7.41,0,17.93,0,158.31,1.0,43.27,16.36,218.94,1419.75,10469.86,60.32999999999989,25.7600000000002
Aug 2021,457.47,18.35,81.59,87.15,57.37,52.87,0.26,0.03,19.64,0,7.86,0,419.48,0.44,34.08,14.62,468.62,1427.05,10478.62,7.29999999999995,8.76000000000022
Sep 2021,24.17,0.97,65.65,54.15,49.4,43.61,0.26,0.03,1.04,0,6.32,0,22.16,0.35,29.54,11.44,63.5,1397.7,10491.27,-29.3499999999999,12.649999999999599
Oct 2021,148.95,5.97,52.18,57.24,10.71,15.1,0.26,0.03,6.4,0,5.02,0,136.58,0.28,7.51,4.0,148.37,1374.18,10486.96,-23.52,-4.31000000000131
Nov 2021,571.44,22.92,39.57,62.82,6.27,10.62,0.26,0.03,24.54,0,3.81,0,523.99,0.21,4.99,0.0,529.19,1362.51,10494.15,-11.6700000000001,7.19000000000051
Dec 2021,337.79,13.55,35.09,100.37,6.27,61.58,0.26,0.03,14.5,0,3.38,0,309.74,0.19,4.99,0.0,314.91,1353.41,10522.26,-9.09999999999991,28.1100000000006
Jan 2022,498.62,20.0,33.67,50.01,6.27,6.04,0.26,0.03,21.41,0,3.24,0,457.22,0.18,4.99,0.0,462.38,1293.35,10539.92,-60.0600000000002,17.659999999999897
Feb 2022,201.62,8.09,35.39,62.97,6.27,29.36,0.26,0.03,8.66,0,3.41,0,184.87,0.19,4.99,0.0,190.05,1288.82,10564.34,-4.529999999999969,24.4200000000001
Mar 2022,157.53,6.32,47.28,46.67,6.27,4.16,0.26,0.03,6.76,0,4.55,0,144.45,0.25,4.99,0.0,149.69,1260.98,10576.18,-27.8399999999999,11.8400000000001
Apr 2022,79.35,3.18,121.17,73.54,40.03,1.53,0.26,0.03,3.41,0,11.67,0,72.76,0.65,5.0,0.41,78.83,1258.34,10587.26,-2.6400000000001,11.0799999999999
May 2022,206.96,8.3,363.34,245.08,104.39,14.77,0.26,0.03,8.89,0,34.99,0,189.77,1.95,22.5,13.65,227.88,1292.07,10601.69,33.73,14.4300000000003
Jun 2022,167.02,6.7,334.73,213.52,117.18,23.3,0.26,0.03,7.17,0,32.23,0,153.15,1.8,33.78,15.77,204.49,1359.42,10631.69,67.35000000000011,30.0
Jul 2022,246.05,9.87,88.87,38.77,81.86,30.92,0.26,0.03,10.56,0,8.56,0,225.61,0.48,43.86,16.9,286.86,1419.75,10655.1,60.32999999999989,23.4099999999999
Aug 2022,223.53,8.97,69.58,62.13,65.89,56.54,0.26,0.03,9.6,0,6.7,0,204.97,0.37,38.93,14.78,259.05,1427.05,10657.09,7.29999999999995,1.9899999999997802
Sep 2022,299.81,12.02,85.86,89.09,39.35,39.28,0.26,0.03,12.87,0,8.27,0,274.92,0.46,23.82,10.89,310.09,1397.7,10658.37,-29.3499999999999,1.2800000000006497
Oct 2022,573.21,22.99,117.49,135.45,6.27,13.19,0.26,0.03,24.61,0,11.31,0,525.61,0.63,4.99,2.52,533.75,1374.18,10668.39,-23.52,10.0199999999986
Nov 2022,146.53,5.88,71.6,74.55,6.27,10.62,0.26,0.03,6.29,0,6.89,0,134.36,0.38,4.99,0.0,139.73,1362.51,10701.56,-11.6700000000001,33.1700000000001
Dec 2022,426.19,17.09,47.57,115.13,6.27,61.58,0.26,0.03,18.3,0,4.58,0,390.79,0.26,4.99,0.0,396.04,1353.41,10714.52,-9.09999999999991,12.960000000000901
Jan 2023,450.89,18.08,41.88,55.48,6.27,6.04,0.26,0.03,19.36,0,4.03,0,413.45,0.23,4.99,0.0,418.66,1293.35,10737.17,-60.0600000000002,22.6499999999996
Feb 2023,235.53,9.45,49.3,76.82,6.27,29.36,0.26,0.03,10.11,0,4.75,0,215.97,0.26,4.99,0.0,221.23,1288.82,10760.33,-4.529999999999969,23.1599999999999
Mar 2023,61.38,2.46,87.04,78.54,6.27,4.16,0.26,0.03,2.64,0,8.38,0,56.28,0.47,4.99,0.0,61.73,1260.98,10774.96,-27.8399999999999,14.6299999999992
Apr 2023,31.25,1.25,144.62,88.58,47.22,4.63,0.26,0.03,1.34,0,13.93,0,28.65,0.78,9.1,6.41,44.93,1258.34,10785.75,-2.6400000000001,10.790000000000902
May 2023,75.7,3.04,288.98,171.11,107.72,16.2,0.26,0.03,3.25,0,27.83,0,69.41,1.55,24.4,13.61,108.97,1292.07,10794.38,33.73,8.6299999999992
Jun 2023,86.28,3.46,153.09,45.18,120.56,24.75,0.26,0.03,3.7,0,14.74,0,79.12,0.82,35.71,15.95,131.59,1359.42,10811.61,67.35000000000011,17.2300000000014
Jul 2023,340.78,13.67,41.21,41.95,72.69,63.95,0.26,0.03,14.63,0,3.97,0,312.48,0.22,42.8,17.12,372.62,1419.75,10813.88,60.32999999999989,2.2699999999986202
Aug 2023,165.69,6.65,35.27,31.99,64.75,58.41,0.26,0.03,7.11,0,3.4,0,151.93,0.19,38.28,14.33,204.73,1385.92,10815.14,-33.8299999999999,1.2600000000002198
Sep 2023,48.31,1.94,28.36,21.85,50.82,45.25,0.26,0.03,2.07,0,2.73,0,44.29,0.15,30.35,11.68,86.47,1354.21,10811.09,-31.71,-4.04999999999927
Oct 2023,464.83,18.64,28.16,19.39,26.06,1.52,0.26,0.03,19.96,0,2.71,0,426.23,0.15,4.99,0.55,431.91,1329.65,10803.99,-24.5599999999999,-7.10000000000036
Nov 2023,424.66,17.03,30.0,35.26,10.24,1.52,0.26,0.03,18.23,0,2.89,0,389.39,0.16,4.99,0.0,394.54,1349.44,10825.88,19.79,21.8899999999994
Dec 2023,278.1,11.15,29.21,92.69,6.27,61.58,0.26,0.03,11.94,0,2.81,0,255.0,0.16,4.99,0.0,260.14,1353.41,10846.77,3.97000000000003,20.890000000001198
Jan 2024,323.61,12.98,29.83,39.54,6.27,6.04,0.26,0.03,13.89,0,2.87,0,296.73,0.16,4.99,0.0,301.88,1293.35,10861.3,-60.0600000000002,14.5299999999988
