date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,38.31,0.94,2.16,0.46,3.63,0.17,0.22,0,0.85,0,-0.92,0,36.52,0.11,1.88,0.0,38.51,200.76,593.21,0.0,0.0
Feb 2016,24.31,0.6,1.87,0.2,3.15,0.17,0.22,0,0.54,0,-0.8,0,23.18,0.09,2.17,0.0,25.44,202.55,592.92,1.79000000000002,-0.290000000000077
Mar 2016,182.49,4.48,9.58,2.54,15.32,0.17,0.22,0,4.05,0,-4.1,0,173.96,0.47,2.76,0.0,177.19,203.57,592.45,1.01999999999998,-0.46999999999991404
Apr 2016,16.28,0.4,12.38,11.49,6.53,0.55,0.22,0,0.36,0,-5.29,0,15.51,0.6,4.8,2.06,22.98,216.18,592.18,12.61,-0.270000000000096
May 2016,112.12,2.75,2.4,15.81,2.47,12.22,0.22,0,2.49,0,-1.03,0,106.88,0.12,5.9,7.43,120.32,217.57,584.98,1.38999999999999,-7.19999999999993
Jun 2016,39.99,0.98,1.8,19.7,1.66,17.9,0.22,0,0.89,0,-0.77,0,38.12,0.09,6.3,10.04,54.55,202.15,578.79,-15.42,-6.19000000000005
Jul 2016,754.98,18.53,15.51,25.66,15.43,1.17,0.22,0,16.76,0,-6.63,0,719.69,0.76,5.5,9.15,735.09,179.83,568.65,-22.32,-10.14
Aug 2016,746.67,18.33,23.47,23.89,27.79,0.99,0.22,0,16.58,0,-10.04,0,711.77,1.14,4.45,7.69,725.05,188.81,569.41,8.97999999999999,0.7599999999999909
Sep 2016,397.68,9.76,8.27,20.64,1.89,1.37,0.22,0,8.83,0,-3.54,0,379.09,0.4,4.61,6.48,390.58,211.38,568.04,22.57,-1.37
Oct 2016,148.53,3.65,4.16,11.94,0.8,3.36,0.22,0,3.3,0,-1.78,0,141.59,0.2,3.0,1.7,146.49,207.52,566.64,-3.8599999999999905,-1.39999999999998
Nov 2016,334.47,8.21,12.47,5.49,20.09,0.17,0.22,0,7.43,0,-5.33,0,318.83,0.61,1.84,0.0,321.28,202.18,566.24,-5.34,-0.39999999999997704
Dec 2016,62.08,1.52,2.61,0.91,4.39,0.17,0.22,0,1.38,0,-1.12,0,59.18,0.13,1.7,0.0,61.01,220.47,568.12,18.29,1.88
Jan 2017,217.9,5.35,7.71,3.58,12.57,0.17,0.22,0,4.84,0,-3.3,0,207.71,0.38,1.67,0.0,209.76,223.2,568.16,2.7299999999999907,0.0399999999999636
Feb 2017,213.05,5.23,7.03,3.55,11.55,0.17,0.22,0,4.73,0,-3.01,0,203.09,0.34,1.9,0.0,205.33,234.15,569.48,10.95,1.32000000000005
Mar 2017,432.34,10.61,13.83,7.29,22.57,0.17,0.22,0,9.6,0,-5.92,0,412.13,0.67,3.29,0.0,416.09,243.84,570.99,9.69,1.5099999999999898
Apr 2017,238.17,5.85,14.52,8.62,17.47,0.21,0.22,0,5.29,0,-6.21,0,227.04,0.71,4.66,0.29,232.69,263.17,574.45,19.33,3.46000000000004
May 2017,486.44,11.94,27.37,13.29,37.41,1.01,0.22,0,10.8,0,-11.71,0,463.7,1.33,6.34,7.05,478.43,275.99,573.02,12.82,-1.4300000000000601
Jun 2017,245.96,6.04,2.79,18.31,2.67,11.1,0.22,0,5.46,0,-1.19,0,234.47,0.14,8.28,9.04,251.92,306.26,564.84,30.27,-8.17999999999995
Jul 2017,809.14,19.86,16.34,24.94,18.54,1.09,0.22,0,17.96,0,-6.99,0,771.32,0.8,7.54,8.9,788.55,289.77,559.85,-16.49,-4.990000000000009
Aug 2017,677.8,16.64,21.11,23.74,23.1,1.09,0.22,0,15.05,0,-9.03,0,646.12,1.03,6.43,7.95,661.52,299.9,561.71,10.13,1.86000000000001
Sep 2017,389.33,9.56,6.33,17.33,2.06,1.1,0.22,0,8.64,0,-2.71,0,371.13,0.31,5.79,6.12,383.35,315.7,559.56,15.8,-2.15000000000009
Oct 2017,628.64,15.43,14.39,27.68,7.77,0.17,0.22,0,13.96,0,-6.16,0,599.25,0.7,3.21,0.17,603.33,311.09,559.15,-4.610000000000009,-0.40999999999996795
Nov 2017,135.63,3.33,7.47,11.55,2.26,0.17,0.22,0,3.01,0,-3.2,0,129.29,0.36,2.31,0.0,131.96,315.7,566.57,4.610000000000009,7.42000000000007
Dec 2017,147.57,3.62,2.59,5.4,1.97,0.17,0.22,0,3.28,0,-1.11,0,140.67,0.13,2.02,0.0,142.81,315.7,566.16,0.0,-0.410000000000082
Jan 2018,169.85,4.17,4.54,8.35,2.26,0.17,0.22,0,3.77,0,-1.94,0,161.91,0.22,2.3,0.0,164.43,315.7,568.11,0.0,1.9500000000000501
Feb 2018,139.18,3.42,5.2,8.49,2.26,0.17,0.22,0,3.09,0,-2.22,0,132.68,0.25,2.31,0.0,135.24,315.7,569.72,0.0,1.61000000000001
Mar 2018,239.41,5.88,8.21,13.89,3.48,0.17,0.22,0,5.31,0,-3.51,0,228.22,0.4,3.52,0.0,232.14,315.7,570.37,0.0,0.649999999999977
Apr 2018,199.56,4.9,11.78,16.01,5.33,0.21,0.22,0,4.43,0,-5.04,0,190.23,0.57,5.34,0.28,196.43,315.7,571.96,0.0,1.59000000000003
May 2018,294.84,7.24,14.26,19.8,8.36,1.25,0.22,0,6.55,0,-6.1,0,281.06,0.69,7.33,7.26,296.34,315.7,570.85,0.0,-1.11000000000001
Jun 2018,313.35,7.69,3.53,18.35,2.56,8.34,0.22,0,6.96,0,-1.51,0,298.7,0.17,8.47,9.12,316.47,315.7,563.81,0.0,-7.04000000000008
Jul 2018,579.44,14.22,10.32,24.69,5.12,1.35,0.22,0,12.86,0,-4.41,0,552.36,0.5,8.16,9.22,570.24,301.66,559.92,-14.04,-3.8899999999999904
Aug 2018,417.68,10.25,7.72,19.5,2.77,1.37,0.22,0,9.27,0,-3.3,0,398.16,0.38,6.63,8.0,413.16,297.48,558.93,-4.1800000000000095,-0.9900000000000091
Sep 2018,722.91,17.74,12.88,18.96,17.31,0.77,0.22,0,16.05,0,-5.51,0,689.12,0.63,5.34,6.21,701.3,292.47,556.68,-5.009999999999991,-2.25
Oct 2018,398.97,9.79,8.39,12.95,8.8,0.39,0.22,0,8.86,0,-3.59,0,380.32,0.41,3.93,1.85,386.5,303.89,560.79,11.42,4.110000000000009
Nov 2018,138.74,3.41,5.61,2.04,9.27,0.17,0.22,0,3.08,0,-2.4,0,132.26,0.27,2.41,0.0,134.94,308.59,563.99,4.69999999999999,3.20000000000005
Dec 2018,133.49,3.28,4.79,7.0,3.06,0.17,0.22,0,2.96,0,-2.05,0,127.25,0.23,2.91,0.0,130.39,315.5,564.45,6.9100000000000295,0.460000000000036
Jan 2019,113.15,2.78,4.29,6.7,2.16,0.17,0.22,0,2.51,0,-1.84,0,107.86,0.21,2.21,0.0,110.28,315.7,565.15,0.19999999999998896,0.699999999999932
Feb 2019,148.14,3.64,6.83,9.76,3.48,0.17,0.22,0,3.29,0,-2.92,0,141.22,0.33,3.52,0.0,145.07,315.7,565.61,0.0,0.460000000000036
Mar 2019,73.79,1.81,4.31,3.05,4.88,0.17,0.22,0,1.64,0,-1.84,0,70.34,0.21,4.93,0.0,75.48,315.7,565.75,0.0,0.139999999999986
Apr 2019,279.57,6.86,21.32,31.0,5.49,0.22,0.22,0,6.21,0,-9.12,0,266.51,1.04,5.48,0.45,273.47,315.7,565.33,0.0,-0.41999999999995896
May 2019,211.89,5.2,10.18,13.81,6.74,1.31,0.22,0,4.7,0,-4.35,0,201.99,0.5,7.15,7.0,216.63,315.7,561.75,0.0,-3.58000000000004
Jun 2019,136.21,3.34,2.27,18.51,3.04,15.08,0.22,0,3.02,0,-0.97,0,129.84,0.11,9.16,9.77,148.88,314.2,554.87,-1.5,-6.88
Jul 2019,560.14,13.75,11.52,24.13,6.91,1.4,0.22,0,12.43,0,-4.93,0,533.96,0.56,8.22,9.45,552.19,293.23,546.94,-20.97,-7.92999999999995
Aug 2019,1484.92,36.45,44.78,67.8,30.95,0.56,0.22,0,32.96,0,-19.15,0,1415.51,2.18,5.64,7.53,1430.86,290.73,544.78,-2.5,-2.16000000000008
Sep 2019,756.52,18.57,17.53,37.65,5.78,0.69,0.22,0,16.79,0,-7.5,0,721.15,0.85,5.31,5.89,733.21,315.7,550.84,24.97,6.06000000000006
Oct 2019,539.48,13.24,16.67,33.05,3.35,0.18,0.22,0,11.98,0,-7.13,0,514.26,0.81,3.39,0.38,518.84,315.7,554.03,0.0,3.18999999999994
Nov 2019,66.98,1.64,4.22,4.86,2.78,0.18,0.22,0,1.49,0,-1.8,0,63.85,0.21,2.82,0.0,66.88,315.7,558.28,0.0,4.25
Dec 2019,225.6,5.54,6.24,12.0,2.31,0.18,0.22,0,5.01,0,-2.67,0,215.06,0.3,2.35,0.0,217.71,315.7,557.75,0.0,-0.5299999999999729
Jan 2020,34.1,0.84,1.92,1.56,2.1,0.18,0.22,0,0.76,0,-0.82,0,32.51,0.09,2.14,0.0,34.74,315.7,559.87,0.0,2.12
Feb 2020,178.52,4.38,7.94,12.83,2.69,0.18,0.22,0,3.96,0,-3.4,0,170.17,0.39,2.73,0.0,173.29,315.7,559.58,0.0,-0.28999999999996395
Mar 2020,135.01,3.31,5.9,7.87,3.75,0.18,0.22,0,3.0,0,-2.52,0,128.7,0.29,3.79,0.0,132.78,315.7,559.93,0.0,0.34999999999990905
Apr 2020,89.47,2.2,6.77,6.63,5.1,0.19,0.22,0,1.99,0,-2.9,0,85.29,0.33,5.13,0.11,90.85,315.7,560.18,0.0,0.25
May 2020,485.12,11.91,29.69,46.25,7.58,0.99,0.22,0,10.77,0,-12.7,0,462.44,1.44,6.81,6.88,477.57,315.7,558.95,0.0,-1.2299999999998998
Jun 2020,554.41,13.61,14.37,25.41,9.27,1.26,0.22,0,12.31,0,-6.14,0,528.49,0.7,8.23,9.05,546.47,315.7,549.92,0.0,-9.03000000000009
Jul 2020,521.14,12.79,8.14,21.92,3.49,1.39,0.22,0,11.57,0,-3.48,0,496.78,0.4,8.32,9.05,514.54,315.7,546.81,0.0,-3.1100000000000096
Aug 2020,646.45,15.87,8.45,22.27,6.35,1.11,0.22,0,14.35,0,-3.61,0,616.24,0.41,6.5,7.82,630.96,309.7,545.63,-6.0,-1.17999999999995
Sep 2020,563.93,13.84,12.0,18.2,13.07,0.88,0.22,0,12.52,0,-5.13,0,537.57,0.58,5.38,5.9,549.43,308.67,548.33,-1.0299999999999698,2.70000000000005
Oct 2020,3.08,0.08,0.36,10.18,0.21,9.82,0.22,0,0.07,0,-0.15,0,2.94,0.02,3.73,1.31,7.99,315.7,549.59,7.02999999999997,1.25999999999999
Nov 2020,23.19,0.57,1.61,0.19,2.78,0.18,0.22,0,0.51,0,-0.69,0,22.11,0.08,2.99,0.0,25.17,302.58,547.98,-13.12,-1.61000000000001
Dec 2020,15.35,0.38,1.15,0.13,1.96,0.13,0.22,0,0.34,0,-0.49,0,14.64,0.06,2.68,0.0,17.37,302.42,547.59,-0.15999999999996803,-0.38999999999998597
Jan 2021,30.77,0.76,1.49,0.37,2.62,0.18,0.22,0,0.68,0,-0.64,0,29.33,0.07,2.27,0.0,31.67,301.8,547.21,-0.620000000000005,-0.379999999999995
Feb 2021,42.89,1.05,1.66,0.6,2.91,0.18,0.22,0,0.95,0,-0.71,0,40.88,0.08,3.13,0.0,44.1,302.2,547.04,0.39999999999997704,-0.170000000000073
Mar 2021,14.41,0.35,1.55,5.6,0.3,3.41,0.22,0,0.32,0,-0.66,0,13.74,0.08,5.3,0.16,19.27,302.02,547.06,-0.18000000000000702,0.0199999999999818
Apr 2021,47.52,1.17,12.32,11.02,8.49,1.34,0.22,0,1.06,0,-5.27,0,45.3,0.6,6.63,6.23,58.76,293.82,546.33,-8.19999999999999,-0.7299999999999051
May 2021,177.86,4.37,2.26,17.36,2.61,12.48,0.22,0,3.95,0,-0.97,0,169.54,0.11,8.33,8.62,186.6,294.56,535.67,0.7400000000000091,-10.6600000000001
Jun 2021,228.11,5.6,4.59,20.1,2.95,11.12,0.22,0,5.06,0,-1.96,0,217.45,0.22,8.66,10.18,236.51,276.58,529.8,-17.98,-5.87
Jul 2021,440.23,10.81,7.32,24.1,2.61,5.81,0.22,0,9.77,0,-3.13,0,419.65,0.36,7.8,9.62,437.42,259.97,522.5,-16.61,-7.29999999999995
Aug 2021,184.85,4.54,2.77,19.35,2.82,13.81,0.22,0,4.1,0,-1.19,0,176.21,0.13,6.34,8.36,191.04,249.19,519.29,-10.78,-3.21000000000004
