date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,141.85,3.48,5.16,2.31,8.51,0.21,0.25,0,3.15,0,-2.21,0,135.22,0.25,2.0,0.0,137.47,200.76,591.64,0.0,0.0
Feb 2016,310.32,7.62,13.18,4.82,21.19,0.21,0.25,0,6.89,0,-5.64,0,295.81,0.64,2.16,0.0,298.61,207.31,592.34,6.55000000000001,0.700000000000045
Mar 2016,145.7,3.58,8.2,2.12,12.98,0.21,0.25,0,3.23,0,-3.51,0,138.89,0.4,3.45,0.0,142.74,226.37,593.34,19.06,1.0
Apr 2016,37.52,0.92,7.07,11.85,0.36,1.54,0.25,0,0.83,0,-3.02,0,35.76,0.34,4.28,0.23,40.62,235.93,592.82,9.56,-0.519999999999982
May 2016,992.17,24.35,36.65,20.27,55.19,0.57,0.25,0,22.03,0,-15.67,0,945.79,1.78,5.15,6.85,959.58,230.72,590.15,-5.21000000000001,-2.6700000000000697
Jun 2016,220.57,5.41,2.56,20.43,2.72,14.21,0.25,0,4.9,0,-1.09,0,210.26,0.12,7.68,8.82,226.89,280.44,589.4,49.72,-0.75
Jul 2016,864.62,21.22,24.79,26.4,30.11,1.09,0.25,0,19.19,0,-10.6,0,824.2,1.21,7.01,8.9,841.32,261.52,584.14,-18.92,-5.259999999999991
Aug 2016,376.65,9.24,6.5,17.55,2.29,1.63,0.25,0,8.36,0,-2.78,0,359.04,0.32,6.1,7.47,372.93,283.77,583.58,22.25,-0.559999999999945
Sep 2016,412.23,10.12,5.56,17.35,1.87,1.43,0.25,0,9.15,0,-2.38,0,392.96,0.27,5.45,6.25,404.94,278.57,581.44,-5.19999999999999,-2.13999999999999
Oct 2016,625.92,15.36,12.88,12.63,20.72,0.22,0.25,0,13.9,0,-5.51,0,596.66,0.63,3.22,0.69,601.2,273.81,581.71,-4.759999999999991,0.26999999999998203
Nov 2016,119.91,2.94,6.08,1.57,9.97,0.22,0.25,0,2.66,0,-2.6,0,114.3,0.3,2.49,0.0,117.09,291.34,589.15,17.53,7.43999999999994
