date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,8.83,0.22,0.71,0.11,1.2,0.11,0.28,0,0.2,0,-0.3,0,8.42,0.03,2.06,0.0,10.51,200.76,590.33,0.0,0.0
Feb 2016,208.32,5.11,7.98,3.35,13.02,0.26,0.28,0,4.62,0,-3.41,0,198.58,0.39,2.11,0.0,201.08,200.07,589.94,-0.689999999999998,-0.38999999999998597
Mar 2016,45.54,1.12,3.42,1.43,4.67,0.26,0.28,0,1.01,0,-1.46,0,43.41,0.17,3.37,0.0,46.94,211.0,590.88,10.93,0.939999999999941
Apr 2016,291.51,7.16,22.45,15.0,23.5,0.39,0.28,0,6.47,0,-9.6,0,277.89,1.09,4.33,0.91,284.22,212.33,590.15,1.33000000000001,-0.7300000000000179
May 2016,222.35,5.46,6.59,16.91,3.17,5.53,0.28,0,4.94,0,-2.82,0,211.96,0.32,6.81,7.88,226.97,231.39,585.83,19.06,-4.31999999999994
Jun 2016,425.47,10.44,8.78,22.88,3.27,3.6,0.28,0,9.45,0,-3.75,0,405.58,0.43,7.2,9.5,422.71,222.49,579.79,-8.89999999999998,-6.04000000000008
Jul 2016,935.92,22.97,20.79,28.38,24.62,1.36,0.28,0,20.78,0,-8.89,0,892.17,1.01,6.26,8.94,908.39,215.24,575.7,-7.25,-4.08999999999992
Aug 2016,952.33,23.38,28.31,25.35,38.14,1.08,0.28,0,21.14,0,-12.11,0,907.81,1.38,5.11,7.44,921.74,232.52,578.37,17.28,2.66999999999996
Sep 2016,802.97,19.71,17.97,22.05,23.36,0.92,0.28,0,17.83,0,-7.69,0,765.44,0.87,4.96,6.01,777.28,264.74,579.68,32.22,1.3099999999999499
Oct 2016,43.53,1.07,2.79,15.48,1.63,12.19,0.28,0,0.97,0,-1.19,0,41.49,0.14,4.33,2.46,48.43,282.5,583.54,17.76,3.8600000000000096
Nov 2016,83.4,2.05,3.86,1.72,5.91,0.26,0.28,0,1.85,0,-1.65,0,79.51,0.19,2.68,0.0,82.38,267.88,580.57,-14.62,-2.96999999999991
Dec 2016,32.67,0.8,2.29,0.27,3.94,0.26,0.28,0,0.73,0,-0.98,0,31.15,0.11,1.94,0.0,33.2,271.13,580.49,3.25,-0.0800000000000409
Jan 2017,147.03,3.61,6.11,2.17,10.12,0.26,0.28,0,3.26,0,-2.61,0,140.16,0.3,2.02,0.0,142.47,273.15,579.96,2.01999999999998,-0.5299999999999729
Feb 2017,69.49,1.71,2.63,1.02,4.57,0.26,0.28,0,1.54,0,-1.12,0,66.24,0.13,2.47,0.0,68.84,281.28,580.33,8.13,0.370000000000005
