date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,8.83,0.22,0.71,0.11,1.2,0.11,0.27,0,0.2,0,-0.3,0,8.42,0.03,2.05,0.0,10.51,200.76,590.33,0.0,0.0
Feb 2016,208.32,5.11,7.98,3.35,13.02,0.25,0.27,0,4.62,0,-3.41,0,198.58,0.39,2.11,0.0,201.08,200.07,589.95,-0.689999999999998,-0.379999999999995
Mar 2016,45.54,1.12,3.42,1.68,4.41,0.25,0.27,0,1.01,0,-1.46,0,43.41,0.17,3.36,0.0,46.94,211.0,590.88,10.93,0.92999999999995
Apr 2016,291.51,7.16,22.59,18.0,20.72,0.42,0.28,0,6.47,0,-9.66,0,277.89,1.1,4.34,0.91,284.24,212.07,590.16,1.06999999999999,-0.720000000000027
May 2016,222.35,5.46,5.44,20.37,3.87,11.28,0.28,0,4.94,0,-2.33,0,211.96,0.26,7.03,7.88,227.14,228.3,585.78,16.23,-4.38
Jun 2016,425.47,10.44,8.25,26.73,4.0,8.91,0.28,0,9.45,0,-3.53,0,405.58,0.4,7.29,9.5,422.78,214.14,580.23,-14.16,-5.54999999999995
Jul 2016,935.92,22.97,19.24,31.45,19.68,1.63,0.28,0,20.78,0,-8.23,0,892.17,0.94,6.18,8.94,908.23,202.21,576.37,-11.93,-3.8600000000000096
Aug 2016,952.33,23.38,27.46,27.86,34.67,1.28,0.28,0,21.14,0,-11.75,0,907.81,1.34,4.94,7.44,921.53,214.36,579.71,12.15,3.3400000000000296
Sep 2016,802.97,19.71,17.11,24.19,20.19,1.08,0.28,0,17.83,0,-7.32,0,765.44,0.83,4.8,6.01,777.08,243.07,581.39,28.71,1.67999999999995
Oct 2016,43.53,1.07,2.79,19.25,1.95,16.29,0.28,0,0.97,0,-1.19,0,41.49,0.14,4.22,2.46,48.32,257.66,585.62,14.59,4.23000000000002
Nov 2016,83.4,2.05,3.86,1.89,5.73,0.25,0.28,0,1.85,0,-1.65,0,79.51,0.19,2.48,0.0,82.17,239.37,582.65,-18.29,-2.97000000000003
Dec 2016,32.67,0.8,2.29,0.28,3.93,0.25,0.28,0,0.73,0,-0.98,0,31.15,0.11,1.8,0.0,33.06,242.65,582.58,3.28,-0.0699999999999363
Jan 2017,147.03,3.61,6.11,2.2,10.08,0.25,0.28,0,3.26,0,-2.61,0,140.16,0.3,1.88,0.0,142.33,244.79,582.05,2.13999999999999,-0.530000000000086
Feb 2017,69.49,1.71,2.62,1.03,4.54,0.25,0.28,0,1.54,0,-1.12,0,66.24,0.13,2.3,0.0,68.67,253.02,582.42,8.230000000000018,0.370000000000005
Mar 2017,72.82,1.79,3.88,3.02,4.37,0.25,0.28,0,1.62,0,-1.66,0,69.42,0.19,4.2,0.0,73.81,255.29,582.57,2.26999999999998,0.150000000000091
Apr 2017,41.12,1.01,12.64,19.79,0.85,2.19,0.28,0,0.91,0,-5.41,0,39.19,0.62,5.2,1.0,46.0,255.48,582.25,0.18999999999999803,-0.32000000000004997
May 2017,280.87,6.89,3.42,23.73,3.76,15.88,0.28,0,6.24,0,-1.46,0,267.75,0.17,7.57,8.08,283.56,249.21,576.48,-6.269999999999981,-5.769999999999981
