date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,116.05,2.85,5.34,1.7,8.73,0.21,0.25,0,2.58,0,-2.29,0,110.63,0.26,1.72,0.0,112.61,200.76,591.13,0.0,0.0
Feb 2016,134.82,3.31,5.26,2.12,8.66,0.21,0.25,0,2.99,0,-2.25,0,128.52,0.26,1.97,0.0,130.74,207.8,591.18,7.040000000000019,0.0499999999999545
Mar 2016,86.37,2.12,4.31,1.4,6.88,0.21,0.25,0,1.92,0,-1.84,0,82.33,0.21,3.25,0.0,85.79,214.53,591.67,6.729999999999991,0.49000000000000893
Apr 2016,171.66,4.21,14.26,11.24,13.03,0.39,0.25,0,3.81,0,-6.1,0,163.64,0.69,4.51,1.19,170.03,218.19,591.5,3.66,-0.16999999999995902
May 2016,51.49,1.26,1.65,15.06,1.89,13.4,0.25,0,1.14,0,-0.71,0,49.08,0.08,6.17,7.89,63.22,226.57,587.77,8.38,-3.7300000000000204
Jun 2016,276.88,6.8,6.16,20.93,2.81,8.44,0.25,0,6.15,0,-2.64,0,263.93,0.3,6.77,9.71,280.71,209.14,580.07,-17.43,-7.69999999999993
Jul 2016,343.94,8.44,5.57,23.83,2.9,10.61,0.25,0,7.64,0,-2.38,0,327.86,0.27,6.65,9.91,344.69,196.98,573.62,-12.16,-6.45000000000005
Aug 2016,651.79,16.0,11.94,24.6,9.07,1.2,0.25,0,14.47,0,-5.11,0,621.33,0.58,4.75,8.2,634.87,182.87,568.71,-14.11,-4.90999999999997
Sep 2016,693.91,17.03,14.7,19.2,18.92,0.82,0.25,0,15.4,0,-6.29,0,661.48,0.72,3.83,6.08,672.1,186.24,569.62,3.37,0.909999999999968
Oct 2016,490.03,12.03,9.05,15.76,9.07,0.33,0.25,0,10.88,0,-3.87,0,467.13,0.44,2.77,1.42,471.76,200.75,572.41,14.51,2.78999999999996
Nov 2016,229.96,5.64,9.32,3.62,15.09,0.22,0.25,0,5.11,0,-3.98,0,219.21,0.45,1.74,0.0,221.41,206.98,577.75,6.229999999999991,5.34000000000003
Dec 2016,166.13,4.08,6.78,2.57,11.08,0.22,0.25,0,3.69,0,-2.9,0,158.36,0.33,1.76,0.0,160.45,220.36,578.62,13.38,0.8700000000000051
Jan 2017,205.77,5.05,6.5,3.47,10.75,0.22,0.25,0,4.57,0,-2.78,0,196.16,0.32,1.61,0.0,198.08,229.71,579.16,9.34999999999999,0.5399999999999641
Feb 2017,123.31,3.03,4.34,1.97,7.26,0.22,0.25,0,2.74,0,-1.86,0,117.55,0.21,2.26,0.0,120.02,238.89,580.7,9.17999999999998,1.5400000000000802
Mar 2017,571.57,14.03,14.79,10.19,24.44,0.22,0.25,0,12.69,0,-6.32,0,544.85,0.72,3.65,0.0,549.23,243.92,581.33,5.03,0.629999999999995
Apr 2017,868.9,21.33,27.81,17.22,42.68,0.22,0.25,0,19.29,0,-11.9,0,828.28,1.35,4.78,0.4,834.82,264.74,587.45,20.82,6.12
May 2017,176.09,4.32,17.58,13.34,16.63,1.4,0.25,0,3.91,0,-7.52,0,167.86,0.86,7.1,7.1,182.92,302.68,594.18,37.94,6.7299999999999
Jun 2017,473.11,11.61,12.18,21.95,7.9,1.44,0.25,0,10.5,0,-5.21,0,451.0,0.59,8.6,9.46,469.65,311.06,583.23,8.38,-10.9499999999999
Jul 2017,403.5,9.9,8.16,24.01,2.68,5.53,0.25,0,8.96,0,-3.49,0,384.64,0.4,8.65,9.42,403.11,309.17,578.81,-1.88999999999999,-4.42000000000007
Aug 2017,808.46,19.84,16.31,21.5,21.83,1.0,0.25,0,17.95,0,-6.97,0,770.66,0.79,6.26,7.81,785.53,297.92,574.61,-11.25,-4.19999999999993
Sep 2017,259.64,6.37,4.49,16.57,2.12,6.13,0.25,0,5.76,0,-1.92,0,247.5,0.22,5.91,6.13,259.76,312.74,577.52,14.82,2.9099999999999704
Oct 2017,54.8,1.35,3.01,10.54,0.89,5.93,0.25,0,1.22,0,-1.29,0,52.24,0.15,3.98,1.54,57.91,303.08,574.98,-9.66000000000003,-2.53999999999996
Nov 2017,134.08,3.29,5.14,2.02,8.58,0.22,0.25,0,2.98,0,-2.2,0,127.81,0.25,2.44,0.0,130.5,294.31,573.12,-8.769999999999982,-1.86000000000001
Dec 2017,16.55,0.41,1.35,0.13,2.27,0.13,0.25,0,0.37,0,-0.58,0,15.78,0.07,2.01,0.0,17.85,300.48,573.64,6.1700000000000195,0.519999999999982
Jan 2018,43.15,1.06,1.61,0.61,2.89,0.22,0.25,0,0.96,0,-0.69,0,41.13,0.08,2.06,0.0,43.27,300.86,573.18,0.379999999999995,-0.460000000000036
Feb 2018,117.78,2.89,3.59,1.9,6.16,0.22,0.25,0,2.61,0,-1.54,0,112.27,0.17,2.93,0.0,115.38,301.72,573.2,0.860000000000014,0.0200000000000955
Mar 2018,131.57,3.23,7.68,1.6,12.43,0.22,0.25,0,2.92,0,-3.28,0,125.42,0.37,4.23,0.0,130.02,304.98,574.03,3.2599999999999905,0.829999999999927
Apr 2018,279.6,6.86,19.41,25.56,8.41,0.33,0.25,0,6.21,0,-8.3,0,266.53,0.94,5.85,1.0,274.32,313.22,573.42,8.240000000000009,-0.610000000000014
May 2018,188.95,4.64,2.2,17.28,2.53,12.14,0.25,0,4.19,0,-0.94,0,180.11,0.11,8.25,8.09,196.56,315.7,570.07,2.47999999999996,-3.34999999999991
Jun 2018,663.79,16.29,23.5,23.11,26.84,1.25,0.25,0,14.74,0,-10.05,0,632.76,1.14,8.24,9.48,651.61,298.1,564.98,-17.6,-5.09000000000003
Jul 2018,344.32,8.45,5.0,23.53,2.87,11.05,0.25,0,7.64,0,-2.14,0,328.22,0.24,9.13,9.76,347.35,315.7,559.94,17.6,-5.03999999999996
Aug 2018,851.56,20.9,23.14,29.48,24.34,1.02,0.25,0,18.9,0,-9.9,0,811.76,1.13,6.52,8.16,827.56,298.64,555.43,-17.06,-4.510000000000099
Sep 2018,547.88,13.45,11.38,23.48,6.68,1.01,0.25,0,12.16,0,-4.87,0,522.27,0.55,5.92,6.35,535.09,315.7,556.03,17.06,0.600000000000023
Oct 2018,19.64,0.48,0.66,10.21,0.73,9.54,0.25,0,0.44,0,-0.28,0,18.72,0.03,4.06,1.62,24.43,315.7,556.72,0.0,0.690000000000055
Nov 2018,39.04,0.96,2.23,0.42,3.83,0.22,0.25,0,0.87,0,-0.95,0,37.22,0.11,2.72,0.0,40.05,303.09,555.0,-12.61,-1.7200000000000302
Dec 2018,99.52,2.44,4.48,1.37,7.47,0.22,0.25,0,2.21,0,-1.92,0,94.87,0.22,2.46,0.0,97.55,304.23,554.66,1.14000000000004,-0.34000000000003194
Jan 2019,20.17,0.5,1.9,0.13,3.12,0.13,0.25,0,0.45,0,-0.81,0,19.23,0.09,2.33,0.0,21.65,309.27,554.7,5.03999999999996,0.0400000000000773
Feb 2019,7.93,0.19,1.29,0.03,1.98,0.03,0.25,0,0.18,0,-0.55,0,7.56,0.06,3.31,0.0,10.94,310.19,554.08,0.9200000000000159,-0.620000000000005
Mar 2019,64.21,1.58,3.88,1.49,5.65,0.22,0.25,0,1.43,0,-1.66,0,61.21,0.19,4.51,0.0,65.91,309.07,553.45,-1.12,-0.629999999999995
Apr 2019,184.06,4.52,13.5,13.23,10.28,0.38,0.25,0,4.09,0,-5.77,0,175.46,0.66,5.89,1.13,183.14,310.25,552.97,1.18000000000001,-0.48000000000001797
May 2019,86.96,2.13,1.72,15.98,2.76,14.23,0.25,0,1.93,0,-0.74,0,82.9,0.08,8.43,8.22,99.63,314.51,549.89,4.259999999999991,-3.08000000000004
Jun 2019,536.05,13.16,14.12,21.59,12.47,1.43,0.25,0,11.9,0,-6.04,0,510.99,0.69,8.64,9.92,530.25,294.85,542.62,-19.66,-7.269999999999981
Jul 2019,539.52,13.24,7.88,23.85,2.47,2.22,0.25,0,11.98,0,-3.37,0,514.3,0.38,8.48,9.59,532.75,297.5,538.3,2.64999999999998,-4.32000000000005
Aug 2019,581.82,14.28,10.25,24.08,5.64,1.29,0.25,0,12.92,0,-4.39,0,554.62,0.5,6.71,8.34,570.18,289.53,537.07,-7.97000000000003,-1.2299999999998998
