date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 1975,113.63,1.72,28.81,33.32,0.01,0.31,0.44,0.65,1.42,0,-2.58,0,110.49,0.09,0.28,0.0,110.86,4.4,0.0,0.0,0.0
Feb 1975,166.51,7.97,34.47,44.12,0.87,0.15,0.44,0.65,3.47,0,-2.57,0,155.06,0.17,0.3,0.0,155.54,3.6,-0.95,-0.8,-0.95
Mar 1975,143.68,0.0,58.4,58.93,0.91,0.15,0.44,0.65,0.54,0,-2.51,0,143.14,1.22,0.34,0.0,144.71,3.8,0.17,0.2,1.12
Apr 1975,165.36,10.63,124.33,126.42,10.66,0.15,0.44,0.66,4.34,0,-2.56,0,150.39,0.59,0.4,0.0,151.37,4.0,-1.58,0.2,-1.75
May 1975,159.68,23.16,219.3,243.81,3.47,3.05,0.45,0.73,10.06,0,-2.58,0,126.45,0.82,1.43,1.59,130.3,13.9,0.41,9.9,1.99
Jun 1975,177.25,0.0,239.62,203.24,39.1,9.21,0.5,0.68,8.76,0,-1.98,0,168.49,8.47,4.41,8.76,190.13,12.6,6.58,-1.3,6.17
Jul 1975,582.84,0.0,161.78,151.63,12.39,7.73,0.49,0.66,8.93,0,-2.03,0,573.9,7.52,3.99,8.93,594.35,37.9,4.78,25.3,-1.8
Aug 1975,223.92,0.0,58.66,39.79,12.47,8.15,0.5,0.66,8.18,0,-1.27,0,215.74,15.82,4.26,8.18,244.0,38.4,2.92,0.5,-1.86
Sep 1975,534.97,0.0,64.16,61.53,7.6,4.9,0.48,0.66,6.11,0,-2.41,0,528.87,2.36,2.71,5.88,539.82,38.3,1.82,-0.10000000000000099,-1.1
Oct 1975,0.03,0.0,49.14,21.17,9.69,0.17,0.45,0.66,0.02,0,-0.89,0,0.01,19.34,0.71,0.02,20.08,38.1,-0.19,-0.19999999999999601,-2.01
