date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,314.65,3.95,92.8,88.81,0.82,0.58,2.69,0.62,5.79,0,-0.84,0,304.91,8.54,2.31,0.0,315.76,46.74,-87.91,0.0,0.0
Feb 2016,297.93,3.74,105.24,89.11,11.71,0.58,2.69,0.62,5.48,0,-0.95,0,288.71,9.68,2.33,0.0,300.73,46.74,-85.04,0.0,2.8699999999999903
Mar 2016,107.1,1.34,76.04,72.68,0.03,1.64,2.7,0.62,1.97,0,-0.69,0,103.79,7.0,2.63,0.0,113.42,57.62,-82.59,10.88,2.45
Apr 2016,54.87,0.69,44.47,40.81,1.24,0.58,2.7,0.62,1.01,0,-0.4,0,53.17,4.09,2.83,0.0,60.09,55.46,-83.38,-2.16,-0.7899999999999922
May 2016,332.43,4.17,177.31,165.55,2.64,1.41,2.72,0.62,6.11,0,-1.61,0,322.14,16.32,3.33,2.91,344.69,55.38,-84.86,-0.0799999999999983,-1.48
Jun 2016,123.06,1.55,112.55,102.17,6.83,4.25,2.78,0.62,2.26,0,-1.02,0,119.25,10.36,4.74,8.18,142.52,55.38,-85.36,0.0,-0.5
Jul 2016,483.48,6.07,103.54,98.83,5.55,3.36,2.76,0.62,8.89,0,-0.94,0,468.52,9.53,4.34,8.6,490.99,55.38,-94.45,0.0,-9.09
Aug 2016,125.23,1.57,52.83,47.64,6.58,4.2,2.78,0.62,2.3,0,-0.48,0,121.35,4.86,4.54,7.37,138.13,55.38,-97.25,0.0,-2.8
Sep 2016,229.49,2.88,57.18,53.47,5.03,3.17,2.77,0.62,4.22,0,-0.52,0,222.38,5.26,4.0,5.86,237.51,55.38,-104.96,0.0,-7.70999999999999
Oct 2016,517.55,6.5,92.27,90.54,1.16,0.59,2.73,0.62,9.52,0,-0.84,0,501.53,8.49,2.68,0.57,513.28,55.38,-109.27,0.0,-4.31
Nov 2016,70.82,0.89,70.11,64.84,0.93,0.59,2.73,0.62,1.3,0,-0.63,0,68.63,6.45,2.45,0.0,77.53,55.38,-103.27,0.0,6.0
Dec 2016,143.74,1.81,66.74,62.77,0.82,0.59,2.74,0.62,2.64,0,-0.6,0,139.29,6.14,2.35,0.0,147.79,55.38,-104.72,0.0,-1.45
Jan 2017,203.51,2.56,74.68,70.79,0.83,0.59,2.74,0.62,3.74,0,-0.68,0,197.21,6.87,2.37,0.0,206.45,55.38,-104.8,0.0,-0.0799999999999983
Feb 2017,152.96,1.92,80.39,75.23,1.0,0.59,2.75,0.62,2.81,0,-0.73,0,148.23,7.4,2.54,0.0,158.16,55.38,-103.85,0.0,0.950000000000003
Mar 2017,230.41,2.89,102.3,96.26,1.03,0.59,2.75,0.62,4.24,0,-0.93,0,223.28,9.41,2.58,0.0,235.27,55.38,-103.9,0.0,-0.0500000000000114
Apr 2017,143.05,1.8,118.25,109.49,1.33,0.59,2.75,0.62,2.63,0,-1.07,0,138.63,10.88,2.88,0.0,152.38,55.38,-102.72,0.0,1.18000000000001
May 2017,123.05,1.55,216.99,198.34,5.9,3.7,2.81,0.62,2.26,0,-1.96,0,119.24,19.97,4.39,6.99,150.59,55.38,-103.29,0.0,-0.5700000000000071
Jun 2017,39.57,0.5,195.52,176.86,7.82,4.88,2.84,0.62,0.73,0,-1.77,0,38.35,17.99,5.16,9.1,70.6,55.38,-112.17,0.0,-8.88
Jul 2017,208.79,2.62,62.61,57.35,7.17,4.49,2.84,0.62,3.84,0,-0.57,0,202.33,5.76,4.9,9.08,222.08,55.38,-124.54,0.0,-12.37
Aug 2017,468.66,5.89,98.9,94.59,5.11,3.13,2.82,0.62,8.62,0,-0.9,0,454.15,9.1,4.18,7.74,475.18,55.38,-132.56,0.0,-8.02
Sep 2017,382.08,4.8,90.99,86.58,4.33,2.68,2.81,0.62,7.03,0,-0.82,0,370.25,8.37,3.85,5.96,388.44,55.38,-134.78,0.0,-2.22
Oct 2017,277.55,3.49,63.73,61.29,1.39,0.76,2.78,0.62,5.1,0,-0.58,0,268.96,5.86,2.8,0.6,278.22,55.38,-136.74,0.0,-1.9600000000000102
Nov 2017,127.62,1.6,62.59,58.63,0.97,0.59,2.79,0.62,2.35,0,-0.57,0,123.67,5.76,2.54,0.0,131.97,55.38,-134.97,0.0,1.7700000000000102
Dec 2017,136.03,1.71,70.34,65.97,0.84,0.6,2.79,0.62,2.5,0,-0.64,0,131.82,6.47,2.41,0.0,140.7,55.38,-135.36,0.0,-0.39000000000001506
Jan 2018,100.84,1.27,62.76,58.59,0.82,0.6,2.79,0.62,1.85,0,-0.57,0,97.72,5.78,2.4,0.0,105.89,55.38,-135.66,0.0,-0.29999999999998306
Feb 2018,93.48,1.17,65.09,60.47,0.98,0.6,2.8,0.62,1.72,0,-0.59,0,90.59,5.99,2.57,0.0,99.14,55.38,-136.55,0.0,-0.890000000000015
Mar 2018,105.72,1.33,78.37,72.72,1.08,0.6,2.8,0.62,1.94,0,-0.71,0,102.45,7.21,2.66,0.0,112.32,55.38,-137.6,0.0,-1.04999999999998
Apr 2018,87.67,1.1,107.64,99.06,1.35,0.6,2.81,0.62,1.61,0,-0.97,0,84.96,9.9,2.93,0.01,97.81,55.38,-138.55,0.0,-0.9500000000000172
May 2018,14.85,0.19,113.38,101.67,6.79,4.3,2.88,0.62,0.27,0,-1.03,0,14.39,10.43,4.75,7.53,37.11,55.38,-140.11,0.0,-1.56
Jun 2018,108.27,1.36,51.7,45.91,7.53,4.67,2.89,0.62,1.99,0,-0.47,0,104.92,4.76,5.13,9.22,124.03,55.38,-150.64,0.0,-10.53
Jul 2018,206.94,2.6,51.37,47.12,6.96,4.37,2.89,0.62,3.81,0,-0.47,0,200.54,4.73,4.85,8.71,218.82,55.38,-160.61,0.0,-9.970000000000029
Aug 2018,607.4,7.63,93.83,91.95,4.3,2.58,2.86,0.62,11.17,0,-0.85,0,588.6,8.63,3.96,7.44,608.64,55.38,-168.25,0.0,-7.639999999999991
Sep 2018,139.62,1.75,61.96,56.69,5.31,3.42,2.88,0.62,2.57,0,-0.56,0,135.3,5.7,4.15,5.59,150.74,55.38,-167.61,0.0,0.639999999999986
Oct 2018,155.3,1.95,50.94,47.81,2.08,1.23,2.85,0.62,2.86,0,-0.46,0,150.5,4.69,3.07,1.35,159.6,55.38,-173.45,0.0,-5.8399999999999705
Nov 2018,217.56,2.73,77.23,73.21,0.95,0.6,2.84,0.62,4.0,0,-0.7,0,210.83,7.11,2.56,0.0,220.5,55.38,-174.63,0.0,-1.18000000000001
Dec 2018,130.03,1.63,63.41,59.55,0.84,0.6,2.84,0.62,2.39,0,-0.57,0,126.01,5.84,2.46,0.0,134.3,55.38,-173.55,0.0,1.07999999999998
Jan 2019,92.71,1.16,51.51,48.13,0.88,0.61,2.85,0.62,1.7,0,-0.47,0,89.84,4.74,2.5,0.0,97.08,55.38,-173.95,0.0,-0.39999999999997704
Feb 2019,299.1,3.76,96.83,92.22,0.94,0.61,2.85,0.62,5.5,0,-0.88,0,289.85,8.91,2.57,0.0,301.33,55.38,-174.94,0.0,-0.9900000000000091
Mar 2019,14.09,0.18,43.23,39.27,1.16,0.61,2.86,0.62,0.26,0,-0.39,0,13.66,3.98,2.79,0.0,20.42,55.38,-172.55,0.0,2.3899999999999904
Apr 2019,151.62,1.9,94.69,88.04,1.3,0.61,2.86,0.62,2.79,0,-0.86,0,146.93,8.71,2.94,0.0,158.58,55.38,-174.92,0.0,-2.36999999999998
