date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,45.33,0.81,49.37,50.58,0.6,0.45,1.01,0.0,0.5,0,-0.74,0,44.01,0.19,0.93,0.0,45.13,3.2,-730.82,0.0,0.0
Feb 2016,26.61,0.49,49.1,50.07,0.51,0.45,1.01,0.0,0.3,0,-0.73,0,25.83,0.19,0.93,0.0,26.95,3.44,-732.06,0.24,-1.2399999999998998
Mar 2016,118.73,1.57,105.74,108.48,0.45,0.45,1.01,0.0,1.32,0,-1.58,0,115.84,0.4,0.94,0.0,117.18,3.57,-733.5,0.13,-1.4400000000000501
Apr 2016,9.9,1.56,81.93,82.94,1.98,0.5,1.23,0.13,0.11,0,-1.24,0,8.23,0.32,1.2,0.02,9.76,3.65,-734.77,0.0800000000000001,-1.26999999999998
May 2016,33.19,2.09,195.69,197.44,3.65,1.11,3.73,1.54,0.37,0,-2.94,0,30.73,0.75,3.8,0.23,35.51,5.04,-737.03,1.39,-2.25999999999999
Jun 2016,12.81,3.12,80.94,82.77,3.56,1.34,4.69,2.08,0.14,0,-1.25,0,9.55,0.32,4.83,0.31,15.01,5.96,-742.02,0.92,-4.990000000000009
Jul 2016,301.79,8.11,83.68,91.6,2.11,0.93,2.99,1.12,3.36,0,-1.31,0,290.32,0.33,3.05,0.3,294.0,5.96,-746.05,0.0,-4.02999999999997
Aug 2016,339.05,6.39,102.6,109.32,1.61,0.8,2.43,0.8,3.78,0,-1.56,0,328.89,0.4,2.45,0.25,331.99,5.96,-746.17,0.0,-0.120000000000005
Sep 2016,212.75,7.98,61.49,69.3,1.76,0.84,2.61,0.9,2.37,0,-0.99,0,202.4,0.25,2.63,0.21,205.48,5.96,-745.84,0.0,0.32999999999992696
Oct 2016,72.5,1.32,49.99,51.75,0.66,0.53,1.34,0.18,0.81,0,-0.75,0,70.37,0.19,1.28,0.03,71.88,5.96,-746.38,0.0,-0.5399999999999641
Nov 2016,248.98,3.5,118.1,122.99,0.38,0.46,1.03,0.0,2.77,0,-1.76,0,242.71,0.45,0.94,0.0,244.1,5.96,-747.51,0.0,-1.13
Dec 2016,32.4,0.76,55.7,57.17,0.37,0.46,1.03,0.0,0.36,0,-0.83,0,31.28,0.21,0.94,0.0,32.43,5.96,-747.53,0.0,-0.0199999999999818
Jan 2017,174.6,2.66,100.07,103.93,0.38,0.46,1.03,0.0,1.94,0,-1.5,0,169.99,0.38,0.94,0.0,171.32,5.96,-749.02,0.0,-1.4900000000000102
Feb 2017,140.38,2.16,81.34,84.49,0.38,0.46,1.03,0.0,1.56,0,-1.22,0,136.65,0.31,0.95,0.0,137.91,5.96,-749.6,0.0,-0.580000000000041
Mar 2017,246.53,4.16,132.11,137.81,0.39,0.46,1.03,0.0,2.74,0,-1.98,0,239.63,0.5,0.96,0.0,241.1,5.96,-750.28,0.0,-0.67999999999995
Apr 2017,96.26,3.55,148.57,153.85,0.41,0.46,1.03,0.0,1.07,0,-2.25,0,91.64,0.57,0.98,0.0,93.19,5.96,-750.55,0.0,-0.26999999999998203
May 2017,126.38,5.24,229.46,236.66,1.35,0.73,2.13,0.62,1.41,0,-3.47,0,119.74,0.88,2.13,0.13,122.88,5.96,-752.76,0.0,-2.21000000000004
Jun 2017,65.79,2.4,234.28,237.42,3.1,1.22,4.16,1.77,0.73,0,-3.51,0,62.65,0.89,4.27,0.29,68.1,5.96,-756.46,0.0,-3.70000000000005
Jul 2017,311.88,4.61,168.25,173.63,2.02,0.91,2.9,1.06,3.47,0,-2.52,0,303.8,0.64,2.95,0.29,307.68,5.96,-761.92,0.0,-5.45999999999992
Aug 2017,311.1,4.22,164.22,169.41,1.76,0.9,2.64,0.91,3.46,0,-2.45,0,303.41,0.62,2.67,0.26,306.97,5.96,-763.1,0.0,-1.1800000000000601
Sep 2017,167.34,2.35,99.65,102.3,1.94,1.13,2.86,1.03,1.86,0,-1.49,0,163.13,0.38,2.88,0.2,166.6,5.89,-764.08,-0.0700000000000003,-0.9800000000000179
Oct 2017,258.65,3.41,121.44,126.1,0.57,0.47,1.04,0.0,2.88,0,-1.81,0,252.36,0.46,0.97,0.0,253.79,5.64,-765.73,-0.25,-1.64999999999998
Nov 2017,100.03,1.39,113.79,116.39,0.52,0.47,1.05,0.0,1.11,0,-1.7,0,97.52,0.43,0.96,0.0,98.91,5.82,-765.7,0.180000000000001,0.0299999999999727
Dec 2017,62.97,0.92,68.76,70.53,0.38,0.47,1.05,0.0,0.7,0,-1.03,0,61.35,0.26,0.96,0.0,62.56,5.96,-767.33,0.14,-1.63
Jan 2018,116.64,1.54,71.54,73.95,0.38,0.47,1.05,0.0,1.3,0,-1.07,0,113.81,0.27,0.96,0.0,115.04,5.96,-768.7,0.0,-1.37
Feb 2018,79.73,1.11,70.66,72.64,0.39,0.47,1.05,0.0,0.89,0,-1.05,0,77.74,0.27,0.96,0.0,78.97,5.96,-769.51,0.0,-0.809999999999945
Mar 2018,175.84,2.2,134.26,138.03,0.39,0.47,1.05,0.0,1.96,0,-2.0,0,171.68,0.51,0.98,0.0,173.17,5.96,-770.72,0.0,-1.2100000000000402
Apr 2018,78.4,1.03,121.19,123.61,0.42,0.47,1.06,0.0,0.87,0,-1.81,0,76.5,0.46,1.0,0.0,77.96,5.96,-771.81,0.0,-1.08999999999992
May 2018,89.22,1.59,258.85,262.06,2.42,1.16,3.43,1.35,0.99,0,-3.86,0,86.63,0.98,3.49,0.23,91.34,5.96,-773.8,0.0,-1.9900000000000102
Jun 2018,95.51,2.88,182.32,185.35,3.08,1.18,3.98,1.66,1.06,0,-2.74,0,91.57,0.7,4.08,0.29,96.63,5.82,-778.98,-0.14,-5.180000000000059
Jul 2018,266.98,4.33,112.86,117.15,2.3,1.0,3.24,1.24,2.97,0,-1.7,0,259.68,0.43,3.31,0.3,263.72,5.96,-783.27,0.14,-4.28999999999996
Aug 2018,139.95,2.22,55.63,57.15,2.63,1.3,3.67,1.48,1.56,0,-0.84,0,136.18,0.21,3.74,0.26,140.39,5.96,-784.3,0.0,-1.0299999999999698
Sep 2018,238.42,3.31,63.85,67.08,1.6,0.82,2.48,0.8,2.65,0,-0.96,0,232.46,0.24,2.48,0.2,235.39,5.74,-786.03,-0.22,-1.73000000000002
Oct 2018,169.06,2.4,68.03,70.9,0.82,0.52,1.27,0.12,1.88,0,-1.02,0,164.77,0.26,1.2,0.04,166.27,5.72,-786.21,-0.0200000000000005,-0.180000000000064
Nov 2018,103.89,1.43,72.42,74.74,0.39,0.48,1.07,0.0,1.16,0,-1.08,0,101.3,0.27,0.98,0.0,102.56,5.96,-786.53,0.24,-0.31999999999993606
Dec 2018,60.66,0.93,64.6,66.33,0.39,0.48,1.07,0.0,0.68,0,-0.96,0,59.05,0.25,0.98,0.0,60.28,5.96,-787.52,0.0,-0.9900000000000091
Jan 2019,74.8,1.04,56.64,58.4,0.39,0.48,1.07,0.0,0.83,0,-0.84,0,72.93,0.21,0.98,0.0,74.12,5.96,-788.87,0.0,-1.35000000000002
Feb 2019,135.76,1.85,92.69,95.64,0.4,0.48,1.07,0.0,1.51,0,-1.38,0,132.41,0.35,0.99,0.0,133.75,5.96,-789.95,0.0,-1.08000000000004
Mar 2019,50.27,0.79,79.1,80.84,0.42,0.48,1.07,0.0,0.56,0,-1.18,0,48.91,0.3,1.0,0.0,50.22,5.96,-790.89,0.0,-0.939999999999941
Apr 2019,108.45,1.86,150.99,154.58,0.43,0.48,1.08,0.01,1.21,0,-2.26,0,105.38,0.57,1.02,0.0,106.98,5.96,-792.57,0.0,-1.6800000000000601
May 2019,49.4,1.5,254.14,256.97,2.59,1.1,3.61,1.44,0.55,0,-3.8,0,47.35,0.97,3.67,0.22,52.21,5.96,-794.69,0.0,-2.12
Jun 2019,28.7,1.17,125.29,125.81,3.41,1.36,4.58,1.99,0.32,0,-1.88,0,27.21,0.48,4.71,0.31,32.71,5.96,-800.34,0.0,-5.649999999999981
Jul 2019,235.02,3.71,83.77,86.92,2.56,1.07,3.48,1.36,2.62,0,-1.26,0,228.69,0.32,3.55,0.31,232.87,5.9,-804.8,-0.0599999999999996,-4.45999999999992
Aug 2019,515.01,7.19,138.76,147.08,1.08,0.67,1.83,0.43,5.73,0,-2.08,0,502.08,0.53,1.82,0.25,504.68,5.96,-805.87,0.0599999999999996,-1.07000000000005
Sep 2019,285.0,3.82,91.66,95.92,1.32,0.74,2.13,0.6,3.17,0,-1.37,0,278.0,0.35,2.11,0.19,280.65,5.96,-803.87,0.0,2.0
Oct 2019,230.75,3.06,97.85,102.08,0.41,0.49,1.08,0.0,2.57,0,-1.46,0,225.11,0.37,1.01,0.0,226.49,5.96,-803.79,0.0,0.0800000000000409
Nov 2019,66.16,1.0,85.36,87.39,0.4,0.49,1.09,0.0,0.74,0,-1.27,0,64.43,0.32,1.0,0.0,65.75,5.96,-803.76,0.0,0.0299999999999727
Dec 2019,91.93,1.27,80.78,83.04,0.4,0.49,1.09,0.0,1.02,0,-1.2,0,89.63,0.31,1.0,0.0,90.94,5.96,-805.38,0.0,-1.62
Jan 2020,27.49,0.49,51.2,52.34,0.4,0.49,1.09,0.0,0.31,0,-0.76,0,26.7,0.19,1.0,0.0,27.89,5.96,-806.64,0.0,-1.25999999999999
Feb 2020,156.94,2.13,106.01,109.41,0.41,0.49,1.09,0.0,1.75,0,-1.58,0,153.06,0.4,1.0,0.0,154.47,5.96,-808.19,0.0,-1.55000000000007
