date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,137.24,1.74,86.38,89.13,0.39,0.44,0.99,0.0,1.53,0,-1.29,0,133.97,0.33,0.91,0.0,135.21,3.2,-730.76,0.0,0.0
Feb 2016,204.17,2.67,95.63,99.32,0.49,0.44,0.99,0.0,2.27,0,-1.43,0,199.23,0.36,0.91,0.0,200.51,3.23,-731.5,0.0299999999999998,-0.7400000000000091
Mar 2016,73.84,1.08,69.65,71.43,0.51,0.44,0.99,0.0,0.82,0,-1.04,0,71.94,0.26,0.93,0.0,73.13,3.35,-731.65,0.12,-0.14999999999997699
Apr 2016,24.55,0.85,36.71,37.52,0.9,0.44,1.0,0.0,0.27,0,-0.55,0,23.43,0.14,0.94,0.0,24.51,3.48,-732.85,0.13,-1.2000000000000501
May 2016,275.87,4.36,165.8,170.94,1.6,0.53,1.36,0.21,3.07,0,-2.48,0,268.44,0.63,1.33,0.09,270.49,3.99,-734.13,0.51,-1.2799999999999698
Jun 2016,86.96,1.77,105.44,105.44,4.64,1.7,4.86,2.19,0.97,0,-1.58,0,84.23,0.4,5.0,0.28,89.91,4.88,-734.78,0.89,-0.649999999999977
Jul 2016,324.79,5.15,91.63,95.89,2.94,1.03,3.42,1.37,3.62,0,-1.38,0,316.02,0.35,3.49,0.29,320.16,5.49,-738.34,0.61,-3.56000000000006
Aug 2016,101.13,1.57,54.08,54.85,3.47,2.06,4.63,2.06,1.13,0,-0.81,0,98.44,0.21,4.75,0.25,103.64,5.96,-738.45,0.47,-0.110000000000014
Sep 2016,150.77,2.25,55.91,57.61,2.58,1.4,3.59,1.47,1.68,0,-0.84,0,146.84,0.21,3.65,0.2,150.9,5.2,-740.96,-0.76,-2.50999999999999
Oct 2016,274.3,3.64,83.86,88.29,0.58,0.45,1.0,0.0,3.05,0,-1.25,0,267.61,0.32,0.93,0.01,268.87,4.85,-742.44,-0.35000000000000103,-1.48000000000002
Nov 2016,59.18,0.91,65.91,67.47,0.53,0.45,1.0,0.0,0.66,0,-0.98,0,57.62,0.25,0.92,0.0,58.79,5.06,-741.65,0.21,0.7900000000000771
Dec 2016,65.86,0.94,65.55,67.19,0.48,0.45,1.01,0.0,0.73,0,-0.98,0,64.18,0.25,0.92,0.0,65.35,5.22,-742.98,0.16,-1.33000000000004
Jan 2017,98.76,1.36,68.35,70.43,0.49,0.45,1.01,0.0,1.1,0,-1.02,0,96.3,0.26,0.92,0.0,97.48,5.34,-744.23,0.12,-1.25
Feb 2017,106.26,1.45,72.32,74.54,0.48,0.45,1.01,0.0,1.18,0,-1.08,0,103.63,0.27,0.93,0.0,104.83,5.46,-745.15,0.12,-0.9199999999999592
Mar 2017,150.36,1.97,92.13,95.11,0.47,0.45,1.01,0.0,1.67,0,-1.37,0,146.71,0.35,0.94,0.0,147.99,5.57,-746.05,0.11,-0.899999999999977
Apr 2017,116.06,1.99,107.31,110.24,0.7,0.45,1.01,0.0,1.29,0,-1.61,0,112.78,0.41,0.95,0.0,114.14,5.66,-746.75,0.0899999999999999,-0.700000000000045
May 2017,167.38,2.96,206.48,210.83,1.74,0.83,2.57,0.88,1.86,0,-3.09,0,162.56,0.79,2.6,0.16,166.1,5.96,-748.08,0.3,-1.33000000000004
Jun 2017,70.44,1.52,186.75,188.29,4.05,1.99,5.31,2.43,0.78,0,-2.79,0,68.13,0.71,5.47,0.31,74.61,5.96,-751.14,0.0,-3.05999999999995
Jul 2017,137.54,2.15,55.67,56.76,3.8,2.11,5.02,2.27,1.53,0,-0.84,0,133.86,0.21,5.16,0.31,139.54,5.43,-756.33,-0.53,-5.19000000000005
Aug 2017,290.06,4.04,87.76,91.61,2.36,1.19,3.34,1.32,3.23,0,-1.31,0,282.79,0.33,3.38,0.26,286.77,4.71,-758.69,-0.72,-2.3600000000000096
Sep 2017,235.5,3.28,81.57,84.81,2.04,1.08,2.96,1.1,2.62,0,-1.22,0,229.59,0.31,2.98,0.21,233.09,4.53,-759.06,-0.18,-0.36999999999989097
Oct 2017,138.28,1.93,59.53,61.93,0.69,0.49,1.15,0.08,1.54,0,-0.89,0,134.81,0.23,1.08,0.02,136.14,4.36,-759.72,-0.17,-0.6600000000000821
Nov 2017,72.23,1.18,61.56,63.24,0.65,0.45,1.02,0.0,0.8,0,-0.92,0,70.24,0.23,0.94,0.0,71.41,4.55,-760.17,0.19,-0.44999999999993195
Dec 2017,61.53,0.84,68.49,70.11,0.44,0.45,1.02,0.0,0.69,0,-1.02,0,60.0,0.26,0.93,0.0,61.19,4.82,-761.3,0.27,-1.13
Jan 2018,63.23,1.05,57.41,58.93,0.62,0.46,1.02,0.0,0.7,0,-0.86,0,61.48,0.22,0.93,0.0,62.63,4.89,-762.65,0.0699999999999994,-1.35000000000002
Feb 2018,60.69,0.93,59.54,61.05,0.54,0.46,1.02,0.0,0.68,0,-0.89,0,59.08,0.23,0.94,0.0,60.25,5.14,-763.83,0.25,-1.1800000000000601
Mar 2018,62.26,0.95,71.81,73.47,0.54,0.46,1.03,0.0,0.69,0,-1.07,0,60.61,0.27,0.95,0.0,61.84,5.3,-765.06,0.16,-1.2299999999998998
Apr 2018,62.64,1.04,99.48,101.45,0.63,0.46,1.03,0.0,0.7,0,-1.48,0,60.9,0.38,0.97,0.0,62.25,5.46,-766.46,0.16,-1.40000000000009
May 2018,8.42,0.6,107.61,107.55,3.97,2.11,5.16,2.34,0.09,0,-1.61,0,7.73,0.41,5.3,0.26,13.7,5.68,-768.27,0.22,-1.8099999999999499
Jun 2018,87.53,2.03,54.04,54.25,4.0,1.56,5.25,2.39,0.97,0,-0.82,0,84.52,0.21,5.4,0.31,90.44,5.06,-772.87,-0.62,-4.60000000000002
Jul 2018,157.73,2.35,52.05,53.45,3.54,2.02,4.73,2.09,1.76,0,-0.78,0,153.63,0.2,4.84,0.3,158.97,4.95,-775.88,-0.10999999999999902,-3.0099999999999905
Aug 2018,356.6,5.23,81.32,85.96,2.4,0.9,2.84,1.03,3.97,0,-1.22,0,347.4,0.31,2.86,0.26,350.83,4.27,-777.84,-0.680000000000001,-1.96000000000004
Sep 2018,100.57,1.77,52.48,53.39,2.82,1.36,3.89,1.62,1.12,0,-0.79,0,97.67,0.2,3.95,0.19,102.01,4.73,-777.16,0.460000000000001,0.6800000000000639
