date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,137.24,1.74,86.34,89.09,0.38,0.43,0.97,0.0,1.53,0,-1.29,0,133.97,0.33,0.89,0.0,135.19,3.2,-730.76,0.0,0.0
Feb 2016,204.17,2.67,95.59,99.28,0.48,0.43,0.97,0.0,2.27,0,-1.43,0,199.23,0.36,0.9,0.0,200.49,3.23,-731.48,0.0299999999999998,-0.720000000000027
Mar 2016,73.84,1.08,69.61,71.39,0.5,0.43,0.98,0.0,0.82,0,-1.04,0,71.94,0.26,0.91,0.0,73.12,3.35,-731.61,0.12,-0.12999999999999498
Apr 2016,24.55,0.85,36.67,37.48,0.89,0.43,0.98,0.0,0.27,0,-0.55,0,23.43,0.14,0.92,0.0,24.49,3.48,-732.8,0.13,-1.18999999999994
May 2016,275.87,4.36,165.8,170.99,1.51,0.5,1.25,0.16,3.07,0,-2.48,0,268.44,0.63,1.22,0.09,270.38,3.99,-734.05,0.51,-1.25
Jun 2016,86.96,1.77,108.98,109.6,3.5,1.15,3.88,1.64,0.97,0,-1.63,0,84.23,0.42,3.98,0.28,88.9,4.88,-734.64,0.89,-0.5900000000000319
Jul 2016,324.79,5.15,94.09,98.74,2.42,0.87,2.79,1.03,3.62,0,-1.42,0,316.02,0.36,2.84,0.29,319.52,5.49,-737.82,0.61,-3.18000000000006
Aug 2016,101.13,1.57,48.4,49.36,2.69,1.55,3.7,1.54,1.13,0,-0.73,0,98.44,0.18,3.78,0.25,102.65,5.96,-737.68,0.47,0.14000000000010002
Sep 2016,150.77,2.25,51.72,53.56,2.02,1.03,2.92,1.1,1.68,0,-0.78,0,146.84,0.2,2.95,0.2,150.2,5.48,-739.69,-0.48,-2.0100000000001
Oct 2016,274.3,3.64,83.76,88.19,0.58,0.44,0.98,0.0,3.05,0,-1.25,0,267.61,0.32,0.91,0.01,268.85,5.34,-740.81,-0.140000000000001,-1.11999999999989
Nov 2016,59.18,0.91,65.85,67.41,0.52,0.44,0.98,0.0,0.66,0,-0.98,0,57.62,0.25,0.9,0.0,58.77,5.55,-740.0,0.21,0.809999999999945
Dec 2016,65.86,0.94,65.49,67.12,0.47,0.44,0.98,0.0,0.73,0,-0.98,0,64.18,0.25,0.9,0.0,65.33,5.71,-741.3,0.16,-1.2999999999999499
Jan 2017,98.76,1.36,68.27,70.35,0.48,0.44,0.99,0.0,1.1,0,-1.02,0,96.3,0.26,0.9,0.0,97.47,5.83,-742.53,0.12,-1.23000000000002
Feb 2017,106.26,1.45,72.25,74.55,0.38,0.44,0.99,0.0,1.18,0,-1.08,0,103.63,0.27,0.91,0.0,104.81,5.95,-743.43,0.12,-0.899999999999977
Mar 2017,150.36,1.97,92.04,95.1,0.37,0.44,0.99,0.0,1.67,0,-1.37,0,146.71,0.35,0.92,0.0,147.98,5.96,-744.31,0.00999999999999979,-0.8799999999999949
Apr 2017,116.06,1.99,107.24,110.48,0.39,0.44,0.99,0.0,1.29,0,-1.6,0,112.78,0.41,0.94,0.0,114.12,5.96,-744.99,0.0,-0.6800000000000639
