date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,137.24,1.74,88.22,91.03,0.57,0.66,1.44,0.0,1.53,0,-1.31,0,133.97,0.33,1.32,0.0,135.63,2.7,-749.78,0.0,0.0
Feb 2016,204.17,2.67,97.49,101.23,0.67,0.66,1.44,0.0,2.27,0,-1.45,0,199.23,0.37,1.33,0.0,200.93,2.73,-751.01,0.0299999999999998,-1.23000000000002
Mar 2016,73.84,1.08,71.48,73.32,0.7,0.66,1.44,0.0,0.82,0,-1.07,0,71.94,0.27,1.34,0.0,73.55,2.85,-751.63,0.12,-0.620000000000005
Apr 2016,24.55,0.85,38.41,39.27,1.08,0.66,1.45,0.0,0.27,0,-0.58,0,23.43,0.15,1.36,0.0,24.93,2.99,-753.31,0.14,-1.67999999999995
May 2016,275.87,4.36,167.44,172.69,1.71,0.73,1.72,0.16,3.07,0,-2.51,0,268.44,0.64,1.66,0.09,270.82,3.49,-755.06,0.5,-1.75
Jun 2016,86.96,1.77,110.75,111.43,3.7,1.38,4.35,1.64,0.97,0,-1.66,0,84.23,0.42,4.41,0.28,89.34,4.38,-756.15,0.89,-1.09000000000003
Jul 2016,324.79,5.15,95.99,100.21,3.11,1.11,3.27,1.03,3.62,0,-1.45,0,316.02,0.37,3.28,0.29,319.97,4.99,-759.83,0.61,-3.68000000000006
Aug 2016,101.13,1.57,50.27,51.29,2.88,1.78,4.18,1.54,1.13,0,-0.75,0,98.44,0.19,4.22,0.25,103.1,5.96,-760.19,0.97,-0.36000000000001403
Sep 2016,150.77,2.25,53.61,55.5,2.22,1.26,3.4,1.1,1.68,0,-0.8,0,146.84,0.2,3.39,0.2,150.64,5.48,-762.71,-0.48,-2.51999999999998
Oct 2016,274.3,3.64,80.72,85.15,0.77,0.67,1.46,0.0,3.05,0,-1.21,0,267.61,0.31,1.35,0.01,269.28,5.34,-764.34,-0.140000000000001,-1.63
Nov 2016,59.18,0.91,62.56,64.65,0.71,1.2,1.46,0.0,0.66,0,-0.93,0,57.62,0.24,1.35,0.0,59.2,5.55,-763.95,0.21,0.38999999999998597
Dec 2016,65.86,0.94,62.17,64.34,0.66,1.2,1.47,0.0,0.73,0,-0.93,0,64.18,0.24,1.34,0.0,65.76,5.17,-765.69,-0.38,-1.7400000000000102
Jan 2017,98.76,1.36,70.21,72.34,0.68,0.67,1.47,0.0,1.1,0,-1.05,0,96.3,0.27,1.35,0.0,97.92,4.75,-767.35,-0.42,-1.65999999999997
Feb 2017,106.26,1.45,74.19,76.46,0.67,0.67,1.47,0.0,1.18,0,-1.11,0,103.63,0.28,1.36,0.0,105.27,4.88,-768.76,0.13,-1.40999999999997
Mar 2017,150.36,1.97,93.96,97.0,0.66,0.68,1.47,0.0,1.67,0,-1.4,0,146.71,0.36,1.36,0.0,148.43,4.99,-770.15,0.11,-1.38999999999999
Apr 2017,116.06,1.99,109.01,111.79,1.1,0.68,1.48,0.0,1.29,0,-1.63,0,112.78,0.42,1.38,0.0,114.57,5.07,-771.35,0.0800000000000001,-1.2000000000000501
May 2017,167.38,2.96,208.41,212.68,1.98,0.96,2.64,0.66,1.86,0,-3.12,0,162.56,0.79,2.62,0.16,166.13,5.58,-773.16,0.51,-1.8099999999999499
Jun 2017,70.44,1.52,192.38,194.33,3.33,1.62,4.7,1.83,0.78,0,-2.87,0,68.13,0.73,4.78,0.31,73.95,5.96,-776.55,0.38,-3.3899999999999904
Jul 2017,137.54,2.15,58.84,60.28,3.14,1.78,4.49,1.7,1.53,0,-0.88,0,133.86,0.22,4.55,0.31,138.95,5.77,-781.82,-0.19,-5.2700000000001
Aug 2017,290.06,4.04,92.11,96.21,2.08,1.1,3.23,0.99,3.23,0,-1.38,0,282.79,0.35,3.22,0.26,286.63,5.36,-784.27,-0.409999999999999,-2.4499999999999305
Sep 2017,235.5,3.28,84.6,88.04,1.82,1.04,2.95,0.83,2.62,0,-1.26,0,229.59,0.32,2.92,0.21,233.04,5.36,-784.92,0.0,-0.649999999999977
Oct 2017,138.28,1.93,56.2,58.61,0.85,0.71,1.59,0.06,1.54,0,-0.84,0,134.81,0.21,1.48,0.02,136.53,5.34,-785.88,-0.0200000000000005,-0.9600000000000359
Nov 2017,72.23,1.18,58.18,60.41,0.83,1.23,1.49,0.0,0.8,0,-0.87,0,70.24,0.22,1.37,0.0,71.84,5.53,-786.73,0.19,-0.850000000000023
Dec 2017,61.53,0.84,65.08,67.25,0.63,1.23,1.5,0.0,0.69,0,-0.97,0,60.0,0.25,1.37,0.0,61.62,5.25,-788.29,-0.28,-1.5599999999999499
Jan 2018,63.23,1.05,59.32,60.9,0.82,0.69,1.5,0.0,0.7,0,-0.89,0,61.48,0.23,1.37,0.0,63.08,4.77,-790.07,-0.48,-1.78000000000009
Feb 2018,60.69,0.93,61.45,63.02,0.73,0.69,1.5,0.0,0.68,0,-0.92,0,59.08,0.23,1.39,0.0,60.7,5.03,-791.74,0.260000000000001,-1.66999999999996
Mar 2018,62.26,0.95,73.69,75.41,0.74,0.69,1.5,0.0,0.69,0,-1.1,0,60.61,0.28,1.39,0.0,62.29,5.18,-793.48,0.149999999999999,-1.7400000000000102
Apr 2018,62.64,1.04,101.21,103.25,0.82,0.69,1.51,0.0,0.7,0,-1.51,0,60.9,0.38,1.41,0.0,62.7,5.33,-795.39,0.15,-1.90999999999997
May 2018,8.42,0.6,110.3,110.26,3.64,1.77,4.61,1.76,0.09,0,-1.65,0,7.73,0.42,4.67,0.26,13.08,5.55,-797.7,0.22,-2.31000000000006
Jun 2018,87.53,2.03,49.78,50.29,3.55,1.46,4.68,1.79,0.97,0,-0.76,0,84.52,0.19,4.75,0.31,89.77,5.61,-802.37,0.0600000000000005,-4.66999999999996
Jul 2018,157.73,2.35,47.89,49.55,2.96,1.74,4.29,1.57,1.76,0,-0.72,0,153.63,0.18,4.33,0.3,158.44,5.83,-805.34,0.22,-2.97000000000003
Aug 2018,356.6,5.23,84.38,89.28,2.3,1.02,2.87,0.77,3.97,0,-1.27,0,347.4,0.32,2.84,0.26,350.82,5.43,-807.32,-0.4,-1.98000000000002
Sep 2018,100.57,1.77,58.55,59.77,2.43,1.22,3.66,1.22,1.12,0,-0.88,0,97.67,0.22,3.66,0.19,101.75,5.96,-806.97,0.53,0.350000000000023
Oct 2018,130.18,1.79,46.04,48.25,0.86,0.77,1.83,0.18,1.45,0,-0.69,0,126.94,0.18,1.74,0.04,128.89,5.96,-809.37,0.0,-2.39999999999998
Nov 2018,128.81,2.13,70.55,73.63,0.57,0.73,1.52,0.0,1.43,0,-1.06,0,125.25,0.27,1.4,0.0,126.92,5.96,-810.3,0.0,-0.92999999999995
Dec 2018,96.72,1.46,59.06,61.61,0.57,1.0,1.52,0.0,1.08,0,-0.88,0,94.18,0.22,1.4,0.0,95.8,5.92,-811.44,-0.04,-1.1400000000001
Jan 2019,60.6,0.89,48.54,49.96,0.71,0.7,1.53,0.0,0.67,0,-0.72,0,59.03,0.18,1.4,0.0,60.62,5.61,-812.77,-0.31,-1.32999999999993
Feb 2019,203.76,2.74,90.57,94.23,0.78,0.7,1.53,0.0,2.27,0,-1.35,0,198.76,0.34,1.41,0.0,200.51,5.74,-814.34,0.13,-1.57000000000005
Mar 2019,8.54,0.39,39.78,40.7,0.63,0.7,1.53,0.0,0.1,0,-0.6,0,8.05,0.15,1.43,0.0,9.63,5.94,-814.95,0.2,-0.610000000000014
Apr 2019,108.93,3.15,73.8,77.88,0.61,0.71,1.54,0.0,1.21,0,-1.13,0,104.56,0.29,1.44,0.0,106.28,5.96,-816.98,0.0199999999999996,-2.02999999999997
May 2019,112.66,5.39,170.74,177.23,1.9,1.07,3.03,0.85,1.25,0,-2.6,0,106.01,0.66,3.02,0.17,109.86,5.96,-818.43,0.0,-1.44999999999993
Jun 2019,39.69,4.22,80.52,83.59,3.64,1.56,5.05,1.99,0.44,0,-1.25,0,35.03,0.32,5.14,0.32,40.8,5.96,-822.12,0.0,-3.69000000000005
Jul 2019,84.72,1.48,53.01,53.64,3.46,2.02,4.89,1.9,0.94,0,-0.8,0,82.3,0.2,4.96,0.31,87.78,5.96,-826.31,0.0,-4.18999999999994
Aug 2019,403.21,5.41,119.47,125.47,1.74,0.99,2.71,0.66,4.49,0,-1.78,0,393.31,0.45,2.67,0.26,396.7,5.43,-829.47,-0.53,-3.16000000000008
Sep 2019,12.39,0.36,38.24,37.99,3.14,2.11,4.53,1.69,0.14,0,-0.57,0,11.9,0.15,4.56,0.22,16.83,5.55,-829.07,0.12,0.39999999999997704
Oct 2019,237.8,3.11,61.74,66.04,0.8,1.29,1.64,0.05,2.65,0,-0.92,0,232.03,0.23,1.53,0.05,233.84,4.86,-832.57,-0.69,-3.5
Nov 2019,96.38,1.9,72.26,74.97,1.28,1.28,1.55,0.0,1.07,0,-1.09,0,93.41,0.28,1.43,0.0,95.11,4.42,-832.47,-0.44,0.100000000000023
