date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,8.62,0.21,26.25,26.74,0.44,0.43,0.97,0.0,0.1,0,-0.39,0,8.32,0.1,0.9,0.0,9.31,3.2,-730.76,0.0,0.0
Feb 2016,137.36,1.85,69.73,72.3,0.49,0.43,0.97,0.0,1.53,0,-1.04,0,133.98,0.26,0.9,0.0,135.14,3.29,-732.02,0.0899999999999999,-1.25999999999999
Mar 2016,34.5,0.56,45.92,46.95,0.47,0.43,0.98,0.0,0.38,0,-0.69,0,33.56,0.17,0.91,0.0,34.65,3.42,-732.5,0.13,-0.48000000000001797
Apr 2016,112.75,1.62,59.6,61.72,0.6,0.44,1.02,0.03,1.26,0,-0.89,0,109.87,0.23,0.97,0.01,111.07,3.51,-733.78,0.0899999999999999,-1.2799999999999698
May 2016,33.91,0.63,47.22,45.94,4.73,2.3,4.8,2.17,0.38,0,-0.71,0,32.91,0.18,4.93,0.25,38.27,3.69,-734.41,0.18,-0.629999999999995
Jun 2016,129.1,2.38,47.67,47.56,4.59,1.56,4.83,2.19,1.44,0,-0.72,0,125.29,0.18,4.97,0.31,130.75,3.83,-737.62,0.14,-3.21000000000004
Jul 2016,342.86,4.62,67.3,71.35,2.6,1.28,3.31,1.32,3.82,0,-1.01,0,334.42,0.26,3.37,0.3,338.35,4.55,-739.87,0.72,-2.25
Aug 2016,356.45,5.09,76.01,80.66,2.13,0.85,2.69,0.97,3.97,0,-1.14,0,347.4,0.29,2.71,0.25,350.64,4.48,-739.34,-0.0699999999999994,0.5299999999999729
Sep 2016,327.85,4.56,73.73,78.21,1.62,0.72,2.15,0.66,3.65,0,-1.1,0,319.64,0.28,2.14,0.2,322.25,4.78,-738.48,0.3,0.860000000000014
Oct 2016,32.69,0.55,20.26,20.71,0.99,0.67,1.73,0.42,0.36,0,-0.3,0,31.78,0.08,1.69,0.04,33.59,5.02,-737.62,0.239999999999999,0.860000000000014
Nov 2016,53.21,0.66,42.02,43.24,0.35,0.44,0.98,0.0,0.59,0,-0.63,0,51.95,0.16,0.9,0.0,53.01,4.96,-738.9,-0.0599999999999996,-1.2799999999999698
Dec 2016,31.89,0.48,49.43,50.46,0.43,0.44,0.98,0.0,0.36,0,-0.74,0,31.06,0.19,0.9,0.0,32.14,4.95,-739.91,-0.00999999999999979,-1.00999999999999
Jan 2017,120.76,1.62,63.74,66.04,0.46,0.44,0.99,0.0,1.34,0,-0.95,0,117.8,0.24,0.9,0.0,118.94,5.02,-741.28,0.0699999999999994,-1.37
Feb 2017,53.6,0.76,41.6,42.82,0.44,0.44,0.99,0.0,0.6,0,-0.62,0,52.24,0.16,0.91,0.0,53.3,5.13,-741.86,0.11,-0.580000000000041
Mar 2017,51.36,0.74,49.42,50.69,0.45,0.44,0.99,0.0,0.57,0,-0.74,0,50.04,0.19,0.92,0.0,51.15,5.21,-742.87,0.0800000000000001,-1.00999999999999
Apr 2017,16.49,0.27,39.03,39.7,0.49,0.46,1.09,0.06,0.18,0,-0.58,0,16.04,0.15,1.04,0.01,17.24,5.29,-744.02,0.0800000000000001,-1.14999999999998
May 2017,47.1,0.92,38.19,37.99,3.68,2.13,4.81,2.16,0.52,0,-0.57,0,45.65,0.15,4.94,0.26,50.99,5.31,-745.46,0.0199999999999996,-1.4400000000000501
Jun 2017,139.74,2.12,45.36,46.39,3.55,1.95,4.7,2.1,1.56,0,-0.68,0,136.06,0.17,4.82,0.3,141.37,4.56,-748.41,-0.75,-2.9499999999999305
Jul 2017,239.72,3.0,39.64,41.28,2.99,1.19,4.09,1.75,2.67,0,-0.59,0,234.06,0.15,4.16,0.3,238.67,3.94,-750.44,-0.62,-2.03000000000009
Aug 2017,290.46,4.22,69.16,72.77,2.34,0.96,3.15,1.22,3.23,0,-1.04,0,283.01,0.26,3.17,0.25,286.69,3.92,-751.0,-0.02,-0.559999999999945
Sep 2017,17.27,1.02,4.58,3.49,3.65,1.48,4.85,2.18,0.19,0,-0.08,0,16.05,0.02,4.94,0.22,21.23,4.04,-750.98,0.12,0.0199999999999818
Oct 2017,332.29,4.44,75.83,80.9,0.66,0.44,0.99,0.0,3.7,0,-1.13,0,324.15,0.29,0.92,0.02,325.38,3.94,-753.74,-0.1,-2.7599999999999905
Nov 2017,40.36,0.71,33.48,34.45,0.56,0.44,1.0,0.0,0.45,0,-0.5,0,39.2,0.13,0.91,0.0,40.24,4.23,-752.19,0.29,1.5499999999999499
Dec 2017,99.08,1.35,49.48,51.35,0.47,0.44,1.0,0.0,1.1,0,-0.74,0,96.63,0.19,0.91,0.0,97.73,4.43,-753.24,0.19999999999999898,-1.0499999999999499
Jan 2018,252.33,3.28,99.89,104.23,0.5,0.44,1.0,0.0,2.81,0,-1.49,0,246.24,0.38,0.91,0.0,247.53,4.54,-753.86,0.11,-0.620000000000005
Feb 2018,157.59,2.14,90.35,93.4,0.54,0.44,1.0,0.0,1.75,0,-1.35,0,153.7,0.34,0.92,0.0,154.96,4.68,-753.54,0.14,0.32000000000004997
Mar 2018,292.11,3.65,112.54,117.51,0.37,0.44,1.0,0.0,3.25,0,-1.68,0,285.21,0.43,0.92,0.0,286.56,4.85,-754.13,0.17,-0.5900000000000319
Apr 2018,199.55,2.62,95.34,98.96,0.5,0.45,1.0,0.0,2.22,0,-1.42,0,194.71,0.36,0.94,0.0,196.01,4.85,-753.55,0.0,0.580000000000041
May 2018,376.34,5.18,222.03,228.71,1.72,0.75,2.26,0.72,4.19,0,-3.31,0,366.97,0.84,2.28,0.25,370.34,4.96,-753.74,0.11,-0.19000000000005499
