date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,86.18,1.64,74.66,76.67,1.02,0.55,1.23,0.0,0.96,0,-1.12,0,83.58,0.29,1.12,0.0,84.98,3.2,-740.05,0.0,0.0
Feb 2016,87.03,1.58,65.82,67.74,0.95,0.56,1.23,0.0,0.97,0,-0.99,0,84.48,0.25,1.13,0.0,85.86,3.76,-741.43,0.56,-1.38
Mar 2016,54.46,1.17,81.94,83.64,0.94,0.56,1.23,0.0,0.61,0,-1.23,0,52.69,0.31,1.14,0.0,54.15,4.25,-742.68,0.49,-1.25
Apr 2016,48.25,1.76,161.41,163.87,1.69,0.58,1.32,0.06,0.54,0,-2.42,0,45.95,0.62,1.26,0.01,47.83,4.71,-744.52,0.46,-1.84000000000003
May 2016,5.8,1.49,206.4,208.24,3.26,1.3,4.31,1.74,0.06,0,-3.09,0,4.25,0.79,4.39,0.25,9.68,5.83,-747.68,1.12,-3.1599999999999704
Jun 2016,80.71,1.72,117.26,118.48,3.22,1.4,4.44,1.82,0.9,0,-1.76,0,78.09,0.45,4.54,0.31,83.39,5.96,-753.54,0.13,-5.860000000000009
Jul 2016,149.27,2.07,67.76,69.48,3.1,2.0,4.31,1.74,1.66,0,-1.01,0,145.54,0.26,4.4,0.33,150.53,5.86,-757.33,-0.0999999999999996,-3.79000000000008
Aug 2016,267.45,3.72,88.24,91.95,2.11,1.12,3.15,1.09,2.98,0,-1.32,0,260.75,0.34,3.17,0.27,264.53,5.13,-759.58,-0.73,-2.25
Sep 2016,262.98,3.69,82.4,86.19,1.69,0.86,2.49,0.71,2.93,0,-1.23,0,256.36,0.31,2.47,0.2,259.35,5.01,-760.25,-0.12,-0.669999999999959
Oct 2016,241.62,3.17,69.64,73.52,0.63,0.56,1.25,0.01,2.69,0,-1.04,0,235.76,0.26,1.16,0.02,237.2,5.15,-760.54,0.140000000000001,-0.28999999999996395
Nov 2016,158.06,2.08,91.79,94.88,0.57,0.56,1.24,0.0,1.76,0,-1.37,0,154.21,0.35,1.14,0.0,155.7,5.3,-760.15,0.149999999999999,0.38999999999998597
Dec 2016,104.16,1.62,82.51,84.83,0.78,0.56,1.25,0.0,1.16,0,-1.23,0,101.37,0.31,1.14,0.0,102.83,5.41,-761.0,0.11,-0.850000000000023
Jan 2017,163.63,2.21,82.95,86.01,0.63,0.57,1.25,0.0,1.82,0,-1.24,0,159.6,0.31,1.14,0.0,161.06,5.73,-762.32,0.32,-1.32000000000005
Feb 2017,84.28,1.34,60.99,63.04,0.53,0.57,1.25,0.0,0.94,0,-0.91,0,82.01,0.23,1.15,0.0,83.39,5.9,-762.98,0.17,-0.6599999999999681
Mar 2017,311.75,4.08,136.55,142.23,0.49,0.57,1.25,0.0,3.47,0,-2.04,0,304.2,0.52,1.17,0.0,305.89,5.96,-764.2,0.0599999999999996,-1.2200000000000302
Apr 2017,361.12,5.17,177.86,185.08,0.5,0.57,1.25,0.0,4.02,0,-2.66,0,351.92,0.68,1.18,0.0,353.78,5.96,-764.01,0.0,0.19000000000005499
May 2017,48.65,1.38,211.51,213.75,2.68,1.19,3.81,1.45,0.54,0,-3.16,0,46.74,0.8,3.86,0.22,51.62,5.96,-763.9,0.0,0.110000000000014
Jun 2017,171.12,2.93,213.2,216.99,2.71,1.19,3.82,1.45,1.91,0,-3.19,0,166.28,0.81,3.89,0.3,171.28,5.96,-769.11,0.0,-5.21000000000004
Jul 2017,174.86,5.42,117.64,122.77,2.87,1.24,4.02,1.56,1.95,0,-1.8,0,167.5,0.46,4.09,0.31,172.35,5.96,-773.06,0.0,-3.9499999999999305
Aug 2017,282.92,5.93,135.82,142.28,1.99,0.99,2.99,0.98,3.15,0,-2.06,0,273.84,0.52,3.0,0.26,277.63,5.96,-775.67,0.0,-2.6100000000000096
Sep 2017,124.84,8.12,126.8,135.19,2.3,1.08,3.37,1.2,1.39,0,-1.99,0,115.33,0.51,3.39,0.21,119.43,5.96,-776.85,0.0,-1.1800000000000601
Oct 2017,46.0,0.9,98.82,100.72,0.76,0.65,1.58,0.18,0.51,0,-1.48,0,44.58,0.38,1.51,0.03,46.49,5.96,-779.82,0.0,-2.97000000000003
Nov 2017,80.54,1.14,91.13,93.39,0.48,0.58,1.27,0.0,0.9,0,-1.36,0,78.5,0.35,1.17,0.0,80.02,5.96,-782.22,0.0,-2.39999999999998
Dec 2017,12.3,0.28,59.02,60.06,0.47,0.58,1.27,0.0,0.14,0,-0.88,0,11.89,0.22,1.16,0.0,13.27,5.96,-783.94,0.0,-1.7200000000000302
Jan 2018,32.79,0.55,47.87,49.05,0.47,0.58,1.27,0.0,0.37,0,-0.71,0,31.88,0.18,1.17,0.0,33.23,5.96,-785.96,0.0,-2.01999999999998
Feb 2018,67.55,1.08,60.55,62.4,0.48,0.58,1.28,0.0,0.75,0,-0.91,0,65.72,0.23,1.18,0.0,67.13,5.96,-787.58,0.0,-1.62
Mar 2018,75.93,2.47,123.93,127.88,0.49,0.58,1.28,0.0,0.85,0,-1.87,0,72.61,0.48,1.19,0.0,74.27,5.96,-789.0,0.0,-1.41999999999996
Apr 2018,107.81,2.11,219.48,224.06,0.57,0.6,1.35,0.04,1.2,0,-3.28,0,104.51,0.83,1.28,0.01,106.63,5.96,-791.3,0.0,-2.29999999999995
May 2018,39.29,1.75,247.74,250.55,2.99,1.28,4.17,1.64,0.44,0,-3.71,0,37.1,0.94,4.24,0.26,42.54,5.96,-794.69,0.0,-3.3900000000001
Jun 2018,208.31,3.8,259.63,264.92,2.55,1.16,3.65,1.34,2.32,0,-3.88,0,202.19,0.99,3.71,0.3,207.19,5.96,-800.75,0.0,-6.05999999999995
Jul 2018,133.77,2.84,119.02,121.34,3.19,1.34,4.4,1.77,1.49,0,-1.79,0,129.43,0.46,4.49,0.32,134.7,5.96,-804.93,0.0,-4.17999999999995
Aug 2018,375.28,5.0,138.23,144.02,1.67,0.92,2.66,0.78,4.18,0,-2.06,0,366.1,0.52,2.66,0.27,369.55,5.96,-808.19,0.0,-3.2600000000001
Sep 2018,206.03,3.16,86.97,90.16,1.92,0.98,2.9,0.92,2.29,0,-1.3,0,200.58,0.33,2.9,0.21,204.01,5.93,-808.22,-0.0300000000000002,-0.0299999999999727
