date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,211.74,4.41,75.35,9.51,69.08,0.07,0.3,-1.3,6.53,0,-1.72,0,200.81,2.96,3.48,0.0,207.25,360.86,-182.47,0.0,0.0
Feb 2016,176.37,3.67,77.11,29.48,50.1,0.07,0.3,-1.29,5.44,0,-1.76,0,167.26,3.03,4.09,0.0,174.38,427.98,-179.26,67.12,3.2100000000000097
Mar 2016,13.46,0.28,54.71,108.45,0.03,54.4,0.33,-1.29,0.42,0,-1.25,0,12.76,2.15,8.26,0.09,23.26,475.51,-177.17,47.53,2.09
Apr 2016,15.87,0.33,29.53,88.89,15.11,74.63,2.3,-0.93,0.49,0,-0.67,0,15.05,1.16,11.95,5.39,33.55,414.5,-179.7,-61.01,-2.53
May 2016,288.81,6.01,131.77,103.65,33.31,1.36,2.07,-0.98,8.91,0,-3.0,0,273.89,5.18,13.09,6.52,298.68,346.26,-188.52,-68.24,-8.82000000000002
Jun 2016,211.57,4.4,66.44,130.46,6.94,67.66,2.75,-0.86,6.53,0,-1.51,0,200.64,2.61,15.53,8.06,226.84,368.18,-192.18,21.92,-3.66
Jul 2016,348.0,7.24,85.59,138.59,2.2,49.36,2.64,-0.88,10.73,0,-1.95,0,330.02,3.36,13.46,8.12,354.95,295.53,-198.84,-72.65,-6.66
Aug 2016,132.35,2.75,38.26,108.41,2.41,70.44,2.87,-0.85,4.08,0,-0.87,0,125.51,1.5,10.37,7.11,144.49,238.44,-201.7,-57.09,-2.8599999999999905
Sep 2016,315.15,6.56,52.67,67.49,12.95,22.07,2.07,-1.0,9.72,0,-1.2,0,298.87,2.07,7.11,5.91,313.95,163.76,-209.32,-74.68,-7.62
Oct 2016,468.11,9.74,100.69,21.53,87.79,0.54,0.95,-1.2,14.44,0,-2.29,0,443.93,3.95,3.72,3.37,454.96,150.59,-209.77,-13.17,-0.45000000000001705
Nov 2016,16.53,0.34,50.28,0.07,50.34,0.07,0.3,-1.31,0.51,0,-0.39,0,15.68,0.67,2.8,0.0,19.14,236.27,-203.14,85.68,6.630000000000019
Dec 2016,141.32,2.94,56.04,1.44,56.69,0.07,0.3,-1.3,4.36,0,-1.28,0,134.02,2.2,2.08,0.0,138.29,285.35,-204.62,49.08,-1.48000000000002
Jan 2017,160.48,3.34,57.99,9.1,51.35,0.07,0.3,-1.3,4.95,0,-1.32,0,152.19,2.28,2.65,0.0,157.12,341.49,-203.14,56.14,1.48000000000002
Feb 2017,72.81,1.52,59.49,28.27,31.82,0.07,0.3,-1.3,2.25,0,-1.36,0,69.05,2.34,4.6,0.0,75.99,391.71,-201.11,50.22,2.02999999999997
Mar 2017,65.93,1.37,77.68,108.84,0.0,31.07,0.3,-1.3,2.03,0,-1.77,0,62.52,3.05,6.94,0.0,72.51,420.45,-201.82,28.74,-0.70999999999998
Apr 2017,57.95,1.21,82.58,88.92,14.01,20.51,1.05,-1.16,1.79,0,-1.88,0,54.95,3.24,10.06,2.25,70.51,384.04,-203.15,-36.41,-1.33000000000001
May 2017,63.2,1.32,136.8,100.04,37.68,1.85,2.76,-0.85,1.95,0,-3.12,0,59.94,5.37,15.17,7.21,87.69,369.69,-207.7,-14.35,-4.54999999999998
Jun 2017,13.98,0.29,109.72,126.69,7.11,25.6,3.47,-0.72,0.43,0,-2.5,0,13.26,4.31,18.45,9.2,45.22,393.95,-219.69,24.26,-11.99
Jul 2017,162.86,3.39,45.31,136.22,2.71,90.98,3.18,-0.78,5.02,0,-1.03,0,154.45,1.78,16.02,8.62,180.87,361.22,-235.16,-32.73,-15.47
Aug 2017,386.6,8.05,85.59,111.74,7.66,27.18,2.39,-0.93,11.92,0,-1.95,0,366.63,3.36,10.52,7.43,387.93,260.89,-243.75,-100.33,-8.59
Sep 2017,376.36,7.83,79.32,62.25,39.89,16.29,1.98,-1.01,11.61,0,-1.81,0,356.92,3.12,8.04,6.04,374.12,234.18,-244.52,-26.71,-0.77000000000001
Oct 2017,352.36,7.33,62.92,19.63,50.32,0.73,1.21,-1.14,10.87,0,-1.43,0,334.16,2.47,5.13,3.49,345.25,252.71,-243.74,18.53,0.780000000000001
Nov 2017,165.89,3.45,50.74,1.97,51.45,0.07,0.3,-1.3,5.12,0,-1.16,0,157.32,1.99,3.42,0.0,162.73,299.52,-240.15,46.81,3.59
Dec 2017,167.93,3.49,56.95,1.8,57.79,0.07,0.3,-1.3,5.18,0,-1.3,0,159.26,2.24,2.43,0.0,163.93,349.08,-237.79,49.56,2.3600000000000096
Jan 2018,58.05,1.21,44.42,7.72,37.26,0.07,0.3,-1.29,1.79,0,-1.01,0,55.05,1.74,2.83,0.0,59.63,405.96,-235.5,56.88,2.2899999999999903
Feb 2018,42.71,0.89,46.63,28.03,24.09,5.37,0.3,-1.29,1.32,0,-1.06,0,40.51,1.83,4.78,0.0,47.12,441.91,-236.32,35.95,-0.8199999999999928
Mar 2018,77.6,1.61,56.18,109.34,0.02,52.5,0.32,-1.29,2.39,0,-1.28,0,73.59,2.21,7.99,0.07,83.86,457.44,-237.66,15.53,-1.34
Apr 2018,6.26,0.13,70.89,88.06,15.16,33.37,2.38,-0.92,0.19,0,-1.62,0,5.93,2.78,12.06,5.59,26.37,398.59,-238.23,-58.85,-0.569999999999993
