date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,3.02,0.06,21.54,7.29,14.06,0.1,0.36,-1.3,0.09,0,-0.49,0,2.86,0.85,3.72,0.0,7.43,360.87,-185.55,0.0,0.0
Feb 2016,116.04,2.41,63.55,28.88,36.13,0.1,0.36,-1.3,3.58,0,-1.45,0,110.05,2.5,4.0,0.0,116.54,372.78,-187.61,11.91,-2.06
Mar 2016,11.54,0.24,31.35,108.83,0.06,77.82,0.42,-1.29,0.36,0,-0.71,0,10.95,1.23,8.0,0.21,20.4,406.47,-187.14,33.6900000000001,0.47000000000002706
Apr 2016,14.18,0.3,50.79,88.61,14.86,53.21,2.1,-0.99,0.44,0,-1.16,0,13.44,1.99,11.63,6.04,33.1,322.42,-189.42,-84.05,-2.28
May 2016,1.83,0.04,26.0,101.04,23.02,98.45,2.51,-0.92,0.06,0,-0.59,0,1.74,1.02,13.64,7.59,24.0,275.52,-199.26,-46.9,-9.84
Jun 2016,114.11,2.37,37.61,129.73,2.18,92.55,2.69,-0.9,3.52,0,-0.86,0,108.22,1.48,12.8,9.04,131.53,189.87,-210.82,-85.65,-11.56
Jul 2016,578.18,12.03,80.15,94.76,16.87,20.78,1.83,-1.06,17.83,0,-1.83,0,548.31,3.15,6.86,7.98,566.31,90.29,-220.78,-99.58,-9.96000000000001
Aug 2016,423.97,8.82,87.45,79.69,16.36,1.22,1.91,-1.05,13.08,0,-1.99,0,402.07,3.43,4.97,7.16,417.63,82.42,-215.65,-7.87,5.13
Sep 2016,1124.04,23.39,103.9,63.54,64.0,1.96,0.63,-1.28,34.67,0,-2.37,0,1065.97,4.08,3.7,5.58,1079.34,95.54,-214.68,13.12,0.969999999999999
Oct 2016,28.02,0.58,15.86,15.51,2.75,2.07,1.87,-1.04,0.86,0,-0.36,0,26.57,0.62,5.11,4.24,36.54,155.79,-189.86,60.25,24.82
Nov 2016,20.8,0.43,31.05,0.1,31.11,0.1,0.36,-1.32,0.64,0,-0.51,0,19.72,0.87,2.43,0.0,23.03,154.27,-196.51,-1.51999999999998,-6.649999999999981
Dec 2016,18.82,0.39,37.52,0.1,37.59,0.1,0.36,-1.31,0.58,0,-0.44,0,17.85,0.77,1.66,0.0,20.27,184.53,-198.06,30.26,-1.55000000000001
Jan 2017,106.62,2.22,57.52,8.4,50.49,0.1,0.36,-1.31,3.29,0,-1.31,0,101.12,2.26,2.15,0.0,105.53,222.04,-199.6,37.51,-1.5399999999999898
Feb 2017,50.66,1.05,37.02,28.39,24.1,15.02,0.36,-1.31,1.56,0,-0.84,0,48.04,1.45,3.12,0.0,52.61,271.95,-199.29,49.91,0.310000000000002
Mar 2017,32.31,0.67,41.93,108.97,0.14,67.2,0.51,-1.28,1.0,0,-0.96,0,30.64,1.65,7.05,0.52,39.85,279.59,-200.25,7.639999999999991,-0.9600000000000078
Apr 2017,1.29,0.03,23.13,74.01,1.63,52.86,2.1,-1.0,0.04,0,-0.53,0,1.22,0.91,9.14,5.94,17.21,207.27,-202.51,-72.32,-2.25999999999999
May 2017,72.35,1.51,20.78,16.7,6.81,1.57,2.39,-0.95,2.23,0,-0.47,0,68.61,0.82,8.59,7.6,85.62,150.0,-212.05,-57.27,-9.540000000000019
Jun 2017,16.83,0.35,29.99,20.93,10.81,1.9,2.85,-0.87,0.52,0,-0.68,0,15.96,1.18,9.23,8.92,35.28,150.0,-221.23,0.0,-9.17999999999998
Jul 2017,362.74,7.55,51.58,32.13,27.61,1.47,2.25,-0.97,11.19,0,-1.18,0,344.0,2.03,8.17,8.29,362.49,153.4,-234.03,3.4000000000000097,-12.8
Aug 2017,424.64,8.84,79.11,37.98,49.87,1.21,1.9,-1.04,13.1,0,-1.8,0,402.71,3.11,7.32,7.09,420.23,174.6,-235.53,21.2,-1.5
Sep 2017,32.53,0.68,4.36,37.01,7.13,39.17,2.33,-0.95,1.0,0,-0.1,0,30.85,0.17,8.12,6.06,45.2,218.87,-234.26,44.27,1.27000000000001
Oct 2017,768.33,15.99,95.89,26.94,83.58,0.23,0.54,-1.28,23.7,0,-2.19,0,728.64,3.77,4.38,3.7,740.48,181.99,-242.7,-36.88,-8.44
Nov 2017,32.73,0.68,27.99,0.16,28.15,0.1,0.36,-1.31,1.01,0,-0.64,0,31.04,1.1,3.37,0.0,35.52,262.8,-226.71,80.81,15.99
Dec 2017,232.91,4.85,46.86,3.01,48.02,0.1,0.36,-1.3,7.18,0,-1.07,0,220.88,1.84,2.07,0.0,224.79,289.14,-228.01,26.34,-1.29999999999998
Jan 2018,277.58,5.78,93.01,10.28,87.07,0.1,0.37,-1.3,8.56,0,-2.12,0,263.25,3.65,2.96,0.0,269.86,336.67,-223.56,47.53,4.44999999999999
Feb 2018,145.86,3.04,81.73,28.98,54.53,0.1,0.37,-1.3,4.5,0,-1.86,0,138.32,3.21,4.09,0.0,145.63,422.34,-218.79,85.67,4.770000000000009
Mar 2018,147.0,3.06,101.59,109.59,19.51,26.12,0.37,-1.29,4.53,0,-2.32,0,139.41,3.99,7.12,0.0,150.52,474.34,-217.81,52.0,0.97999999999999
Apr 2018,112.47,2.34,87.92,89.59,14.24,15.01,1.22,-1.14,3.47,0,-2.0,0,106.66,3.45,11.96,3.42,125.49,462.28,-217.25,-12.06,0.560000000000002
May 2018,269.63,5.61,183.95,102.36,85.49,1.32,2.05,-0.99,8.32,0,-4.19,0,255.7,7.22,16.98,7.73,287.63,451.9,-221.56,-10.38,-4.31
