date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,97.46,2.03,61.01,8.06,54.08,0.1,0.36,-1.3,3.01,0,-1.39,0,92.43,2.4,2.93,0.0,97.76,360.87,-185.18,0.0,0.0
Feb 2016,86.78,1.81,49.36,28.66,24.18,2.49,0.36,-1.3,2.68,0,-1.13,0,82.3,1.94,3.54,0.0,87.78,413.59,-185.22,52.72,-0.03999999999999201
Mar 2016,28.89,0.6,71.13,108.42,0.07,37.94,0.44,-1.28,0.89,0,-1.62,0,27.4,2.79,8.26,0.21,38.66,433.41,-185.33,19.820000000000103,-0.110000000000014
Apr 2016,34.44,0.72,123.38,87.63,36.07,1.64,2.48,-0.91,1.06,0,-2.81,0,32.66,4.85,12.91,6.02,56.44,389.01,-188.0,-44.4,-2.66999999999999
May 2016,0.13,0.0,127.42,99.22,28.17,2.07,3.09,-0.8,0.0,0,-2.9,0,0.12,5.0,17.19,7.72,30.04,413.93,-199.16,24.92,-11.16
Jun 2016,56.3,1.17,67.43,128.06,7.04,67.61,3.35,-0.76,1.74,0,-1.54,0,53.39,2.65,18.2,8.8,83.04,426.73,-213.68,12.8,-14.52
Jul 2016,298.09,6.2,58.11,138.1,2.45,77.19,2.98,-0.83,9.19,0,-1.32,0,282.69,2.28,15.89,8.75,309.61,352.06,-226.38,-74.67,-12.7
Aug 2016,499.34,10.39,87.5,113.53,9.66,26.74,2.2,-0.98,15.4,0,-1.99,0,473.54,3.44,10.36,7.35,494.69,265.25,-231.07,-86.81,-4.69
Sep 2016,1210.0,25.18,96.0,81.23,57.71,19.34,0.65,-1.26,37.32,0,-2.19,0,1147.5,3.77,6.36,5.59,1163.22,240.98,-228.19,-24.27,2.88
Oct 2016,868.43,18.07,88.9,28.31,77.32,0.12,0.4,-1.3,26.79,0,-2.03,0,823.57,3.49,4.4,3.12,834.58,274.9,-200.56,33.92,27.63
Nov 2016,106.76,2.22,77.2,0.56,77.69,0.1,0.37,-1.3,3.29,0,-1.76,0,101.25,3.03,2.95,0.0,107.23,349.4,-180.61,74.5,19.95
Dec 2016,104.67,2.18,68.6,0.58,69.17,0.1,0.37,-1.29,3.23,0,-1.56,0,99.27,2.69,2.62,0.0,104.58,425.71,-180.74,76.31,-0.12999999999999498
Jan 2017,269.12,5.6,77.27,10.23,71.46,0.1,0.37,-1.29,8.3,0,-1.76,0,255.22,3.04,3.08,0.0,261.34,493.82,-180.74,68.11,0.0
Feb 2017,76.67,1.6,54.07,28.37,26.51,0.1,0.37,-1.29,2.36,0,-1.23,0,72.71,2.12,4.93,0.0,79.77,563.76,-175.85,69.94,4.8900000000000095
Mar 2017,422.15,8.79,128.86,112.73,48.26,25.46,0.37,-1.28,13.02,0,-2.94,0,400.34,5.06,9.37,0.14,414.91,586.88,-176.37,23.12,-0.52000000000001
Apr 2017,283.53,5.9,164.25,90.5,77.99,1.05,1.67,-1.05,8.75,0,-3.74,0,268.89,6.45,12.53,5.03,292.9,601.97,-168.09,15.09,8.28
May 2017,9.62,0.2,130.48,99.35,31.06,1.89,2.83,-0.83,0.3,0,-2.97,0,9.13,5.12,18.53,6.72,39.51,669.1,-170.84,67.13,-2.75
Jun 2017,222.8,4.64,133.26,129.14,8.51,1.94,2.91,-0.82,6.87,0,-3.04,0,211.3,5.23,21.22,8.55,246.29,683.41,-183.91,14.3099999999999,-13.07
Jul 2017,302.24,6.29,86.26,137.15,2.39,48.41,2.91,-0.82,9.32,0,-1.97,0,286.63,3.39,19.99,8.5,318.51,672.49,-192.35,-10.92,-8.44
Aug 2017,603.36,12.56,131.59,113.15,55.19,26.36,1.95,-1.0,18.61,0,-3.0,0,572.2,5.17,14.22,7.21,598.79,610.21,-197.23,-62.28,-4.88
Sep 2017,272.05,5.66,108.35,62.27,69.42,19.46,2.18,-0.95,8.39,0,-2.47,0,258.0,4.26,12.07,5.72,280.04,627.78,-191.77,17.5699999999999,5.459999999999981
Oct 2017,24.18,0.5,71.34,13.52,58.52,1.37,2.12,-0.96,0.75,0,-1.63,0,22.93,2.8,9.34,3.87,38.94,668.8,-194.7,41.02,-2.9299999999999797
Nov 2017,105.57,2.2,65.68,0.49,66.4,0.1,0.37,-1.27,3.26,0,-1.5,0,100.12,2.58,4.95,0.0,107.64,719.69,-202.53,50.89000000000011,-7.83000000000001
Dec 2017,2.31,0.05,42.11,0.1,42.13,0.1,0.37,-1.27,0.07,0,-0.04,0,2.19,0.07,3.46,0.0,5.72,782.68,-202.42,62.989999999999895,0.110000000000014
Jan 2018,19.82,0.41,37.42,7.23,30.08,0.1,0.37,-1.27,0.61,0,-0.85,0,18.8,1.47,4.24,0.0,24.51,822.89,-204.03,40.21,-1.61000000000001
Feb 2018,39.83,0.83,49.98,27.86,24.08,1.95,0.37,-1.27,1.23,0,-1.14,0,37.77,1.96,6.59,0.0,46.32,850.28,-205.91,27.39,-1.88
Mar 2018,58.75,1.22,101.72,108.2,19.48,26.41,0.44,-1.26,1.81,0,-2.32,0,55.72,4.0,12.01,0.21,71.93,867.46,-207.46,17.1800000000001,-1.55000000000001
Apr 2018,38.47,0.8,168.57,86.84,81.37,1.63,2.47,-0.89,1.19,0,-3.84,0,36.48,6.62,18.64,5.99,67.73,850.21,-209.88,-17.25,-2.41999999999999
May 2018,6.69,0.14,157.02,98.82,57.79,2.04,3.05,-0.78,0.21,0,-3.58,0,6.35,6.17,24.94,7.58,45.03,914.68,-221.89,64.4699999999999,-12.01
Jun 2018,166.18,3.46,166.26,127.55,41.49,2.06,3.07,-0.78,5.13,0,-3.79,0,157.59,6.53,26.18,8.67,198.97,949.32,-236.67,34.6400000000001,-14.78
Jul 2018,203.83,4.24,82.72,135.49,2.67,52.56,3.22,-0.75,6.29,0,-1.89,0,193.3,3.25,25.65,8.83,231.03,966.42,-247.85,17.0999999999999,-11.18
Aug 2018,610.4,12.7,139.88,112.05,64.64,26.41,2.0,-0.97,18.83,0,-3.19,0,578.87,5.49,17.99,7.41,609.77,894.85,-256.24,-71.56999999999991,-8.39000000000001
Sep 2018,318.83,6.64,84.07,59.87,45.91,16.46,2.11,-0.95,9.83,0,-1.92,0,302.36,3.3,15.17,5.81,326.64,918.05,-250.98,23.1999999999999,5.260000000000019
Oct 2018,2.12,0.04,25.95,13.92,13.07,1.42,2.19,-0.94,0.07,0,-0.59,0,2.01,1.02,11.61,3.91,18.55,935.4,-251.93,17.35,-0.9500000000000172
Nov 2018,4.93,0.1,41.63,0.1,41.67,0.1,0.37,-1.27,0.15,0,-0.09,0,4.68,0.15,6.62,0.0,11.45,938.56,-259.49,3.1599999999999704,-7.56
Dec 2018,33.2,0.69,47.2,0.1,47.49,0.1,0.37,-1.26,1.02,0,-0.55,0,31.49,0.95,4.93,0.0,37.37,975.16,-261.07,36.6,-1.57999999999998
Jan 2019,3.35,0.07,31.57,7.12,24.1,0.1,0.37,-1.26,0.1,0,-0.72,0,3.18,1.24,5.16,0.0,9.58,1019.25,-262.23,44.09,-1.1600000000000301
Feb 2019,8.38,0.17,45.32,27.55,24.02,6.82,0.38,-1.26,0.26,0,-1.03,0,7.95,1.78,8.47,0.01,18.2,1039.72,-264.49,20.47,-2.25999999999999
Mar 2019,18.91,0.39,78.37,107.76,1.56,31.84,2.03,-0.96,0.58,0,-1.79,0,17.93,3.08,15.29,4.06,40.36,1050.09,-266.91,10.3699999999999,-2.42000000000002
Apr 2019,26.16,0.54,84.52,88.05,15.23,19.62,2.48,-0.88,0.81,0,-1.93,0,24.81,3.32,20.44,5.91,54.47,1007.51,-275.16,-42.5799999999999,-8.25
May 2019,2.01,0.04,96.24,99.77,23.53,28.6,3.07,-0.78,0.06,0,-2.19,0,1.9,3.78,26.23,7.61,39.53,986.06,-285.56,-21.45,-10.4
Jun 2019,133.27,2.77,44.85,129.15,7.09,89.36,3.21,-0.75,4.11,0,-1.02,0,126.39,1.76,27.2,8.93,164.28,958.6,-299.14,-27.4599999999999,-13.58
Jul 2019,346.1,7.2,66.51,137.66,2.32,67.37,2.85,-0.82,10.68,0,-1.52,0,328.22,2.61,22.95,8.6,362.38,853.11,-308.96,-105.49,-9.81999999999999
