date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,282.26,1.51,85.23,76.33,0.01,0.17,0.46,0.0,8.5,0,0.46,0,272.25,10.11,0.3,0.0,282.66,0,-70.91,0,0.0
Feb 2016,310.29,1.66,87.08,78.09,0.01,0.17,0.46,0.0,9.34,0,0.47,0,299.29,10.33,0.3,0.0,309.93,0,-62.41,0,8.5
Mar 2016,57.12,0.3,63.03,55.68,0.01,0.17,0.46,0.0,1.72,0,0.34,0,55.09,7.48,0.3,0.0,62.87,0,-53.06,0,9.34999999999999
Apr 2016,29.46,0.16,34.82,30.73,0.28,0.35,0.54,0.04,0.89,0,0.19,0,28.42,4.13,0.43,1.62,34.6,0,-51.46,0,1.6
May 2016,539.0,2.87,151.53,134.98,2.23,1.6,1.09,0.36,16.23,0,0.82,0,519.9,17.98,1.36,17.96,557.2,0,-52.5,0,-1.04
Jun 2016,280.79,1.5,86.82,76.51,3.4,2.36,1.42,0.55,8.45,0,0.47,0,270.84,10.3,1.92,22.36,305.42,0,-54.16,0,-1.66
Jul 2016,690.84,3.68,103.56,93.53,2.94,2.06,1.29,0.47,20.8,0,0.56,0,666.36,12.29,1.69,22.93,703.28,0,-68.47,0,-14.31
Aug 2016,215.66,1.15,41.25,36.22,3.46,2.4,1.44,0.56,6.49,0,0.22,0,208.02,4.89,1.94,19.93,234.79,0,-70.87,0,-2.4000000000000097
Sep 2016,503.96,2.69,58.15,52.96,2.36,1.69,1.13,0.38,15.17,0,0.31,0,486.1,6.9,1.42,16.36,510.78,0,-84.97,0,-14.1
Oct 2016,838.41,4.47,110.96,101.76,0.21,0.3,0.52,0.03,25.24,0,0.6,0,808.7,13.17,0.4,4.4,826.67,0,-86.59,0,-1.62
