date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,132.56,0.71,66.64,59.22,0.01,0.14,0.41,0.0,3.99,0,0.36,0,127.86,7.91,0.28,0.0,136.05,0,-67.83,0,0.0
Feb 2016,149.47,0.8,53.24,47.56,0.01,0.14,0.41,0.0,4.5,0,0.29,0,144.17,6.32,0.28,0.0,150.76,0,-63.89,0,3.94
Mar 2016,67.79,0.36,78.6,69.35,0.01,0.14,0.41,0.0,2.04,0,0.42,0,65.39,9.33,0.28,0.0,74.99,0,-59.52,0,4.37
Apr 2016,67.77,0.36,140.51,123.14,1.25,0.95,0.77,0.2,2.04,0,0.76,0,65.37,16.67,0.87,5.75,88.66,0,-57.46,0,2.06
May 2016,1.82,0.01,150.26,130.05,4.86,3.28,1.79,0.78,0.05,0,0.81,0,1.75,17.83,2.59,21.27,43.44,0,-60.98,0,-3.52
Jun 2016,113.15,0.6,72.42,62.29,5.34,3.59,1.92,0.86,3.41,0,0.39,0,109.14,8.59,2.81,24.75,145.3,0,-82.39,0,-21.41
Jul 2016,458.0,2.44,66.51,59.14,4.82,3.25,1.78,0.78,13.79,0,0.36,0,441.77,7.89,2.57,24.97,477.2,0,-104.4,0,-22.01
Aug 2016,764.47,4.08,107.72,97.36,3.42,2.35,1.38,0.55,23.01,0,0.58,0,737.38,12.78,1.9,20.89,772.96,0,-116.23,0,-11.83
Sep 2016,1395.24,7.44,101.42,96.01,1.15,0.88,0.74,0.18,42.0,0,0.55,0,1345.79,12.03,0.82,15.79,1374.44,0,-114.35,0,1.88000000000001
Oct 2016,1110.77,5.92,95.78,89.96,0.01,0.14,0.41,0.0,33.44,0,0.52,0,1071.41,11.36,0.28,4.32,1087.37,0,-88.14,0,26.21
Nov 2016,185.67,0.99,88.18,78.37,0.01,0.14,0.41,0.0,5.59,0,0.47,0,179.09,10.46,0.28,0.0,189.83,0,-58.92,0,29.22
Dec 2016,201.87,1.08,78.29,69.79,0.01,0.14,0.41,0.0,6.08,0,0.42,0,194.71,9.29,0.28,0.0,204.28,0,-53.27,0,5.65
Jan 2017,346.18,1.85,83.88,75.46,0.01,0.14,0.41,0.0,10.42,0,0.45,0,333.91,9.95,0.28,0.0,344.14,0,-47.18,0,6.09
Feb 2017,140.9,0.75,58.64,52.25,0.01,0.14,0.41,0.0,4.24,0,0.32,0,135.91,6.96,0.28,0.0,143.14,0,-36.72,0,10.46
Mar 2017,658.02,3.51,140.88,127.05,0.01,0.14,0.41,0.0,19.81,0,0.76,0,634.7,16.72,0.28,0.0,651.69,0,-32.58,0,4.14
Apr 2017,605.97,3.23,181.82,162.61,0.1,0.2,0.44,0.02,18.24,0,0.98,0,584.49,21.57,0.32,1.17,607.56,0,-12.43,0,20.15
May 2017,34.2,0.18,152.63,132.48,4.36,2.96,1.65,0.7,1.03,0,0.82,0,32.99,18.11,2.35,18.62,72.07,0,5.2,0,17.63
Jun 2017,364.1,1.94,153.02,134.51,4.56,3.09,1.71,0.74,10.96,0,0.82,0,351.2,18.16,2.45,23.93,395.73,0,-12.52,0,-17.72
Jul 2017,484.7,2.59,100.92,89.51,4.59,3.11,1.72,0.74,14.59,0,0.54,0,467.53,11.97,2.46,23.99,505.95,0,-25.63,0,-13.11
Aug 2017,911.03,4.86,147.4,133.05,3.0,2.08,1.26,0.48,27.43,0,0.79,0,878.75,17.49,1.7,20.35,918.29,0,-35.46,0,-9.83
