date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,79.87,4.64,11.6,23.02,0.4,0.28,1.9,0.78,8.33,0,-7.76,0,66.9,0.86,1.25,0.0,69.01,0,-345.97,0,0.0
Feb 2016,58.85,3.42,13.39,24.64,0.4,0.28,1.9,0.78,6.14,0,-8.96,0,49.29,0.99,1.25,0.0,51.53,0,-346.52,0,-0.549999999999955
Mar 2016,249.69,14.5,15.94,39.81,0.4,0.28,1.9,0.78,26.04,0,-10.67,0,209.15,1.18,1.25,0.0,211.58,0,-350.47,0,-3.95000000000005
Apr 2016,54.27,3.15,12.38,22.76,0.4,0.28,1.9,0.78,5.66,0,-8.28,0,45.46,0.91,1.25,0.0,47.63,0,-336.22,0,14.25
May 2016,67.58,3.93,39.5,66.7,0.7,0.46,1.91,0.78,7.05,0,-26.43,0,56.61,2.92,1.37,0.07,60.97,0,-339.96,0,-3.73999999999995
Jun 2016,27.07,1.57,30.16,43.07,17.26,10.64,2.18,0.78,2.82,0,-20.18,0,22.67,2.23,8.02,3.13,36.05,0,-360.54,0,-20.58
Jul 2016,281.92,16.37,7.26,23.72,11.08,6.84,2.08,0.78,29.4,0,-4.86,0,236.15,0.54,5.54,3.14,245.36,0,-382.44,0,-21.9
Aug 2016,405.68,23.56,2.2,24.8,5.98,3.7,2.0,0.78,42.3,0,-1.47,0,339.81,0.16,3.49,2.54,346.0,0,-362.33,0,20.11
Sep 2016,254.99,14.81,0.71,13.94,5.3,3.29,1.98,0.78,26.59,0,-0.48,0,213.59,0.05,3.22,1.63,218.49,0,-325.26,0,37.07
Oct 2016,91.76,5.33,0.77,6.44,0.4,0.28,1.9,0.78,9.57,0,-0.52,0,76.86,0.06,1.25,0.0,78.17,0,-301.98,0,23.28
Nov 2016,378.4,21.98,9.22,36.56,0.4,0.28,1.9,0.78,39.46,0,-6.17,0,316.96,0.68,1.25,0.0,318.89,0,-294.05,0,7.9300000000000095
Dec 2016,72.95,4.24,11.13,21.86,0.4,0.28,1.9,0.78,7.61,0,-7.44,0,61.11,0.82,1.25,0.0,63.18,0,-261.89,0,32.16
Jan 2017,269.86,15.67,11.3,33.58,0.4,0.28,1.9,0.78,28.14,0,-7.56,0,226.04,0.84,1.25,0.0,228.13,0,-262.85,0,-0.9600000000000359
Feb 2017,191.19,11.1,14.1,33.47,0.4,0.28,1.9,0.78,19.94,0,-9.43,0,160.15,1.04,1.25,0.0,162.44,0,-243.4,0,19.45
Mar 2017,323.37,18.78,16.24,44.56,0.4,0.28,1.91,0.78,33.72,0,-10.87,0,270.87,1.2,1.25,0.0,273.32,0,-234.02,0,9.38
Apr 2017,268.35,15.59,6.9,26.47,0.4,0.28,1.91,0.78,27.98,0,-4.62,0,224.78,0.51,1.25,0.0,226.55,0,-212.29,0,21.73
May 2017,227.58,13.22,44.15,83.48,0.47,0.32,1.91,0.78,23.73,0,-29.53,0,190.63,3.26,1.28,0.05,195.22,0,-190.05,0,22.24
Jun 2017,62.3,3.62,91.21,143.32,15.11,9.32,2.15,0.78,6.5,0,-61.02,0,52.18,6.74,7.16,2.83,68.92,0,-197.03,0,-6.979999999999991
Jul 2017,290.52,16.87,45.93,86.14,10.47,6.47,2.07,0.78,30.3,0,-30.73,0,243.35,3.39,5.29,3.04,255.08,0,-255.76,0,-58.73
Aug 2017,395.33,22.96,25.82,61.65,6.56,4.07,2.01,0.78,41.23,0,-17.28,0,331.15,1.91,3.73,2.63,339.41,0,-260.52,0,-4.759999999999991
Sep 2017,201.78,11.72,18.38,39.29,4.64,2.88,1.98,0.78,21.04,0,-12.3,0,169.02,1.36,2.95,1.22,174.56,0,-240.43,0,20.09
Oct 2017,276.48,16.06,17.97,44.59,0.4,0.28,1.91,0.78,28.83,0,-12.02,0,231.59,1.33,1.25,0.0,234.17,0,-234.11,0,6.3199999999999905
Nov 2017,219.1,12.73,25.64,53.5,0.4,0.28,1.91,0.78,22.85,0,-17.16,0,183.53,1.9,1.25,0.0,186.68,0,-218.43,0,15.68
Dec 2017,63.0,3.66,19.81,35.14,0.4,0.28,1.91,0.78,6.57,0,-13.25,0,52.77,1.46,1.25,0.0,55.49,0,-213.87,0,4.56
Jan 2018,143.05,8.31,18.5,37.7,0.4,0.28,1.91,0.78,14.92,0,-12.38,0,119.82,1.37,1.25,0.0,122.45,0,-221.68,0,-7.81
Feb 2018,130.27,7.57,21.66,41.98,0.4,0.28,1.91,0.78,13.58,0,-14.49,0,109.12,1.6,1.25,0.0,111.97,0,-220.27,0,1.41
Mar 2018,239.88,13.93,27.9,58.32,0.4,0.28,1.91,0.78,25.01,0,-18.67,0,200.93,2.06,1.25,0.0,204.25,0,-222.3,0,-2.03
Apr 2018,175.7,10.2,40.34,74.42,0.4,0.28,1.91,0.78,18.32,0,-26.99,0,147.18,2.98,1.26,0.0,151.41,0,-217.09,0,5.21000000000001
May 2018,135.58,7.87,129.88,214.78,0.78,0.51,1.92,0.78,14.14,0,-86.89,0,113.57,9.6,1.41,0.12,124.7,0,-226.88,0,-9.78999999999999
Jun 2018,77.23,4.49,89.36,141.37,14.78,9.12,2.15,0.78,8.05,0,-59.79,0,64.69,6.61,7.02,2.86,81.18,0,-300.89,0,-74.01
Jul 2018,257.81,14.97,29.63,57.78,11.65,7.2,2.1,0.78,26.88,0,-19.82,0,215.95,2.19,5.77,3.13,227.05,0,-356.85,0,-55.96
Aug 2018,177.06,10.28,16.06,31.28,12.1,7.47,2.1,0.78,18.46,0,-10.75,0,148.32,1.19,5.95,2.69,158.14,0,-354.24,0,2.6100000000000096
Sep 2018,258.18,15.0,7.5,25.35,4.24,2.64,1.97,0.78,26.92,0,-5.02,0,216.26,0.55,2.8,1.38,221.0,0,-350.53,0,3.71000000000004
Oct 2018,164.18,9.54,5.06,17.48,0.4,0.28,1.91,0.78,17.12,0,-3.38,0,137.53,0.37,1.26,0.0,139.16,0,-331.2,0,19.33
Nov 2018,169.02,9.82,10.83,26.96,0.4,0.28,1.91,0.78,17.62,0,-7.24,0,141.57,0.8,1.26,0.0,143.63,0,-318.59,0,12.61
Dec 2018,137.24,7.97,11.96,26.92,0.4,0.28,1.91,0.78,14.31,0,-8.0,0,114.96,0.88,1.26,0.0,117.1,0,-309.34,0,9.25
Jan 2019,136.33,7.92,12.14,27.15,0.4,0.28,1.91,0.78,14.22,0,-8.12,0,114.2,0.9,1.26,0.0,116.35,0,-304.16,0,5.17999999999995
Feb 2019,222.68,12.93,14.93,36.63,0.4,0.28,1.91,0.78,23.22,0,-9.99,0,186.52,1.1,1.26,0.0,188.89,0,-299.2,0,4.96000000000004
Mar 2019,117.54,6.83,18.09,35.55,0.4,0.28,1.91,0.78,12.26,0,-12.1,0,98.45,1.34,1.26,0.0,101.05,0,-287.1,0,12.1
Apr 2019,280.54,16.29,39.62,79.37,0.4,0.28,1.91,0.78,29.26,0,-26.51,0,234.99,2.93,1.26,0.0,239.18,0,-288.08,0,-0.979999999999961
May 2019,123.9,7.2,109.29,181.41,0.41,0.28,1.91,0.78,12.92,0,-73.12,0,103.78,8.08,1.26,0.0,113.12,0,-286.47,0,1.6099999999999601
Jun 2019,47.87,2.78,62.11,95.57,16.42,10.13,2.18,0.78,4.99,0,-41.56,0,40.1,4.59,7.69,3.07,55.45,0,-347.8,0,-61.33
Jul 2019,244.5,14.2,19.28,40.35,12.04,7.44,2.1,0.78,25.5,0,-12.9,0,204.81,1.42,5.93,3.15,215.31,0,-388.83,0,-41.03
Aug 2019,611.54,35.52,7.97,47.21,2.75,1.72,1.95,0.78,63.77,0,-5.33,0,512.25,0.59,2.2,2.5,517.54,0,-380.71,0,8.12
Sep 2019,329.38,19.13,3.87,25.18,0.4,0.28,1.91,0.78,34.35,0,-2.59,0,275.9,0.29,1.26,0.0,277.44,0,-325.94,0,54.77
Oct 2019,319.89,18.58,3.33,23.77,0.4,0.28,1.91,0.78,33.36,0,-2.23,0,267.95,0.25,1.26,0.0,269.46,0,-295.31,0,30.63
Nov 2019,139.15,8.08,19.46,38.99,0.4,0.28,1.91,0.78,14.51,0,-13.02,0,116.56,1.44,1.26,0.0,119.26,0,-265.32,0,29.99
Dec 2019,166.75,9.68,17.67,37.75,0.4,0.28,1.91,0.78,17.39,0,-11.82,0,139.67,1.31,1.26,0.0,142.24,0,-264.96,0,0.36000000000001403
Jan 2020,61.6,3.58,17.13,30.79,0.4,0.28,1.91,0.78,6.42,0,-11.46,0,51.6,1.27,1.26,0.0,54.12,0,-260.52,0,4.44
Feb 2020,250.36,14.54,19.81,46.02,0.4,0.28,1.91,0.78,26.11,0,-13.25,0,209.72,1.46,1.26,0.0,212.44,0,-266.7,0,-6.1800000000000095
