date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,193.19,11.22,12.55,31.12,0.4,0.28,1.9,0.78,20.15,0,-8.4,0,161.82,0.93,1.25,0.0,164.0,0,-345.97,0,0.0
Feb 2016,347.96,20.21,14.7,43.52,0.4,0.28,1.9,0.78,36.29,0,-9.83,0,291.46,1.09,1.25,0.0,293.8,0,-335.34,0,10.6300000000001
Mar 2016,180.36,10.48,18.15,39.29,0.4,0.28,1.9,0.78,18.81,0,-12.14,0,151.08,1.34,1.25,0.0,153.67,0,-310.01,0,25.33
Apr 2016,112.26,6.52,2.8,10.85,0.4,0.28,1.9,0.78,11.71,0,-1.87,0,94.03,0.21,1.25,0.0,95.49,0,-304.47,0,5.539999999999959
May 2016,354.94,20.62,26.36,62.53,0.4,0.28,1.9,0.78,37.01,0,-17.63,0,297.31,1.95,1.25,0.0,300.52,0,-295.76,0,8.71000000000004
Jun 2016,70.36,4.09,47.77,74.72,14.55,8.98,2.14,0.78,7.34,0,-31.96,0,58.94,3.53,6.93,2.75,72.15,0,-277.5,0,18.26
Jul 2016,371.2,21.56,13.92,40.59,8.32,5.14,2.03,0.78,38.71,0,-9.31,0,310.93,1.03,4.43,2.97,319.37,0,-306.23,0,-28.73
Aug 2016,135.71,7.88,6.49,13.46,12.46,7.69,2.1,0.78,14.15,0,-4.34,0,113.68,0.48,6.09,2.5,122.75,0,-281.07,0,25.16
Sep 2016,157.72,9.16,3.03,13.87,0.4,0.28,1.9,0.78,16.45,0,-2.03,0,132.12,0.22,1.25,0.0,133.59,0,-275.08,0,5.990000000000009
Oct 2016,245.99,14.29,1.78,17.01,0.4,0.28,1.9,0.78,25.65,0,-1.19,0,206.05,0.13,1.25,0.0,207.43,0,-261.79,0,13.29
Nov 2016,146.37,8.5,13.56,30.01,0.4,0.28,1.9,0.78,15.26,0,-9.08,0,122.6,1.0,1.25,0.0,124.86,0,-238.46,0,23.33
Dec 2016,90.49,5.26,13.62,26.86,0.4,0.28,1.9,0.78,9.44,0,-9.12,0,75.8,1.01,1.25,0.0,78.06,0,-233.39,0,5.07000000000002
Jan 2017,135.45,7.87,13.15,28.71,0.4,0.28,1.9,0.78,14.12,0,-8.8,0,113.46,0.97,1.25,0.0,115.68,0,-234.2,0,-0.810000000000002
Feb 2017,204.05,11.85,15.47,36.4,0.4,0.28,1.9,0.78,21.28,0,-10.35,0,170.92,1.14,1.25,0.0,173.31,0,-230.0,0,4.19999999999999
Mar 2017,257.72,14.97,18.15,43.79,0.4,0.28,1.91,0.78,26.87,0,-12.14,0,215.88,1.34,1.25,0.0,218.47,0,-220.19,0,9.81
Apr 2017,398.69,23.16,11.42,41.25,0.4,0.28,1.91,0.78,41.58,0,-7.64,0,333.96,0.84,1.25,0.0,336.06,0,-206.58,0,13.61
May 2017,230.49,13.39,65.39,117.53,0.48,0.33,1.91,0.78,24.04,0,-43.74,0,193.07,4.83,1.29,0.06,199.25,0,-173.78,0,32.8
Jun 2017,116.49,6.77,92.87,149.5,14.12,8.71,2.13,0.78,12.15,0,-62.13,0,97.58,6.86,6.76,2.98,114.18,0,-194.67,0,-20.89
Jul 2017,150.78,8.76,18.8,33.19,14.51,8.95,2.14,0.78,15.72,0,-12.58,0,126.3,1.39,6.91,3.14,137.74,0,-248.99,0,-54.32
Aug 2017,307.17,17.84,8.86,28.65,8.74,5.4,2.04,0.78,32.03,0,-5.93,0,257.3,0.66,4.6,2.68,265.24,0,-250.35,0,-1.3599999999999899
Sep 2017,328.27,19.07,3.63,23.76,2.91,1.82,1.95,0.78,34.23,0,-2.43,0,274.97,0.27,2.26,1.37,278.86,0,-228.19,0,22.16
Oct 2017,161.31,9.37,1.9,12.28,0.4,0.28,1.91,0.78,16.82,0,-1.27,0,135.12,0.14,1.25,0.0,136.51,0,-198.92,0,29.27
Nov 2017,103.63,6.02,12.2,25.35,0.4,0.28,1.91,0.78,10.81,0,-8.16,0,86.8,0.9,1.25,0.0,88.96,0,-184.51,0,14.41
Dec 2017,118.3,6.87,12.85,27.24,0.4,0.28,1.91,0.78,12.34,0,-8.6,0,99.09,0.95,1.25,0.0,101.29,0,-182.99,0,1.51999999999998
Jan 2018,126.98,7.37,12.61,27.37,0.4,0.28,1.91,0.78,13.24,0,-8.44,0,106.36,0.93,1.25,0.0,108.55,0,-180.38,0,2.6100000000000096
Feb 2018,104.58,6.07,14.93,29.77,0.4,0.28,1.91,0.78,10.91,0,-9.99,0,87.6,1.1,1.25,0.0,89.96,0,-176.7,0,3.6800000000000095
Mar 2018,115.11,6.69,17.73,34.84,0.4,0.28,1.91,0.78,12.0,0,-11.86,0,96.42,1.31,1.25,0.0,98.98,0,-176.92,0,-0.219999999999999
Apr 2018,276.82,16.08,8.75,29.9,0.4,0.28,1.91,0.78,28.87,0,-5.85,0,231.88,0.65,1.26,0.0,233.78,0,-177.91,0,-0.9900000000000091
May 2018,18.17,1.06,32.48,51.74,3.03,1.89,1.95,0.78,1.89,0,-21.73,0,15.22,2.4,2.31,0.49,20.42,0,-156.02,0,21.89
Jun 2018,122.05,7.09,15.47,26.25,14.41,8.89,2.14,0.78,12.73,0,-10.35,0,102.23,1.14,6.88,3.1,113.35,0,-177.53,0,-21.51
Jul 2018,196.64,11.42,3.51,12.17,12.67,7.82,2.11,0.78,20.51,0,-2.35,0,164.72,0.26,6.18,2.99,174.14,0,-179.61,0,-2.0800000000000103
Aug 2018,358.78,20.84,0.83,19.46,7.11,4.41,2.02,0.78,37.41,0,-0.56,0,300.53,0.06,3.95,2.59,307.13,0,-165.77,0,13.84
Sep 2018,180.86,10.5,0.18,9.49,3.45,2.15,1.96,0.78,18.86,0,-0.12,0,151.49,0.01,2.48,0.86,154.85,0,-132.74,0,33.03
Oct 2018,166.89,9.69,0.06,9.66,0.4,0.28,1.91,0.78,17.4,0,-0.04,0,139.79,0.0,1.26,0.0,141.05,0,-116.05,0,16.69
Nov 2018,192.41,11.18,7.08,22.34,0.4,0.28,1.91,0.78,20.06,0,-4.74,0,161.17,0.52,1.26,0.0,162.95,0,-99.82,0,16.23
Dec 2018,167.57,9.73,8.27,22.8,0.4,0.28,1.91,0.78,17.47,0,-5.53,0,140.36,0.61,1.26,0.0,142.23,0,-85.62,0,14.2
Jan 2019,117.1,6.8,7.91,19.3,0.4,0.28,1.91,0.78,12.21,0,-5.29,0,98.09,0.58,1.26,0.0,99.93,0,-74.81,0,10.81
Feb 2019,318.12,18.48,10.29,34.77,0.4,0.28,1.91,0.78,33.17,0,-6.89,0,266.47,0.76,1.26,0.0,268.48,0,-69.03,0,5.78
Mar 2019,31.62,1.84,12.55,21.74,0.4,0.28,1.91,0.78,3.3,0,-8.4,0,26.48,0.93,1.26,0.0,28.67,0,-43.87,0,25.16
Apr 2019,292.07,16.96,1.84,19.78,0.4,0.28,1.91,0.78,30.46,0,-1.23,0,244.65,0.14,1.26,0.0,246.05,0,-50.11,0,-6.24
May 2019,175.84,10.21,18.21,39.05,0.62,0.41,1.92,0.78,18.34,0,-12.18,0,147.29,1.35,1.34,0.09,150.07,0,-22.02,0,28.09
Jun 2019,67.42,3.92,15.17,21.95,16.11,9.94,2.17,0.78,7.03,0,-10.15,0,56.48,1.12,7.56,3.14,68.3,0,-17.08,0,4.94
Jul 2019,82.09,4.77,4.22,7.2,11.51,7.2,2.18,0.69,8.56,0,-2.83,0,68.76,0.31,5.79,3.13,78.0,0,-24.73,0,-7.65
Aug 2019,407.4,23.66,0.54,22.13,6.28,3.89,2.01,0.78,42.48,0,-0.36,0,341.26,0.04,3.62,2.62,347.53,0,-23.62,0,1.11
Sep 2019,46.32,2.69,0.0,1.91,2.69,1.91,2.1,0.54,4.83,0,0.0,0,38.8,0.0,2.34,1.96,43.11,0,14.65,0,38.27
Oct 2019,193.86,11.26,0.0,11.14,0.4,0.28,1.91,0.78,20.22,0,0.0,0,162.38,0.0,1.26,0.0,163.64,0,15.96,0,1.31
Nov 2019,140.92,8.18,7.67,20.3,0.4,0.28,1.91,0.78,14.69,0,-5.13,0,118.04,0.57,1.26,0.0,119.86,0,35.04,0,19.08
Dec 2019,153.38,8.91,9.04,23.21,0.4,0.28,1.91,0.78,15.99,0,-6.05,0,128.48,0.67,1.26,0.0,130.4,0,43.46,0,8.42
Jan 2020,141.5,8.22,8.75,22.05,0.4,0.28,1.91,0.78,14.76,0,-5.85,0,118.53,0.65,1.26,0.0,120.43,0,52.27,0,8.81
Feb 2020,95.63,5.55,10.83,22.7,0.4,0.28,1.91,0.78,9.97,0,-7.24,0,80.1,0.8,1.26,0.0,82.16,0,60.04,0,7.77
Mar 2020,251.12,14.59,13.68,36.29,0.4,0.28,1.91,0.78,26.19,0,-9.15,0,210.35,1.01,1.26,0.0,212.62,0,61.63,0,1.59
Apr 2020,152.19,8.84,2.74,13.08,0.4,0.28,1.91,0.78,15.87,0,-1.83,0,127.48,0.2,1.26,0.0,128.94,0,77.53,0,15.9
May 2020,282.1,16.38,31.41,66.34,0.48,0.33,1.92,0.78,29.42,0,-21.02,0,236.3,2.32,1.29,0.11,240.01,0,90.43,0,12.9
Jun 2020,217.71,12.64,22.67,45.02,9.9,6.12,2.07,0.78,22.7,0,-15.17,0,182.36,1.68,5.07,2.6,191.71,0,97.59,0,7.16
Jul 2020,188.95,10.97,9.76,21.62,12.86,7.94,2.12,0.78,19.7,0,-6.53,0,158.27,0.72,6.26,2.98,168.24,0,101.23,0,3.64
Aug 2020,114.28,6.64,4.28,8.44,13.15,8.12,2.13,0.78,11.92,0,-2.87,0,95.72,0.32,6.37,2.53,104.94,0,110.09,0,8.86
Sep 2020,9.56,0.56,1.78,2.32,3.4,2.32,2.08,0.57,1.0,0,-1.19,0,8.01,0.13,2.6,1.58,12.32,0,115.26,0,5.17
Oct 2020,165.52,9.61,1.25,11.48,0.4,0.28,1.92,0.78,17.26,0,-0.84,0,138.64,0.09,1.26,0.0,140.0,0,111.97,0,-3.2900000000000094
Nov 2020,52.76,3.06,9.58,18.22,0.4,0.28,1.92,0.78,5.5,0,-6.41,0,44.19,0.71,1.26,0.0,46.16,0,127.26,0,15.29
Dec 2020,280.12,16.27,11.13,33.89,0.4,0.28,1.92,0.78,29.21,0,-7.44,0,234.64,0.82,1.26,0.0,236.72,0,125.21,0,-2.05000000000001
Jan 2021,228.83,13.29,11.07,30.82,0.4,0.28,1.92,0.78,23.86,0,-7.4,0,191.67,0.82,1.26,0.0,193.75,0,145.84,0,20.63
Feb 2021,69.83,4.06,13.56,25.57,0.4,0.28,1.92,0.78,7.28,0,-9.08,0,58.5,1.0,1.26,0.0,60.76,0,161.16,0,15.32
Mar 2021,58.15,3.38,16.0,28.78,0.4,0.28,1.92,0.78,6.06,0,-10.71,0,48.71,1.18,1.26,0.0,51.15,0,158.23,0,-2.9300000000000095
Apr 2021,196.13,11.39,37.72,71.44,0.4,0.28,1.92,0.78,20.45,0,-25.24,0,164.29,2.79,1.26,0.0,168.34,0,152.45,0,-5.78
May 2021,244.94,14.23,78.47,139.25,0.49,0.34,1.92,0.78,25.54,0,-52.5,0,205.18,5.8,1.3,0.07,212.34,0,146.53,0,-5.91999999999999
Jun 2021,58.53,3.4,38.85,59.34,15.76,9.73,2.17,0.78,6.1,0,-25.99,0,49.03,2.87,7.42,2.98,62.3,0,118.35,0,-28.18
Jul 2021,318.59,18.5,20.17,47.03,9.56,5.91,2.07,0.78,33.22,0,-13.49,0,266.87,1.49,4.93,2.98,276.28,0,94.1,0,-24.25
Aug 2021,417.71,24.26,8.98,36.44,5.69,3.53,2.01,0.78,43.56,0,-6.01,0,349.89,0.66,3.38,2.53,356.46,0,109.55,0,15.45
