date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,19.29,1.12,8.51,14.58,0.41,0.3,1.96,0.78,2.01,0,-5.69,0,16.15,0.63,1.29,0.0,18.07,0,-349.22,0,0.0
Feb 2016,210.04,12.2,11.13,29.84,0.41,0.3,1.96,0.78,21.9,0,-7.44,0,175.94,0.82,1.29,0.0,178.05,0,-354.09,0,-4.86999999999995
Mar 2016,90.73,5.27,12.91,25.76,0.41,0.3,1.96,0.78,9.46,0,-8.64,0,76.0,0.95,1.29,0.0,78.24,0,-340.81,0,13.28
Apr 2016,308.32,17.91,2.8,22.26,0.41,0.3,1.96,0.78,32.15,0,-1.87,0,258.26,0.21,1.29,0.0,259.76,0,-341.17,0,-0.36000000000001403
May 2016,112.59,6.54,5.89,15.44,1.43,0.93,1.98,0.78,11.74,0,-3.94,0,94.31,0.44,1.7,0.34,96.78,0,-312.07,0,29.1
Jun 2016,172.87,10.04,5.06,14.16,10.4,6.45,2.13,0.78,18.03,0,-3.38,0,144.8,0.37,5.3,3.06,153.54,0,-305.8,0,6.269999999999981
Jul 2016,346.84,20.14,0.59,18.31,7.37,4.58,2.08,0.78,36.17,0,-0.4,0,290.53,0.04,4.08,3.05,297.7,0,-295.56,0,10.24
Aug 2016,428.18,24.87,0.0,23.35,4.08,2.56,2.02,0.78,44.65,0,0.0,0,358.66,0.0,2.77,2.41,363.84,0,-264.14,0,31.42
Sep 2016,353.86,20.55,0.0,20.45,0.41,0.3,1.96,0.78,36.9,0,0.0,0,296.41,0.0,1.29,0.0,297.7,0,-223.14,0,41.0
Oct 2016,62.08,3.61,0.0,3.5,0.41,0.3,1.96,0.78,6.47,0,0.0,0,52.0,0.0,1.29,0.0,53.29,0,-187.42,0,35.72
Nov 2016,103.93,6.04,8.45,19.41,0.41,0.3,1.96,0.78,10.84,0,-5.65,0,87.05,0.62,1.29,0.0,88.97,0,-182.13,0,5.28999999999999
Dec 2016,74.32,4.32,8.45,17.69,0.41,0.3,1.96,0.78,7.75,0,-5.65,0,62.26,0.62,1.29,0.0,64.17,0,-178.13,0,4.0
Jan 2017,201.21,11.69,8.45,25.06,0.41,0.3,1.96,0.78,20.98,0,-5.65,0,168.54,0.62,1.29,0.0,170.46,0,-177.21,0,0.919999999999987
Feb 2017,72.33,4.2,11.42,22.32,0.41,0.3,1.96,0.78,7.54,0,-7.64,0,60.59,0.84,1.29,0.0,62.72,0,-163.07,0,14.14
Mar 2017,99.78,5.8,13.39,27.04,0.41,0.3,1.96,0.78,10.41,0,-8.96,0,83.58,0.99,1.29,0.0,85.86,0,-164.35,0,-1.28
Apr 2017,79.31,4.61,7.32,16.17,0.41,0.3,1.96,0.78,8.27,0,-4.9,0,66.43,0.54,1.29,0.0,68.27,0,-164.09,0,0.259999999999991
May 2017,74.08,4.3,7.56,15.37,2.69,1.71,2.0,0.78,7.73,0,-5.06,0,62.05,0.56,2.21,0.64,65.45,0,-161.9,0,2.19
Jun 2017,212.02,12.31,6.84,19.69,9.34,5.8,2.11,0.78,22.11,0,-4.58,0,177.59,0.51,4.88,2.99,185.96,0,-161.09,0,0.810000000000002
Jul 2017,222.26,12.91,0.89,10.53,10.01,6.21,2.12,0.78,23.18,0,-0.6,0,186.17,0.07,5.15,3.1,194.48,0,-147.88,0,13.21
Aug 2017,340.2,19.76,0.12,17.75,5.84,3.65,2.06,0.78,35.48,0,-0.08,0,284.97,0.01,3.47,2.51,290.96,0,-129.74,0,18.14
Sep 2017,31.21,1.81,0.0,1.39,1.81,1.39,2.12,0.53,3.25,0,0.0,0,26.14,0.0,2.01,1.86,30.01,0,-98.13,0,31.61
Oct 2017,344.88,20.03,0.0,19.93,0.41,0.3,1.97,0.78,35.96,0,0.0,0,288.89,0.0,1.29,0.0,290.18,0,-98.32,0,-0.18999999999999803
Nov 2017,70.96,4.12,7.26,15.59,0.41,0.3,1.97,0.78,7.4,0,-4.86,0,59.44,0.54,1.29,0.0,61.26,0,-63.54,0,34.78
Dec 2017,161.08,9.36,8.75,23.2,0.41,0.3,1.97,0.78,16.8,0,-5.85,0,134.92,0.65,1.29,0.0,136.86,0,-62.18,0,1.36
Jan 2018,339.97,19.75,8.09,32.55,0.41,0.3,1.97,0.78,35.45,0,-5.41,0,284.77,0.6,1.29,0.0,286.66,0,-52.43,0,9.75
Feb 2018,252.88,14.69,10.83,31.86,0.41,0.3,1.97,0.78,26.37,0,-7.24,0,211.82,0.8,1.29,0.0,213.91,0,-23.58,0,28.85
Mar 2018,400.46,23.26,13.33,44.41,0.41,0.3,1.97,0.78,41.76,0,-8.92,0,335.44,0.99,1.29,0.0,337.72,0,-5.64,0,17.94
Apr 2018,543.88,31.59,2.62,35.66,0.41,0.3,1.97,0.78,56.72,0,-1.75,0,455.57,0.19,1.29,0.0,457.06,0,26.01,0,31.65
May 2018,545.14,31.66,78.89,157.4,0.41,0.3,1.97,0.78,56.85,0,-52.78,0,456.63,5.83,1.29,0.39,464.15,0,79.79,0,53.78
Jun 2018,133.73,7.77,74.19,121.79,11.36,7.04,2.15,0.78,13.95,0,-49.64,0,112.02,5.48,5.69,3.1,126.29,0,82.28,0,2.48999999999999
Jul 2018,192.74,11.19,34.8,62.54,10.97,6.8,2.14,0.78,20.1,0,-23.29,0,161.44,2.57,5.53,3.2,172.75,0,42.12,0,-40.16
Aug 2018,418.97,24.33,25.7,63.64,4.54,2.85,2.04,0.78,43.69,0,-17.2,0,350.95,1.9,2.95,2.5,358.3,0,34.37,0,-7.75
Sep 2018,122.05,7.09,14.58,30.24,0.41,0.3,1.97,0.78,12.73,0,-9.75,0,102.23,1.08,1.29,0.0,104.6,0,57.1,0,22.73
Oct 2018,84.13,4.89,9.94,20.63,0.41,0.3,1.97,0.78,8.77,0,-6.65,0,70.47,0.73,1.29,0.0,72.5,0,58.88,0,1.78
Nov 2018,260.47,15.13,11.42,33.25,0.41,0.3,1.97,0.78,27.16,0,-7.64,0,218.18,0.84,1.29,0.0,220.32,0,59.82,0,0.939999999999998
Dec 2018,38.36,2.23,11.3,20.16,0.41,0.3,1.97,0.78,4.0,0,-7.56,0,32.13,0.84,1.29,0.0,34.26,0,78.15,0,18.33
Jan 2019,281.22,16.33,10.83,33.5,0.41,0.3,1.97,0.78,29.33,0,-7.24,0,235.56,0.8,1.29,0.0,237.66,0,73.39,0,-4.76000000000001
Feb 2019,84.18,4.89,13.33,26.04,0.41,0.31,1.97,0.78,8.78,0,-8.92,0,70.51,0.99,1.3,0.0,72.8,0,94.28,0,20.89
Mar 2019,296.77,17.24,15.05,41.14,0.41,0.31,1.97,0.78,30.95,0,-10.07,0,248.59,1.11,1.3,0.0,250.99,0,92.95,0,-1.33
Apr 2019,143.05,8.31,28.74,54.04,0.41,0.31,1.97,0.78,14.92,0,-19.23,0,119.82,2.12,1.3,0.0,123.24,0,112.63,0,19.68
May 2019,230.47,13.39,170.1,284.59,0.45,0.33,1.97,0.78,24.03,0,-113.8,0,193.05,12.57,1.31,0.04,206.97,0,107.13,0,-5.5
Jun 2019,169.02,9.82,189.79,308.59,10.43,6.47,2.14,0.78,17.63,0,-126.98,0,141.58,14.03,5.32,3.04,163.97,0,16.13,0,-91.0
Jul 2019,313.68,18.22,63.36,116.19,8.18,5.09,2.1,0.78,32.71,0,-42.39,0,262.75,4.68,4.42,3.1,274.94,0,-97.62,0,-113.75
Aug 2019,320.15,18.59,40.58,80.88,6.47,4.04,2.07,0.78,33.39,0,-27.15,0,268.17,3.0,3.73,2.58,277.48,0,-111.72,0,-14.1
Sep 2019,138.09,8.02,23.86,43.74,6.22,3.88,2.07,0.78,14.4,0,-15.96,0,115.67,1.76,3.63,1.59,122.65,0,-109.35,0,2.37
Oct 2019,161.13,9.36,16.6,35.73,0.41,0.31,1.97,0.78,16.8,0,-11.11,0,134.96,1.23,1.3,0.0,137.49,0,-113.8,0,-4.45
Nov 2019,224.79,13.06,18.8,42.94,0.41,0.31,1.97,0.78,23.44,0,-12.58,0,188.29,1.39,1.3,0.0,190.98,0,-109.3,0,4.5
Dec 2019,183.53,10.66,17.55,38.55,0.41,0.31,1.97,0.78,19.14,0,-11.74,0,153.74,1.3,1.3,0.0,156.33,0,-99.63,0,9.67
Jan 2020,308.48,17.92,17.08,45.05,0.41,0.31,1.97,0.78,32.17,0,-11.42,0,258.39,1.26,1.3,0.0,260.95,0,-93.43,0,6.19999999999999
Feb 2020,227.19,13.2,19.46,44.13,0.41,0.31,1.98,0.78,23.69,0,-13.02,0,190.3,1.44,1.3,0.0,193.04,0,-73.88,0,19.55
Mar 2020,94.58,5.49,25.76,46.48,0.41,0.31,1.98,0.78,9.86,0,-17.24,0,79.23,1.9,1.3,0.0,82.43,0,-64.4,0,9.47999999999999
Apr 2020,393.31,22.84,69.67,133.87,0.41,0.31,1.98,0.78,41.01,0,-46.61,0,329.45,5.15,1.3,0.0,335.9,0,-72.97,0,-8.56999999999999
May 2020,207.85,12.07,309.55,505.64,0.68,0.47,1.98,0.78,21.67,0,-207.1,0,174.1,22.88,1.41,0.16,198.55,0,-79.76,0,-6.79000000000001
Jun 2020,88.36,5.13,182.65,291.84,12.21,7.57,2.17,0.78,9.21,0,-122.2,0,74.01,13.5,6.04,3.04,96.59,0,-266.55,0,-186.79
Jul 2020,299.0,17.37,81.21,143.67,8.56,5.32,2.11,0.78,31.18,0,-54.33,0,250.45,6.0,4.57,3.12,264.15,0,-383.97,0,-117.42
Aug 2020,299.85,17.42,41.23,80.56,6.96,4.34,2.09,0.78,31.27,0,-27.58,0,251.16,3.05,3.93,2.61,260.75,0,-411.58,0,-27.61
Sep 2020,190.53,11.07,26.59,52.26,3.33,2.11,2.03,0.78,19.87,0,-17.79,0,159.59,1.97,2.47,1.04,165.07,0,-411.81,0,-0.230000000000018
Oct 2020,154.64,8.98,27.13,52.16,0.41,0.31,1.98,0.78,16.13,0,-18.15,0,129.53,2.01,1.3,0.0,132.83,0,-412.02,0,-0.20999999999998
Nov 2020,218.22,12.67,29.27,59.27,0.41,0.31,1.98,0.78,22.76,0,-19.58,0,182.79,2.16,1.3,0.0,186.25,0,-415.25,0,-3.2300000000000204
Dec 2020,213.63,12.41,21.18,46.09,0.41,0.31,1.98,0.78,22.28,0,-14.17,0,178.94,1.57,1.3,0.0,181.81,0,-413.27,0,1.98000000000002
Jan 2021,222.62,12.93,19.57,44.05,0.41,0.31,1.98,0.78,23.21,0,-13.1,0,186.48,1.45,1.3,0.0,189.22,0,-406.37,0,6.899999999999981
Feb 2021,105.13,6.11,22.55,41.97,0.41,0.31,1.98,0.78,10.96,0,-15.09,0,88.06,1.67,1.3,0.0,91.03,0,-397.44,0,8.93000000000001
Mar 2021,106.79,6.2,31.24,55.93,0.41,0.31,1.98,0.78,11.14,0,-20.9,0,89.45,2.31,1.3,0.0,93.06,0,-402.77,0,-5.3299999999999805
Apr 2021,154.88,9.0,59.26,103.42,0.41,0.31,1.98,0.78,16.15,0,-39.65,0,129.73,4.38,1.3,0.0,135.41,0,-413.73,0,-10.96
