date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,158.58,9.21,15.83,34.32,0.4,0.27,1.9,0.78,16.54,0,-10.59,0,132.83,1.17,1.25,0.0,135.25,0,-345.97,0,0.0
Feb 2016,129.79,7.54,18.56,37.02,0.4,0.27,1.9,0.78,13.53,0,-12.42,0,108.72,1.37,1.25,0.0,111.34,0,-341.14,0,4.83000000000004
Mar 2016,106.97,6.21,24.69,45.47,0.4,0.27,1.9,0.78,11.15,0,-16.52,0,89.6,1.82,1.25,0.0,92.67,0,-341.14,0,0.0
Apr 2016,93.67,5.44,20.53,38.05,0.4,0.27,1.9,0.78,9.77,0,-13.73,0,78.46,1.52,1.25,0.0,81.23,0,-347.62,0,-6.480000000000019
May 2016,24.32,1.41,50.04,80.66,1.55,0.98,1.92,0.78,2.54,0,-33.48,0,20.37,3.7,1.71,0.37,26.14,0,-352.71,0,-5.08999999999998
Jun 2016,123.84,7.19,19.4,34.79,8.75,5.41,2.04,0.78,12.91,0,-12.98,0,103.73,1.43,4.6,3.09,112.85,0,-385.15,0,-32.44
Jul 2016,154.49,8.97,5.41,14.06,9.29,5.74,2.05,0.78,16.11,0,-3.62,0,129.41,0.4,4.82,3.35,137.97,0,-389.56,0,-4.41000000000003
Aug 2016,257.69,14.97,1.13,14.37,6.3,3.9,2.0,0.78,26.87,0,-0.76,0,215.85,0.08,3.62,2.75,222.3,0,-381.68,0,7.88
Sep 2016,302.13,17.55,0.06,16.93,1.93,1.21,1.92,0.78,31.51,0,-0.04,0,253.07,0.0,1.86,1.24,256.18,0,-359.53,0,22.15
Oct 2016,185.46,10.77,0.0,10.64,0.4,0.27,1.9,0.78,19.34,0,0.0,0,155.35,0.0,1.25,0.0,156.6,0,-330.45,0,29.08
Nov 2016,278.23,16.16,9.82,31.69,0.4,0.27,1.9,0.78,29.01,0,-6.57,0,233.05,0.73,1.25,0.0,235.03,0,-312.23,0,18.22
Dec 2016,202.74,11.78,11.13,29.39,0.4,0.27,1.9,0.78,21.14,0,-7.44,0,169.82,0.82,1.25,0.0,171.9,0,-290.91,0,21.32
Jan 2017,217.46,12.63,11.24,30.44,0.4,0.27,1.9,0.78,22.68,0,-7.52,0,182.16,0.83,1.25,0.0,184.24,0,-278.33,0,12.58
Feb 2017,115.51,6.71,13.92,28.79,0.4,0.27,1.9,0.78,12.05,0,-9.31,0,96.76,1.03,1.25,0.0,99.04,0,-264.29,0,14.04
Mar 2017,364.38,21.16,16.06,46.66,0.4,0.28,1.9,0.78,38.0,0,-10.75,0,305.22,1.19,1.25,0.0,307.65,0,-262.68,0,1.61000000000001
Apr 2017,660.46,38.36,1.13,40.03,0.4,0.28,1.9,0.78,68.87,0,-0.76,0,553.23,0.08,1.25,0.0,554.56,0,-236.55,0,26.13
May 2017,130.05,7.55,36.65,65.86,0.46,0.31,1.9,0.78,13.56,0,-24.52,0,108.93,2.71,1.27,0.03,112.94,0,-169.56,0,66.99
Jun 2017,214.52,12.46,52.53,93.59,7.0,4.33,2.01,0.78,22.37,0,-35.15,0,179.69,3.88,3.9,2.96,190.44,0,-181.67,0,-12.11
Jul 2017,196.45,11.41,29.21,54.96,7.98,4.94,2.03,0.78,20.49,0,-19.54,0,164.55,2.16,4.29,3.08,174.08,0,-198.64,0,-16.97
Aug 2017,253.73,14.74,21.24,46.37,5.91,3.66,1.99,0.78,26.46,0,-14.21,0,212.53,1.57,3.46,2.57,220.13,0,-202.02,0,-3.3800000000000203
Sep 2017,147.86,8.59,14.22,29.6,4.41,2.74,1.97,0.78,15.42,0,-9.51,0,123.86,1.05,2.86,1.52,129.28,0,-193.56,0,8.46000000000001
Oct 2017,73.69,4.28,12.85,24.65,0.4,0.28,1.9,0.78,7.68,0,-8.6,0,61.73,0.95,1.25,0.0,63.93,0,-190.36,0,3.1999999999999904
Nov 2017,144.16,8.37,20.94,41.65,0.4,0.28,1.9,0.78,15.03,0,-14.01,0,120.75,1.55,1.25,0.0,123.55,0,-192.39,0,-2.02999999999997
Dec 2017,40.4,2.35,17.25,29.74,0.4,0.28,1.9,0.78,4.21,0,-11.54,0,33.84,1.28,1.25,0.0,36.37,0,-192.49,0,-0.100000000000023
Jan 2018,51.77,3.01,16.3,28.88,0.4,0.28,1.9,0.78,5.4,0,-10.91,0,43.36,1.2,1.25,0.0,45.82,0,-200.95,0,-8.459999999999981
Feb 2018,91.45,5.31,19.1,35.65,0.4,0.28,1.9,0.78,9.54,0,-12.78,0,76.6,1.41,1.25,0.0,79.26,0,-207.58,0,-6.630000000000019
