date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,46.42,0.0,0,0,0,0.08,0.26,0.0,0.21,0,0.08,0,46.21,0,0.18,0.0,46.39,0,-1248.06,0,0.0
Feb 2016,15.41,0.0,0,0,0,0.08,0.26,0.0,0.07,0,0.08,0,15.34,0,0.18,0.0,15.52,0,-1248.03,0,0.0299999999999727
Mar 2016,89.76,0.0,0,0,0,0.08,0.26,0.0,0.41,0,0.08,0,89.35,0,0.18,0.0,89.53,0,-1248.14,0,-0.110000000000127
Apr 2016,2.13,0.0,0,0,0,0.55,2.01,0.12,0.01,0,0.55,0,2.12,0,1.35,0.45,3.92,0,-1247.91,0,0.230000000000018
May 2016,36.49,0.0,0,0,0,2.59,9.67,0.63,0.17,0,2.59,0,36.33,0,6.45,2.4,45.18,0,-1249.7,0,-1.78999999999996
Jun 2016,10.99,0.0,0,0,0,3.37,12.6,0.82,0.05,0,3.37,0,10.94,0,8.4,3.2,22.54,0,-1258.39,0,-8.69000000000005
Jul 2016,495.69,0.01,0,0,0,1.94,7.22,0.47,2.24,0,1.94,0,493.45,0,4.82,2.95,501.22,0,-1269.94,0,-11.55
Aug 2016,481.74,0.01,0,0,0,1.68,6.26,0.4,2.18,0,1.68,0,479.55,0,4.18,2.54,486.27,0,-1275.46,0,-5.519999999999981
Sep 2016,356.01,0.0,0,0,0,1.59,5.93,0.38,1.61,0,1.59,0,354.39,0,3.96,2.09,360.44,0,-1280.0,0,-4.53999999999996
Oct 2016,108.35,0.0,0,0,0,0.58,2.15,0.13,0.49,0,0.59,0,107.86,0,1.44,0.48,109.78,0,-1284.43,0,-4.430000000000059
Nov 2016,244.97,0.0,0,0,0,0.08,0.26,0.0,1.11,0,0.08,0,243.86,0,0.18,0.0,244.04,0,-1285.86,0,-1.42999999999984
Dec 2016,40.39,0.0,0,0,0,0.08,0.26,0.0,0.18,0,0.08,0,40.2,0,0.18,0.0,40.38,0,-1284.93,0,0.929999999999836
Jan 2017,175.11,0.0,0,0,0,0.08,0.26,0.0,0.79,0,0.08,0,174.32,0,0.18,0.0,174.5,0,-1284.93,0,0.0
Feb 2017,158.01,0.0,0,0,0,0.08,0.26,0.0,0.71,0,0.08,0,157.29,0,0.18,0.0,157.48,0,-1284.31,0,0.6200000000001179
