date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,135.17,0.0,0,0,0,0.08,0.26,0.0,0.61,0,0.08,0,134.56,0,0.18,0.0,134.74,0,-1247.27,0,0.0
Feb 2016,224.59,0.0,0,0,0,0.08,0.26,0.0,1.02,0,0.08,0,223.57,0,0.18,0.0,223.75,0,-1246.84,0,0.430000000000064
Mar 2016,51.04,0.0,0,0,0,0.08,0.26,0.0,0.23,0,0.08,0,50.81,0,0.18,0.0,50.98,0,-1246.0,0,0.8399999999999179
Apr 2016,8.98,0.0,0,0,0,0.1,0.34,0.01,0.04,0,0.1,0,8.94,0,0.23,0.02,9.19,0,-1245.95,0,0.0499999999999545
May 2016,481.19,0.01,0,0,0,1.53,5.69,0.36,2.18,0,1.53,0,479.01,0,3.8,2.22,485.03,0,-1246.16,0,-0.21000000000003602
Jun 2016,156.23,0.0,0,0,0,3.52,13.17,0.86,0.71,0,3.52,0,155.52,0,8.79,2.83,167.15,0,-1249.99,0,-3.8299999999999303
Jul 2016,461.97,0.0,0,0,0,2.66,9.94,0.65,2.09,0,2.66,0,459.87,0,6.63,2.94,469.44,0,-1260.91,0,-10.9200000000001
Aug 2016,164.39,0.0,0,0,0,3.37,12.59,0.82,0.74,0,3.37,0,163.64,0,8.4,2.5,174.54,0,-1268.38,0,-7.47000000000003
Sep 2016,282.26,0.0,0,0,0,2.37,8.85,0.58,1.28,0,2.37,0,280.98,0,5.9,2.08,288.96,0,-1278.54,0,-10.1599999999999
Oct 2016,456.07,0.0,0,0,0,0.08,0.26,0.0,2.06,0,0.08,0,454.01,0,0.18,0.21,454.39,0,-1285.24,0,-6.70000000000005
Nov 2016,43.91,0.0,0,0,0,0.08,0.26,0.0,0.2,0,0.08,0,43.71,0,0.18,0.0,43.89,0,-1283.56,0,1.6800000000000601
Dec 2016,108.75,0.0,0,0,0,0.08,0.26,0.0,0.49,0,0.08,0,108.25,0,0.18,0.0,108.43,0,-1283.54,0,0.0199999999999818
Jan 2017,108.81,0.0,0,0,0,0.08,0.26,0.0,0.49,0,0.08,0,108.31,0,0.18,0.0,108.49,0,-1283.23,0,0.30999999999994504
Feb 2017,108.68,0.0,0,0,0,0.08,0.26,0.0,0.49,0,0.08,0,108.19,0,0.18,0.0,108.37,0,-1282.92,0,0.30999999999994504
Mar 2017,134.94,0.0,0,0,0,0.08,0.26,0.0,0.61,0,0.08,0,134.33,0,0.18,0.0,134.51,0,-1282.6,0,0.320000000000164
Apr 2017,114.53,0.0,0,0,0,0.08,0.26,0.0,0.52,0,0.08,0,114.01,0,0.18,0.0,114.19,0,-1282.17,0,0.429999999999836
May 2017,299.88,0.0,0,0,0,2.37,8.84,0.57,1.36,0,2.37,0,298.52,0,5.9,2.4,306.82,0,-1281.84,0,0.33000000000015506
Jun 2017,113.58,0.0,0,0,0,3.95,14.79,0.97,0.51,0,3.96,0,113.07,0,9.86,3.1,126.03,0,-1288.78,0,-6.94000000000005
Jul 2017,211.39,0.0,0,0,0,3.75,14.03,0.92,0.96,0,3.75,0,210.43,0,9.36,3.09,222.88,0,-1301.23,0,-12.45
Aug 2017,429.7,0.0,0,0,0,2.49,9.3,0.61,1.94,0,2.49,0,427.75,0,6.21,2.63,436.59,0,-1312.72,0,-11.49
Sep 2017,373.26,0.0,0,0,0,2.04,7.62,0.49,1.69,0,2.04,0,371.57,0,5.08,2.09,378.74,0,-1319.61,0,-6.88999999999987
Oct 2017,214.0,0.0,0,0,0,0.41,1.49,0.08,0.97,0,0.41,0,213.03,0,1.0,0.34,214.37,0,-1325.09,0,-5.480000000000019
Nov 2017,85.32,0.0,0,0,0,0.08,0.27,0.0,0.39,0,0.08,0,84.93,0,0.18,0.0,85.11,0,-1325.46,0,-0.370000000000118
Dec 2017,84.92,0.0,0,0,0,0.08,0.27,0.0,0.38,0,0.08,0,84.53,0,0.18,0.0,84.71,0,-1325.25,0,0.21000000000003602
Jan 2018,56.09,0.0,0,0,0,0.08,0.27,0.0,0.25,0,0.08,0,55.84,0,0.18,0.0,56.02,0,-1325.05,0,0.200000000000045
Feb 2018,63.93,0.0,0,0,0,0.08,0.27,0.0,0.29,0,0.08,0,63.64,0,0.18,0.0,63.82,0,-1324.98,0,0.0699999999999363
Mar 2018,58.09,0.0,0,0,0,0.08,0.27,0.0,0.26,0,0.08,0,57.83,0,0.18,0.0,58.01,0,-1324.87,0,0.110000000000127
Apr 2018,39.31,0.0,0,0,0,0.15,0.51,0.02,0.18,0,0.15,0,39.13,0,0.35,0.05,39.52,0,-1324.79,0,0.0799999999999272
May 2018,9.28,0.0,0,0,0,3.81,14.26,0.94,0.04,0,3.81,0,9.24,0,9.51,2.69,21.44,0,-1325.01,0,-0.22000000000002698
Jun 2018,130.03,0.0,0,0,0,3.93,14.68,0.96,0.59,0,3.93,0,129.44,0,9.79,3.14,142.37,0,-1337.17,0,-12.1600000000001
Jul 2018,223.04,0.0,0,0,0,3.6,13.46,0.88,1.01,0,3.6,0,222.02,0,8.98,2.98,233.98,0,-1349.51,0,-12.3399999999999
Aug 2018,557.54,0.01,0,0,0,1.99,7.41,0.48,2.52,0,1.99,0,555.02,0,4.95,2.56,562.52,0,-1360.45,0,-10.9400000000001
Sep 2018,140.93,0.0,0,0,0,2.81,10.51,0.69,0.64,0,2.81,0,140.29,0,7.01,1.97,149.27,0,-1365.44,0,-4.990000000000009
Oct 2018,246.3,0.0,0,0,0,0.72,2.64,0.16,1.11,0,0.72,0,245.18,0,1.77,0.65,247.6,0,-1373.78,0,-8.33999999999992
Nov 2018,112.49,0.0,0,0,0,0.08,0.27,0.0,0.51,0,0.08,0,111.98,0,0.18,0.0,112.17,0,-1375.07,0,-1.2899999999999598
Dec 2018,161.57,0.0,0,0,0,0.08,0.27,0.0,0.73,0,0.08,0,160.83,0,0.18,0.0,161.02,0,-1374.75,0,0.31999999999993606
Jan 2019,52.91,0.0,0,0,0,0.08,0.27,0.0,0.24,0,0.08,0,52.67,0,0.18,0.0,52.85,0,-1374.2,0,0.549999999999955
Feb 2019,242.03,0.0,0,0,0,0.08,0.27,0.0,1.09,0,0.08,0,240.93,0,0.18,0.0,241.12,0,-1374.15,0,0.0499999999999545
Mar 2019,4.65,0.0,0,0,0,0.08,0.27,0.0,0.02,0,0.08,0,4.63,0,0.18,0.0,4.82,0,-1373.23,0,0.920000000000073
Apr 2019,122.76,0.0,0,0,0,0.08,0.27,0.0,0.56,0,0.08,0,122.2,0,0.18,0.0,122.38,0,-1373.4,0,-0.170000000000073
May 2019,167.57,0.0,0,0,0,2.42,9.05,0.59,0.76,0,2.42,0,166.81,0,6.04,2.04,174.89,0,-1373.03,0,0.370000000000118
Jun 2019,59.85,0.0,0,0,0,4.28,16.01,1.05,0.27,0,4.28,0,59.58,0,10.68,3.21,73.47,0,-1380.35,0,-7.319999999999941
Jul 2019,152.34,0.0,0,0,0,4.03,15.08,0.99,0.69,0,4.03,0,151.65,0,10.06,3.13,164.84,0,-1393.97,0,-13.6200000000001
Aug 2019,603.11,0.01,0,0,0,1.88,6.99,0.45,2.73,0,1.88,0,600.37,0,4.67,2.58,607.61,0,-1406.47,0,-12.5
Sep 2019,15.07,0.0,0,0,0,3.63,13.58,0.89,0.07,0,3.63,0,15.0,0,9.06,2.24,26.31,0,-1410.98,0,-4.509999999999991
Oct 2019,399.29,0.0,0,0,0,0.41,1.51,0.09,1.81,0,0.42,0,397.48,0,1.01,0.65,399.14,0,-1422.21,0,-11.23
Nov 2019,72.61,0.0,0,0,0,0.08,0.27,0.0,0.33,0,0.08,0,72.28,0,0.19,0.0,72.47,0,-1422.07,0,0.14000000000010002
Dec 2019,125.07,0.0,0,0,0,0.08,0.27,0.0,0.57,0,0.08,0,124.5,0,0.19,0.0,124.69,0,-1421.92,0,0.14999999999986402
Jan 2020,102.71,0.0,0,0,0,0.08,0.27,0.0,0.46,0,0.08,0,102.24,0,0.19,0.0,102.43,0,-1421.54,0,0.38000000000010903
Feb 2020,99.89,0.0,0,0,0,0.08,0.27,0.0,0.45,0,0.08,0,99.43,0,0.19,0.0,99.62,0,-1421.26,0,0.27999999999997305
Mar 2020,84.19,0.0,0,0,0,0.08,0.27,0.0,0.38,0,0.08,0,83.81,0,0.19,0.0,84.0,0,-1421.0,0,0.259999999999991
Apr 2020,37.91,0.0,0,0,0,0.08,0.27,0.0,0.17,0,0.08,0,37.74,0,0.19,0.0,37.93,0,-1420.8,0,0.200000000000045
May 2020,195.13,0.0,0,0,0,2.23,8.32,0.54,0.88,0,2.23,0,194.25,0,5.55,1.96,201.76,0,-1420.82,0,-0.0199999999999818
Jun 2020,258.74,0.0,0,0,0,3.08,11.52,0.75,1.17,0,3.09,0,257.57,0,7.69,2.79,268.05,0,-1427.45,0,-6.630000000000111
Jul 2020,228.42,0.0,0,0,0,3.61,13.5,0.88,1.03,0,3.61,0,227.38,0,9.01,3.01,239.4,0,-1436.75,0,-9.29999999999995
Aug 2020,99.72,0.0,0,0,0,3.67,13.72,0.9,0.45,0,3.67,0,99.27,0,9.15,2.53,110.95,0,-1447.73,0,-10.98
Sep 2020,36.94,0.0,0,0,0,3.44,12.86,0.84,0.17,0,3.44,0,36.78,0,8.58,2.15,47.5,0,-1458.96,0,-11.23
