date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,81.68,0.0,0,0,0,0.08,0.25,0.0,0.37,0,0.08,0,81.31,0,0.17,0.0,81.49,0,-1244.5,0,0.0
Feb 2016,101.23,0.0,0,0,0,0.08,0.25,0.0,0.46,0,0.08,0,100.77,0,0.17,0.0,100.94,0,-1244.3,0,0.200000000000045
Mar 2016,39.25,0.0,0,0,0,0.08,0.25,0.0,0.18,0,0.08,0,39.07,0,0.17,0.0,39.25,0,-1244.02,0,0.27999999999997305
Apr 2016,64.43,0.0,0,0,0,0.31,1.12,0.06,0.29,0,0.31,0,64.14,0,0.75,0.19,65.08,0,-1244.02,0,0.0
May 2016,4.7,0.0,0,0,0,3.78,14.13,0.93,0.02,0,3.78,0,4.67,0,9.42,2.63,16.73,0,-1244.67,0,-0.6500000000000911
Jun 2016,101.78,0.0,0,0,0,4.04,15.12,0.99,0.46,0,4.04,0,101.32,0,10.08,3.15,114.56,0,-1256.7,0,-12.03
Jul 2016,219.15,0.0,0,0,0,3.89,14.54,0.96,0.99,0,3.89,0,218.16,0,9.7,3.26,231.13,0,-1269.47,0,-12.77
Aug 2016,430.56,0.0,0,0,0,2.54,9.5,0.62,1.95,0,2.55,0,428.61,0,6.34,2.68,437.64,0,-1281.44,0,-11.97
Sep 2016,551.15,0.01,0,0,0,1.33,4.95,0.32,2.49,0,1.33,0,548.66,0,3.31,2.01,553.98,0,-1288.52,0,-7.07999999999993
Oct 2016,457.44,0.0,0,0,0,0.1,0.35,0.01,2.07,0,0.1,0,455.36,0,0.24,0.31,455.91,0,-1291.34,0,-2.81999999999994
Nov 2016,141.81,0.0,0,0,0,0.08,0.26,0.0,0.64,0,0.08,0,141.17,0,0.18,0.0,141.34,0,-1289.81,0,1.5299999999999698
Dec 2016,128.35,0.0,0,0,0,0.08,0.26,0.0,0.58,0,0.08,0,127.77,0,0.18,0.0,127.95,0,-1289.35,0,0.460000000000036
Jan 2017,185.58,0.0,0,0,0,0.08,0.26,0.0,0.84,0,0.08,0,184.74,0,0.18,0.0,184.91,0,-1288.94,0,0.409999999999854
Feb 2017,97.89,0.0,0,0,0,0.08,0.26,0.0,0.44,0,0.08,0,97.44,0,0.18,0.0,97.62,0,-1288.28,0,0.6600000000000821
Mar 2017,359.71,0.0,0,0,0,0.08,0.26,0.0,1.63,0,0.08,0,358.08,0,0.18,0.0,358.26,0,-1288.01,0,0.26999999999998203
Apr 2017,436.28,0.0,0,0,0,0.08,0.26,0.0,1.97,0,0.08,0,434.3,0,0.18,0.01,434.49,0,-1286.56,0,1.4500000000000501
May 2017,48.38,0.0,0,0,0,3.3,12.32,0.81,0.22,0,3.3,0,48.16,0,8.22,2.32,58.7,0,-1284.77,0,1.78999999999996
Jun 2017,237.34,0.0,0,0,0,3.4,12.72,0.83,1.07,0,3.4,0,236.27,0,8.49,3.05,247.8,0,-1295.09,0,-10.319999999999899
Jul 2017,247.66,0.0,0,0,0,3.62,13.56,0.89,1.12,0,3.63,0,246.54,0,9.04,3.11,258.69,0,-1305.55,0,-10.46
Aug 2017,502.0,0.01,0,0,0,2.2,8.2,0.53,2.27,0,2.2,0,499.72,0,5.47,2.59,507.79,0,-1316.57,0,-11.02
Sep 2017,191.53,0.0,0,0,0,2.69,10.07,0.66,0.87,0,2.7,0,190.66,0,6.72,2.05,199.44,0,-1322.37,0,-5.79999999999995
Oct 2017,40.08,0.0,0,0,0,0.82,3.06,0.19,0.18,0,0.83,0,39.9,0,2.04,0.45,42.39,0,-1330.27,0,-7.900000000000089
Nov 2017,89.77,0.0,0,0,0,0.08,0.26,0.0,0.41,0,0.08,0,89.37,0,0.18,0.0,89.54,0,-1332.58,0,-2.3099999999999503
Dec 2017,7.1,0.0,0,0,0,0.08,0.26,0.0,0.03,0,0.08,0,7.07,0,0.18,0.0,7.25,0,-1332.35,0,0.230000000000018
Jan 2018,35.21,0.0,0,0,0,0.08,0.26,0.0,0.16,0,0.08,0,35.05,0,0.18,0.0,35.23,0,-1332.5,0,-0.150000000000091
Feb 2018,83.67,0.0,0,0,0,0.08,0.26,0.0,0.38,0,0.08,0,83.29,0,0.18,0.0,83.47,0,-1332.51,0,-0.009999999999990909
Mar 2018,58.76,0.0,0,0,0,0.08,0.26,0.0,0.27,0,0.08,0,58.49,0,0.18,0.0,58.67,0,-1332.31,0,0.200000000000045
Apr 2018,117.81,0.0,0,0,0,0.29,1.05,0.06,0.53,0,0.29,0,117.27,0,0.71,0.2,118.18,0,-1332.22,0,0.0899999999999181
May 2018,67.89,0.0,0,0,0,3.51,13.15,0.86,0.31,0,3.52,0,67.59,0,8.77,2.63,78.98,0,-1332.6,0,-0.379999999999882
Jun 2018,275.85,0.0,0,0,0,3.28,12.27,0.8,1.25,0,3.28,0,274.6,0,8.19,3.08,285.86,0,-1343.69,0,-11.0900000000001
Jul 2018,205.63,0.0,0,0,0,3.9,14.59,0.96,0.93,0,3.9,0,204.7,0,9.73,3.22,217.65,0,-1353.7,0,-10.01
Aug 2018,554.92,0.01,0,0,0,2.11,7.89,0.51,2.51,0,2.12,0,552.41,0,5.26,2.68,560.35,0,-1365.73,0,-12.03
Sep 2018,331.47,0.0,0,0,0,2.19,8.17,0.53,1.5,0,2.19,0,329.97,0,5.45,2.09,337.51,0,-1371.16,0,-5.430000000000059
Oct 2018,1.87,0.0,0,0,0,0.94,3.5,0.22,0.01,0,0.94,0,1.86,0,2.34,0.48,4.68,0,-1377.19,0,-6.02999999999997
Nov 2018,16.92,0.0,0,0,0,0.08,0.26,0.0,0.08,0,0.08,0,16.84,0,0.18,0.0,17.02,0,-1380.0,0,-2.80999999999995
Dec 2018,70.02,0.0,0,0,0,0.08,0.26,0.0,0.32,0,0.08,0,69.71,0,0.18,0.0,69.88,0,-1380.1,0,-0.0999999999999091
Jan 2019,9.98,0.0,0,0,0,0.08,0.26,0.0,0.05,0,0.08,0,9.93,0,0.18,0.0,10.11,0,-1379.96,0,0.13999999999987303
Feb 2019,2.86,0.0,0,0,0,0.08,0.26,0.0,0.01,0,0.08,0,2.84,0,0.18,0.0,3.02,0,-1380.09,0,-0.129999999999882
Mar 2019,31.85,0.0,0,0,0,0.08,0.26,0.0,0.14,0,0.08,0,31.71,0,0.18,0.0,31.89,0,-1380.26,0,-0.170000000000073
Apr 2019,85.18,0.0,0,0,0,0.27,0.96,0.05,0.39,0,0.27,0,84.79,0,0.65,0.16,85.6,0,-1380.29,0,-0.0299999999999727
May 2019,25.14,0.0,0,0,0,3.7,13.83,0.91,0.11,0,3.7,0,25.03,0,9.23,2.64,36.89,0,-1380.72,0,-0.430000000000064
Jun 2019,220.97,0.0,0,0,0,3.61,13.51,0.89,1.0,0,3.61,0,219.97,0,9.01,3.2,232.18,0,-1392.47,0,-11.75
Jul 2019,327.71,0.0,0,0,0,3.36,12.58,0.82,1.48,0,3.37,0,326.23,0,8.39,3.16,337.78,0,-1403.68,0,-11.21
Aug 2019,382.2,0.0,0,0,0,2.78,10.38,0.68,1.73,0,2.78,0,380.46,0,6.93,2.74,390.13,0,-1413.74,0,-10.0599999999999
Sep 2019,230.04,0.0,0,0,0,2.73,10.21,0.67,1.04,0,2.73,0,228.99,0,6.81,2.22,238.02,0,-1421.68,0,-7.94000000000005
Oct 2019,51.89,0.0,0,0,0,1.3,4.83,0.31,0.23,0,1.3,0,51.66,0,3.22,0.75,55.63,0,-1429.67,0,-7.990000000000009
Nov 2019,29.89,0.0,0,0,0,0.08,0.26,0.0,0.14,0,0.08,0,29.76,0,0.18,0.0,29.94,0,-1433.4,0,-3.7300000000000204
Dec 2019,7.09,0.0,0,0,0,0.08,0.26,0.0,0.03,0,0.08,0,7.06,0,0.18,0.0,7.24,0,-1433.45,0,-0.0499999999999545
Jan 2020,32.04,0.0,0,0,0,0.08,0.26,0.0,0.14,0,0.08,0,31.89,0,0.18,0.0,32.07,0,-1433.59,0,-0.13999999999987303
Feb 2020,6.51,0.0,0,0,0,0.08,0.26,0.0,0.03,0,0.08,0,6.48,0,0.18,0.0,6.66,0,-1433.63,0,-0.040000000000191
