date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,81.68,0.0,0,0,0,0.08,0.25,0.0,0.37,0,0.08,0,81.31,0,0.17,0.0,81.49,0,-1244.5,0,0.0
Feb 2016,101.23,0.0,0,0,0,0.08,0.25,0.0,0.46,0,0.08,0,100.77,0,0.17,0.0,100.94,0,-1244.3,0,0.200000000000045
Mar 2016,39.25,0.0,0,0,0,0.08,0.25,0.0,0.18,0,0.08,0,39.07,0,0.17,0.0,39.25,0,-1244.02,0,0.27999999999997305
Apr 2016,64.43,0.0,0,0,0,0.36,1.34,0.07,0.29,0,0.37,0,64.14,0,0.9,0.19,65.22,0,-1244.02,0,0.0
May 2016,4.7,0.0,0,0,0,4.7,17.59,1.16,0.02,0,4.7,0,4.67,0,11.73,2.63,19.04,0,-1244.81,0,-0.7899999999999641
Jun 2016,101.78,0.0,0,0,0,5.03,18.84,1.24,0.46,0,5.03,0,101.32,0,12.56,3.15,117.03,0,-1259.16,0,-14.350000000000101
Jul 2016,219.15,0.0,0,0,0,4.84,18.12,1.19,0.99,0,4.84,0,218.16,0,12.08,3.26,233.51,0,-1274.4,0,-15.24
Aug 2016,430.56,0.0,0,0,0,3.16,11.82,0.77,1.95,0,3.16,0,428.61,0,7.88,2.68,439.18,0,-1288.76,0,-14.3599999999999
Sep 2016,551.15,0.01,0,0,0,1.64,6.13,0.39,2.49,0,1.65,0,548.66,0,4.09,2.01,554.76,0,-1297.37,0,-8.6099999999999
Oct 2016,457.44,0.0,0,0,0,0.11,0.37,0.01,2.07,0,0.11,0,455.36,0,0.25,0.31,455.93,0,-1300.98,0,-3.61000000000013
Nov 2016,141.81,0.0,0,0,0,0.08,0.26,0.0,0.64,0,0.08,0,141.17,0,0.18,0.0,141.34,0,-1299.47,0,1.5099999999999898
Dec 2016,128.35,0.0,0,0,0,0.08,0.26,0.0,0.58,0,0.08,0,127.77,0,0.18,0.0,127.95,0,-1299.0,0,0.47000000000002706
Jan 2017,185.58,0.0,0,0,0,0.08,0.26,0.0,0.84,0,0.08,0,184.74,0,0.18,0.0,184.91,0,-1298.6,0,0.40000000000009095
Feb 2017,97.89,0.0,0,0,0,0.08,0.26,0.0,0.44,0,0.08,0,97.44,0,0.18,0.0,97.62,0,-1297.93,0,0.6699999999998449
Mar 2017,359.71,0.0,0,0,0,0.08,0.26,0.0,1.63,0,0.08,0,358.08,0,0.18,0.0,358.26,0,-1297.66,0,0.26999999999998203
Apr 2017,436.28,0.0,0,0,0,0.08,0.26,0.0,1.97,0,0.08,0,434.3,0,0.18,0.01,434.49,0,-1296.21,0,1.4500000000000501
May 2017,48.38,0.0,0,0,0,4.1,15.34,1.01,0.22,0,4.1,0,48.16,0,10.23,2.32,60.71,0,-1294.42,0,1.78999999999996
Jun 2017,237.34,0.0,0,0,0,4.23,15.84,1.04,1.07,0,4.23,0,236.27,0,10.56,3.05,249.88,0,-1306.75,0,-12.3299999999999
Jul 2017,247.66,0.0,0,0,0,4.51,16.88,1.11,1.12,0,4.51,0,246.54,0,11.26,3.11,260.9,0,-1319.29,0,-12.54
Aug 2017,502.0,0.01,0,0,0,2.73,10.19,0.66,2.27,0,2.73,0,499.72,0,6.8,2.59,509.12,0,-1332.53,0,-13.24
Sep 2017,191.53,0.0,0,0,0,3.35,12.52,0.82,0.87,0,3.35,0,190.66,0,8.35,2.05,201.07,0,-1339.65,0,-7.12000000000012
Oct 2017,40.08,0.0,0,0,0,1.01,3.76,0.24,0.18,0,1.01,0,39.9,0,2.51,0.45,42.86,0,-1349.19,0,-9.53999999999996
Nov 2017,89.77,0.0,0,0,0,0.08,0.26,0.0,0.41,0,0.08,0,89.37,0,0.18,0.0,89.54,0,-1351.97,0,-2.77999999999997
Dec 2017,7.1,0.0,0,0,0,0.08,0.26,0.0,0.03,0,0.08,0,7.07,0,0.18,0.0,7.25,0,-1351.74,0,0.230000000000018
Jan 2018,35.21,0.0,0,0,0,0.08,0.26,0.0,0.16,0,0.08,0,35.05,0,0.18,0.0,35.23,0,-1351.88,0,-0.14000000000010002
Feb 2018,83.67,0.0,0,0,0,0.08,0.26,0.0,0.38,0,0.08,0,83.29,0,0.18,0.0,83.47,0,-1351.9,0,-0.0199999999999818
Mar 2018,58.76,0.0,0,0,0,0.08,0.26,0.0,0.27,0,0.08,0,58.49,0,0.18,0.0,58.67,0,-1351.7,0,0.200000000000045
Apr 2018,117.81,0.0,0,0,0,0.34,1.25,0.07,0.53,0,0.34,0,117.27,0,0.84,0.2,118.32,0,-1351.61,0,0.0900000000001455
May 2018,67.89,0.0,0,0,0,4.37,16.37,1.08,0.31,0,4.37,0,67.59,0,10.92,2.63,81.13,0,-1352.12,0,-0.509999999999991
Jun 2018,275.85,0.0,0,0,0,4.08,15.27,1.0,1.25,0,4.08,0,274.6,0,10.19,3.08,287.87,0,-1365.36,0,-13.24
Jul 2018,205.63,0.0,0,0,0,4.86,18.18,1.2,0.93,0,4.86,0,204.7,0,12.12,3.22,220.04,0,-1377.37,0,-12.01
Aug 2018,554.92,0.01,0,0,0,2.62,9.8,0.64,2.51,0,2.63,0,552.41,0,6.54,2.68,561.62,0,-1391.79,0,-14.4200000000001
Sep 2018,331.47,0.0,0,0,0,2.71,10.14,0.66,1.5,0,2.72,0,329.97,0,6.77,2.09,338.82,0,-1398.49,0,-6.70000000000005
Oct 2018,1.87,0.0,0,0,0,1.16,4.31,0.27,0.01,0,1.16,0,1.86,0,2.88,0.48,5.22,0,-1405.84,0,-7.349999999999911
Nov 2018,16.92,0.0,0,0,0,0.08,0.26,0.0,0.08,0,0.08,0,16.84,0,0.18,0.0,17.02,0,-1409.19,0,-3.35000000000014
Dec 2018,70.02,0.0,0,0,0,0.08,0.26,0.0,0.32,0,0.08,0,69.71,0,0.18,0.0,69.88,0,-1409.29,0,-0.0999999999999091
Jan 2019,9.98,0.0,0,0,0,0.08,0.26,0.0,0.05,0,0.08,0,9.93,0,0.18,0.0,10.11,0,-1409.15,0,0.13999999999987303
Feb 2019,2.86,0.0,0,0,0,0.08,0.26,0.0,0.01,0,0.08,0,2.84,0,0.18,0.0,3.02,0,-1409.28,0,-0.129999999999882
Mar 2019,31.85,0.0,0,0,0,0.08,0.26,0.0,0.14,0,0.08,0,31.71,0,0.18,0.0,31.89,0,-1409.45,0,-0.170000000000073
Apr 2019,85.18,0.0,0,0,0,0.31,1.14,0.06,0.39,0,0.31,0,84.79,0,0.76,0.16,85.72,0,-1409.48,0,-0.0299999999999727
May 2019,25.14,0.0,0,0,0,4.6,17.23,1.13,0.11,0,4.6,0,25.03,0,11.49,2.64,39.15,0,-1410.02,0,-0.5399999999999641
Jun 2019,220.97,0.0,0,0,0,4.5,16.82,1.11,1.0,0,4.5,0,219.97,0,11.22,3.2,234.39,0,-1424.03,0,-14.01
Jul 2019,327.71,0.0,0,0,0,4.19,15.66,1.03,1.48,0,4.19,0,326.23,0,10.45,3.16,339.83,0,-1437.45,0,-13.4200000000001
Aug 2019,382.2,0.0,0,0,0,3.45,12.91,0.85,1.73,0,3.46,0,380.46,0,8.61,2.74,391.82,0,-1449.57,0,-12.1199999999999
Sep 2019,230.04,0.0,0,0,0,3.39,12.69,0.83,1.04,0,3.4,0,228.99,0,8.47,2.22,239.68,0,-1459.2,0,-9.63000000000011
Oct 2019,51.89,0.0,0,0,0,1.6,5.97,0.38,0.23,0,1.6,0,51.66,0,3.99,0.75,56.39,0,-1468.84,0,-9.63999999999987
Nov 2019,29.89,0.0,0,0,0,0.08,0.26,0.0,0.14,0,0.08,0,29.76,0,0.18,0.0,29.94,0,-1473.34,0,-4.5
Dec 2019,7.09,0.0,0,0,0,0.08,0.26,0.0,0.03,0,0.08,0,7.06,0,0.18,0.0,7.24,0,-1473.38,0,-0.040000000000191
Jan 2020,32.04,0.0,0,0,0,0.08,0.26,0.0,0.14,0,0.08,0,31.89,0,0.18,0.0,32.07,0,-1473.53,0,-0.14999999999986402
Feb 2020,6.51,0.0,0,0,0,0.08,0.26,0.0,0.03,0,0.08,0,6.48,0,0.18,0.0,6.66,0,-1473.56,0,-0.0299999999999727
