date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,17.36,0.06,0,0.08,0.01,0.02,0.12,0.0,0.11,0,-0.01,0,17.19,0.0,0.1,0.0,17.3,0,-2435.45,0,0.0
Feb 2016,15.57,0.05,0,0.07,0.01,0.02,0.12,0.0,0.1,0,-0.01,0,15.42,0.0,0.1,0.0,15.52,0,-2435.47,0,-0.0199999999999818
Mar 2016,203.09,0.64,0,0.76,0.01,0.02,0.12,0.0,1.26,0,-0.11,0,201.19,0.01,0.1,0.0,201.3,0,-2435.5,0,-0.0300000000002001
Apr 2016,52.75,0.17,0,0.15,0.06,0.02,2.71,0.77,0.33,0,-0.03,0,52.26,0.0,1.99,0.97,55.22,0,-2434.47,0,1.0300000000001999
May 2016,174.28,0.55,0,0.46,0.2,0.02,8.96,2.62,1.08,0,-0.1,0,172.65,0.01,6.52,3.34,182.53,0,-2437.09,0,-2.62000000000035
Jun 2016,99.18,0.31,0,0.1,0.29,0.02,12.8,3.75,0.61,0,-0.06,0,98.25,0.01,9.31,4.44,112.01,0,-2445.79,0,-8.69999999999982
Jul 2016,528.03,1.68,0,1.77,0.19,0.02,8.64,2.52,3.27,0,-0.3,0,523.08,0.03,6.3,4.39,533.8,0,-2458.72,0,-12.929999999999799
Aug 2016,591.72,1.88,0,2.06,0.14,0.02,6.28,1.82,3.66,0,-0.33,0,586.18,0.03,4.58,3.57,594.36,0,-2466.26,0,-7.540000000000419
Sep 2016,181.45,0.58,0,0.48,0.2,0.02,9.09,2.66,1.12,0,-0.1,0,179.75,0.01,6.62,3.1,189.49,0,-2470.95,0,-4.6899999999996
Oct 2016,71.16,0.23,0,0.19,0.09,0.02,3.82,1.1,0.44,0,-0.04,0,70.49,0.0,2.79,1.09,74.37,0,-2479.47,0,-8.519999999999982
Nov 2016,245.89,0.78,0,0.92,0.01,0.02,0.12,0.0,1.52,0,-0.14,0,243.59,0.01,0.1,0.0,243.7,0,-2482.88,0,-3.41000000000031
Dec 2016,46.98,0.15,0,0.19,0.01,0.02,0.12,0.0,0.29,0,-0.03,0,46.54,0.0,0.1,0.0,46.65,0,-2481.62,0,1.2600000000002198
Jan 2017,118.33,0.38,0,0.45,0.01,0.02,0.12,0.0,0.73,0,-0.07,0,117.22,0.01,0.1,0.0,117.33,0,-2481.47,0,0.150000000000091
Feb 2017,120.23,0.38,0,0.46,0.01,0.02,0.12,0.0,0.74,0,-0.07,0,119.1,0.01,0.1,0.0,119.21,0,-2480.92,0,0.549999999999727
Mar 2017,309.75,0.98,0,1.15,0.01,0.02,0.12,0.0,1.92,0,-0.17,0,306.85,0.02,0.1,0.0,306.97,0,-2480.35,0,0.5700000000001639
Apr 2017,271.94,0.86,0,1.0,0.02,0.02,0.59,0.14,1.68,0,-0.15,0,269.39,0.01,0.45,0.38,270.23,0,-2478.73,0,1.61999999999989
May 2017,639.01,2.03,0,2.28,0.09,0.02,3.96,1.14,3.96,0,-0.36,0,633.02,0.03,2.89,3.18,639.13,0,-2478.02,0,0.7100000000000359
Jun 2017,219.05,0.7,0,0.6,0.23,0.02,10.31,3.02,1.36,0,-0.12,0,216.99,0.01,7.5,3.89,228.4,0,-2480.43,0,-2.40999999999985
