date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 1975,71.7,0.0,0,0.01,0.08,0.02,0.15,0.01,0.01,0,-0.06,0,71.69,0.0,0.19,0.0,71.88,0,0.0,0,0.0
Feb 1975,64.18,0.0,0,0.01,0.08,0.02,0.15,0.01,0.01,0,-0.06,0,64.17,0.0,0.19,0.0,64.37,0,-0.19,0,-0.19
Mar 1975,102.11,0.0,0,0.01,0.08,0.02,0.15,0.01,0.01,0,-0.06,0,102.1,0.0,0.19,0.0,102.3,0,-0.38,0,-0.19
Apr 1975,178.75,0.0,0,0.01,0.1,0.02,0.36,0.08,0.09,0,-0.09,0,178.66,0.0,0.36,0.08,179.1,0,-0.58,0,-0.2
May 1975,297.55,0.93,0,0.0,1.36,0.02,11.39,3.88,3.55,0,-0.4,0,293.07,0.0,8.84,3.3,305.22,0,-0.93,0,-0.35
Jun 1975,431.98,1.41,0,0.24,1.58,0.02,13.39,4.57,4.22,0,-0.4,0,426.35,0.02,10.38,3.88,440.62,0,-8.6,0,-7.67
Jul 1975,484.41,1.42,0,0.17,1.67,0.02,14.11,4.82,4.13,0,-0.4,0,478.86,0.01,10.93,3.79,493.59,0,-17.48,0,-8.88
Aug 1975,452.44,1.52,0,0.35,1.57,0.02,13.3,4.54,4.06,0,-0.4,0,446.86,0.02,10.31,3.71,460.89,0,-26.83,0,-9.35
Sep 1975,389.95,0.97,0,0.1,1.29,0.02,10.78,3.67,2.85,0,-0.4,0,386.13,0.01,8.37,2.6,397.1,0,-35.63,0,-8.8
Oct 1975,0.0,0.21,0,0.0,0.64,0.02,5.06,1.7,0.92,0,-0.4,0,-1.13,0.0,3.97,0.8,3.64,0,-42.89,0,-7.26
Nov 1975,212.32,0.0,0,0.01,0.08,0.02,0.15,0.01,0.01,0,-0.07,0,212.31,0.0,0.19,0.0,212.5,0,-46.53,0,-3.64
Dec 1975,26.04,0.0,0,0.0,0.08,0.02,0.15,0.01,0.01,0,-0.06,0,26.03,0.0,0.19,0.0,26.23,0,-46.72,0,-0.18999999999999803
Jan 1976,24.8,0.0,0,0.0,0.07,0.03,0.13,0.01,0.01,0,-0.05,0,24.79,0.0,0.17,0.0,24.96,0,-46.91,0,-0.18999999999999803
Feb 1976,54.6,0.0,0,0.0,0.07,0.03,0.13,0.01,0.01,0,-0.04,0,54.59,0.0,0.17,0.0,54.76,0,-47.07,0,-0.160000000000004
Mar 1976,49.09,0.0,0,0.0,0.07,0.03,0.13,0.01,0.01,0,-0.04,0,49.08,0.0,0.17,0.0,49.25,0,-47.24,0,-0.17000000000000198
Apr 1976,207.42,0.47,0,0.28,0.58,0.03,3.97,1.37,1.16,0,-0.38,0,205.79,0.01,3.16,1.01,209.96,0,-47.4,0,-0.15999999999999698
May 1976,503.78,0.74,0,0.01,1.13,0.03,8.14,2.85,3.25,0,-0.38,0,499.79,0.0,6.39,3.04,509.23,0,-50.23,0,-2.83
Jun 1976,206.12,6.94,0,4.66,2.56,0.03,18.82,6.64,5.31,0,-0.38,0,193.87,0.12,14.71,3.96,212.66,0,-55.68,0,-5.45
Jul 1976,509.94,2.08,0,0.4,2.07,0.03,15.14,5.33,4.34,0,-0.38,0,503.52,0.02,11.84,3.89,519.27,0,-66.88,0,-11.2
Aug 1976,341.23,1.94,0,0.17,2.17,0.03,15.91,5.61,4.06,0,-0.38,0,335.23,0.01,12.44,3.63,351.31,0,-76.61,0,-9.73
Sep 1976,599.91,3.66,0,3.02,0.98,0.03,7.0,2.44,3.38,0,-0.38,0,592.87,0.07,5.51,2.63,601.08,0,-86.87,0,-10.26
Oct 1976,118.08,0.0,0,0.0,0.19,0.03,1.02,0.32,0.2,0,-0.16,0,117.88,0.0,0.86,0.17,118.91,0,-91.06,0,-4.19
Nov 1976,52.85,0.0,0,0.0,0.07,0.03,0.13,0.01,0.01,0,-0.04,0,52.84,0.0,0.17,0.0,53.01,0,-91.89,0,-0.829999999999998
Dec 1976,2.15,0.0,0,0.0,0.07,0.03,0.13,0.01,0.01,0,-0.05,0,2.14,0.0,0.17,0.0,2.31,0,-92.05,0,-0.15999999999999698
Jan 1977,37.8,0.0,0,0.0,0.04,0.03,0.11,0.01,0.0,0,-0.02,0,37.8,0.0,0.11,0.0,37.91,0,-92.21,0,-0.15999999999999698
Feb 1977,32.77,0.0,0,0.0,0.04,0.03,0.11,0.01,0.0,0,-0.02,0,32.76,0.0,0.11,0.0,32.88,0,-92.32,0,-0.10999999999999902
Mar 1977,87.88,0.0,0,0.06,0.04,0.03,0.11,0.01,0.01,0,-0.08,0,87.87,0.0,0.11,0.0,87.98,0,-92.44,0,-0.120000000000005
Apr 1977,587.34,6.71,0,6.88,0.13,0.03,0.76,0.24,2.25,0,-0.37,0,578.38,0.09,0.62,0.94,580.04,0,-92.6,0,-0.15999999999999698
May 1977,482.21,29.37,0,28.03,1.53,0.03,11.29,3.98,8.73,0,-0.37,0,444.12,0.21,8.81,3.22,456.37,0,-92.17,0,0.429999999999993
Jun 1977,215.08,3.02,0,0.45,2.99,0.03,22.25,7.87,4.85,0,-0.42,0,207.21,0.03,17.34,4.21,228.79,0,-94.36,0,-2.19
Jul 1977,558.37,4.34,0,2.45,2.23,0.03,16.53,5.84,4.99,0,-0.42,0,549.03,0.11,12.89,4.11,566.14,0,-108.51,0,-14.15
Aug 1977,758.43,9.53,0,8.46,1.41,0.03,10.39,3.66,5.32,0,-0.42,0,743.58,0.11,8.11,3.47,755.28,0,-118.74,0,-10.23
Sep 1977,371.44,3.69,0,2.25,1.82,0.03,13.46,4.75,3.65,0,-0.43,0,364.11,0.07,10.5,2.89,377.57,0,-124.05,0,-5.31
Oct 1977,22.04,0.81,0,0.02,1.25,0.03,9.19,3.23,1.46,0,-0.44,0,19.77,0.0,7.18,1.23,28.18,0,-132.43,0,-8.38000000000001
Nov 1977,76.78,0.0,0,0.12,0.04,0.03,0.1,0.01,0.03,0,-0.14,0,76.76,0.0,0.11,0.0,76.87,0,-138.59,0,-6.16
Dec 1977,14.76,0.0,0,0.1,0.04,0.03,0.1,0.01,0.02,0,-0.12,0,14.74,0.0,0.11,0.0,14.85,0,-138.8,0,-0.210000000000008
Jan 1978,53.95,0.0,0,0.12,0.05,0.03,0.11,0.01,0.03,0,-0.14,0,53.92,0.0,0.12,0.0,54.04,0,-139.0,0,-0.19999999999998896
Feb 1978,134.26,0.0,0,0.18,0.05,0.03,0.11,0.01,0.04,0,-0.2,0,134.22,0.0,0.12,0.0,134.35,0,-139.22,0,-0.219999999999999
Mar 1978,46.88,0.0,0,0.11,0.05,0.03,0.11,0.01,0.03,0,-0.14,0,46.85,0.01,0.12,0.0,46.98,0,-139.48,0,-0.259999999999991
Apr 1978,46.69,0.21,0,0.01,0.64,0.03,4.59,1.6,1.22,0,-0.42,0,45.27,0.0,3.61,1.1,49.98,0,-139.7,0,-0.219999999999999
May 1978,776.81,0.55,0,0.48,0.49,0.03,3.45,1.19,3.24,0,-0.42,0,773.02,0.02,2.72,3.06,778.82,0,-143.0,0,-3.3000000000000096
Jun 1978,641.86,18.48,0,17.4,1.34,0.03,9.85,3.47,7.32,0,-0.41,0,616.06,0.18,7.7,3.82,627.76,0,-145.49,0,-2.49000000000001
Jul 1978,323.22,1.76,0,0.05,2.17,0.03,16.06,5.67,4.65,0,-0.44,0,316.81,0.01,12.53,4.24,333.59,0,-148.79,0,-3.29999999999998
Aug 1978,330.34,1.28,0,0.0,1.74,0.03,12.84,4.53,3.91,0,-0.44,0,325.15,0.0,10.02,3.6,338.78,0,-159.22,0,-10.43
Sep 1978,155.82,1.27,0,0.0,1.74,0.03,12.81,4.52,3.02,0,-0.44,0,151.53,0.0,10.0,2.7,164.24,0,-167.65,0,-8.43000000000001
Oct 1978,74.28,0.35,0,0.0,0.82,0.03,5.89,2.06,1.26,0,-0.44,0,72.66,0.0,4.62,1.12,78.4,0,-176.07,0,-8.419999999999991
Nov 1978,411.05,0.0,0,0.11,0.05,0.03,0.11,0.01,0.03,0,-0.14,0,411.02,0.0,0.12,0.0,411.14,0,-180.19,0,-4.12
Dec 1978,55.48,0.0,0,0.06,0.05,0.03,0.11,0.01,0.02,0,-0.08,0,55.46,0.0,0.12,0.0,55.58,0,-180.4,0,-0.210000000000008
Jan 1979,147.14,0.0,0,0.05,0.05,0.03,0.11,0.01,0.01,0,-0.07,0,147.13,0.0,0.13,0.0,147.25,0,-180.58,0,-0.18000000000000702
Feb 1979,6.61,0.0,0,0.09,0.05,0.03,0.11,0.01,0.02,0,-0.12,0,6.59,0.0,0.13,0.0,6.72,0,-180.74,0,-0.15999999999999698
Mar 1979,238.24,0.0,0,0.09,0.05,0.03,0.11,0.01,0.02,0,-0.11,0,238.22,0.01,0.13,0.0,238.35,0,-180.94,0,-0.19999999999998896
Apr 1979,228.26,0.0,0,0.06,0.27,0.03,1.76,0.59,0.58,0,-0.31,0,227.68,0.01,1.41,0.52,229.61,0,-181.14,0,-0.19999999999998896
May 1979,759.78,0.41,0,0.04,0.81,0.03,5.82,2.03,3.07,0,-0.42,0,756.29,0.01,4.56,2.92,763.78,0,-182.56,0,-1.42000000000002
Jun 1979,600.91,2.28,0,1.12,1.55,0.03,11.42,4.02,4.12,0,-0.41,0,594.51,0.05,8.92,3.62,607.1,0,-186.6,0,-4.03999999999999
