date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,18.65,3.61,44.69,45.32,0.0,0.26,0.94,0,0.75,0,0.01,0,14.29,3.23,0.69,0.0,18.2,0,-521.81,0,0.0
Feb 2016,7.93,1.53,42.61,41.31,0.0,0.26,0.94,0,0.32,0,0.01,0,6.07,3.08,0.69,0.0,9.83,0,-521.99,0,-0.180000000000064
Mar 2016,31.44,6.09,92.39,92.05,0.0,0.26,0.94,0,1.27,0,0.01,0,24.09,6.67,0.69,0.0,31.45,0,-522.6,0,-0.610000000000014
Apr 2016,0.57,0.11,74.67,68.03,6.47,5.12,1.37,0,0.02,0,0.01,0,0.44,5.39,2.73,1.62,10.18,0,-522.26,0,0.34000000000003194
May 2016,8.28,1.6,165.5,151.93,13.92,10.71,1.87,0,0.33,0,0.02,0,6.34,11.95,5.07,3.49,26.86,0,-525.23,0,-2.97000000000003
Jun 2016,3.28,0.63,67.1,58.77,17.59,13.48,2.12,0,0.13,0,0.01,0,2.51,4.84,6.23,4.51,18.09,0,-530.24,0,-5.009999999999991
Jul 2016,127.98,24.77,87.04,102.82,11.85,9.16,1.74,0,5.16,0,0.01,0,98.05,6.28,4.42,4.26,113.01,0,-536.73,0,-6.490000000000009
Aug 2016,129.79,25.12,103.18,118.57,10.17,7.9,1.63,0,5.24,0,0.01,0,99.44,7.45,3.9,3.68,114.46,0,-537.55,0,-0.8199999999999359
Sep 2016,119.63,23.15,69.53,85.92,8.01,6.28,1.49,0,4.83,0,0.01,0,91.65,5.02,3.22,2.96,102.85,0,-537.6,0,-0.0500000000000682
Oct 2016,34.17,6.61,47.09,49.37,4.76,3.83,1.27,0,1.38,0,0.01,0,26.18,3.4,2.19,1.14,32.91,0,-537.21,0,0.38999999999998597
Nov 2016,83.11,16.08,110.56,118.9,0.0,0.26,0.95,0,3.35,0,0.01,0,63.67,7.98,0.7,0.0,72.35,0,-538.24,0,-1.0299999999999698
Dec 2016,10.41,2.02,48.64,47.4,0.0,0.26,0.96,0,0.42,0,0.01,0,7.98,3.51,0.7,0.0,12.19,0,-535.83,0,2.4099999999999704
Jan 2017,58.42,11.3,92.56,97.43,0.0,0.26,0.96,0,2.36,0,0.01,0,44.75,6.68,0.7,0.0,52.14,0,-536.36,0,-0.5299999999999729
Feb 2017,47.77,9.24,74.78,78.87,0.0,0.26,0.96,0,1.93,0,0.01,0,36.6,5.4,0.7,0.0,42.69,0,-534.95,0,1.40999999999997
Mar 2017,87.29,16.89,129.01,136.83,0.0,0.26,0.96,0,3.52,0,0.02,0,66.88,9.31,0.7,0.0,76.89,0,-533.97,0,0.9800000000000179
Apr 2017,25.43,4.92,155.83,149.5,0.97,0.99,1.03,0,1.03,0,0.02,0,19.48,11.25,1.01,0.28,32.02,0,-531.4,0,2.5700000000000496
May 2017,31.53,6.1,203.16,191.7,12.62,9.75,1.81,0,1.27,0,0.02,0,24.16,14.66,4.68,3.45,46.95,0,-531.67,0,-0.26999999999998203
Jun 2017,24.84,4.81,179.31,167.48,15.81,12.15,2.02,0,1.0,0,0.02,0,19.03,12.94,5.69,4.25,41.91,0,-535.63,0,-3.96000000000004
Jul 2017,129.68,25.1,150.4,162.03,11.47,8.88,1.73,0,5.23,0,0.02,0,99.35,10.86,4.32,4.15,118.68,0,-540.87,0,-5.240000000000009
Aug 2017,115.17,22.29,159.64,167.9,11.08,8.59,1.71,0,4.65,0,0.02,0,88.23,11.52,4.2,3.77,107.72,0,-541.5,0,-0.629999999999995
Sep 2017,87.64,16.96,93.5,101.59,9.56,7.45,1.61,0,3.54,0,0.01,0,67.15,6.75,3.72,2.97,80.59,0,-542.32,0,-0.82000000000005
Oct 2017,120.08,23.24,113.42,128.7,0.11,0.35,0.98,0,4.85,0,0.01,0,92.0,8.19,0.75,0.21,101.14,0,-543.35,0,-1.0299999999999698
Nov 2017,22.66,4.39,97.72,95.3,0.0,0.27,0.98,0,0.91,0,0.01,0,17.36,7.05,0.71,0.0,25.13,0,-539.68,0,3.6700000000000697
Dec 2017,26.13,5.06,59.44,60.46,0.0,0.27,0.98,0,1.05,0,0.01,0,20.02,4.29,0.71,0.0,25.02,0,-539.73,0,-0.0500000000000682
Jan 2018,38.06,7.36,65.0,67.93,0.0,0.27,0.98,0,1.54,0,0.01,0,29.16,4.69,0.71,0.0,34.56,0,-539.65,0,0.0800000000000409
Feb 2018,25.03,4.84,63.99,64.47,0.0,0.27,0.98,0,1.01,0,0.01,0,19.18,4.62,0.72,0.0,24.51,0,-539.09,0,0.559999999999945
Mar 2018,68.39,13.24,122.05,126.73,0.0,0.27,0.98,0,2.76,0,0.01,0,52.4,8.81,0.72,0.0,61.92,0,-539.05,0,0.0400000000000773
Apr 2018,22.72,4.4,101.78,98.55,2.15,1.89,1.13,0,0.92,0,0.01,0,17.4,7.35,1.39,0.61,26.76,0,-537.26,0,1.78999999999996
May 2018,34.48,6.67,205.12,194.05,12.81,9.89,1.84,0,1.39,0,0.02,0,26.42,14.81,4.75,3.57,49.55,0,-538.07,0,-0.810000000000059
Jun 2018,40.76,7.89,135.39,130.07,14.85,11.43,1.98,0,1.64,0,0.02,0,31.23,9.77,5.4,4.19,50.58,0,-542.06,0,-3.9899999999999
Jul 2018,112.35,21.74,104.16,115.49,12.68,9.8,1.83,0,4.53,0,0.01,0,86.07,7.52,4.71,4.31,102.61,0,-546.57,0,-4.510000000000099
Aug 2018,52.6,10.18,61.65,64.12,14.19,10.93,1.94,0,2.12,0,0.01,0,40.3,4.45,5.19,3.81,53.75,0,-548.16,0,-1.58999999999992
Sep 2018,110.52,21.39,67.04,81.74,8.49,6.65,1.56,0,4.46,0,0.01,0,84.68,4.84,3.4,2.98,95.89,0,-551.78,0,-3.62
Oct 2018,81.35,15.74,65.83,76.08,4.01,3.29,1.26,0,3.28,0,0.01,0,62.32,4.75,1.99,1.35,70.42,0,-551.85,0,-0.07000000000005001
Nov 2018,32.28,6.25,66.15,67.88,0.0,0.27,1.0,0,1.3,0,0.01,0,24.73,4.77,0.73,0.0,30.23,0,-551.18,0,0.670000000000073
Dec 2018,14.91,2.89,55.84,54.96,0.0,0.27,1.0,0,0.6,0,0.01,0,11.42,4.03,0.73,0.0,16.18,0,-550.86,0,0.31999999999993606
Jan 2019,17.12,3.31,50.67,50.59,0.0,0.28,1.0,0,0.69,0,0.01,0,13.11,3.66,0.73,0.0,17.5,0,-551.25,0,-0.38999999999998597
Feb 2019,49.65,9.61,86.77,90.38,0.0,0.28,1.0,0,2.0,0,0.01,0,38.04,6.26,0.73,0.0,45.03,0,-551.56,0,-0.30999999999994504
Mar 2019,9.94,1.92,69.37,66.55,0.01,0.28,1.0,0,0.4,0,0.01,0,7.62,5.01,0.73,0.0,13.36,0,-550.54,0,1.01999999999998
Apr 2019,31.67,6.13,129.75,124.3,9.93,7.73,1.67,0,1.28,0,0.02,0,24.26,9.37,3.86,2.71,40.19,0,-551.14,0,-0.600000000000023
May 2019,8.86,1.72,200.44,184.51,13.79,10.64,1.93,0,0.36,0,0.02,0,6.79,14.47,5.08,3.46,29.79,0,-554.22,0,-3.08000000000004
Jun 2019,6.36,1.23,84.7,75.82,17.17,13.18,2.15,0,0.26,0,0.01,0,4.87,6.11,6.14,4.41,21.53,0,-559.22,0,-5.0
Jul 2019,98.35,19.03,78.89,89.16,13.42,10.36,1.91,0,3.97,0,0.01,0,75.35,5.69,4.96,4.33,90.34,0,-565.52,0,-6.29999999999995
Aug 2019,187.74,36.33,149.55,173.44,7.7,6.07,1.53,0,7.58,0,0.02,0,143.83,10.79,3.16,3.65,161.44,0,-567.78,0,-2.25999999999999
Sep 2019,143.87,27.84,93.6,113.35,6.46,5.13,1.45,0,5.81,0,0.01,0,110.22,6.76,2.77,2.8,122.55,0,-565.36,0,2.41999999999996
Oct 2019,94.92,18.37,93.86,105.61,0.45,0.62,1.05,0,3.83,0,0.01,0,72.72,6.77,0.88,0.28,80.66,0,-563.79,0,1.57000000000005
Nov 2019,18.6,3.6,72.03,70.7,0.0,0.28,1.02,0,0.75,0,0.01,0,14.25,5.2,0.74,0.0,20.19,0,-561.28,0,2.50999999999999
Dec 2019,28.44,5.5,69.93,70.65,0.0,0.28,1.02,0,1.15,0,0.01,0,21.79,5.05,0.74,0.0,27.58,0,-561.54,0,-0.259999999999991
Jan 2020,6.43,1.24,44.28,42.6,0.0,0.28,1.02,0,0.26,0,0.01,0,4.93,3.2,0.74,0.0,8.87,0,-561.4,0,0.139999999999986
Feb 2020,62.83,12.16,99.27,104.53,0.0,0.28,1.02,0,2.54,0,0.01,0,48.13,7.17,0.75,0.0,56.05,0,-562.16,0,-0.7599999999999909
Mar 2020,25.22,4.88,85.59,84.56,0.0,0.28,1.03,0,1.02,0,0.01,0,19.32,6.18,0.75,0.0,26.24,0,-560.64,0,1.51999999999998
Apr 2020,7.68,1.49,131.86,123.85,0.99,1.02,1.09,0,0.31,0,0.02,0,5.88,9.52,1.06,0.25,16.71,0,-560.63,0,0.009999999999990909
May 2020,33.64,6.51,145.77,138.92,12.47,9.65,1.86,0,1.36,0,0.02,0,25.77,10.52,4.68,3.43,44.4,0,-561.65,0,-1.01999999999998
Jun 2020,51.41,9.95,161.22,156.25,14.27,11.01,1.98,0,2.07,0,0.02,0,39.39,11.64,5.24,4.17,60.44,0,-565.57,0,-3.9200000000000697
Jul 2020,48.8,9.44,109.7,107.65,15.46,11.9,2.06,0,1.97,0,0.01,0,37.38,7.92,5.62,4.21,55.13,0,-569.64,0,-4.06999999999994
Aug 2020,106.45,20.6,95.55,106.71,11.31,8.78,1.79,0,4.3,0,0.01,0,81.56,6.9,4.31,3.71,96.47,0,-573.92,0,-4.27999999999997
Sep 2020,96.27,18.63,86.08,96.58,8.81,6.9,1.62,0,3.88,0,0.01,0,73.75,6.21,3.53,2.87,86.36,0,-575.11,0,-1.1900000000000501
Oct 2020,0.0,0.0,31.68,28.52,4.65,3.78,1.35,0,0.0,0,0.0,0,0.0,2.29,2.22,0.9,5.4,0,-575.71,0,-0.600000000000023
Nov 2020,11.12,2.15,54.69,53.17,0.0,0.29,1.04,0,0.45,0,0.01,0,8.52,3.95,0.76,0.0,13.22,0,-577.95,0,-2.24000000000001
Dec 2020,5.37,1.04,46.33,44.3,0.0,0.29,1.04,0,0.22,0,0.01,0,4.11,3.34,0.76,0.0,8.21,0,-578.53,0,-0.579999999999927
Jan 2021,7.65,1.48,35.48,34.68,0.0,0.29,1.04,0,0.31,0,0.0,0,5.86,2.56,0.76,0.0,9.18,0,-579.35,0,-0.82000000000005
Feb 2021,11.47,2.22,38.21,37.95,0.0,0.29,1.04,0,0.46,0,0.0,0,8.79,2.76,0.76,0.0,12.3,0,-580.08,0,-0.7300000000000179
Mar 2021,0.77,0.15,41.08,38.44,0.43,0.61,1.07,0,0.03,0,0.0,0,0.59,2.97,0.89,0.1,4.55,0,-580.66,0,-0.579999999999927
Apr 2021,1.64,0.32,76.06,68.02,12.65,9.79,1.89,0,0.07,0,0.01,0,1.26,5.49,4.75,3.14,14.63,0,-581.79,0,-1.13
May 2021,30.41,5.89,37.79,37.8,13.8,10.66,1.97,0,1.23,0,0.0,0,23.3,2.73,5.11,3.87,35.0,0,-586.75,0,-4.96000000000004
Jun 2021,17.32,3.35,15.16,13.39,17.42,13.39,2.24,0,0.7,0,0.0,0,13.27,1.09,6.27,4.86,25.49,0,-591.36,0,-4.610000000000009
Jul 2021,95.87,18.55,52.83,64.41,13.85,10.7,1.98,0,3.87,0,0.01,0,73.45,3.81,5.13,4.44,86.83,0,-597.75,0,-6.389999999999991
Aug 2021,24.49,4.74,41.9,39.9,16.11,12.39,2.13,0,0.99,0,0.0,0,18.77,3.02,5.84,3.98,31.61,0,-600.3,0,-2.54999999999995
