date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,54.18,10.48,79.1,84.1,0.0,0.24,0.9,0,2.19,0,0.01,0,41.51,5.71,0.66,0.0,47.88,0,-521.72,0,0.0
Feb 2016,61.15,11.83,79.62,85.94,0.0,0.24,0.9,0,2.47,0,0.01,0,46.85,5.75,0.66,0.0,53.26,0,-520.42,0,1.30000000000007
Mar 2016,15.98,3.09,63.13,61.9,0.0,0.24,0.9,0,0.64,0,0.01,0,12.24,4.56,0.66,0.0,17.46,0,-518.84,0,1.57999999999993
Apr 2016,5.48,1.06,35.29,33.63,1.64,1.47,1.01,0,0.22,0,0.0,0,4.2,2.55,1.17,0.31,8.23,0,-519.09,0,-0.25
May 2016,87.47,16.93,145.95,149.46,12.49,9.63,1.73,0,3.53,0,0.02,0,67.01,10.53,4.59,3.27,85.41,0,-520.18,0,-1.08999999999992
Jun 2016,36.31,7.03,84.65,80.9,19.72,15.06,2.22,0,1.46,0,0.01,0,27.81,6.11,6.87,4.08,44.88,0,-521.64,0,-1.46000000000004
Jul 2016,111.12,21.5,87.59,98.85,16.74,12.83,2.02,0,4.48,0,0.01,0,85.13,6.32,5.94,4.24,101.63,0,-526.46,0,-4.82000000000005
Aug 2016,26.77,5.18,45.12,42.3,20.08,15.34,2.24,0,1.08,0,0.01,0,20.51,3.26,6.99,3.66,34.42,0,-528.23,0,-1.76999999999998
Sep 2016,73.56,14.24,51.33,58.7,13.68,10.52,1.82,0,2.97,0,0.01,0,56.36,3.7,4.97,2.98,68.02,0,-533.05,0,-4.819999999999941
Oct 2016,144.24,27.91,88.18,109.79,0.68,0.76,0.95,0,5.82,0,0.01,0,110.51,6.36,0.88,0.7,118.45,0,-534.87,0,-1.82000000000005
Nov 2016,8.34,1.61,59.37,56.94,0.0,0.25,0.91,0,0.34,0,0.01,0,6.39,4.29,0.66,0.0,11.34,0,-530.69,0,4.17999999999995
Dec 2016,37.26,7.21,59.25,62.42,0.0,0.25,0.91,0,1.5,0,0.01,0,28.54,4.28,0.67,0.0,33.49,0,-531.26,0,-0.569999999999936
Jan 2017,33.99,6.58,62.42,64.73,0.0,0.25,0.91,0,1.37,0,0.01,0,26.04,4.51,0.67,0.0,31.21,0,-530.65,0,0.610000000000014
Feb 2017,28.53,5.52,65.82,66.82,0.0,0.25,0.91,0,1.15,0,0.01,0,21.86,4.75,0.67,0.0,27.27,0,-530.18,0,0.47000000000002706
Mar 2017,42.02,8.13,85.13,87.35,0.0,0.25,0.91,0,1.7,0,0.01,0,32.2,6.14,0.67,0.0,39.01,0,-529.93,0,0.25
