date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,2.42,0.47,23.28,22.3,0.0,0.24,0.9,0,0.1,0,0.0,0,1.85,1.68,0.66,0.0,4.19,0,-521.71,0,0.0
Feb 2016,46.1,8.92,64.49,68.99,0.0,0.24,0.9,0,1.86,0,0.01,0,35.32,4.66,0.66,0.0,40.63,0,-522.5,0,-0.7899999999999641
Mar 2016,7.34,1.42,34.2,33.38,0.0,0.24,0.9,0,0.3,0,0.0,0,5.62,2.47,0.66,0.0,8.75,0,-521.53,0,0.970000000000027
Apr 2016,29.02,5.62,54.98,56.08,3.14,2.6,1.11,0,1.17,0,0.01,0,22.23,3.97,1.65,0.92,28.77,0,-522.13,0,-0.600000000000023
May 2016,2.13,0.41,32.31,26.91,14.97,11.49,1.9,0,0.09,0,0.0,0,1.64,2.33,5.38,3.77,13.11,0,-522.98,0,-0.850000000000023
Jun 2016,45.87,8.88,37.04,39.61,15.6,11.96,1.94,0,1.85,0,0.0,0,35.14,2.67,5.57,4.57,47.96,0,-528.56,0,-5.57999999999993
Jul 2016,127.62,24.7,70.78,87.67,11.8,9.11,1.69,0,5.15,0,0.01,0,97.77,5.11,4.38,4.24,111.5,0,-533.21,0,-4.65000000000009
Aug 2016,127.45,24.66,79.7,96.33,10.15,7.87,1.58,0,5.14,0,0.01,0,97.64,5.75,3.86,3.64,110.89,0,-533.98,0,-0.7699999999999821
Sep 2016,179.2,34.68,80.83,108.62,5.17,4.13,1.25,0,7.23,0,0.01,0,137.29,5.83,2.29,2.86,148.28,0,-534.05,0,-0.0699999999999363
Oct 2016,14.55,2.82,24.24,24.06,5.99,4.75,1.3,0,0.59,0,0.0,0,11.15,1.75,2.55,1.27,16.72,0,-530.92,0,3.13
Nov 2016,11.63,2.25,36.8,36.63,0.0,0.25,0.91,0,0.47,0,0.0,0,8.91,2.66,0.66,0.0,12.23,0,-532.9,0,-1.98000000000002
Dec 2016,14.18,2.74,43.81,43.63,0.0,0.25,0.91,0,0.57,0,0.01,0,10.87,3.16,0.67,0.0,14.69,0,-533.34,0,-0.44000000000005496
Jan 2017,40.08,7.76,59.18,62.9,0.0,0.25,0.91,0,1.62,0,0.01,0,30.71,4.27,0.67,0.0,35.65,0,-533.67,0,-0.32999999999992696
Feb 2017,20.05,3.88,38.59,39.93,0.0,0.25,0.91,0,0.81,0,0.0,0,15.36,2.79,0.67,0.0,18.81,0,-532.95,0,0.719999999999914
Mar 2017,15.47,2.99,45.26,45.22,0.03,0.26,0.91,0,0.62,0,0.01,0,11.85,3.27,0.67,0.01,15.8,0,-533.05,0,-0.0999999999999091
Apr 2017,1.6,0.31,29.69,25.13,11.95,9.23,1.71,0,0.06,0,0.0,0,1.22,2.14,4.43,2.89,10.68,0,-533.34,0,-0.290000000000077
May 2017,5.65,1.09,25.16,20.89,15.26,11.71,1.93,0,0.23,0,0.0,0,4.33,1.82,5.48,3.95,15.56,0,-537.86,0,-4.51999999999998
Jun 2017,21.75,4.21,34.66,32.47,16.66,12.76,2.02,0,0.88,0,0.0,0,16.66,2.5,5.92,4.51,29.59,0,-543.51,0,-5.649999999999981
Jul 2017,98.51,19.06,54.79,66.82,13.35,10.28,1.81,0,3.97,0,0.01,0,75.47,3.95,4.87,4.31,88.61,0,-549.16,0,-5.649999999999981
Aug 2017,112.43,21.76,73.56,87.56,10.83,8.38,1.64,0,4.54,0,0.01,0,86.14,5.31,4.08,3.64,99.17,0,-551.29,0,-2.13
Sep 2017,5.2,1.01,14.21,10.93,14.12,10.86,1.86,0,0.21,0,0.0,0,3.99,1.03,5.12,3.13,13.26,0,-552.03,0,-0.7400000000000091
Oct 2017,152.21,29.46,79.95,103.7,0.71,0.78,0.97,0,6.14,0,0.01,0,116.61,5.77,0.89,0.9,124.18,0,-556.8,0,-4.76999999999998
Nov 2017,11.07,2.14,30.77,30.94,0.0,0.25,0.92,0,0.45,0,0.0,0,8.48,2.22,0.67,0.0,11.38,0,-552.51,0,4.28999999999996
Dec 2017,40.28,7.8,46.22,50.92,0.0,0.25,0.92,0,1.63,0,0.01,0,30.86,3.34,0.67,0.0,34.87,0,-552.98,0,-0.47000000000002706
Jan 2018,73.45,14.21,93.75,101.43,0.0,0.25,0.92,0,2.96,0,0.01,0,56.27,6.77,0.68,0.0,63.72,0,-552.27,0,0.7100000000000359
Feb 2018,57.06,11.04,84.47,89.65,0.0,0.25,0.92,0,2.3,0,0.01,0,43.72,6.1,0.68,0.0,50.49,0,-550.22,0,2.04999999999995
Mar 2018,74.2,14.36,105.89,112.84,0.0,0.25,0.92,0,2.99,0,0.01,0,56.84,7.64,0.68,0.0,65.16,0,-548.83,0,1.38999999999999
Apr 2018,72.13,13.96,89.5,96.84,1.57,1.43,1.03,0,2.91,0,0.01,0,55.26,6.46,1.17,0.66,63.55,0,-546.75,0,2.08000000000004
May 2018,140.78,27.24,195.81,207.01,8.58,6.7,1.5,0,5.68,0,0.02,0,107.86,14.13,3.38,3.88,129.25,0,-545.52,0,1.23000000000002
Jun 2018,49.39,9.56,135.48,131.71,15.23,11.7,1.94,0,1.99,0,0.02,0,37.84,9.78,5.48,4.5,57.59,0,-545.19,0,0.32999999999992696
Jul 2018,105.92,20.5,96.94,107.4,13.21,10.18,1.81,0,4.27,0,0.01,0,81.15,7.0,4.84,4.39,97.37,0,-549.62,0,-4.42999999999995
Aug 2018,114.31,22.12,121.83,132.69,10.88,8.43,1.65,0,4.61,0,0.01,0,87.57,8.79,4.11,3.69,104.17,0,-551.53,0,-1.90999999999997
