date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,2.42,0.47,25.48,24.48,0.0,0.38,1.34,0,0.1,0,0.0,0,1.85,1.84,0.96,0.0,4.65,0,-539.08,0,0.0
Feb 2016,46.1,8.92,66.7,71.17,0.0,0.38,1.34,0,1.86,0,0.01,0,35.32,4.81,0.96,0.0,41.1,0,-540.32,0,-1.24000000000001
Mar 2016,7.34,1.42,36.38,35.55,0.0,0.38,1.34,0,0.3,0,0.0,0,5.62,2.63,0.97,0.0,9.21,0,-539.79,0,0.530000000000086
Apr 2016,29.02,5.62,57.06,58.15,3.14,2.74,1.56,0,1.17,0,0.01,0,22.23,4.12,1.96,0.92,29.23,0,-540.84,0,-1.05000000000007
May 2016,2.13,0.41,34.27,28.87,14.97,11.63,2.35,0,0.09,0,0.0,0,1.64,2.47,5.68,3.77,13.56,0,-542.14,0,-1.2999999999999499
Jun 2016,45.87,8.88,39.12,41.67,15.6,12.11,2.39,0,1.85,0,0.0,0,35.14,2.82,5.88,4.57,48.42,0,-548.16,0,-6.019999999999981
Jul 2016,127.62,24.7,72.96,89.84,11.8,9.26,2.14,0,5.15,0,0.01,0,97.77,5.27,4.69,4.24,111.97,0,-553.27,0,-5.110000000000009
Aug 2016,127.45,24.66,81.95,98.55,10.15,8.01,2.03,0,5.14,0,0.01,0,97.64,5.92,4.17,3.64,111.37,0,-554.49,0,-1.2200000000000302
Sep 2016,179.2,34.68,83.09,110.86,5.17,4.27,1.7,0,7.23,0,0.01,0,137.29,6.0,2.61,2.86,148.76,0,-555.01,0,-0.519999999999982
Oct 2016,14.55,2.82,22.41,22.51,5.99,4.89,1.76,0,0.59,0,0.0,0,11.15,1.62,2.86,1.27,16.9,0,-552.34,0,2.66999999999996
Nov 2016,11.63,2.25,35.31,35.39,0.0,0.39,1.36,0,0.47,0,0.0,0,8.91,2.55,0.98,0.0,12.44,0,-554.78,0,-2.43999999999994
Dec 2016,14.18,2.74,42.26,42.34,0.0,0.39,1.37,0,0.57,0,0.0,0,10.87,3.05,0.98,0.0,14.9,0,-555.67,0,-0.889999999999986
Jan 2017,40.08,7.76,61.34,65.04,0.0,0.39,1.37,0,1.62,0,0.01,0,30.71,4.43,0.98,0.0,36.12,0,-556.46,0,-0.7900000000000771
Feb 2017,20.05,3.88,40.78,42.1,0.0,0.39,1.37,0,0.81,0,0.0,0,15.36,2.94,0.98,0.0,19.29,0,-556.2,0,0.259999999999991
Mar 2017,15.47,2.99,47.43,47.38,0.03,0.41,1.38,0,0.62,0,0.01,0,11.85,3.42,0.99,0.01,16.28,0,-556.76,0,-0.559999999999945
Apr 2017,1.6,0.31,31.76,27.2,11.95,9.37,2.17,0,0.06,0,0.0,0,1.22,2.29,4.75,2.89,11.15,0,-557.51,0,-0.75
May 2017,5.65,1.09,26.57,22.34,15.26,11.86,2.4,0,0.23,0,0.0,0,4.33,1.92,5.8,3.95,15.99,0,-562.51,0,-5.0
Jun 2017,21.75,4.21,36.46,34.29,16.66,12.91,2.49,0,0.88,0,0.0,0,16.66,2.63,6.24,4.51,30.04,0,-568.62,0,-6.110000000000009
Jul 2017,98.51,19.06,57.04,69.06,13.35,10.42,2.28,0,3.97,0,0.01,0,75.47,4.12,5.2,4.31,89.09,0,-574.74,0,-6.12
Aug 2017,112.43,21.76,75.85,89.83,10.83,8.53,2.11,0,4.54,0,0.01,0,86.14,5.48,4.41,3.64,99.66,0,-577.34,0,-2.60000000000002
Sep 2017,5.2,1.01,16.04,12.78,14.12,11.0,2.33,0,0.21,0,0.0,0,3.99,1.16,5.44,3.13,13.71,0,-578.55,0,-1.20999999999992
Oct 2017,152.21,29.46,78.47,102.47,0.71,0.93,1.44,0,6.14,0,0.01,0,116.61,5.66,1.22,0.9,124.4,0,-583.79,0,-5.240000000000009
Nov 2017,11.07,2.14,31.29,31.57,0.0,0.4,1.4,0,0.45,0,0.0,0,8.48,2.26,1.0,0.0,11.74,0,-579.98,0,3.80999999999995
Dec 2017,40.28,7.8,46.85,51.66,0.0,0.4,1.4,0,1.63,0,0.01,0,30.86,3.38,1.0,0.0,35.25,0,-580.93,0,-0.949999999999932
Jan 2018,73.45,14.21,96.05,103.72,0.0,0.4,1.4,0,2.96,0,0.01,0,56.27,6.93,1.0,0.0,64.21,0,-580.69,0,0.239999999999895
Feb 2018,57.06,11.04,86.46,91.65,0.0,0.4,1.4,0,2.3,0,0.01,0,43.72,6.24,1.01,0.0,50.96,0,-579.12,0,1.57000000000005
Mar 2018,74.2,14.36,106.7,113.75,0.0,0.4,1.41,0,2.99,0,0.01,0,56.84,7.7,1.01,0.0,65.55,0,-578.21,0,0.909999999999968
Apr 2018,72.13,13.96,91.68,99.02,1.57,1.58,1.51,0,2.91,0,0.01,0,55.26,6.62,1.5,0.66,64.04,0,-576.61,0,1.60000000000002
May 2018,140.78,27.24,197.71,208.93,8.58,6.85,1.98,0,5.68,0,0.02,0,107.86,14.27,3.71,3.88,129.72,0,-575.86,0,0.75
