date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,24.2,4.68,66.47,66.59,0.0,0.25,0.92,0,0.98,0,0.01,0,18.54,4.8,0.67,0.0,24.01,0,-519.39,0,0.0
Feb 2016,29.34,5.68,50.94,53.18,0.0,0.25,0.92,0,1.18,0,0.01,0,22.48,3.68,0.67,0.0,26.83,0,-519.33,0,0.0599999999999454
Mar 2016,15.48,3.0,81.17,78.55,0.0,0.25,0.92,0,0.62,0,0.01,0,11.86,5.86,0.67,0.0,18.4,0,-519.05,0,0.280000000000086
Apr 2016,11.51,2.23,150.33,140.91,4.14,3.36,1.2,0,0.46,0,0.02,0,8.82,10.85,1.98,1.09,22.73,0,-519.34,0,-0.290000000000077
May 2016,0.35,0.07,168.89,153.2,15.28,11.73,1.94,0,0.01,0,0.02,0,0.27,12.19,5.49,3.85,21.8,0,-521.14,0,-1.7999999999999499
Jun 2016,19.93,3.86,79.82,73.96,16.89,12.94,2.05,0,0.8,0,0.01,0,15.27,5.76,6.0,4.56,31.59,0,-526.9,0,-5.759999999999991
Jul 2016,63.85,12.36,60.02,64.34,15.91,12.21,1.99,0,2.58,0,0.01,0,48.91,4.33,5.69,4.63,63.57,0,-532.7,0,-5.80000000000007
Aug 2016,105.75,20.46,95.0,105.91,11.83,9.14,1.72,0,4.27,0,0.01,0,81.02,6.86,4.4,3.88,96.15,0,-536.73,0,-4.02999999999997
Sep 2016,137.22,26.56,84.26,103.19,7.17,5.64,1.41,0,5.54,0,0.01,0,105.13,6.08,2.94,2.94,117.09,0,-538.04,0,-1.3099999999999499
Oct 2016,146.19,28.29,72.55,95.72,0.52,0.64,0.96,0,5.9,0,0.01,0,112.0,5.24,0.84,0.72,118.8,0,-536.84,0,1.19999999999993
Nov 2016,37.46,7.25,86.84,88.06,0.0,0.25,0.93,0,1.51,0,0.01,0,28.7,6.27,0.68,0.0,35.65,0,-532.61,0,4.23000000000002
Dec 2016,42.2,8.17,75.19,78.17,0.0,0.25,0.93,0,1.7,0,0.01,0,32.33,5.43,0.68,0.0,38.44,0,-532.02,0,0.5900000000000319
