date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,466.56,6.79,0,1.58,9.55,0.2,0.65,0.95,6.08,0,-4.43,0,453.68,0.29,4.95,0.0,458.92,425.12,-2264.02,0.0,0.0
Feb 2016,1184.1,15.81,0,4.9,22.36,0.2,0.65,0.94,14.69,0,-12.01,0,1153.6,0.76,4.9,0.0,1159.26,429.24,-2262.07,4.12,1.94999999999982
Mar 2016,845.02,9.28,0,2.78,14.49,0.37,0.85,0.98,8.25,0,-8.12,0,827.49,0.5,7.32,0.03,835.35,446.21,-2259.1,16.97,2.9700000000002498
Apr 2016,333.38,5.02,0,8.61,9.99,11.27,14.63,3.81,3.41,0,-2.86,0,324.95,0.55,20.65,1.41,347.57,452.88,-2258.88,6.6700000000000195,0.2199999999998
May 2016,3696.38,49.37,0,15.24,62.87,5.02,8.27,2.75,41.29,0,-25.89,0,3605.72,2.16,16.17,11.09,3635.14,441.77,-2270.57,-11.11,-11.6900000000001
Jun 2016,655.66,10.9,0,12.06,28.9,32.59,32.99,8.37,8.39,0,2.05,0,636.36,0.49,41.96,21.72,700.53,488.98,-2271.78,47.21,-1.2100000000000402
Jul 2016,3205.61,40.69,0,14.24,50.11,14.76,22.05,5.84,35.94,0,-10.67,0,3128.99,1.76,35.35,22.44,3188.54,467.95,-2307.68,-21.03,-35.8999999999996
Aug 2016,1773.83,19.64,0,11.74,29.95,19.98,21.43,5.65,16.62,0,-2.78,0,1737.58,0.71,33.41,18.71,1790.41,484.16,-2321.06,16.21,-13.3800000000001
Sep 2016,1392.14,19.34,0,12.69,23.44,17.61,19.94,5.37,15.83,0,0.21,0,1356.97,0.61,30.33,15.66,1403.58,476.51,-2341.72,-7.65000000000003,-20.659999999999897
Oct 2016,1962.96,27.81,0,12.38,23.36,0.98,1.35,1.04,22.85,0,-7.78,0,1912.29,0.84,6.89,1.37,1921.4,466.57,-2355.91,-9.94,-14.1900000000001
Nov 2016,673.34,7.25,0,2.55,10.74,0.2,0.65,0.94,6.55,0,-6.2,0,659.53,0.36,4.81,0.0,664.7,482.36,-2342.52,15.79,13.3899999999999
Dec 2016,352.04,5.32,0,1.81,5.82,0.2,0.65,0.94,4.28,0,-2.3,0,342.44,0.19,3.69,0.0,346.31,487.8,-2341.87,5.44,0.6500000000000911
Jan 2017,311.11,5.26,0,1.06,7.0,0.2,0.65,0.94,4.58,0,-2.81,0,301.26,0.21,4.71,0.0,306.18,489.44,-2339.6,1.63999999999999,2.26999999999998
Feb 2017,867.29,10.2,0,3.59,14.83,0.2,0.65,0.94,9.4,0,-8.52,0,847.69,0.5,6.02,0.0,854.21,491.24,-2337.54,1.80000000000001,2.05999999999995
Mar 2017,1283.88,15.41,0,5.6,19.71,0.21,0.68,0.95,13.25,0,-10.33,0,1255.23,0.64,7.18,0.01,1263.06,499.57,-2336.37,8.32999999999998,1.17000000000007
Apr 2017,2584.99,28.42,0,20.02,22.56,2.07,3.68,1.56,22.91,0,-13.62,0,2533.66,1.52,11.34,0.97,2547.51,511.61,-2333.19,12.04,3.17999999999984
May 2017,3422.68,42.38,0,29.19,29.3,6.75,8.18,2.65,34.54,0,-11.52,0,3345.76,2.15,18.34,12.19,3378.44,522.87,-2326.99,11.26,6.200000000000269
Jun 2017,1500.75,19.2,0,12.42,33.94,26.23,27.64,7.07,15.87,0,-1.71,0,1465.68,0.78,41.89,22.74,1531.09,532.61,-2321.68,9.740000000000009,5.30999999999995
Jul 2017,1723.85,20.23,0,14.7,33.1,26.58,27.29,7.0,17.47,0,-1.76,0,1686.14,0.77,42.48,23.15,1752.54,519.0,-2350.83,-13.61,-29.1500000000001
Aug 2017,2644.65,33.67,0,11.95,41.03,14.1,19.86,5.37,29.15,0,-6.49,0,2581.84,1.28,32.48,19.96,2635.56,503.34,-2378.56,-15.66,-27.73
Sep 2017,2476.92,30.21,0,12.22,34.74,10.7,14.2,3.98,26.7,0,-7.26,0,2420.01,1.21,25.07,15.49,2461.78,512.27,-2390.35,8.93000000000001,-11.79
Oct 2017,859.88,12.27,0,8.23,11.1,5.91,12.13,3.47,10.71,0,-1.74,0,836.9,0.59,17.99,2.46,857.93,521.46,-2396.63,9.190000000000051,-6.2800000000002
