date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,32.71,0.72,0,0.11,1.31,0.2,0.66,0.95,0.47,0,-0.54,0,31.51,0.04,5.16,0.0,36.72,425.12,-2269.45,0.0,0.0
Feb 2016,776.13,10.52,0,3.64,13.74,0.2,0.66,0.94,9.39,0,-7.13,0,756.22,0.46,4.65,0.0,761.33,420.78,-2269.23,-4.34000000000003,0.2199999999998
Mar 2016,228.15,3.06,0,0.63,5.33,0.49,1.35,1.07,2.82,0,-2.61,0,222.27,0.21,7.72,0.07,230.26,429.39,-2266.68,8.61000000000001,2.55000000000018
Apr 2016,1445.04,16.54,0,7.52,30.63,10.24,11.67,3.25,14.81,0,-12.6,0,1413.7,1.23,18.08,2.39,1435.4,426.78,-2266.81,-2.6100000000000096,-0.130000000000109
May 2016,1641.98,15.18,0,10.13,25.54,15.99,18.69,4.99,13.57,0,-5.17,0,1613.23,0.68,30.6,16.31,1660.82,437.51,-2275.43,10.73,-8.619999999999889
Jun 2016,2156.11,24.74,0,12.83,35.26,19.2,22.07,5.78,20.98,0,-5.11,0,2110.38,0.96,36.87,23.16,2171.37,430.16,-2297.05,-7.34999999999997,-21.6200000000003
Jul 2016,3544.92,43.29,0,17.59,47.88,12.98,17.21,4.74,37.69,0,-10.78,0,3463.94,1.59,30.24,22.74,3518.51,425.64,-2320.62,-4.5200000000000395,-23.5699999999997
Aug 2016,3782.51,46.15,0,15.71,56.86,8.91,12.73,3.68,40.72,0,-19.44,0,3695.64,1.92,22.49,18.5,3738.55,442.76,-2328.92,17.12,-8.30000000000018
Sep 2016,2844.04,37.44,0,15.09,37.88,8.08,10.9,3.25,31.91,0,-8.77,0,2774.69,1.32,20.4,14.67,2811.08,477.27,-2335.18,34.51,-6.259999999999759
Oct 2016,213.81,2.61,0,9.68,11.06,18.86,18.82,5.11,2.45,0,0.45,0,208.75,0.28,23.83,3.9,236.75,494.32,-2334.36,17.05,0.8199999999997092
Nov 2016,367.0,4.52,0,1.32,6.66,0.51,1.15,1.05,4.08,0,-3.18,0,358.4,0.23,5.88,0.03,364.54,476.4,-2349.07,-17.92,-14.71
Dec 2016,149.86,1.99,0,0.38,3.84,0.2,0.66,0.94,1.87,0,-2.15,0,146.0,0.12,3.59,0.0,149.72,476.78,-2348.3,0.379999999999995,0.7699999999999821
Jan 2017,518.41,7.31,0,1.52,11.01,0.2,0.66,0.94,6.67,0,-5.36,0,504.43,0.34,4.19,0.0,508.96,476.54,-2348.3,-0.23999999999995197,0.0
Feb 2017,200.81,3.32,0,0.9,4.57,0.2,0.66,0.94,2.87,0,-2.09,0,194.62,0.15,4.67,0.0,199.43,482.87,-2346.7,6.3299999999999805,1.60000000000036
Mar 2017,284.94,4.03,0,0.98,5.93,0.72,1.82,1.16,3.59,0,-2.4,0,277.31,0.24,9.25,0.12,286.92,482.28,-2345.63,-0.5900000000000319,1.06999999999971
Apr 2017,300.58,3.13,0,8.14,11.91,12.02,16.46,4.26,3.0,0,-5.57,0,294.45,0.66,22.92,2.57,320.59,478.9,-2345.22,-3.38,0.41000000000030895
May 2017,1271.15,15.19,0,10.06,27.27,21.9,22.71,6.02,12.17,0,-0.78,0,1243.79,0.54,34.47,18.35,1297.15,468.08,-2362.55,-10.82,-17.3300000000004
Jun 2017,3389.19,37.81,0,15.26,44.95,12.66,14.56,4.04,32.81,0,-11.16,0,3318.57,1.42,28.86,22.6,3371.46,455.68,-2386.21,-12.4,-23.6599999999999
Jul 2017,2427.67,29.63,0,15.84,33.07,16.66,22.46,5.95,25.51,0,-3.6,0,2372.52,0.99,37.5,23.11,2434.13,469.63,-2397.68,13.95,-11.4699999999998
Aug 2017,2598.59,32.11,0,11.77,40.93,13.16,20.44,5.43,28.58,0,-8.84,0,2537.9,1.41,31.24,19.13,2589.68,465.05,-2415.4,-4.5799999999999805,-17.7200000000003
Sep 2017,340.94,5.45,0,12.24,20.09,29.11,28.19,7.24,3.14,0,1.93,0,332.35,0.31,34.74,16.66,384.07,476.58,-2429.79,11.53,-14.3899999999999
Oct 2017,2338.53,34.66,0,13.66,31.77,2.68,5.42,2.0,29.42,0,-9.29,0,2274.45,1.21,11.15,3.32,2290.12,453.77,-2462.33,-22.81,-32.54
Nov 2017,192.94,2.88,0,0.62,4.45,0.2,0.66,0.94,2.38,0,-2.14,0,187.68,0.14,4.88,0.0,192.7,475.13,-2448.94,21.36,13.3899999999999
Dec 2017,787.24,10.95,0,4.11,11.53,0.2,0.66,0.94,9.34,0,-4.87,0,766.95,0.38,3.19,0.0,770.52,474.21,-2448.41,-0.9200000000000159,0.5300000000002001
Jan 2018,1287.03,18.03,0,5.11,21.64,0.2,0.66,0.94,15.43,0,-9.16,0,1253.57,0.65,4.73,0.0,1258.96,482.06,-2443.66,7.850000000000019,4.75
Feb 2018,805.63,10.52,0,4.8,10.69,0.2,0.66,0.94,9.59,0,-5.35,0,785.53,0.57,5.01,0.0,791.11,498.48,-2437.11,16.42,6.549999999999731
Mar 2018,2216.56,27.63,0,18.45,15.22,0.2,0.66,0.94,24.23,0,-7.19,0,2164.7,1.34,6.13,0.0,2172.17,503.68,-2432.58,5.19999999999999,4.5300000000002
Apr 2018,2063.73,22.97,0,26.34,13.57,4.76,3.35,1.44,22.12,0,-13.91,0,2018.64,1.73,11.84,0.96,2033.17,512.28,-2415.24,8.59999999999997,17.3400000000001
May 2018,5117.74,60.35,0,47.56,37.87,5.25,6.98,2.37,54.01,0,-23.43,0,5003.38,3.6,17.53,15.94,5040.44,511.16,-2409.89,-1.11999999999995,5.34999999999991
Jun 2018,1936.99,26.69,0,14.58,33.53,21.53,24.28,6.33,20.87,0,-0.79,0,1889.43,0.89,40.03,23.45,1953.8,530.86,-2399.86,19.7,10.0299999999997
Jul 2018,1686.39,24.94,0,14.65,34.64,24.93,29.67,7.66,19.96,0,-0.3,0,1641.5,0.88,44.56,23.92,1710.86,520.8,-2421.19,-10.0600000000001,-21.3299999999999
Aug 2018,3619.99,44.77,0,17.62,51.06,9.68,14.06,4.03,38.7,0,-16.07,0,3536.53,1.85,25.18,19.12,3582.68,507.96,-2447.47,-12.84,-26.2799999999997
Sep 2018,1529.53,19.09,0,12.93,22.9,16.65,17.99,4.88,15.79,0,-0.67,0,1494.65,0.58,29.77,16.35,1541.35,534.19,-2454.01,26.2300000000001,-6.540000000000419
Oct 2018,558.79,8.98,0,9.62,13.62,16.18,18.51,5.17,7.41,0,1.58,0,542.4,0.35,25.13,5.9,573.78,523.78,-2468.34,-10.4100000000001,-14.3299999999999
Nov 2018,770.41,10.69,0,3.02,14.31,0.2,0.66,0.95,9.55,0,-6.9,0,750.17,0.46,4.96,0.0,755.59,509.42,-2478.59,-14.36,-10.25
Dec 2018,113.83,1.57,0,0.43,2.56,0.2,0.66,0.95,1.29,0,-1.3,0,110.97,0.08,4.4,0.0,115.46,518.29,-2475.65,8.86999999999995,2.94000000000005
Jan 2019,715.85,9.98,0,2.14,13.64,0.2,0.66,0.94,9.22,0,-6.1,0,696.65,0.5,4.25,0.0,701.4,515.95,-2475.38,-2.33999999999992,0.26999999999998203
Feb 2019,273.4,4.02,0,2.21,3.37,0.2,0.66,0.94,3.53,0,-1.57,0,265.85,0.21,5.4,0.0,271.46,524.85,-2471.97,8.89999999999998,3.41000000000031
Mar 2019,1119.71,13.69,0,8.72,10.24,0.23,0.68,0.95,12.82,0,-5.85,0,1093.19,0.82,7.74,0.01,1101.77,522.33,-2469.73,-2.51999999999998,2.23999999999978
Apr 2019,511.32,5.77,0,8.15,13.29,10.59,14.79,3.9,5.3,0,-5.78,0,500.25,0.69,22.12,2.04,525.11,524.33,-2462.5,2.0,7.230000000000019
