date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,32.71,0.72,0,0.11,1.31,0.19,0.65,0.95,0.47,0,-0.54,0,31.51,0.04,5.16,0.0,36.72,425.12,-2269.45,0.0,0.0
Feb 2016,776.13,10.52,0,3.65,13.74,0.2,0.65,0.94,9.39,0,-7.13,0,756.22,0.46,4.64,0.0,761.32,420.78,-2269.23,-4.34000000000003,0.2199999999998
Mar 2016,228.15,3.06,0,0.69,5.15,0.53,1.52,1.1,2.82,0,-2.45,0,222.27,0.21,7.86,0.07,230.4,429.39,-2266.67,8.61000000000001,2.5599999999999503
Apr 2016,1445.04,16.54,0,9.1,29.71,11.51,14.43,3.83,14.81,0,-12.03,0,1413.7,1.26,20.59,2.39,1437.94,426.56,-2266.79,-2.8299999999999796,-0.119999999999891
May 2016,1641.98,15.18,0,11.71,30.83,23.77,23.2,6.01,13.57,0,-4.25,0,1613.23,0.67,35.29,16.31,1665.49,434.78,-2277.0,8.21999999999997,-10.21
Jun 2016,2156.11,24.74,0,14.76,40.16,26.62,27.42,6.98,20.98,0,-4.54,0,2110.38,0.98,41.96,23.16,2176.48,423.74,-2301.2,-11.04,-24.1999999999998
Jul 2016,3544.92,43.29,0,18.6,48.03,16.17,21.35,5.69,37.69,0,-8.74,0,3463.94,1.57,35.08,22.74,3523.33,415.75,-2328.35,-7.990000000000009,-27.1500000000001
Aug 2016,3782.51,46.15,0,15.61,56.75,11.09,15.74,4.37,40.72,0,-17.06,0,3695.64,1.93,25.75,18.5,3741.81,428.19,-2337.79,12.44,-9.440000000000051
Sep 2016,2844.04,37.44,0,15.19,37.63,10.05,13.46,3.83,31.91,0,-6.64,0,2774.69,1.31,23.27,14.67,2813.94,459.47,-2344.0,31.28,-6.210000000000041
Oct 2016,213.81,2.61,0,12.1,13.81,24.65,23.36,6.15,2.45,0,1.04,0,208.75,0.31,27.83,3.9,240.78,473.41,-2343.02,13.94,0.9800000000000179
Nov 2016,367.0,4.52,0,1.31,6.62,0.59,1.27,1.07,4.08,0,-3.06,0,358.4,0.23,5.83,0.03,364.5,451.96,-2360.64,-21.45,-17.619999999999898
Dec 2016,149.86,1.99,0,0.38,3.83,0.2,0.65,0.94,1.87,0,-2.15,0,146.0,0.12,3.48,0.0,149.6,452.37,-2359.86,0.410000000000025,0.779999999999745
Jan 2017,518.41,7.31,0,1.52,10.99,0.2,0.65,0.94,6.67,0,-5.34,0,504.43,0.34,4.07,0.0,508.85,452.24,-2359.84,-0.12999999999999498,0.0199999999999818
Feb 2017,200.81,3.32,0,0.9,4.55,0.2,0.65,0.94,2.87,0,-2.08,0,194.62,0.15,4.53,0.0,199.29,458.66,-2358.22,6.4200000000000195,1.6200000000003503
Mar 2017,284.94,4.03,0,1.08,5.64,0.79,2.11,1.21,3.59,0,-2.14,0,277.31,0.25,9.2,0.12,286.88,458.19,-2357.14,-0.47000000000002706,1.0799999999999301
Apr 2017,300.58,3.13,0,10.54,12.4,15.55,20.41,5.1,3.0,0,-4.95,0,294.45,0.69,26.25,2.57,323.96,454.74,-2356.7,-3.4499999999999904,0.44000000000005496
May 2017,1271.15,15.19,0,11.71,31.9,28.7,28.22,7.28,12.17,0,-0.28,0,1243.79,0.56,39.1,18.35,1301.8,440.64,-2376.52,-14.1,-19.8200000000002
Jun 2017,3389.19,37.81,0,16.12,45.53,15.77,18.04,4.81,32.81,0,-9.47,0,3318.57,1.4,32.76,22.6,3375.33,425.67,-2403.92,-14.97,-27.4000000000001
Jul 2017,2427.67,29.63,0,17.61,36.18,22.24,27.91,7.2,25.51,0,-2.92,0,2372.52,1.01,42.43,23.11,2439.08,435.89,-2416.4,10.22,-12.48
Aug 2017,2598.59,32.11,0,13.79,40.74,16.15,25.38,6.55,28.58,0,-7.66,0,2537.9,1.4,36.09,19.13,2594.51,428.1,-2437.64,-7.789999999999959,-21.2399999999998
Sep 2017,340.94,5.45,0,15.07,23.6,36.15,35.07,8.81,3.14,0,2.58,0,332.35,0.36,40.15,16.66,389.52,435.43,-2454.67,7.3299999999999805,-17.0300000000002
Oct 2017,2338.53,34.66,0,13.81,31.13,3.3,6.61,2.26,29.42,0,-8.21,0,2274.45,1.23,11.82,3.32,2290.82,408.99,-2491.88,-26.44,-37.21
Nov 2017,192.94,2.88,0,0.63,4.43,0.2,0.65,0.94,2.38,0,-2.12,0,187.68,0.14,4.58,0.0,192.41,429.34,-2478.33,20.35,13.5500000000002
Dec 2017,787.24,10.95,0,4.11,11.46,0.2,0.65,0.94,9.34,0,-4.8,0,766.95,0.38,2.99,0.0,770.32,428.71,-2477.78,-0.629999999999995,0.549999999999727
Jan 2018,1287.03,18.03,0,5.09,21.54,0.2,0.65,0.94,15.43,0,-9.05,0,1253.57,0.65,4.49,0.0,1258.71,436.68,-2472.95,7.97000000000003,4.830000000000379
Feb 2018,805.63,10.52,0,3.34,15.34,0.2,0.65,0.94,9.59,0,-8.48,0,785.53,0.52,4.73,0.0,790.78,453.25,-2466.29,16.57,6.65999999999985
Mar 2018,2216.56,27.63,0,9.39,33.08,0.2,0.65,0.94,24.23,0,-15.72,0,2164.7,1.09,5.8,0.0,2171.59,463.36,-2464.89,10.11,1.40000000000009
Apr 2018,2063.73,22.97,0,10.47,33.64,6.01,4.01,1.56,22.12,0,-16.73,0,2018.64,1.6,12.3,0.96,2033.5,490.15,-2456.08,26.79,8.809999999999949
May 2018,5117.74,60.35,0,45.18,39.89,5.38,8.56,2.73,54.01,0,-22.89,0,5003.38,3.55,19.05,15.94,5041.92,507.93,-2454.1,17.78,1.98000000000002
Jun 2018,1936.99,26.69,0,16.01,39.32,29.39,30.19,7.67,20.87,0,-0.16,0,1889.43,0.91,45.86,23.45,1959.65,529.22,-2444.76,21.29,9.339999999999689
Jul 2018,1686.39,24.94,0,17.82,39.89,34.19,36.92,9.34,19.96,0,0.51,0,1641.5,0.91,51.65,23.92,1717.98,515.81,-2470.01,-13.4100000000001,-25.25
Aug 2018,3619.99,44.77,0,17.01,53.26,12.05,17.41,4.8,38.7,0,-15.26,0,3536.53,1.82,28.93,19.12,3586.4,497.45,-2501.05,-18.36,-31.04
Sep 2018,1529.53,19.09,0,14.56,26.99,22.93,22.31,5.87,15.79,0,-0.12,0,1494.65,0.59,34.21,16.35,1545.8,522.33,-2509.35,24.8800000000001,-8.29999999999973
Oct 2018,558.79,8.98,0,11.71,16.56,21.88,22.97,6.23,7.41,0,2.23,0,542.4,0.36,29.25,5.9,577.91,508.63,-2526.49,-13.7,-17.1399999999999
Nov 2018,770.41,10.69,0,3.03,14.27,0.2,0.66,0.95,9.55,0,-6.87,0,750.17,0.46,4.84,0.0,755.47,490.8,-2539.49,-17.83,-13.0
Dec 2018,113.83,1.57,0,0.43,2.55,0.2,0.65,0.95,1.29,0,-1.3,0,110.97,0.08,4.3,0.0,115.35,499.75,-2536.53,8.94999999999999,2.95999999999958
Jan 2019,715.85,9.98,0,1.97,15.21,0.2,0.65,0.94,9.22,0,-7.48,0,696.65,0.48,4.17,0.0,701.29,497.51,-2536.24,-2.24000000000001,0.29000000000041803
Feb 2019,273.4,4.02,0,1.19,5.69,0.2,0.65,0.94,3.53,0,-2.85,0,265.85,0.19,5.28,0.0,271.32,508.06,-2534.21,10.55,2.02999999999975
Mar 2019,1119.71,13.69,0,3.96,19.82,0.24,0.69,0.95,12.82,0,-10.53,0,1093.19,0.69,7.6,0.01,1101.49,507.98,-2533.25,-0.0799999999999841,0.9600000000000359
Apr 2019,511.32,5.77,0,10.06,14.43,13.21,18.32,4.64,5.3,0,-6.29,0,500.25,0.79,25.24,2.04,528.32,519.69,-2530.7,11.71,2.55000000000018
May 2019,1531.91,22.83,0,10.27,27.13,9.66,26.94,7.09,17.53,0,-6.1,0,1491.55,1.19,34.19,12.34,1539.28,509.35,-2547.41,-10.34,-16.71
Jun 2019,2667.53,31.97,0,15.1,38.35,18.64,22.23,5.78,26.55,0,-3.9,0,2609.01,1.06,39.16,22.95,2672.19,512.48,-2568.18,3.13,-20.77
Jul 2019,2892.89,39.64,0,17.6,44.07,19.88,28.09,7.27,33.27,0,-3.53,0,2819.98,1.39,44.22,23.19,2888.78,509.48,-2584.93,-3.0,-16.75
Aug 2019,2019.09,30.19,0,13.49,38.55,17.78,30.94,7.92,23.26,0,-5.41,0,1965.63,1.34,42.48,19.55,2029.0,510.26,-2599.19,0.779999999999973,-14.2600000000002
Sep 2019,787.59,11.29,0,15.09,29.61,35.04,32.63,8.28,9.36,0,1.1,0,766.93,0.53,42.34,16.34,826.14,511.58,-2623.92,1.31999999999999,-24.73
Oct 2019,837.27,10.19,0,10.93,12.67,11.68,17.51,4.7,9.3,0,-2.32,0,817.77,0.6,23.17,3.72,845.26,488.17,-2654.15,-23.41,-30.23
Nov 2019,670.85,9.77,0,2.45,13.33,0.2,0.66,0.94,8.48,0,-6.24,0,652.6,0.44,4.85,0.0,657.88,478.79,-2663.69,-9.38,-9.53999999999996
Dec 2019,463.03,7.8,0,1.99,9.47,0.2,0.66,0.94,6.66,0,-3.76,0,448.56,0.3,4.18,0.0,453.04,486.78,-2661.16,7.98999999999995,2.5300000000002
Jan 2020,834.58,11.34,0,2.68,16.45,0.2,0.66,0.94,10.2,0,-8.1,0,813.04,0.51,4.38,0.0,817.92,491.59,-2657.98,4.81,3.17999999999984
Feb 2020,863.16,12.26,0,4.17,15.34,0.2,0.66,0.94,10.68,0,-7.56,0,840.21,0.51,5.31,0.0,846.03,503.18,-2655.59,11.59,2.38999999999987
Mar 2020,274.17,4.45,0,0.7,7.15,0.24,0.68,0.95,3.23,0,-3.39,0,266.48,0.24,7.51,0.0,274.23,512.72,-2652.18,9.540000000000019,3.41000000000031
Apr 2020,1764.66,20.6,0,17.23,22.46,8.97,11.27,3.13,17.85,0,-11.63,0,1726.22,1.5,18.88,0.91,1747.51,511.85,-2652.07,-0.8700000000000051,0.10999999999967301
May 2020,2470.33,28.86,0,15.59,33.14,11.69,18.29,4.97,24.35,0,-9.71,0,2417.12,1.55,29.8,13.91,2462.38,514.6,-2654.9,2.75,-2.8299999999999303
Jun 2020,790.48,9.58,0,14.78,34.61,40.58,40.39,10.05,8.03,0,0.23,0,772.88,0.54,50.45,23.54,847.42,519.55,-2667.49,4.94999999999993,-12.5899999999997
Jul 2020,2584.48,33.57,0,17.35,39.09,20.58,29.83,7.71,29.19,0,-3.48,0,2521.73,1.19,45.76,23.54,2592.22,493.46,-2713.11,-26.09,-45.620000000000296
Aug 2020,2450.13,33.21,0,13.77,38.61,17.78,25.91,6.8,28.71,0,-2.52,0,2388.21,1.13,38.9,19.8,2448.05,488.33,-2733.07,-5.13,-19.96
Sep 2020,1893.71,24.14,0,14.54,23.33,13.41,17.37,4.72,20.44,0,-1.03,0,1849.14,0.71,28.31,14.76,1892.91,489.37,-2745.79,1.04000000000002,-12.7199999999998
Oct 2020,645.05,9.61,0,10.66,12.21,13.12,17.82,4.81,8.65,0,-0.67,0,626.79,0.52,22.99,3.17,653.47,483.64,-2753.8,-5.730000000000019,-8.01000000000022
Nov 2020,683.5,9.85,0,2.93,12.17,0.2,0.66,0.94,8.64,0,-5.44,0,665.01,0.39,4.5,0.0,669.89,472.75,-2762.0,-10.89,-8.19999999999982
Dec 2020,635.47,9.08,0,2.6,11.76,0.2,0.66,0.94,7.98,0,-5.47,0,618.42,0.38,3.67,0.0,622.47,479.94,-2758.52,7.19,3.4800000000000204
Jan 2021,789.05,9.99,0,2.88,13.81,0.2,0.66,0.94,8.8,0,-6.93,0,770.27,0.43,4.51,0.0,775.2,487.54,-2755.72,7.600000000000019,2.80000000000018
Feb 2021,366.98,5.07,0,1.65,7.06,0.2,0.66,0.94,4.48,0,-3.67,0,357.43,0.23,5.22,0.0,362.89,496.35,-2753.56,8.81,2.15999999999985
Mar 2021,282.81,4.2,0,1.77,5.37,1.31,3.59,1.51,3.64,0,-1.89,0,274.97,0.27,11.29,0.22,286.76,497.7,-2752.46,1.34999999999997,1.09999999999991
Apr 2021,849.43,10.01,0,9.18,19.8,11.83,15.58,4.1,7.16,0,-8.02,0,832.26,0.88,23.16,5.59,861.89,492.54,-2753.02,-5.15999999999997,-0.559999999999945
May 2021,1022.43,14.98,0,11.77,32.9,30.31,29.92,7.62,9.2,0,-0.04,0,998.26,0.66,39.79,15.12,1053.82,488.84,-2770.95,-3.70000000000005,-17.9299999999998
Jun 2021,2414.02,37.48,0,13.82,42.5,18.7,25.54,6.69,28.39,0,-1.4,0,2348.15,1.25,40.41,21.62,2411.43,473.95,-2799.23,-14.89,-28.2800000000002
Jul 2021,2328.21,30.1,0,16.9,40.28,25.08,30.75,7.87,25.37,0,-3.12,0,2272.74,1.12,46.65,23.58,2344.08,476.21,-2812.72,2.25999999999999,-13.4899999999998
Aug 2021,990.49,13.42,0,14.42,37.48,38.8,38.3,9.57,11.29,0,-0.34,0,965.79,0.67,47.47,20.57,1034.5,467.65,-2836.93,-8.56,-24.21
