date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,507.86,3.25,0,0,0.41,0.44,0.98,0.04,3.41,0,1.39,0,501.2,1.89,0.91,0.0,504.0,0,-2452.04,0,0.0
Feb 2016,734.07,3.09,0,0,0.41,0.44,0.98,0.04,4.12,0,0.4,0,726.86,2.71,0.91,0.0,730.49,0,-2448.17,0,3.8699999999998904
Mar 2016,89.58,0.99,0,0,0.26,0.38,1.06,0.07,0.62,0,-4.32,0,87.97,5.43,0.88,0.07,94.34,0,-2444.59,0,3.5799999999999303
Apr 2016,22.57,0.42,0,0,0.83,0.77,2.2,0.41,0.26,0,-3.82,0,21.89,4.18,1.86,1.38,29.31,0,-2449.35,0,-4.75999999999976
May 2016,1392.84,4.34,0,0,1.78,2.52,7.11,0.86,7.33,0,-1.73,0,1381.17,6.79,5.51,4.67,1398.15,0,-2456.09,0,-6.740000000000241
Jun 2016,645.16,2.4,0,0,4.42,5.29,17.11,2.94,3.73,0,-3.29,0,639.03,6.56,13.29,5.87,664.76,0,-2461.4,0,-5.30999999999995
Jul 2016,1188.53,4.7,0,0,3.48,4.17,13.06,2.17,7.68,0,-1.83,0,1176.15,7.22,10.2,5.98,1199.55,0,-2481.0,0,-19.5999999999999
Aug 2016,527.76,2.06,0,0,4.32,5.12,16.4,2.82,2.95,0,-2.15,0,522.75,5.01,12.78,5.13,545.68,0,-2492.02,0,-11.02
Sep 2016,1009.37,3.4,0,0,3.16,3.71,11.74,1.99,6.0,0,0.25,0,999.97,3.71,9.2,4.3,1017.18,0,-2509.94,0,-17.9200000000001
Oct 2016,1383.99,5.44,0,0,0.82,0.66,1.33,0.19,9.06,0,2.45,0,1369.49,2.83,1.31,1.2,1374.82,0,-2517.74,0,-7.799999999999731
Nov 2016,106.41,1.22,0,0,0.31,0.39,0.98,0.04,0.6,0,0.43,0,104.59,0.88,0.86,0.0,106.32,0,-2508.58,0,9.15999999999985
