date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,1587.48,15.7,0,34.75,0.05,0.09,1.27,0.07,11.51,0,-19.79,0,1560.28,0.78,1.16,0.0,1562.22,0,-3911.73,0,0.0
Feb 2016,982.65,10.25,0,22.65,0.05,0.09,1.27,0.07,7.58,0,-12.94,0,964.82,0.59,1.16,0.0,966.57,0,-3921.21,0,-9.480000000000018
Mar 2016,232.35,1.78,0,4.25,0.05,0.09,1.3,0.08,1.33,0,-2.67,0,229.25,0.23,1.18,0.0,230.66,0,-3927.77,0,-6.55999999999995
Apr 2016,265.85,2.09,0,4.05,0.83,0.2,7.37,2.88,1.51,0,-2.77,0,262.25,0.17,5.12,0.38,267.92,0,-3930.33,0,-2.5599999999999503
May 2016,694.38,8.01,0,16.34,2.48,1.33,8.42,3.52,6.11,0,-10.15,0,680.26,0.66,6.05,1.41,688.39,0,-3936.45,0,-6.119999999999889
Jun 2016,368.0,4.69,0,7.73,3.56,2.0,10.37,4.47,3.57,0,-4.94,0,359.74,0.34,7.45,2.89,370.42,0,-3946.8,0,-10.350000000000401
Jul 2016,1633.8,17.39,0,35.09,2.82,1.61,8.3,3.48,13.5,0,-19.79,0,1602.91,0.88,6.04,2.95,1612.78,0,-3956.97,0,-10.1699999999996
Aug 2016,432.61,4.82,0,7.8,3.52,2.01,9.86,4.24,3.93,0,-4.76,0,423.86,0.27,7.13,2.6,433.87,0,-3971.04,0,-14.070000000000201
Sep 2016,630.26,8.01,0,15.57,2.74,1.55,8.39,3.51,6.32,0,-9.18,0,615.93,0.43,6.08,2.12,624.56,0,-3980.09,0,-9.05000000000018
Oct 2016,1764.15,18.95,0,41.93,0.73,0.35,4.42,1.55,14.45,0,-24.37,0,1730.75,1.01,3.25,0.6,1735.61,0,-3989.96,0,-9.86999999999989
Nov 2016,177.69,1.65,0,3.55,0.05,0.09,1.28,0.07,1.27,0,-2.02,0,174.77,0.17,1.17,0.0,176.1,0,-4003.36,0,-13.4000000000001
Dec 2016,1242.79,12.06,0,26.27,0.05,0.09,1.28,0.07,8.59,0,-14.75,0,1222.15,0.58,1.17,0.0,1223.9,0,-4005.32,0,-1.96000000000004
Jan 2017,1109.63,10.72,0,23.55,0.05,0.09,1.28,0.07,7.91,0,-13.34,0,1091.01,0.55,1.17,0.0,1092.72,0,-4012.69,0,-7.369999999999889
Feb 2017,483.55,4.68,0,10.5,0.05,0.09,1.28,0.07,3.5,0,-6.12,0,475.37,0.34,1.17,0.0,476.88,0,-4019.32,0,-6.630000000000111
Mar 2017,580.95,5.16,0,12.05,0.05,0.09,1.28,0.07,3.78,0,-7.28,0,572.01,0.43,1.17,0.0,573.61,0,-4023.15,0,-3.8299999999999303
Apr 2017,302.12,2.8,0,6.01,0.42,0.2,3.43,1.07,2.12,0,-3.77,0,297.2,0.34,2.58,0.2,300.32,0,-4027.86,0,-4.71000000000004
May 2017,77.34,0.88,0,0.79,1.92,0.94,9.77,3.96,0.81,0,-1.28,0,75.65,0.4,6.78,1.72,84.54,0,-4032.07,0,-4.21000000000004
Jun 2017,10.84,0.15,0,0.17,0.67,0.49,11.73,4.33,0.16,0,-0.5,0,10.53,0.3,7.58,3.3,21.71,0,-4040.06,0,-7.989999999999781
Jul 2017,1216.74,12.0,0,23.84,3.36,1.94,9.3,3.97,9.37,0,-13.84,0,1195.37,0.58,6.76,3.13,1205.84,0,-4051.1,0,-11.04
Aug 2017,1291.45,14.77,0,28.86,2.84,1.6,8.67,3.64,11.32,0,-16.1,0,1265.36,0.77,6.27,2.67,1275.07,0,-4064.03,0,-12.9300000000003
Sep 2017,1182.53,13.09,0,27.5,2.44,1.37,7.78,3.2,10.08,0,-16.2,0,1159.36,0.72,5.64,2.19,1167.91,0,-4076.51,0,-12.48
Oct 2017,1552.72,16.73,0,36.22,0.67,0.35,3.82,1.27,12.95,0,-20.59,0,1523.04,0.78,2.87,0.58,1527.27,0,-4089.39,0,-12.879999999999699
Nov 2017,623.27,6.79,0,14.49,0.05,0.09,1.28,0.07,5.22,0,-8.03,0,611.26,0.36,1.17,0.0,612.8,0,-4100.16,0,-10.77
Dec 2017,1771.29,17.99,0,37.69,0.05,0.09,1.28,0.07,13.35,0,-20.4,0,1739.95,0.73,1.17,0.0,1741.85,0,-4104.19,0,-4.029999999999751
Jan 2018,326.62,3.09,0,6.62,0.05,0.09,1.29,0.07,2.5,0,-3.71,0,321.04,0.23,1.17,0.0,322.44,0,-4112.45,0,-8.26000000000022
Feb 2018,317.05,2.84,0,6.53,0.05,0.09,1.29,0.07,2.15,0,-3.89,0,312.06,0.24,1.17,0.0,313.47,0,-4114.88,0,-2.43000000000029
Mar 2018,1026.02,9.64,0,22.04,0.05,0.09,1.3,0.08,7.21,0,-12.88,0,1009.16,0.52,1.18,0.0,1010.87,0,-4117.83,0,-2.94999999999982
Apr 2018,211.95,1.27,0,2.15,0.94,0.26,7.69,3.03,0.93,0,-1.81,0,209.74,0.25,5.35,0.42,215.76,0,-4124.73,0,-6.89999999999964
May 2018,46.64,0.37,0,0.33,1.07,0.6,9.87,3.74,0.35,0,-0.61,0,45.92,0.18,6.6,1.92,54.61,0,-4130.69,0,-5.960000000000041
Jun 2018,224.91,2.61,0,3.11,3.99,2.28,11.0,4.78,2.19,0,-2.39,0,220.11,0.18,7.93,3.27,231.48,0,-4138.99,0,-8.30000000000018
Jul 2018,805.54,8.8,0,15.83,3.42,2.0,9.17,3.91,7.17,0,-8.83,0,789.58,0.38,6.68,3.01,799.65,0,-4148.68,0,-9.690000000000511
Aug 2018,2487.65,27.41,0,55.51,1.8,1.01,6.27,2.47,20.81,0,-30.14,0,2439.44,1.26,4.6,2.54,2447.83,0,-4158.61,0,-9.929999999999382
Sep 2018,221.26,2.29,0,3.16,3.05,1.75,8.66,3.65,2.09,0,-2.33,0,216.89,0.17,6.3,1.95,225.3,0,-4174.3,0,-15.6900000000005
Oct 2018,453.05,6.43,0,11.44,1.52,0.83,5.68,2.19,5.87,0,-5.99,0,440.76,0.29,4.18,0.76,445.98,0,-4181.5,0,-7.19999999999982
