date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,42.24,0.34,0,0.59,0.05,0.06,1.05,0.07,0.26,0,-0.31,0,41.64,0.07,0.96,0.0,42.67,0,-3897.44,0,0.0
Feb 2016,795.21,8.18,0,18.24,0.05,0.06,1.05,0.07,5.89,0,-10.53,0,781.15,0.47,0.96,0.0,782.58,0,-3898.47,0,-1.02999999999975
Mar 2016,252.96,1.8,0,4.15,0.08,0.06,1.31,0.19,1.32,0,-2.52,0,249.84,0.16,1.13,0.01,251.14,0,-3904.08,0,-5.61000000000013
Apr 2016,125.49,0.85,0,0.91,1.31,0.58,8.05,3.26,0.67,0,-0.96,0,123.98,0.17,5.51,0.69,130.35,0,-3906.4,0,-2.32000000000016
May 2016,19.86,0.11,0,0.13,0.49,0.34,9.64,3.57,0.13,0,-0.25,0,19.62,0.08,6.22,1.84,27.75,0,-3912.17,0,-5.769999999999981
Jun 2016,394.62,4.31,0,7.02,3.89,2.19,10.61,4.71,3.44,0,-4.64,0,386.87,0.23,7.6,3.28,397.99,0,-3920.19,0,-8.019999999999982
Jul 2016,1728.45,20.87,0,40.82,2.46,1.38,7.22,3.05,16.57,0,-21.93,0,1691.01,0.9,5.24,2.92,1700.08,0,-3930.57,0,-10.3800000000001
Aug 2016,1419.43,16.4,0,31.67,2.5,1.41,7.14,3.03,13.16,0,-17.15,0,1389.87,0.8,5.2,2.53,1398.39,0,-3943.02,0,-12.4499999999998
Sep 2016,3795.89,44.31,0,95.31,0.44,0.21,2.92,0.94,32.68,0,-53.06,0,3718.9,1.84,2.2,1.88,3724.81,0,-3953.66,0,-10.6399999999999
Oct 2016,385.4,2.8,0,5.41,2.11,1.1,7.25,3.06,2.16,0,-3.8,0,380.44,0.18,5.19,0.82,386.63,0,-3977.89,0,-24.23
Nov 2016,73.97,0.64,0,1.29,0.09,0.06,1.48,0.27,0.54,0,-0.79,0,72.79,0.11,1.24,0.02,74.15,0,-3984.53,0,-6.64000000000033
Dec 2016,320.16,2.19,0,5.14,0.05,0.06,1.05,0.07,1.61,0,-3.14,0,316.36,0.2,0.96,0.0,317.53,0,-3986.01,0,-1.48000000000002
Jan 2017,681.1,6.41,0,14.69,0.05,0.06,1.05,0.07,4.59,0,-8.67,0,670.1,0.41,0.97,0.0,671.48,0,-3988.52,0,-2.50999999999976
Feb 2017,373.07,3.55,0,7.88,0.05,0.06,1.05,0.07,2.77,0,-4.54,0,366.75,0.23,0.97,0.0,367.94,0,-3993.59,0,-5.07000000000016
Mar 2017,679.73,5.4,0,12.69,0.09,0.07,1.43,0.24,4.06,0,-7.66,0,670.27,0.34,1.21,0.03,671.85,0,-3996.34,0,-2.75
Apr 2017,40.85,0.21,0,0.26,0.62,0.35,8.14,3.05,0.2,0,-0.4,0,40.44,0.07,5.37,1.23,47.12,0,-4001.16,0,-4.81999999999971
May 2017,413.71,5.05,0,9.47,2.88,1.57,8.71,3.78,3.56,0,-5.96,0,405.11,0.24,6.25,1.96,413.55,0,-4007.69,0,-6.5300000000002
Jun 2017,80.87,0.65,0,0.6,1.83,1.03,10.96,4.39,0.66,0,-0.82,0,79.56,0.07,7.36,3.14,90.14,0,-4017.0,0,-9.309999999999949
Jul 2017,1664.08,17.86,0,35.64,2.77,1.57,7.79,3.34,14.0,0,-19.74,0,1632.23,0.77,5.65,2.98,1641.63,0,-4026.88,0,-9.88000000000011
Aug 2017,1754.43,19.08,0,37.92,2.35,1.3,7.31,3.09,14.41,0,-20.8,0,1720.94,0.9,5.28,2.51,1729.64,0,-4040.06,0,-13.179999999999799
Sep 2017,89.18,1.0,0,0.67,2.26,1.19,9.04,3.77,0.88,0,-0.78,0,87.29,0.04,6.34,2.18,95.85,0,-4053.19,0,-13.1300000000001
Oct 2017,1395.38,18.04,0,37.86,0.84,0.36,4.72,1.79,14.26,0,-21.19,0,1363.08,0.9,3.4,0.66,1368.03,0,-4060.52,0,-7.32999999999993
Nov 2017,154.24,1.52,0,3.12,0.05,0.06,1.06,0.07,1.25,0,-1.72,0,151.48,0.13,0.97,0.0,152.57,0,-4071.03,0,-10.510000000000199
Dec 2017,732.17,8.38,0,16.92,0.05,0.06,1.06,0.07,6.7,0,-8.91,0,717.1,0.38,0.97,0.0,718.45,0,-4072.49,0,-1.45999999999958
Jan 2018,1462.39,15.02,0,33.15,0.05,0.06,1.06,0.07,10.97,0,-18.9,0,1436.4,0.79,0.97,0.0,1438.16,0,-4075.68,0,-3.19000000000005
Feb 2018,1461.53,12.57,0,29.26,0.05,0.06,1.06,0.07,8.88,0,-17.42,0,1440.07,0.75,0.97,0.0,1441.79,0,-4084.6,0,-8.920000000000071
Mar 2018,1139.93,10.81,0,24.33,0.05,0.06,1.06,0.07,8.11,0,-14.2,0,1121.01,0.69,0.97,0.0,1122.67,0,-4094.12,0,-9.519999999999982
Apr 2018,653.15,5.95,0,12.83,0.76,0.32,4.55,1.71,4.46,0,-7.79,0,642.73,0.48,3.28,0.41,646.9,0,-4101.2,0,-7.07999999999993
