date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,551.98,5.19,0.15,2.22,4.28,1.63,6.08,1.18,6.74,0,-0.03,0,540.05,0.5,7.27,0.0,547.83,179.66,-14348.74,0.0,0.0
Feb 2016,711.3,5.35,0.14,2.93,8.62,7.99,6.08,1.37,8.31,0,-0.9,0,697.64,2.83,7.76,0.0,708.22,179.94,-14346.93,0.280000000000001,1.80999999999949
Mar 2016,230.43,6.76,0.14,1.09,18.55,26.18,12.26,3.21,2.87,0,-0.4,0,220.81,13.84,15.53,4.13,254.3,177.53,-14344.22,-2.41,2.7100000000009503
Apr 2016,667.93,8.62,0.17,23.24,17.93,33.73,54.67,18.04,7.83,0,-2.56,0,651.48,3.91,54.4,19.35,729.14,163.42,-14354.94,-14.11,-10.7200000000012
May 2016,173.31,4.09,0.14,12.31,29.36,48.49,74.82,24.13,1.97,0,0.64,0,167.25,10.41,70.64,30.1,278.4,129.84,-14405.65,-33.58,-50.709999999999106
Jun 2016,876.53,10.1,0.48,6.45,35.09,37.41,81.32,26.22,11.22,0,-1.65,0,855.21,8.1,75.92,34.35,973.58,90.76,-14483.82,-39.08,-78.1700000000001
Jul 2016,1170.37,12.19,0.33,10.18,31.86,27.64,84.66,27.35,14.94,0,-4.36,0,1143.24,2.48,78.35,34.31,1258.38,67.62,-14563.7,-23.14,-79.880000000001
Aug 2016,2813.1,32.46,0.53,7.66,39.11,11.73,62.41,20.01,34.49,0,-6.6,0,2746.14,4.54,57.05,29.39,2837.13,50.79,-14644.74,-16.83,-81.0399999999991
Sep 2016,7532.06,79.4,1.96,41.63,48.79,5.59,19.39,5.11,85.28,0,-8.79,0,7367.39,5.32,20.09,21.79,7414.58,63.53,-14688.64,12.74,-43.8999999999996
Oct 2016,3948.71,39.94,0.68,43.55,17.8,15.71,21.15,5.9,43.49,0,-7.32,0,3865.28,2.31,21.63,13.35,3902.56,100.92,-14648.23,37.39,40.4099999999999
