date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,551.98,5.21,0.15,2.16,4.14,1.39,5.39,1.18,6.74,0,-0.05,0,540.04,0.5,6.76,0.0,547.3,179.66,-14314.48,0.0,0.0
Feb 2016,711.3,5.37,0.14,2.86,8.49,7.75,5.4,1.37,8.31,0,-0.92,0,697.62,2.83,7.24,0.0,707.69,179.87,-14312.01,0.210000000000008,2.46999999999935
Mar 2016,230.43,6.75,0.14,1.01,18.4,25.95,11.58,3.21,2.87,0,-0.41,0,220.82,13.84,15.0,4.13,253.79,177.4,-14308.64,-2.47,3.3700000000008
Apr 2016,667.93,8.67,0.17,23.07,17.87,33.51,53.99,18.05,7.83,0,-2.52,0,651.43,3.92,53.87,19.35,728.57,163.23,-14318.68,-14.17,-10.0400000000009
May 2016,173.31,4.14,0.14,12.13,29.32,48.27,74.13,24.13,1.97,0,0.68,0,167.2,10.42,70.12,30.1,277.83,129.65,-14368.66,-33.58,-49.9799999999996
Jun 2016,876.53,10.03,0.48,6.28,35.02,37.17,80.64,26.22,11.22,0,-1.73,0,855.28,8.11,75.39,34.35,973.14,90.59,-14446.12,-39.06,-77.4600000000009
Jul 2016,1170.37,12.21,0.33,10.02,31.79,27.39,83.98,27.35,14.94,0,-4.36,0,1143.22,2.48,77.83,34.31,1257.83,67.47,-14525.39,-23.12,-79.2699999999986
Aug 2016,2813.1,32.47,0.53,7.53,39.04,11.49,61.73,20.01,34.49,0,-6.61,0,2746.13,4.54,56.53,29.39,2836.59,50.68,-14605.76,-16.79,-80.3700000000008
Sep 2016,7532.06,79.41,1.96,41.51,48.71,5.35,18.7,5.11,85.28,0,-8.8,0,7367.37,5.31,19.57,21.79,7414.04,63.41,-14648.99,12.73,-43.2299999999996
Oct 2016,3948.71,39.96,0.68,43.41,17.73,15.47,20.46,5.9,43.49,0,-7.33,0,3865.26,2.3,21.1,13.35,3902.02,100.79,-14607.89,37.38,41.1000000000004
