date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,116.73,8.73,8.51,6.86,17.73,11.45,18.91,-0.3,5.62,0,-20.63,0,102.38,24.72,18.84,0.0,145.94,679.56,-4656.32,0.0,0.0
Feb 2016,1824.47,68.91,11.13,18.87,53.07,19.22,25.05,1.66,69.83,0,-17.88,0,1685.72,45.2,28.55,0.07,1759.54,686.22,-4690.54,6.66000000000008,-34.2200000000003
Mar 2016,510.55,24.58,13.74,73.7,39.14,102.29,29.02,2.8,25.38,0,-15.03,0,460.59,42.8,38.54,0.33,542.26,714.92,-4662.06,28.6999999999999,28.4799999999996
Apr 2016,1230.12,71.05,11.78,56.63,69.55,83.08,39.55,4.76,65.96,0,-9.56,0,1093.11,49.29,52.12,13.83,1208.35,639.45,-4678.25,-75.4699999999999,-16.1899999999996
May 2016,315.9,32.19,13.09,63.51,109.46,159.41,46.92,6.7,20.29,0,-6.03,0,263.41,37.77,70.56,49.4,421.14,608.59,-4670.47,-30.86,7.77999999999975
Jun 2016,1499.42,49.94,5.71,85.01,102.84,177.75,49.61,7.5,52.74,0,-1.44,0,1396.74,47.0,82.32,73.52,1599.59,528.3,-4745.84,-80.29000000000009,-75.3699999999999
Jul 2016,5322.46,136.5,0.59,61.24,96.57,68.42,38.68,5.24,154.98,0,-4.47,0,5030.98,52.17,60.31,68.25,5211.71,413.18,-4810.17,-115.12,-64.3299999999999
Aug 2016,4939.2,137.8,0.0,54.21,85.96,51.04,39.61,5.39,156.89,0,-6.46,0,4644.51,55.13,56.25,58.34,4814.23,414.46,-4761.36,1.2799999999999698,48.8100000000004
Sep 2016,7741.57,182.5,0.0,57.14,94.5,29.09,25.59,1.61,193.31,0,3.87,0,7365.76,56.08,33.45,42.15,7497.44,427.36,-4703.49,12.9,57.8699999999999
Oct 2016,697.65,19.53,0.0,9.98,35.74,36.84,37.82,3.13,25.43,0,-12.63,0,652.69,23.29,39.93,16.71,732.62,483.3,-4572.44,55.94,131.05
