date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,1371.21,60.2,17.37,8.58,61.27,9.67,18.91,-0.3,55.22,0,-25.08,0,1255.79,42.47,17.87,0.0,1316.13,679.56,-4651.38,0.0,0.0
Feb 2016,1220.35,47.91,20.17,23.62,47.82,13.97,18.92,-0.3,44.18,0,-26.79,0,1128.25,37.4,18.85,0.0,1184.5,732.5,-4640.45,52.940000000000104,10.9300000000003
Mar 2016,812.41,55.81,30.82,79.01,33.79,53.06,22.74,0.78,36.1,0,-32.94,0,720.5,59.83,29.37,0.24,809.94,766.72,-4642.28,34.22,-1.82999999999993
Apr 2016,514.35,203.89,39.45,53.08,138.89,38.02,45.93,6.33,22.71,0,-36.66,0,287.75,126.06,61.7,14.79,490.3,740.04,-4661.31,-26.6800000000001,-19.030000000000697
May 2016,62.79,218.23,73.66,57.65,234.99,71.28,57.1,9.25,4.1,0,-45.44,0,-159.55,115.97,90.01,51.52,97.96,818.8,-4729.65,78.76,-68.3399999999992
Jun 2016,870.57,125.37,30.52,78.22,180.56,190.2,60.76,10.33,34.29,0,-10.96,0,710.91,98.27,108.9,72.86,990.94,940.35,-4870.37,121.55,-140.72
Jul 2016,2825.85,88.7,6.49,90.0,131.1,201.16,56.18,9.64,74.07,0,2.79,0,2663.08,72.45,103.31,74.71,2913.55,872.24,-4970.33,-68.11,-99.96
Aug 2016,4472.42,140.53,1.13,78.68,113.43,143.38,46.13,7.24,123.62,0,3.1,0,4208.27,89.84,78.67,62.23,4439.0,745.42,-5014.72,-126.82,-44.3900000000003
Sep 2016,7225.9,180.6,0.06,74.39,97.89,75.1,25.33,1.49,170.39,0,6.51,0,6874.9,76.98,40.61,44.66,7037.16,675.69,-4989.13,-69.72999999999989,25.5900000000001
Oct 2016,5827.62,153.2,0.0,30.19,90.52,31.67,22.43,0.69,138.1,0,0.97,0,5536.32,63.19,26.02,10.03,5635.56,681.71,-4880.73,6.019999999999981,108.40000000000099
Nov 2016,1924.94,84.71,10.17,3.08,83.96,20.9,19.04,-0.3,83.24,0,-28.69,0,1756.99,57.43,18.33,0.0,1832.74,736.28,-4773.43,54.569999999999894,107.299999999999
Dec 2016,1781.35,78.24,11.13,2.98,77.6,22.01,19.06,-0.29,70.0,0,-22.83,0,1633.11,53.63,17.69,0.0,1704.43,800.36,-4738.22,64.08,35.21
Jan 2017,2847.76,94.01,11.24,12.11,74.95,11.34,19.07,-0.29,96.28,0,-18.01,0,2657.47,47.54,18.11,0.0,2723.13,857.59,-4710.4,57.23,27.8200000000006
Feb 2017,1162.36,49.36,13.92,23.26,37.7,12.48,19.08,-0.29,43.38,0,-23.91,0,1069.62,38.72,20.45,0.0,1128.79,922.45,-4651.5,64.86,58.8999999999996
Mar 2017,4530.43,173.23,20.53,88.17,56.92,35.97,20.14,0.03,152.27,0,-10.21,0,4204.93,94.86,27.34,0.17,4327.3,946.59,-4651.4,24.14,0.10000000000036399
Apr 2017,4699.49,271.81,27.61,61.64,147.99,26.49,36.9,4.39,185.05,0,-12.12,0,4242.63,128.39,50.93,7.25,4429.19,960.3,-4529.62,13.7099999999999,121.78
