date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,299.89,0.56,32.88,139.16,5.87,109.28,0.6,0.09,6.81,0,-3.45,0,292.51,1.14,5.03,0.0,298.68,1396.75,6369.13,0.0,0.0
Feb 2016,153.25,0.81,36.56,58.98,5.88,29.2,0.6,0.09,3.34,0,-0.58,0,149.09,2.3,5.03,0.0,156.42,1288.82,6371.98,-107.93,2.8499999999994503
Mar 2016,446.87,2.39,46.36,47.96,5.88,4.0,0.6,0.09,9.87,0,-2.56,0,434.62,1.46,5.03,0.0,441.11,1260.98,6374.24,-27.8399999999999,2.26000000000022
Apr 2016,99.43,0.24,92.85,47.05,40.05,1.55,0.6,0.09,2.18,0,1.46,0,97.0,6.08,5.28,1.7,110.06,1258.34,6381.04,-2.6400000000001,6.80000000000018
May 2016,187.41,0.18,390.8,274.51,88.89,8.11,0.6,0.09,4.24,0,8.59,0,182.98,27.1,13.93,11.84,235.86,1292.07,6382.48,33.73,1.4399999999996
Jun 2016,41.94,0.03,280.28,169.48,98.61,15.42,0.61,0.09,0.94,0,5.14,0,40.97,22.51,23.37,16.76,103.61,1359.42,6382.96,67.35000000000011,0.48000000000047294
Jul 2016,878.97,11.59,90.91,66.67,48.65,16.71,0.61,0.09,20.62,0,-4.16,0,846.75,8.05,25.16,17.49,897.45,1419.75,6371.76,60.32999999999989,-11.1999999999998
Aug 2016,1038.15,12.66,65.53,86.43,33.74,42.75,0.61,0.09,23.79,0,-4.22,0,1001.71,4.98,20.85,14.81,1042.36,1427.05,6370.22,7.29999999999995,-1.53999999999996
Sep 2016,957.28,11.88,66.82,89.78,21.97,31.85,0.61,0.09,22.29,0,-4.28,0,923.11,3.08,14.15,11.36,951.71,1397.7,6374.46,-29.3499999999999,4.23999999999978
Oct 2016,446.2,3.86,58.07,68.62,7.16,13.58,0.6,0.09,10.23,0,-4.22,0,432.11,3.94,5.76,3.23,445.04,1374.18,6380.59,-23.52,6.130000000000111
Nov 2016,997.85,15.37,47.1,68.29,5.89,10.47,0.6,0.09,22.82,0,-4.21,0,959.65,2.98,5.04,0.0,967.66,1362.51,6382.87,-11.6700000000001,2.27999999999975
Dec 2016,155.25,0.09,42.45,96.91,5.89,61.42,0.6,0.09,3.49,0,-2.07,0,151.67,3.24,5.04,0.0,159.94,1353.41,6400.97,-9.09999999999991,18.1000000000004
Jan 2017,777.22,7.09,40.05,50.59,5.89,5.88,0.6,0.09,17.41,0,-4.3,0,752.72,0.84,5.04,0.0,758.6,1293.35,6401.88,-60.0600000000002,0.9099999999998539
Feb 2017,350.16,1.94,50.58,74.74,5.89,29.2,0.6,0.09,7.93,0,-1.12,0,340.28,2.22,5.04,0.0,347.54,1288.82,6414.48,-4.529999999999969,12.599999999999499
Mar 2017,626.25,3.53,87.48,88.38,5.89,4.01,0.6,0.09,14.49,0,-1.63,0,608.23,2.36,5.04,0.0,615.64,1260.98,6420.78,-27.8399999999999,6.30000000000018
Apr 2017,328.89,0.84,167.41,118.74,39.63,1.37,0.61,0.09,7.4,0,2.18,0,320.65,9.07,5.05,0.83,335.6,1258.34,6433.13,-2.6400000000001,12.350000000000401
May 2017,349.02,0.34,344.9,235.11,89.58,8.41,0.61,0.09,7.78,0,5.72,0,340.9,23.24,14.33,12.52,391.0,1292.07,6441.36,33.73,8.22999999999956
Jun 2017,141.85,0.12,321.8,209.81,96.6,14.55,0.61,0.09,3.4,0,5.04,0,138.32,25.02,22.24,16.14,201.72,1359.42,6441.82,67.35000000000011,0.460000000000036
Jul 2017,836.66,11.24,73.38,51.16,46.96,15.98,0.61,0.09,19.62,0,-4.02,0,805.8,6.5,24.2,16.89,853.38,1419.75,6433.6,60.32999999999989,-8.219999999999349
Aug 2017,1008.31,12.69,43.68,65.15,35.47,43.5,0.61,0.09,23.07,0,-4.08,0,972.55,3.32,21.84,15.22,1012.94,1427.05,6431.8,7.29999999999995,-1.80000000000018
Sep 2017,694.76,8.59,32.95,53.04,23.78,32.63,0.61,0.09,16.14,0,-4.15,0,670.03,1.52,15.18,11.21,697.93,1397.7,6435.05,-29.3499999999999,3.25
Oct 2017,915.55,14.34,30.19,53.79,5.9,13.04,0.61,0.09,20.96,0,-4.18,0,880.25,2.05,5.05,0.35,887.7,1374.18,6435.31,-23.52,0.260000000000218
