date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,32.35,0.06,32.63,133.43,5.52,109.1,0.53,0.09,0.72,0,0.07,0,31.57,2.78,4.77,0.0,39.12,1396.75,6371.41,0.0,0.0
Feb 2016,404.68,2.24,34.22,62.01,5.52,29.02,0.53,0.09,9.14,0,-3.1,0,393.3,1.05,4.78,0.0,399.13,1288.82,6371.76,-107.93,0.350000000000364
Mar 2016,242.81,1.33,44.26,43.55,5.52,3.82,0.53,0.09,5.49,0,-1.55,0,235.99,1.9,4.78,0.0,242.66,1260.98,6377.37,-27.8399999999999,5.60999999999967
Apr 2016,345.84,0.87,79.87,40.21,39.4,1.24,0.53,0.09,7.67,0,-1.72,0,337.3,4.09,4.86,1.49,347.75,1258.34,6380.87,-2.6400000000001,3.5
May 2016,86.02,0.08,118.59,25.18,92.49,9.66,0.53,0.09,1.86,0,1.53,0,84.08,9.12,15.92,13.33,122.45,1292.07,6384.89,33.73,4.02000000000044
Jun 2016,210.57,0.17,48.39,16.97,45.68,15.92,0.53,0.09,4.86,0,-2.24,0,205.53,4.08,23.99,17.67,251.27,1359.42,6374.52,67.35000000000011,-10.3699999999999
Jul 2016,762.22,7.72,35.82,27.72,42.35,25.56,0.53,0.09,17.56,0,-4.14,0,736.94,3.17,25.69,17.23,783.03,1365.63,6359.03,6.210000000000041,-15.490000000000698
Aug 2016,761.88,7.86,33.5,25.27,34.77,17.06,0.53,0.09,17.5,0,-4.19,0,736.53,2.55,21.39,14.46,774.92,1357.18,6354.78,-8.45000000000005,-4.25
Sep 2016,1279.74,20.52,28.41,32.08,26.42,6.7,0.53,0.09,30.03,0,-4.19,0,1229.19,1.31,12.02,11.07,1253.59,1353.95,6353.19,-3.2300000000000204,-1.59000000000015
Oct 2016,499.77,7.47,29.08,33.57,6.7,1.51,0.53,0.09,11.39,0,-4.18,0,480.92,1.97,5.21,3.0,491.1,1362.1,6367.53,8.14999999999986,14.3400000000001
Nov 2016,133.88,0.07,30.25,34.31,5.53,10.29,0.53,0.09,2.96,0,-2.13,0,130.85,2.9,4.78,0.0,138.53,1362.51,6371.3,0.410000000000082,3.7700000000004397
Dec 2016,368.41,2.73,29.21,90.39,5.53,61.24,0.53,0.09,8.35,0,-4.23,0,357.33,1.49,4.78,0.0,363.6,1353.41,6371.7,-9.09999999999991,0.399999999999636
Jan 2017,421.16,1.43,28.95,34.2,5.53,5.7,0.53,0.09,9.51,0,-4.25,0,410.22,0.61,4.78,0.0,415.61,1293.35,6375.38,-60.0600000000002,3.68000000000029
Feb 2017,155.95,0.88,30.74,53.86,5.53,29.02,0.53,0.09,3.58,0,-0.8,0,151.5,2.06,4.78,0.0,158.33,1288.82,6380.21,-4.529999999999969,4.82999999999993
Mar 2017,254.25,1.45,33.75,33.81,5.53,3.83,0.53,0.09,5.94,0,-1.84,0,246.87,1.53,4.78,0.0,253.18,1260.98,6382.55,-27.8399999999999,2.34000000000015
Apr 2017,95.23,0.23,71.54,27.75,39.97,1.49,0.53,0.09,2.1,0,0.68,0,92.9,4.87,5.19,2.21,105.17,1258.34,6386.21,-2.6400000000001,3.6599999999998505
May 2017,29.44,0.03,133.54,36.15,95.43,10.94,0.53,0.09,0.65,0,2.57,0,28.76,10.35,17.58,14.68,71.37,1292.07,6386.34,33.73,0.130000000000109
Jun 2017,113.2,0.08,75.52,15.87,67.56,13.66,0.54,0.09,2.54,0,-0.62,0,110.58,6.45,20.65,17.2,154.88,1359.42,6374.44,67.35000000000011,-11.900000000000501
Jul 2017,749.31,10.62,38.4,29.54,40.89,20.86,0.54,0.09,17.53,0,-3.94,0,721.16,3.4,24.84,17.17,766.57,1393.12,6358.71,33.6999999999998,-15.729999999999599
Aug 2017,1071.19,16.38,34.6,31.92,32.62,12.22,0.53,0.09,24.65,0,-3.98,0,1030.17,2.63,19.26,14.48,1066.54,1388.76,6354.69,-4.3599999999999,-4.02000000000044
Sep 2017,67.31,0.1,27.36,23.92,30.56,28.21,0.54,0.09,1.52,0,-1.36,0,65.69,2.56,18.95,11.88,99.07,1390.34,6360.43,1.57999999999993,5.74000000000069
Oct 2017,887.51,12.15,35.39,56.51,5.55,12.86,0.53,0.09,20.21,0,-4.06,0,855.14,2.4,4.8,2.36,864.71,1374.18,6348.28,-16.1599999999999,-12.150000000000501
Nov 2017,167.39,0.09,37.73,42.07,5.54,10.29,0.53,0.09,3.73,0,-2.61,0,163.57,3.11,4.79,0.0,171.47,1362.51,6361.63,-11.6700000000001,13.350000000000401
Dec 2017,224.78,0.14,34.97,91.2,5.54,61.24,0.53,0.09,5.17,0,-2.77,0,219.47,2.39,4.79,0.0,226.65,1353.41,6362.31,-9.09999999999991,0.680000000000291
Jan 2018,822.43,8.85,33.67,46.02,5.54,5.71,0.53,0.09,18.41,0,-4.03,0,795.17,0.71,4.79,0.0,800.67,1293.35,6364.27,-60.0600000000002,1.96000000000004
Feb 2018,942.17,12.37,36.13,75.54,5.54,29.03,0.53,0.09,21.49,0,-4.06,0,908.31,0.5,4.79,0.0,913.6,1288.82,6378.22,-4.529999999999969,13.9499999999998
Mar 2018,796.74,8.05,49.42,59.08,5.54,3.83,0.53,0.09,18.02,0,-3.98,0,770.67,0.65,4.79,0.0,776.11,1260.98,6395.21,-27.8399999999999,16.9899999999998
Apr 2018,705.11,3.51,88.63,54.53,39.27,1.19,0.53,0.09,15.83,0,-3.68,0,685.77,3.2,4.79,1.17,694.93,1258.34,6408.82,-2.6400000000001,13.6099999999997
May 2018,558.11,0.57,109.96,24.72,92.6,9.69,0.53,0.09,12.76,0,-3.23,0,544.77,6.14,15.99,14.68,581.58,1292.07,6419.36,33.73,10.54
Jun 2018,166.72,0.14,88.87,16.48,79.85,13.69,0.54,0.09,3.93,0,-0.75,0,162.65,7.13,20.64,17.57,207.99,1359.42,6413.77,67.35000000000011,-5.5899999999992405
Jul 2018,630.88,8.4,37.97,28.54,44.89,26.96,0.54,0.09,15.02,0,-3.46,0,607.47,3.36,27.11,17.91,655.85,1405.39,6398.92,45.97,-14.850000000000401
Aug 2018,826.54,9.75,35.22,26.34,34.6,15.13,0.54,0.09,18.77,0,-3.51,0,798.02,2.68,21.29,14.58,836.57,1396.65,6392.12,-8.740000000000009,-6.80000000000018
Sep 2018,67.06,0.11,35.02,34.66,31.75,33.65,0.54,0.09,1.62,0,-0.63,0,65.33,3.01,19.63,12.24,100.21,1395.27,6392.35,-1.38000000000011,0.23000000000047305
Oct 2018,304.26,2.01,29.52,38.38,9.15,14.41,0.53,0.09,7.09,0,-3.59,0,295.15,2.0,6.85,4.82,308.82,1374.18,6380.66,-21.089999999999897,-11.6900000000005
Nov 2018,897.89,14.25,30.56,51.22,5.55,10.3,0.53,0.09,20.43,0,-3.58,0,863.21,1.93,4.8,0.0,869.93,1362.51,6378.91,-11.6700000000001,-1.75
Dec 2018,83.05,0.05,29.21,83.69,5.55,61.25,0.53,0.09,1.85,0,-1.32,0,81.15,2.59,4.8,0.0,88.54,1353.41,6395.31,-9.09999999999991,16.4000000000005
Jan 2019,639.25,5.58,29.4,38.11,5.55,5.71,0.53,0.09,14.35,0,-3.58,0,619.32,0.62,4.8,0.0,624.74,1293.35,6395.4,-60.0600000000002,0.089999999999236
Feb 2019,152.92,0.86,30.07,53.38,5.55,29.03,0.53,0.09,3.53,0,-0.72,0,148.53,1.75,4.8,0.0,155.08,1288.82,6405.73,-4.529999999999969,10.3299999999999
Mar 2019,623.04,5.9,34.42,41.59,5.55,3.84,0.53,0.09,14.12,0,-3.43,0,603.02,0.45,4.8,0.0,608.27,1260.98,6408.1,-27.8399999999999,2.3700000000008
