Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Canadian,GFDL,No Change,No Change,125.38,2.72,0,0.27,4.33,0.25,0.73,0.95,1.92,0,-1.79,0,120.75,0.14,4.76,0,125.65,425.12,-2273.58,0,0,No Change
Feb 2016,Canadian,GFDL,No Change,No Change,106.93,1.81,0,0.31,3.43,0.24,0.73,0.94,1.48,0,-1.8,0,103.64,0.11,5.01,0,108.77,424.24,-2273.24,-0.879999999999995,0.340000000000146,No Change
Mar 2016,Canadian,GFDL,No Change,No Change,857.72,10.14,0,2.66,16.6,0.25,0.73,0.94,9.61,0,-9.43,0,837.97,0.56,6.17,0,844.7,422.2,-2273.34,-2.04000000000002,-0.100000000000364,No Change
Apr 2016,Canadian,GFDL,No Change,No Change,160.83,10.59,0,8.23,11.2,6.4,18.22,4.71,1.65,0,-3.31,0,148.59,0.86,24.13,3.7,177.28,432.17,-2272.95,9.97000000000003,0.390000000000327,No Change
May 2016,Canadian,GFDL,No Change,No Change,633.29,13.14,0,9.46,30.16,27.83,27.45,7.03,6.09,0,0.78,0,614.06,0.58,35.63,18.19,668.45,426.35,-2291.82,-5.81999999999999,-18.8700000000003,No Change
Jun 2016,Canadian,GFDL,No Change,No Change,311.48,16.95,0,12.9,36.38,37.14,37.56,9.35,2.68,0,4.08,0,291.85,0.74,44,24.58,361.17,413.46,-2323.56,-12.89,-31.7399999999998,No Change
Jul 2016,Canadian,GFDL,No Change,No Change,2596.87,40.5,0,16.01,43.19,17.09,23.5,6.2,29.65,0,-3,0,2526.72,1.39,37.03,23.52,2588.67,396.91,-2369.6,-16.55,-46.04,No Change
Aug 2016,Canadian,GFDL,No Change,No Change,2786.77,40.87,0,11.67,49.51,12.42,20.67,5.51,32.17,0,-9.65,0,2713.72,1.77,29.89,19.39,2764.77,403.28,-2383.77,6.36999999999995,-14.1700000000001,No Change
Sep 2016,Canadian,GFDL,No Change,No Change,1127.11,26.84,0,12.72,33.68,22.18,26.56,6.92,15.92,0,1.62,0,1084.35,1,36.3,16.54,1138.2,425.62,-2395.79,22.34,-12.02,No Change
Oct 2016,Canadian,GFDL,No Change,No Change,473.68,7.55,0,8.87,11.07,13.11,15.08,4.19,5.93,0,0.34,0,460.2,0.38,19.8,3.27,483.65,420.46,-2414.43,-5.16000000000003,-18.6399999999999,No Change
Nov 2016,Canadian,GFDL,No Change,No Change,1318.81,17.4,0,5.34,22.75,0.25,0.73,0.94,15.05,0,-11.2,0,1286.36,0.76,4.3,0,1291.42,409.5,-2422.31,-10.96,-7.88000000000011,No Change
Dec 2016,Canadian,GFDL,No Change,No Change,246.35,3.88,0,1,5.16,0.25,0.73,0.94,2.87,0,-2.21,0,239.6,0.17,3.51,0,243.28,427.5,-2418.26,18,4.04999999999973,No Change
Jan 2017,Canadian,GFDL,No Change,No Change,762.5,11.89,0,2.77,15.38,0.25,0.73,0.94,9.43,0,-6.49,0,741.18,0.48,3.84,0,745.49,428.69,-2417.38,1.19,0.880000000000109,No Change
Feb 2017,Canadian,GFDL,No Change,No Change,716.63,11.01,0,3.64,13.05,0.25,0.73,0.94,8.86,0,-5.88,0,696.76,0.44,3.83,0,701.02,439.77,-2414.22,11.08,3.16000000000031,No Change
Mar 2017,Canadian,GFDL,No Change,No Change,1541.06,27.43,0,6.58,30.55,0.25,0.73,0.94,17.46,0,-10.47,0,1496.17,1.02,6.35,0,1503.54,448.53,-2411.02,8.75999999999999,3.19999999999982,No Change
Apr 2017,Canadian,GFDL,No Change,No Change,1120.23,26.48,0,5.22,29.49,3.31,7.26,2.28,12.21,0,-6.15,0,1081.54,1.23,14.35,1.29,1098.41,472.26,-2403.81,23.73,7.21000000000004,No Change
May 2017,Canadian,GFDL,No Change,No Change,2506.3,42.8,0,9.36,53.55,6.95,12.8,3.7,24.25,0,-15.12,0,2439.25,1.96,22.28,12.23,2475.72,489.06,-2404.01,16.8,-0.200000000000273,No Change
Jun 2017,Canadian,GFDL,No Change,No Change,1029.57,16.21,0,12.09,31.37,29.01,28.22,7.22,10.3,0,1.18,0,1003.07,0.57,39.71,21.97,1065.32,522.48,-2416.21,33.42,-12.1999999999998,No Change
Jul 2017,Canadian,GFDL,No Change,No Change,2797.08,36.95,0,15.82,40.38,15.6,21.17,5.64,31.72,0,-4.94,0,2728.42,1.29,36.06,22.65,2788.41,506.14,-2447.7,-16.34,-31.4899999999998,No Change
