Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Canadian,GFDL,No Change,Low,125.38,2.72,0,0.29,4.39,0.29,0.81,0.95,1.92,0,-1.81,0,120.75,0.14,4.82,0,125.72,425.12,-2276.77,0,0,No Change
Feb 2016,Canadian,GFDL,No Change,Low,106.93,1.81,0,0.33,3.49,0.29,0.81,0.94,1.48,0,-1.83,0,103.64,0.11,5.08,0,108.83,424.26,-2276.52,-0.860000000000014,0.25,No Change
Mar 2016,Canadian,GFDL,No Change,Low,857.72,10.14,0,2.67,16.66,0.29,0.81,0.94,9.61,0,-9.46,0,837.97,0.56,6.24,0,844.77,422.23,-2276.73,-2.02999999999997,-0.210000000000036,No Change
Apr 2016,Canadian,GFDL,No Change,Low,160.83,10.59,0,8.24,11.27,6.46,18.29,4.71,1.65,0,-3.33,0,148.59,0.86,24.2,3.7,177.35,432.22,-2276.44,9.99000000000001,0.289999999999964,No Change
May 2016,Canadian,GFDL,No Change,Low,633.29,13.14,0,9.47,30.19,27.86,27.52,7.03,6.09,0,0.76,0,614.06,0.58,35.71,18.19,668.54,426.42,-2295.4,-5.80000000000001,-18.96,No Change
Jun 2016,Canadian,GFDL,No Change,Low,311.48,16.95,0,12.91,36.41,37.17,37.63,9.35,2.68,0,4.06,0,291.85,0.74,44.08,24.58,361.25,413.52,-2327.23,-12.9,-31.8299999999999,No Change
Jul 2016,Canadian,GFDL,No Change,Low,2596.87,40.5,0,16.01,43.25,17.14,23.57,6.2,29.65,0,-3.01,0,2526.72,1.39,37.1,23.52,2588.74,396.97,-2373.36,-16.55,-46.1300000000001,No Change
Aug 2016,Canadian,GFDL,No Change,Low,2786.77,40.87,0,11.67,49.56,12.46,20.74,5.51,32.17,0,-9.67,0,2713.72,1.77,29.96,19.39,2764.84,403.35,-2387.63,6.38,-14.27,No Change
Sep 2016,Canadian,GFDL,No Change,Low,1127.11,26.84,0,12.73,33.66,22.16,26.63,6.92,15.92,0,1.61,0,1084.35,1.01,36.36,16.54,1138.26,425.72,-2399.74,22.37,-12.1099999999997,No Change
Oct 2016,Canadian,GFDL,No Change,Low,473.68,7.55,0,8.88,11.06,13.09,15.16,4.19,5.93,0,0.32,0,460.2,0.38,19.86,3.27,483.71,420.57,-2418.47,-5.15000000000003,-18.73,No Change
