Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Canadian,GFDL,Low,Low,125.38,2.72,0,0.29,4.39,0.29,0.8,0.95,1.92,0,-1.81,0,120.75,0.14,4.82,0,125.71,425.12,-2276.77,0,0,Low
Feb 2016,Canadian,GFDL,Low,Low,106.93,1.81,0,0.33,3.48,0.29,0.8,0.94,1.48,0,-1.83,0,103.64,0.11,5.08,0,108.83,424.26,-2276.52,-0.860000000000014,0.25,Low
Mar 2016,Canadian,GFDL,Low,Low,857.72,10.14,0,2.67,16.65,0.29,0.8,0.94,9.61,0,-9.46,0,837.97,0.56,6.24,0,844.77,422.23,-2276.73,-2.02999999999997,-0.210000000000036,Low
Apr 2016,Canadian,GFDL,Low,Low,160.83,10.59,0,5.73,12.54,4.54,13.92,3.77,1.65,0,-3.97,0,148.59,0.83,20.14,3.7,173.26,432.22,-2276.43,9.99000000000001,0.300000000000182,Low
May 2016,Canadian,GFDL,Low,Low,633.29,13.14,0,7.49,26.04,21.21,20.84,5.51,6.09,0,0.29,0,614.06,0.54,30.18,18.19,662.97,430.23,-2292.61,-1.99000000000001,-16.1800000000003,Low
Jun 2016,Canadian,GFDL,Low,Low,311.48,16.95,0,9.85,31.3,28.18,28.43,7.25,2.68,0,3.31,0,291.85,0.68,36.54,24.58,353.65,420.2,-2319.75,-10.03,-27.1399999999999,Low
Jul 2016,Canadian,GFDL,Low,Low,2596.87,40.5,0,13.79,42.83,12.93,17.88,4.89,29.65,0,-4.62,0,2526.72,1.42,30.51,23.52,2582.18,407.96,-2359.52,-12.24,-39.77,Low
Aug 2016,Canadian,GFDL,Low,Low,2786.77,40.87,0,10.33,51.02,10.15,15.76,4.37,32.17,0,-12.09,0,2713.72,1.77,25.23,19.39,2760.11,420.35,-2371.02,12.39,-11.5,Low
Sep 2016,Canadian,GFDL,Low,Low,1127.11,26.84,0,9.86,28.28,12.91,20.17,5.43,15.92,0,0.62,0,1084.35,0.99,30.11,16.54,1132,447.36,-2381.71,27.01,-10.6900000000001,Low
Oct 2016,Canadian,GFDL,Low,Low,473.68,7.55,0,6.87,8.7,8.18,11.57,3.38,5.93,0,-0.2,0,460.2,0.36,16.73,3.27,480.56,447.36,-2396.45,0,-14.7399999999998,Low
Nov 2016,Canadian,GFDL,Low,Low,1318.81,17.4,0,5.35,22.88,0.29,0.81,0.94,15.05,0,-11.29,0,1286.36,0.76,4.54,0,1291.66,439.34,-2402.18,-8.02000000000004,-5.73000000000002,Low
Dec 2016,Canadian,GFDL,Low,Low,246.35,3.88,0,1.01,5.23,0.29,0.81,0.94,2.87,0,-2.24,0,239.6,0.17,3.75,0,243.52,457.24,-2398.29,17.9,3.88999999999987,Low
Jan 2017,Canadian,GFDL,Low,Low,762.5,11.89,0,2.79,15.47,0.29,0.81,0.94,9.43,0,-6.56,0,741.18,0.48,4.06,0,745.72,458.29,-2397.52,1.05000000000001,0.769999999999982,Low
Feb 2017,Canadian,GFDL,Low,Low,716.63,11.01,0,3.65,13.16,0.29,0.81,0.94,8.86,0,-5.95,0,696.76,0.44,4.09,0,701.29,469.27,-2394.51,10.98,3.00999999999976,Low
Mar 2017,Canadian,GFDL,Low,Low,1541.06,27.43,0,6.58,30.71,0.29,0.81,0.94,17.46,0,-10.59,0,1496.17,1.02,6.78,0,1503.97,477.91,-2391.46,8.64000000000004,3.05000000000018,Low
Apr 2017,Canadian,GFDL,Low,Low,1120.23,26.48,0,4.69,30.44,2.95,5.7,1.95,12.21,0,-6.88,0,1081.54,1.19,13.55,1.29,1097.56,501.41,-2384.44,23.5,7.01999999999998,Low
May 2017,Canadian,GFDL,Low,Low,2506.3,42.8,0,9.36,54.69,5.53,9.86,3.01,24.25,0,-17.68,0,2439.25,1.96,19.87,12.23,2473.31,519.1,-2384.15,17.69,0.289999999999964,Low
Jun 2017,Canadian,GFDL,Low,Low,1029.57,16.21,0,9.88,27.28,22.15,21.42,5.65,10.3,0,0.66,0,1003.07,0.54,34.56,21.97,1060.13,555.24,-2396.66,36.14,-12.5099999999998,Low
Jul 2017,Canadian,GFDL,Low,Low,2797.08,36.95,0,13.87,40.24,11.8,16.13,4.47,31.72,0,-6.68,0,2728.42,1.32,30.66,22.65,2783.05,541.59,-2423.44,-13.65,-26.7800000000002,Low
Aug 2017,Canadian,GFDL,Low,Low,2631.34,32.86,0,10.77,42.36,11.02,16.54,4.55,30.33,0,-10.79,0,2568.15,1.54,28.54,20.02,2618.25,551.03,-2432.72,9.43999999999994,-9.27999999999975,Low
Sep 2017,Canadian,GFDL,Low,Low,1356.61,18.33,0,10.1,20.21,11.26,15.69,4.36,15.96,0,-1.37,0,1322.33,0.64,26.95,15.19,1365.11,565.82,-2445.19,14.7900000000001,-12.4700000000003,Low
Oct 2017,Canadian,GFDL,Low,Low,2053.31,28.49,0,21.5,10.37,0.3,0.85,0.96,23.93,0,-4.16,0,2000.9,1.08,6.24,0.58,2008.8,559.17,-2457.13,-6.65000000000009,-11.9400000000001,Low
Nov 2017,Canadian,GFDL,Low,Low,716.68,8.01,0,6.08,6,0.29,0.81,0.94,7.61,0,-4.32,0,701.06,0.54,4.72,0,706.31,562.88,-2437.83,3.71000000000004,19.3000000000002,Low
Dec 2017,Canadian,GFDL,Low,Low,394.94,6.68,0,3.41,3.33,0.29,0.81,0.94,5.28,0,0.03,0,382.99,0.2,3.91,0,387.1,563.73,-2434.4,0.850000000000023,3.42999999999984,Low
Jan 2018,Canadian,GFDL,Low,Low,524.7,7.81,0,2.88,6.36,0.29,0.81,0.94,6.59,0,-1.47,0,510.3,0.33,4.85,0,515.48,562.72,-2428.96,-1.00999999999999,5.44000000000005,Low
Feb 2018,Canadian,GFDL,Low,Low,573.63,7.44,0,6.17,3.77,0.29,0.81,0.94,6.48,0,-2.58,0,559.71,0.38,4.65,0,564.73,563.8,-2423.7,1.07999999999993,5.26000000000022,Low
Mar 2018,Canadian,GFDL,Low,Low,832.69,10.99,0,6.55,7.92,0.29,0.81,0.94,9.97,0,-3.77,0,811.73,0.59,6.61,0,818.93,562.49,-2419.66,-1.30999999999995,4.03999999999996,Low
Apr 2018,Canadian,GFDL,Low,Low,864.91,10.39,0,9.37,11.44,5.87,5.15,1.81,9.2,0,-5.27,0,845.32,0.73,13.95,0.99,860.98,563.37,-2413.32,0.879999999999995,6.33999999999969,Low
May 2018,Canadian,GFDL,Low,Low,1433.07,17.52,0,8.73,24.6,10.07,15.54,4.35,14.45,0,-6.74,0,1401.11,1,26.64,13.31,1442.06,558.32,-2413.72,-5.04999999999995,-0.399999999999636,Low
Jun 2018,Canadian,GFDL,Low,Low,1284.64,21.1,0,10.18,29.46,19.76,19.96,5.33,12.56,0,0.58,0,1250.97,0.64,34.17,22.21,1308,557.4,-2430.51,-0.920000000000073,-16.7900000000004,Low
Jul 2018,Canadian,GFDL,Low,Low,1911.05,26.6,0,11.96,32.01,15.39,22.07,5.87,22.62,0,-2.96,0,1861.83,0.99,37.75,23.63,1924.2,547.56,-2454.22,-9.84000000000003,-23.7099999999996,Low
Aug 2018,Canadian,GFDL,Low,Low,1848.47,21.46,0,10.33,27.64,13.55,18.15,4.89,18.6,0,-3.77,0,1808.41,0.8,31.65,20.27,1861.13,542.63,-2474.39,-4.92999999999995,-20.1700000000001,Low
Sep 2018,Canadian,GFDL,Low,Low,2560.32,33.8,0,14.74,31.59,7.6,9.44,2.92,28.34,0,-5.96,0,2498.18,1.03,20.19,15.76,2535.15,538.33,-2493.09,-4.29999999999995,-18.7000000000003,Low
