Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Canadian,NCAR,No Change,Low,32.71,0.72,0,0.15,1.46,0.32,0.81,0.95,0.47,0,-0.6,0,31.51,0.04,5.3,0,36.85,425.12,-2275.83,0,0,High
Feb 2016,Canadian,NCAR,No Change,Low,776.13,10.52,0,3.67,13.85,0.29,0.81,0.94,9.39,0,-7.18,0,756.22,0.47,4.78,0,761.46,420.82,-2275.82,-4.30000000000001,0.00999999999976353,High
Mar 2016,Canadian,NCAR,No Change,Low,228.15,3.06,0,0.72,5.25,0.62,1.68,1.1,2.82,0,-2.5,0,222.27,0.21,8,0.07,230.54,429.47,-2273.46,8.65000000000003,2.36000000000013,High
Apr 2016,Canadian,NCAR,No Change,Low,1445.04,16.54,0,9.12,29.88,11.66,14.58,3.83,14.81,0,-12.06,0,1413.7,1.26,20.73,2.39,1438.08,426.68,-2273.78,-2.79000000000002,-0.320000000000164,High
May 2016,Canadian,NCAR,No Change,Low,1641.98,15.18,0,11.74,30.81,23.74,23.35,6.01,13.57,0,-4.29,0,1613.23,0.67,35.42,16.31,1665.63,434.92,-2284.18,8.24000000000001,-10.3999999999996,High
Jun 2016,Canadian,NCAR,No Change,Low,2156.11,24.74,0,14.78,40.14,26.58,27.57,6.98,20.98,0,-4.57,0,2110.38,0.98,42.1,23.16,2176.62,423.91,-2308.56,-11.01,-24.3800000000001,High
Jul 2016,Canadian,NCAR,No Change,Low,3544.92,43.29,0,18.6,48.15,16.27,21.5,5.69,37.69,0,-8.77,0,3463.94,1.57,35.22,22.74,3523.47,415.95,-2335.89,-7.96000000000004,-27.3299999999999,High
Aug 2016,Canadian,NCAR,No Change,Low,3782.51,46.15,0,15.64,56.88,11.18,15.9,4.37,40.72,0,-17.12,0,3695.64,1.93,25.89,18.5,3741.96,428.43,-2345.52,12.48,-9.63000000000011,High
Sep 2016,Canadian,NCAR,No Change,Low,2844.04,37.44,0,15.21,37.76,10.14,13.62,3.83,31.91,0,-6.71,0,2774.69,1.32,23.41,14.67,2814.08,459.76,-2351.95,31.33,-6.42999999999984,High
Oct 2016,Canadian,NCAR,No Change,Low,213.81,2.61,0,12.11,13.82,24.64,23.52,6.15,2.45,0,1.01,0,208.75,0.31,27.96,3.9,240.91,473.75,-2351.19,13.99,0.759999999999764,High
Nov 2016,Canadian,NCAR,No Change,Low,367,4.52,0,1.34,6.8,0.74,1.42,1.07,4.08,0,-3.11,0,358.4,0.23,5.98,0.03,364.65,452.33,-2368.99,-21.42,-17.7999999999997,High
Dec 2016,Canadian,NCAR,No Change,Low,149.86,1.99,0,0.4,3.99,0.33,0.81,0.94,1.87,0,-2.2,0,146,0.13,3.62,0,149.75,452.77,-2368.41,0.439999999999998,0.579999999999927,High
Jan 2017,Canadian,NCAR,No Change,Low,518.41,7.31,0,1.55,11.1,0.29,0.81,0.94,6.67,0,-5.39,0,504.43,0.35,4.22,0,508.99,452.67,-2368.6,-0.0999999999999659,-0.190000000000055,High
Feb 2017,Canadian,NCAR,No Change,Low,200.81,3.32,0,0.92,4.71,0.33,0.81,0.94,2.87,0,-2.13,0,194.62,0.15,4.67,0,199.44,459.12,-2367.19,6.44999999999999,1.40999999999985,High
Mar 2017,Canadian,NCAR,No Change,Low,284.94,4.03,0,1.11,5.75,0.88,2.27,1.21,3.59,0,-2.19,0,277.31,0.25,9.34,0.12,287.02,458.69,-2366.3,-0.430000000000007,0.889999999999873,High
Apr 2017,Canadian,NCAR,No Change,Low,300.58,3.13,0,10.56,12.45,15.59,20.56,5.1,3,0,-4.98,0,294.45,0.69,26.39,2.57,324.1,455.27,-2366.07,-3.42000000000002,0.230000000000018,High
May 2017,Canadian,NCAR,No Change,Low,1271.15,15.19,0,11.73,31.87,28.65,28.38,7.28,12.17,0,-0.32,0,1243.79,0.56,39.24,18.35,1301.94,441.2,-2386.08,-14.07,-20.0099999999998,High
Jun 2017,Canadian,NCAR,No Change,Low,3389.19,37.81,0,16.12,45.67,15.87,18.19,4.81,32.81,0,-9.51,0,3318.57,1.4,32.91,22.6,3375.48,426.27,-2413.67,-14.93,-27.5900000000001,High
Jul 2017,Canadian,NCAR,No Change,Low,2427.67,29.63,0,17.61,36.17,22.2,28.06,7.2,25.51,0,-2.96,0,2372.52,1.01,42.59,23.11,2439.24,436.53,-2426.34,10.26,-12.6700000000001,High
Aug 2017,Canadian,NCAR,No Change,Low,2598.59,32.11,0,13.8,40.85,16.23,25.54,6.55,28.58,0,-7.71,0,2537.9,1.4,36.23,19.13,2594.65,428.78,-2447.77,-7.75,-21.4299999999998,High
Sep 2017,Canadian,NCAR,No Change,Low,340.94,5.45,0,15.09,23.66,36.2,35.23,8.81,3.14,0,2.54,0,332.35,0.36,40.32,16.66,389.69,436.15,-2465.01,7.37,-17.2400000000002,High
Oct 2017,Canadian,NCAR,No Change,Low,2338.53,34.66,0,13.83,31.28,3.4,6.76,2.26,29.42,0,-8.28,0,2274.45,1.23,11.97,3.32,2290.96,409.71,-2502.4,-26.44,-37.3899999999999,High
Nov 2017,Canadian,NCAR,No Change,Low,192.94,2.88,0,0.65,4.55,0.29,0.81,0.94,2.38,0,-2.17,0,187.68,0.15,4.73,0,192.56,430.13,-2489.08,20.42,13.3200000000002,High
Dec 2017,Canadian,NCAR,No Change,Low,787.24,10.95,0,4.14,11.58,0.29,0.81,0.94,9.34,0,-4.86,0,766.95,0.38,3.14,0,770.47,429.52,-2488.74,-0.610000000000014,0.340000000000146,High
Jan 2018,Canadian,NCAR,No Change,Low,1287.03,18.03,0,5.12,21.67,0.29,0.81,0.94,15.43,0,-9.12,0,1253.57,0.66,4.63,0,1258.86,437.53,-2484.13,8.00999999999999,4.60999999999967,High
Feb 2018,Canadian,NCAR,No Change,Low,805.63,10.52,0,3.36,15.47,0.29,0.81,0.94,9.59,0,-8.54,0,785.53,0.52,4.88,0,790.92,454.14,-2477.68,16.61,6.45000000000027,High
Mar 2018,Canadian,NCAR,No Change,Low,2216.56,27.63,0,9.41,33.22,0.29,0.81,0.94,24.23,0,-15.8,0,2164.7,1.09,5.95,0,2171.74,464.3,-2476.49,10.16,1.19000000000005,High
