Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Central_Closed,NCAR,Low,High,17.09,0.21,0,0,0.11,0.29,0.97,0.04,0.1,0,-0.4,0,16.78,0.8,0.74,0,18.32,0,-2452.22,0,0,Low
Feb 2016,Central_Closed,NCAR,Low,High,457.25,2.16,0,0,0.63,0.57,1.08,0.08,2.68,0,-0.28,0,452.42,2.38,1.06,0,455.86,0,-2453.45,0,-1.23000000000002,Low
Mar 2016,Central_Closed,NCAR,Low,High,39.71,0.56,0,0,0.47,0.51,1.19,0.11,0.32,0,-4.36,0,38.84,4.96,1.03,0.1,44.93,0,-2452.05,0,1.39999999999964,Low
Apr 2016,Central_Closed,NCAR,Low,High,162.74,1.1,0,0,1.02,0.92,2.36,0.42,1.03,0,-3.49,0,160.61,4.48,2.05,1.85,168.99,0,-2457.27,0,-5.2199999999998,Low
May 2016,Central_Closed,NCAR,Low,High,73.26,0.11,0,0,3.03,4.02,13.39,2.17,0.33,0,-3.34,0,72.82,4.44,10.22,5.43,92.91,0,-2463.52,0,-6.25,Low
Jun 2016,Central_Closed,NCAR,Low,High,522,1.58,0,0,3.6,4.32,13.72,2.31,2.98,0,-3.5,0,517.44,5.8,10.7,6.45,540.38,0,-2483.17,0,-19.6500000000001,Low
Jul 2016,Central_Closed,NCAR,Low,High,1806.5,6.04,0,0,2.38,2.91,9.08,1.44,11.11,0,1.67,0,1789.35,4.9,7.11,5.9,1807.26,0,-2501.55,0,-18.3800000000001,Low
Aug 2016,Central_Closed,NCAR,Low,High,1573.45,5.18,0,0,2.13,2.54,7.64,1.19,9.49,0,0.82,0,1558.78,4.78,6.04,5.16,1574.75,0,-2502.31,0,-0.759999999999764,Low
Sep 2016,Central_Closed,NCAR,Low,High,2518.93,8.82,0,0,1.19,1.49,4.62,0.66,16.94,0,4.4,0,2493.17,4.71,3.66,4.13,2505.68,0,-2503.61,0,-1.30000000000018,Low
Oct 2016,Central_Closed,NCAR,Low,High,67.12,0.52,0,0,1.02,1.57,5.22,0.73,0.61,0,-0.01,0,65.99,1.08,3.94,2.15,73.16,0,-2490.37,0,13.2400000000002,Low
Nov 2016,Central_Closed,NCAR,Low,High,110.23,0.73,0,0,0.3,0.39,1.04,0.06,0.64,0,0.2,0,108.85,0.62,0.89,0.07,110.44,0,-2496.41,0,-6.03999999999996,Low
Dec 2016,Central_Closed,NCAR,Low,High,49.41,1.06,0,0,0.11,0.3,0.98,0.04,0.46,0,0.44,0,47.88,0.8,0.75,0,49.43,0,-2496.62,0,-0.210000000000036,Low
Jan 2017,Central_Closed,NCAR,Low,High,354.14,1.95,0,0,0.41,0.44,0.98,0.04,2.21,0,0.51,0,349.98,1.46,0.91,0,352.35,0,-2496.65,0,-0.0300000000002001,Low
Feb 2017,Central_Closed,NCAR,Low,High,202.73,0.88,0,0,0.41,0.44,0.98,0.04,1.18,0,-0.92,0,200.66,1.83,0.91,0,203.4,0,-2494.86,0,1.78999999999996,Low
Mar 2017,Central_Closed,NCAR,Low,High,93.78,0.73,0,0,0.36,0.43,1.11,0.09,0.72,0,-4.32,0,92.33,5.12,0.95,0.15,98.56,0,-2495.54,0,-0.679999999999836,Low
Apr 2017,Central_Closed,NCAR,Low,High,17.75,0.16,0,0,1.06,1.06,2.69,0.46,0.11,0,-3.44,0,17.48,3.59,2.24,2.38,25.69,0,-2500.31,0,-4.76999999999998,Low
May 2017,Central_Closed,NCAR,Low,High,266.27,0.8,0,0,3.11,3.87,12.84,2.16,1.44,0,0.65,0,264.04,0.91,9.91,5.5,280.36,0,-2508.25,0,-7.94000000000005,Low
Jun 2017,Central_Closed,NCAR,Low,High,577.09,0.91,0,0,3.2,3.99,12.99,2.16,2.39,0,0.36,0,573.8,1.34,10.04,6.33,591.51,0,-2522.35,0,-14.0999999999999,Low
Jul 2017,Central_Closed,NCAR,Low,High,1258.94,4.1,0,0,2.94,3.55,11.23,1.85,7.63,0,2.33,0,1247.21,2.38,8.77,6.09,1264.45,0,-2536.77,0,-14.4200000000001,Low
Aug 2017,Central_Closed,NCAR,Low,High,1186.93,5.02,0,0,2.41,2.96,9.23,1.46,8.02,0,2.38,0,1173.89,3.19,7.22,5.17,1189.47,0,-2542.27,0,-5.5,Low
Sep 2017,Central_Closed,NCAR,Low,High,104.51,0.71,0,0,3.03,3.92,13.04,2.15,0.6,0,-0.1,0,103.19,1.69,10,4.48,119.37,0,-2544.81,0,-2.53999999999996,Low
Oct 2017,Central_Closed,NCAR,Low,High,2059.59,6.99,0,0,0.54,0.51,1.11,0.1,13.07,0,3.91,0,2039.53,3.04,1.05,1.7,2045.33,0,-2559.67,0,-14.8600000000001,Low
Nov 2017,Central_Closed,NCAR,Low,High,122.52,0.73,0,0,0.38,0.43,0.99,0.05,0.72,0,0.21,0,121.07,0.56,0.9,0,122.53,0,-2545.41,0,14.2600000000002,Low
Dec 2017,Central_Closed,NCAR,Low,High,825.1,2.41,0,0,0.41,0.44,0.98,0.04,4.37,0,1.38,0,818.32,1.05,0.91,0,820.28,0,-2545.42,0,-0.0100000000002183,Low
Jan 2018,Central_Closed,NCAR,Low,High,1063.87,4.31,0,0,0.41,0.44,0.98,0.04,5.81,0,2.1,0,1053.75,2.24,0.91,0,1056.9,0,-2540.6,0,4.82000000000016,Low
Feb 2018,Central_Closed,NCAR,Low,High,438.1,3.05,0,0,0.41,0.44,0.98,0.04,2.95,0,0.32,0,432.1,2.75,0.91,0,435.76,0,-2533.63,0,6.9699999999998,Low
Mar 2018,Central_Closed,NCAR,Low,High,810.29,3.54,0,0,0.41,0.44,0.98,0.04,4.54,0,-2.77,0,802.21,6.33,0.91,0,809.45,0,-2531.29,0,2.34000000000015,Low
Apr 2018,Central_Closed,NCAR,Low,High,467.42,2.42,0,0,1,0.78,1.61,0.26,3.04,0,-3.05,0,461.96,5.25,1.56,0.98,469.76,0,-2530.45,0,0.840000000000146,Low
May 2018,Central_Closed,NCAR,Low,High,1132.96,2.86,0,0,2.05,2.32,6.71,1.07,7.16,0,-4.62,0,1122.94,7.74,5.38,5.43,1141.48,0,-2532.79,0,-2.34000000000015,Low
Jun 2018,Central_Closed,NCAR,Low,High,1042.83,2.37,0,0,3.35,3.95,12.36,2.08,4.82,0,-4.45,0,1035.64,7.41,9.69,6.29,1059.03,0,-2541.31,0,-8.51999999999998,Low
Jul 2018,Central_Closed,NCAR,Low,High,983.06,4.12,0,0,3.14,3.73,11.88,2,6.89,0,-2.65,0,972.05,7.36,9.29,6.24,994.93,0,-2557.51,0,-16.2000000000003,Low
Aug 2018,Central_Closed,NCAR,Low,High,1105.35,5.08,0,0,2.38,2.84,8.66,1.38,7.46,0,-1.17,0,1092.81,6.72,6.82,5.32,1111.66,0,-2569.39,0,-11.8799999999997,Low
Sep 2018,Central_Closed,NCAR,Low,High,1075.43,2.22,0,0,2.76,3.27,10.31,1.72,5.45,0,-0.69,0,1067.75,3.42,8.09,4.47,1083.73,0,-2575.7,0,-6.30999999999995,Low
Oct 2018,Central_Closed,NCAR,Low,High,1195.42,3.61,0,0,1.2,1.4,4.08,0.59,7.64,0,1.99,0,1184.16,1.82,3.29,2.33,1191.6,0,-2584,0,-8.30000000000018,Low
