Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Lower_Colorado,UKMO,High,High,681.92,6.72,0,14.72,0.05,0.06,1.05,0.07,5.02,0,-8.38,0,670.18,0.4,0.97,0,671.54,0,-3897.48,0,0,Low
Feb 2016,Lower_Colorado,UKMO,High,High,623.31,6.26,0,13.96,0.05,0.06,1.05,0.07,4.58,0,-8.05,0,612.47,0.36,0.97,0,613.8,0,-3901.82,0,-4.34000000000015,Low
Mar 2016,Lower_Colorado,UKMO,High,High,417.64,3.45,0,7.93,0.06,0.06,1.2,0.14,2.48,0,-4.81,0,411.71,0.33,1.06,0.01,413.12,0,-3906.26,0,-4.44000000000005,Low
Apr 2016,Lower_Colorado,UKMO,High,High,133.67,1.32,0,2.27,0.89,0.37,5.17,2,1.03,0,-1.84,0,131.32,0.37,3.69,0.7,136.09,0,-3909.67,0,-3.40999999999985,Low
May 2016,Lower_Colorado,UKMO,High,High,5.31,0.03,0,0.08,0.25,0.2,6.38,2.22,0.03,0,-0.45,0,5.24,0.35,4.21,2.02,11.81,0,-3914.36,0,-4.69000000000005,Low
Jun 2016,Lower_Colorado,UKMO,High,High,257.11,2.74,0,4.39,2.35,1.34,6.73,2.82,2.15,0,-2.92,0,252.22,0.26,4.91,3.15,260.54,0,-3920.95,0,-6.58999999999969,Low
Jul 2016,Lower_Colorado,UKMO,High,High,1510.13,16.11,0,32.26,1.8,1.04,5.3,2.13,12.54,0,-17.63,0,1481.47,0.72,3.92,3.13,1489.25,0,-3928.77,0,-7.82000000000016,Low
Aug 2016,Lower_Colorado,UKMO,High,High,1717.88,20.61,0,40.1,1.34,0.77,4.46,1.71,15.74,0,-21.01,0,1681.53,0.94,3.33,2.62,1688.42,0,-3940.15,0,-11.3800000000001,Low
Sep 2016,Lower_Colorado,UKMO,High,High,3206.82,40.74,0,84.04,0.29,0.17,2.02,0.52,31.05,0,-44.97,0,3135.03,1.55,1.62,1.94,3140.14,0,-3950.79,0,-10.6399999999999,Low
Oct 2016,Lower_Colorado,UKMO,High,High,3091.68,37.11,0,80.5,0.07,0.06,1.25,0.16,27.21,0,-44.93,0,3027.36,1.54,1.09,0.5,3030.5,0,-3968.14,0,-17.3499999999999,Low
Nov 2016,Lower_Colorado,UKMO,High,High,638.14,5.89,0,13.04,0.05,0.06,1.06,0.07,4.41,0,-7.57,0,627.84,0.43,0.97,0,629.25,0,-3987.46,0,-19.3200000000002,Low
Dec 2016,Lower_Colorado,UKMO,High,High,725.77,6.37,0,13.92,0.05,0.06,1.06,0.07,4.91,0,-7.97,0,714.49,0.43,0.97,0,715.89,0,-3991.61,0,-4.15000000000009,Low
Jan 2017,Lower_Colorado,UKMO,High,High,1678.37,17.07,0,37.95,0.05,0.06,1.06,0.07,12.3,0,-21.68,0,1648.99,0.83,0.97,0,1650.8,0,-3995.65,0,-4.03999999999996,Low
Feb 2017,Lower_Colorado,UKMO,High,High,523.79,4.98,0,11.15,0.05,0.06,1.06,0.07,3.69,0,-6.48,0,515.11,0.33,0.97,0,516.41,0,-4006.03,0,-10.3800000000001,Low
Mar 2017,Lower_Colorado,UKMO,High,High,2375.25,24.96,0,56.2,0.05,0.06,1.06,0.07,18.18,0,-32.51,0,2332.11,1.28,0.97,0.01,2334.38,0,-4009.8,0,-3.76999999999998,Low
Apr 2017,Lower_Colorado,UKMO,High,High,1768.37,16.3,0,36.83,0.3,0.07,3.45,1.16,12.06,0,-21.87,0,1740.01,1.11,2.52,0.3,1743.94,0,-4025.14,0,-15.3399999999997,Low
May 2017,Lower_Colorado,UKMO,High,High,67.04,0.39,0,0.47,0.85,0.44,5.93,2.23,0.36,0,-0.86,0,66.3,0.37,4.11,1.47,72.25,0,-4037.53,0,-12.3900000000003,Low
Jun 2017,Lower_Colorado,UKMO,High,High,708.03,7.8,0,15.11,2.06,1.17,6.21,2.56,5.95,0,-8.85,0,694.29,0.64,4.54,3.05,702.52,0,-4043.2,0,-5.66999999999962,Low
Jul 2017,Lower_Colorado,UKMO,High,High,1474.69,15.87,0,32.16,1.78,1.02,5.39,2.17,12.21,0,-17.86,0,1446.61,0.82,3.98,3.03,1454.44,0,-4052.8,0,-9.60000000000036,Low
Aug 2017,Lower_Colorado,UKMO,High,High,1927.31,22.73,0,44.93,1.25,0.7,4.37,1.66,17.51,0,-23.88,0,1887.07,1.14,3.26,2.57,1894.04,0,-4064.71,0,-11.9099999999999,Low
Sep 2017,Lower_Colorado,UKMO,High,High,1181.26,12.94,0,27.52,1.35,0.77,4.53,1.74,9.83,0,-15.93,0,1158.49,0.77,3.37,2.04,1164.67,0,-4076.36,0,-11.6500000000001,Low
Oct 2017,Lower_Colorado,UKMO,High,High,420.96,2.97,0,6.65,1.11,0.57,4.56,1.74,2.29,0,-4.56,0,415.7,0.35,3.35,0.69,420.08,0,-4087.29,0,-10.9299999999998,Low
