Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Pecos,UKMO,High,Low,551.98,5.17,0.15,2.29,4.44,1.9,6.81,1.18,6.74,0,-0.01,0,540.07,0.5,7.82,0,548.4,179.66,-14382.96,0,0,Low
Feb 2016,Pecos,UKMO,High,Low,711.3,5.34,0.14,3.01,8.77,8.25,6.81,1.37,8.31,0,-0.88,0,697.65,2.83,8.31,0,708.79,180.01,-14381.87,0.349999999999994,1.08999999999833,Low
Mar 2016,Pecos,UKMO,High,Low,230.43,6.75,0.14,1.07,18.68,26.36,11.45,2.84,2.87,0,-0.34,0,220.82,13.83,14.98,4.13,253.75,177.67,-14379.88,-2.34,1.9900000000016,Low
Apr 2016,Pecos,UKMO,High,Low,667.93,8.56,0.17,24.75,13.74,31.41,43.26,13.89,7.83,0,-2.39,0,651.54,4.04,44.59,19.35,719.52,163.62,-14390.08,-14.05,-10.2000000000007,Low
May 2016,Pecos,UKMO,High,Low,173.31,4.06,0.14,14.68,23.79,45.65,58.37,18.37,1.97,0,0.71,0,167.28,10.67,56.68,30.1,264.74,130.73,-14433.36,-32.89,-43.2800000000007,Low
Jun 2016,Pecos,UKMO,High,Low,876.53,10.28,0.48,9.31,28.69,34.2,63.25,19.93,11.22,0,-1.47,0,855.04,8.44,60.44,34.35,958.27,92.19,-14500.78,-38.54,-67.4200000000001,Low
Jul 2016,Pecos,UKMO,High,Low,1170.37,12.01,0.33,13.18,24.51,23.74,65.75,20.77,14.94,0,-4.18,0,1143.42,2.57,62.05,34.31,1242.34,69.54,-14568.69,-22.65,-67.9099999999999,Low
Aug 2016,Pecos,UKMO,High,Low,2813.1,32.28,0.53,10.18,34.3,9.56,49.07,15.27,34.49,0,-6.77,0,2746.32,4.66,45.57,29.39,2825.95,53.25,-14637.23,-16.29,-68.5399999999991,Low
Sep 2016,Pecos,UKMO,High,Low,7532.06,79.26,1.96,42.75,45.18,4.81,16.8,4.09,85.28,0,-7.24,0,7367.52,5.35,17.66,21.79,7412.31,66.22,-14672.7,12.97,-35.4700000000012,Low
Oct 2016,Pecos,UKMO,High,Low,3948.71,39.89,0.68,44.81,16.32,15.72,18.12,4.68,43.49,0,-7.15,0,3865.33,2.31,18.92,13.35,3899.9,101.65,-14629.17,35.43,43.5300000000007,Low
Nov 2016,Pecos,UKMO,High,Low,926.31,10.93,0.15,24.19,5.28,19.7,6.9,1.11,11.64,0,0.55,0,903.74,0.77,7.37,0.08,911.96,96.77,-14619.61,-4.88000000000001,9.55999999999949,Low
Dec 2016,Pecos,UKMO,High,Low,512.96,6.8,0.15,4.6,4.72,3.86,6.83,1.06,6.71,0,0.65,0,499.45,0.84,7,0,507.29,80.77,-14613.3,-16,6.31000000000131,Low
Jan 2017,Pecos,UKMO,High,Low,1166.57,12.58,0.15,2.6,11.12,1.68,6.83,1.18,13.99,0,-0.02,0,1140,0.72,6.68,0,1147.41,80.4,-14611.71,-0.36999999999999,1.59000000000015,Low
Feb 2017,Pecos,UKMO,High,Low,658.58,5.52,0.14,1.71,7.15,3.83,6.84,1.34,7.84,0,-0.94,0,645.21,1.57,7.44,0,654.23,88.8,-14603.4,8.39999999999999,8.30999999999949,Low
Mar 2017,Pecos,UKMO,High,Low,2143.92,34.36,0.14,1.5,22.09,4.85,13.35,3.59,26.07,0,0.13,0,2083.49,15.62,14.77,8.55,2122.43,90.18,-14602,1.38000000000001,1.39999999999964,Low
Apr 2017,Pecos,UKMO,High,Low,3300,37.95,0.17,22.15,16.86,4.11,25.39,8.07,39.08,0,-0.95,0,3222.98,4.16,26.56,16.79,3270.48,102.42,-14594.11,12.24,7.88999999999942,Low
May 2017,Pecos,UKMO,High,Low,679.07,8.09,0.14,15.49,21.41,34.98,51.72,16.11,8.38,0,-2.63,0,662.6,8.93,50.02,26.34,747.9,105.94,-14590.09,3.52,4.02000000000044,Low
Jun 2017,Pecos,UKMO,High,Low,1955.44,24.31,0.48,24.52,24.51,26.29,55.18,17.26,24.27,0,-3.73,0,1906.86,5.78,53.22,33.28,1999.14,77.96,-14646.3,-27.98,-56.2099999999991,Low
Jul 2017,Pecos,UKMO,High,Low,1271.37,13.44,0.33,9.04,25.51,19.49,65.07,20.57,16.57,0,-3.93,0,1241.37,2.64,60.97,33.61,1338.59,60.89,-14696.97,-17.07,-50.6700000000001,Low
Aug 2017,Pecos,UKMO,High,Low,4968.26,55.18,0.53,22.92,40.08,6.91,31.55,9.41,56.53,0,-5.41,0,4856.55,5.02,30.51,28.36,4920.44,50.44,-14762.44,-10.45,-65.4700000000012,Low
Sep 2017,Pecos,UKMO,High,Low,964.1,11.28,1.96,11.28,19.46,21.28,47.99,14.84,11.12,0,-0.54,0,941.69,4.32,44.63,21.63,1012.27,75.24,-14761.82,24.8,0.6200000000008,Low
Oct 2017,Pecos,UKMO,High,Low,130.87,4.47,0.68,15.61,14.6,27.55,41.3,12.72,1.89,0,0.13,0,124.51,2.36,37.21,13.71,177.79,61.94,-14806.01,-13.3,-44.1900000000005,Low
Nov 2017,Pecos,UKMO,High,Low,1251.55,12.92,0.15,11.76,4.08,3.11,6.92,1.1,13.85,0,-0.11,0,1224.78,0.45,6.43,0.16,1231.82,40.36,-14846.28,-21.58,-40.2700000000004,Low
