Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Rio_Grande,NCAR,High,High,116.73,8.73,8.51,6.88,17.82,11.59,19.13,-0.3,5.62,0,-20.62,0,102.38,24.74,19,0,146.12,679.56,-4656.32,0,0,Low
Feb 2016,Rio_Grande,NCAR,High,High,1824.47,68.91,11.13,18.89,53.16,19.36,25.28,1.66,69.83,0,-17.87,0,1685.72,45.22,28.71,0.07,1759.73,686.23,-4690.76,6.67000000000007,-34.4400000000005,Low
Mar 2016,Rio_Grande,NCAR,High,High,510.55,24.57,13.74,73.72,39.18,102.38,29.25,2.8,25.38,0,-15.02,0,460.6,42.82,38.71,0.33,542.45,714.94,-4662.49,28.71,28.2700000000004,Low
Apr 2016,Rio_Grande,NCAR,High,High,1230.12,71.04,11.78,56.66,69.55,83.14,39.78,4.76,65.96,0,-9.55,0,1093.12,49.3,52.29,13.83,1208.54,639.48,-4678.9,-75.46,-16.4099999999999,Low
May 2016,Rio_Grande,NCAR,High,High,315.9,32.19,13.09,63.53,109.5,159.52,47.15,6.7,20.29,0,-6.01,0,263.41,37.78,70.73,49.4,421.32,608.62,-4671.35,-30.86,7.54999999999927,Low
Jun 2016,Rio_Grande,NCAR,High,High,1499.42,49.93,5.71,85.04,102.88,177.86,49.84,7.5,52.74,0,-1.44,0,1396.75,47.02,82.49,73.52,1599.78,528.33,-4746.93,-80.29,-75.5799999999999,Low
Jul 2016,Rio_Grande,NCAR,High,High,5322.46,136.5,0.59,61.44,96.58,68.72,38.92,5.24,154.98,0,-4.44,0,5030.98,52.23,60.49,68.25,5211.95,413.21,-4811.49,-115.12,-64.5599999999995,Low
Aug 2016,Rio_Grande,NCAR,High,High,4939.2,137.8,0,54.3,85.98,51.2,39.85,5.39,156.89,0,-6.45,0,4644.51,55.16,56.42,58.34,4814.44,414.26,-4762.88,1.05000000000001,48.6099999999997,Low
Sep 2016,Rio_Grande,NCAR,High,High,7741.57,182.5,0,57.17,94.6,29.25,25.84,1.61,193.31,0,3.88,0,7365.76,56.1,33.62,42.15,7497.64,427.09,-4705.25,12.83,57.6300000000001,Low
Oct 2016,Rio_Grande,NCAR,High,High,697.65,19.52,0,10.01,35.83,37,38.07,3.13,25.43,0,-12.63,0,652.69,23.31,40.11,16.71,732.82,483.04,-4574.44,55.95,130.81,Low
Nov 2016,Rio_Grande,NCAR,High,High,563.59,25.51,8.45,2.13,38.26,14.36,21.76,-0.08,27.53,0,-21.04,0,510.55,28.97,19.88,0.02,559.42,476.71,-4613.28,-6.33000000000004,-38.8400000000001,Low
Dec 2016,Rio_Grande,NCAR,High,High,633.36,33.8,8.57,1.69,43.81,19.53,19.31,-0.31,26.95,0,-20.5,0,572.61,36.9,16.64,0,626.15,502.57,-4628.66,25.86,-15.3800000000001,Low
Jan 2017,Rio_Grande,NCAR,High,High,1691.39,61.41,8.45,8.75,54.71,11.88,19.33,-0.31,68.82,0,-19.81,0,1561.15,38.08,17.33,0,1616.56,529.83,-4641.83,27.26,-13.1700000000001,Low
Feb 2017,Rio_Grande,NCAR,High,High,782.89,26.34,11.54,23.1,29.97,28.03,19.35,-0.31,27.19,0,-20.21,0,729.35,33.05,18.54,0,780.95,574.98,-4612.45,45.15,29.3800000000001,Low
Mar 2017,Rio_Grande,NCAR,High,High,828.54,31.05,15.65,79.26,17.42,83.05,23.66,0.93,32.63,0,-13.54,0,764.86,46.62,29.37,0.59,841.44,578.04,-4625.12,3.05999999999995,-12.6700000000001,Low
Apr 2017,Rio_Grande,NCAR,High,High,235.16,25.02,15.17,49.29,64.95,96.64,41.06,4.95,14.96,0,-12.2,0,195.18,34.8,53.84,28.8,312.62,505.76,-4629.36,-72.28,-4.23999999999978,Low
May 2017,Rio_Grande,NCAR,High,High,557.9,23.85,21.24,10.59,68.04,48.3,45.96,4.33,18.86,0,-10.16,0,515.2,24.91,59.62,53.88,653.61,456.35,-4691.51,-49.41,-62.1500000000005,Low
Jun 2017,Rio_Grande,NCAR,High,High,874.69,35.39,12.97,13.11,93.75,67.49,51.46,5.16,43.52,0,-16.43,0,795.78,25.41,71.83,72.28,965.31,458.12,-4778.32,1.76999999999998,-86.8099999999995,Low
Jul 2017,Rio_Grande,NCAR,High,High,3839.62,100.39,0.89,17.82,123.79,76.14,44.47,6.32,107.25,0,-7.59,0,3631.98,43.4,69.82,69.58,3814.77,458.84,-4869.81,0.71999999999997,-91.4900000000007,Low
Aug 2017,Rio_Grande,NCAR,High,High,4662.73,129.89,0.12,26.52,117.59,53.33,40.9,5.74,143.53,0,-9.07,0,4389.3,48.3,60.65,58.5,4556.74,474.84,-4877.89,16,-8.07999999999993,Low
Sep 2017,Rio_Grande,NCAR,High,High,280.12,15.62,0,18.94,83.74,111.85,45.61,6.24,9.29,0,-8.22,0,255.21,33.01,67.01,49.31,404.54,513.62,-4837.09,38.78,40.8000000000002,Low
Oct 2017,Rio_Grande,NCAR,High,High,5658.7,149.34,0,28.54,100.18,17.25,24.57,1.19,163.37,0,-12.13,0,5345.99,49.99,27.46,12.49,5435.93,457.87,-4924.7,-55.75,-87.6099999999997,Low
Nov 2017,Rio_Grande,NCAR,High,High,560.11,23.79,7.26,1.88,34.27,9.55,19.85,-0.2,23.47,0,-21.01,0,512.85,25.47,19.54,0,557.86,536.73,-4809.33,78.86,115.37,Low
Dec 2017,Rio_Grande,NCAR,High,High,1849.09,56.16,8.75,7.01,52.93,9.13,19.52,-0.3,57.01,0,-19.03,0,1735.92,33.12,17.17,0,1786.21,561.95,-4826.92,25.22,-17.5900000000001,Low
Jan 2018,Rio_Grande,NCAR,High,High,3465.57,122.25,8.09,12.43,90.92,8.82,19.53,-0.3,132.61,0,-16.93,0,3210.71,52.73,18.35,0,3281.79,608.4,-4808.76,46.4499999999999,18.1599999999999,Low
Feb 2018,Rio_Grande,NCAR,High,High,2571.85,97.9,10.83,24.32,58.89,8.51,19.55,-0.3,99.13,0,-18.11,0,2374.82,52.14,19.64,0,2446.61,691.99,-4712.91,83.59,95.8500000000004,Low
Mar 2018,Rio_Grande,NCAR,High,High,3172.21,122.73,14.75,84.16,27.95,34.59,19.61,-0.28,129.7,0,-13.56,0,2919.77,73.53,23.19,0,3016.49,742.58,-4651.74,50.59,61.1700000000001,Low
Apr 2018,Rio_Grande,NCAR,High,High,2825.69,136.24,26.71,59.51,82.17,42.16,36.84,4,131.17,0,-9.45,0,2558.28,72.88,49.59,8.22,2688.97,732.64,-4555.5,-9.94000000000005,96.2399999999998,Low
May 2018,Rio_Grande,NCAR,High,High,4102.1,194.29,135.41,68.98,197.73,41.45,42.57,5.61,151.93,0,-49.42,0,3755.88,153.87,66.06,52.83,4028.63,755.91,-4474.84,23.27,80.6599999999999,Low
Jun 2018,Rio_Grande,NCAR,High,High,1567.67,111.55,130.71,85.91,155.47,85.78,48.69,7.11,48.67,0,-44.91,0,1407.45,131.58,88.24,72.43,1699.69,883.1,-4462.12,127.19,12.7200000000003,Low
Jul 2018,Rio_Grande,NCAR,High,High,3870.49,112.1,49.44,95.8,104.96,100.81,45.09,6.8,100.85,0,-17.36,0,3657.55,78.94,82.68,71.27,3890.44,906.12,-4572.36,23.02,-110.24,Low
Aug 2018,Rio_Grande,NCAR,High,High,4490.24,138.38,29.21,76.03,111.69,76.26,42.47,5.94,151.45,0,-18.95,0,4200.41,75.08,67.66,59.27,4402.42,865.89,-4598.44,-40.23,-26.0799999999999,Low
Sep 2018,Rio_Grande,NCAR,High,High,1703.7,35.89,15.11,48.39,71.3,88.15,40.27,5.05,43.95,0,-14.98,0,1623.86,34.44,64.02,48.24,1770.56,870.18,-4561.73,4.28999999999996,36.71,Low
Oct 2018,Rio_Grande,NCAR,High,High,2903.19,58.64,9.94,20.29,64.54,26.88,29.64,2.38,65.51,0,-19.06,0,2779.04,29.69,37.28,19.05,2865.05,824.53,-4616.22,-45.65,-54.4900000000007,Low
Nov 2018,Rio_Grande,NCAR,High,High,2967.41,98.67,11.42,5.18,91.21,11.78,19.93,-0.22,108.89,0,-19.57,0,2759.85,45.06,20.09,0,2825.01,852.17,-4616.08,27.64,0.140000000000327,Low
Dec 2018,Rio_Grande,NCAR,High,High,198.03,7.78,11.3,1.76,30.96,12,19.73,-0.29,9.73,0,-23.41,0,180.51,21.77,18.8,0,221.08,931.66,-4546.92,79.49,69.1599999999999,Low
Jan 2019,Rio_Grande,NCAR,High,High,2468.09,88.41,10.83,9.27,77.57,11.63,19.75,-0.29,101.36,0,-20.4,0,2278.32,44.43,19.11,0,2341.87,951.84,-4580.6,20.1800000000001,-33.6800000000003,Low
Feb 2019,Rio_Grande,NCAR,High,High,914.18,27.18,13.33,23.82,30.19,25.38,19.76,-0.28,30.09,0,-19.85,0,856.91,31.73,21.34,0,909.98,1018.69,-4519.68,66.85,60.9200000000001,Low
Mar 2019,Rio_Grande,NCAR,High,High,2170.73,82.56,20.05,81.84,14.31,39.68,20.82,0.04,93.94,0,-13.8,0,1994.23,59.94,27.73,0.05,2081.95,1022.2,-4529.48,3.50999999999999,-9.79999999999927,Low
Apr 2019,Rio_Grande,NCAR,High,High,893.07,73.01,55.39,56.94,88.4,64.54,39.61,4.6,41.82,0,-24.11,0,778.24,71.7,54.94,11.52,916.39,989.89,-4470.18,-32.3100000000001,59.2999999999993,Low
