Date,River_Basin,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Rio_Grande,NCAR,Low,No Change,116.73,8.71,8.51,7.16,19.45,13.9,21.85,-0.3,5.62,0,-20.54,0,102.4,25.06,21,0,148.47,683.21,-4787.13,0,0,Low
Feb 2016,Rio_Grande,NCAR,Low,No Change,1824.47,68.89,11.13,19.17,54.85,21.71,27.99,1.66,69.83,0,-17.83,0,1685.74,45.54,30.75,0.07,1762.1,689.9,-4824.2,6.68999999999994,-37.0699999999997,Low
Mar 2016,Rio_Grande,NCAR,Low,No Change,510.55,24.54,13.74,74,39.99,103.89,31.96,2.8,25.38,0,-14.94,0,460.64,43.12,40.73,0.33,544.81,718.62,-4798.6,28.72,25.5999999999995,Low
Apr 2016,Rio_Grande,NCAR,Low,No Change,1230.12,70.89,11.78,56.94,69.58,83.91,42.49,4.76,65.96,0,-9.47,0,1093.27,49.53,54.35,13.83,1210.98,643.15,-4817.64,-75.47,-19.04,Low
May 2016,Rio_Grande,NCAR,Low,No Change,315.9,32.19,13.09,63.81,110.32,161.09,49.85,6.7,20.29,0,-5.72,0,263.41,37.96,72.82,49.4,423.6,612.21,-4812.72,-30.9399999999999,4.92000000000007,Low
Jun 2016,Rio_Grande,NCAR,Low,No Change,1499.42,49.82,5.71,85.3,103.76,179.42,52.54,7.5,52.74,0,-1.39,0,1396.87,47.27,84.63,73.52,1602.29,531.78,-4890.7,-80.4300000000001,-77.9799999999996,Low
Jul 2016,Rio_Grande,NCAR,Low,No Change,5322.46,136.47,0.59,64.71,96.89,73.77,41.61,5.24,154.98,0,-3.96,0,5031.01,53.18,62.69,68.25,5215.14,416.54,-4957.93,-115.24,-67.2300000000005,Low
Aug 2016,Rio_Grande,NCAR,Low,No Change,4939.2,137.78,0,55.5,86.41,53.55,42.55,5.39,156.89,0,-6.27,0,4644.52,55.69,58.42,58.34,4816.98,413.34,-4911.53,-3.20000000000005,46.4000000000005,Low
Sep 2016,Rio_Grande,NCAR,Low,No Change,7741.57,182.5,0,57.44,96.31,31.6,28.53,1.61,193.31,0,3.93,0,7365.77,56.43,35.61,42.15,7499.96,424.95,-4856.4,11.61,55.1300000000001,Low
Oct 2016,Rio_Grande,NCAR,Low,No Change,697.65,19.5,0,10.28,37.43,39.29,40.76,3.13,25.43,0,-12.55,0,652.72,23.62,42.06,16.71,735.11,480.96,-4728.24,56.01,128.16,Low
Nov 2016,Rio_Grande,NCAR,Low,No Change,563.59,25.5,8.45,2.41,39.89,16.67,24.44,-0.08,27.53,0,-20.94,0,510.57,29.26,21.85,0.02,561.7,474.67,-4769.69,-6.28999999999996,-41.4499999999998,Low
Dec 2016,Rio_Grande,NCAR,Low,No Change,633.36,33.89,8.57,1.97,43.49,18.76,21.99,-0.31,26.95,0,-20.57,0,572.52,36.33,18.61,0,627.46,500.55,-4787.64,25.88,-17.9500000000007,Low
Jan 2017,Rio_Grande,NCAR,Low,No Change,1691.39,61.41,8.45,9.02,56.4,14.22,22,-0.31,68.82,0,-19.76,0,1561.16,38.41,19.33,0,1618.9,528.97,-4803.57,28.42,-15.9299999999994,Low
Feb 2017,Rio_Grande,NCAR,Low,No Change,782.89,26.34,11.54,23.36,30.85,29.55,22.02,-0.31,27.19,0,-20.16,0,729.36,33.38,20.55,0,783.29,574.14,-4776.82,45.17,26.75,Low
Mar 2017,Rio_Grande,NCAR,Low,No Change,828.54,31.03,15.65,79.52,18.22,84.55,26.33,0.93,32.63,0,-13.46,0,764.88,46.93,31.35,0.59,843.76,577.21,-4792.11,3.07000000000005,-15.29,Low
Apr 2017,Rio_Grande,NCAR,Low,No Change,235.16,24.88,15.17,53.12,64.98,102.25,43.73,4.95,14.96,0,-11.6,0,195.32,35.8,55.8,28.8,315.72,504.93,-4798.93,-72.28,-6.82000000000062,Low
May 2017,Rio_Grande,NCAR,Low,No Change,557.9,23.97,21.24,11.11,69.44,50.85,48.63,4.39,18.86,0,-9.8,0,515.07,25.32,61.74,53.88,656,450.65,-4863.16,-54.28,-64.2299999999996,Low
Jun 2017,Rio_Grande,NCAR,Low,No Change,874.69,35.81,12.97,13.72,94.54,69.55,54.12,5.24,43.52,0,-16.24,0,795.35,26.32,73.98,72.28,967.93,451.74,-4952.21,1.09000000000003,-89.0500000000002,Low
Jul 2017,Rio_Grande,NCAR,Low,No Change,3839.62,106.77,0.89,18.33,125.29,78.73,47.13,6.38,107.25,0,-6.96,0,3625.6,49.73,71.81,69.58,3816.73,451.61,-5046.08,-0.129999999999995,-93.8699999999999,Low
Aug 2017,Rio_Grande,NCAR,Low,No Change,4662.73,130.56,0.12,27.4,118.45,55.67,43.55,5.74,143.53,0,-8.91,0,4388.63,49.42,62.56,58.5,4559.11,467.12,-5056.13,15.51,-10.0500000000002,Low
Sep 2017,Rio_Grande,NCAR,Low,No Change,280.12,16.33,0,19.32,84.46,113.45,48.26,6.27,9.29,0,-8.09,0,254.5,34.08,69,49.31,406.89,505.14,-5017.81,38.02,38.3199999999997,Low
Oct 2017,Rio_Grande,NCAR,Low,No Change,5658.7,149.99,0,28.81,101.86,19.59,27.21,1.19,163.37,0,-12.06,0,5345.34,50.98,29.4,12.49,5438.2,449.15,-5107.91,-55.99,-90.0999999999995,Low
Nov 2017,Rio_Grande,NCAR,Low,No Change,560.11,24.44,7.26,2.15,35.86,11.83,22.49,-0.2,23.47,0,-20.91,0,512.2,26.43,21.48,0,560.11,528.03,-4995.11,78.88,112.8,Low
Dec 2017,Rio_Grande,NCAR,Low,No Change,1849.09,55.51,8.75,7.29,53.74,10.03,22.15,-0.3,57.01,0,-19.14,0,1736.56,32.4,19.14,0,1788.1,553.28,-5015.25,25.25,-20.1400000000003,Low
